SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"East Kirkwall",192,0,0,0,0,323,0,0,0,0,0,122,0,0,0,0,217,0,0,0,0,0,72,91,34,0,0,52,8,0,0,44,28,11,5,0,35,7,0,0,0,0,1,1,4,0,12,5,2,1,519,427,165,113,44,
"Isles",426,0,0,0,0,396,0,0,0,0,0,261,0,0,0,0,463,0,0,0,0,0,71,120,77,0,0,74,14,4,0,39,17,2,4,0,41,5,0,0,0,6,0,5,10,0,21,17,7,2,822,831,182,145,95,
"Powmill, Cleish and Scotlandwell",189,0,0,0,0,181,0,0,0,0,0,250,0,0,0,0,444,0,0,0,0,0,132,231,75,0,0,95,26,4,0,29,21,2,3,0,30,8,0,0,0,0,6,7,12,0,17,12,9,2,367,777,267,275,101,
"Kinross",462,0,0,0,0,336,0,0,0,0,0,316,0,0,0,0,423,0,0,0,0,0,129,217,58,0,0,90,31,2,0,52,38,14,2,0,77,10,0,0,0,1,4,8,10,0,14,9,3,0,796,884,281,273,71,
"Milnathort and Crook of Devon",236,0,0,0,0,246,0,0,0,0,0,239,0,0,0,0,388,0,0,0,0,0,118,192,60,0,0,79,30,6,0,28,24,6,1,0,45,6,0,0,0,0,1,8,15,0,7,13,2,8,482,714,241,239,87,
"Muthill, Greenloaning and Gleneagles",181,0,0,0,0,229,0,0,0,0,0,201,0,0,0,0,346,0,0,0,0,0,105,147,68,0,0,108,20,0,0,22,29,16,5,0,51,10,3,0,0,0,2,4,11,0,8,15,3,1,411,622,264,192,83,
"Auchterarder",388,0,0,0,0,452,0,0,0,0,0,352,0,0,0,0,505,0,0,0,0,0,163,255,70,0,0,127,27,5,0,60,40,9,2,0,63,7,1,0,0,1,6,3,14,0,27,15,8,1,841,1008,357,305,92,
"Comrie, Gilmerton and St Fillans",367,0,0,0,0,205,0,0,0,0,0,276,0,0,0,0,368,0,0,0,0,0,73,113,46,0,0,91,23,1,0,24,21,5,1,0,32,8,0,0,0,1,0,3,6,0,17,8,4,2,575,718,204,148,57,
"Crieff North",268,0,0,0,0,187,0,0,0,0,0,263,0,0,0,0,271,0,0,0,0,0,65,118,36,0,0,56,12,2,0,29,15,7,0,0,35,4,0,0,0,0,6,2,9,0,11,11,3,0,455,604,156,142,45,
"Crieff South",372,0,0,0,0,499,0,0,0,0,0,170,0,0,0,0,335,0,0,0,0,0,113,138,70,0,0,68,28,2,0,61,50,7,2,0,52,12,0,0,0,4,7,2,23,0,25,4,6,1,871,647,253,185,94,
"Almondbank and Pitcairngreen",237,0,0,0,0,242,0,0,0,0,0,259,0,0,0,0,446,0,0,0,0,0,98,147,68,0,0,101,36,4,0,30,23,8,2,0,49,6,0,0,0,2,3,3,15,0,8,17,4,5,479,793,246,198,94,
"Glenfarg, Dunning and Rhynd",211,0,0,0,0,216,0,0,0,0,0,218,0,0,0,0,406,0,0,0,0,0,110,153,68,0,0,91,23,2,0,31,23,2,0,0,26,7,0,0,0,0,3,12,11,0,14,12,5,1,424,692,246,192,88,
"Bridge of Earn and Abernethy",344,0,0,0,0,338,0,0,0,0,0,307,1,0,0,0,431,0,0,0,0,0,167,258,63,0,0,122,23,2,0,40,40,5,2,0,70,13,0,0,0,2,12,6,7,0,18,12,9,3,685,872,365,303,77,
"Upper Craigie and Friarton",297,0,0,0,0,363,0,0,0,0,0,125,0,0,0,0,268,0,0,0,0,0,89,134,38,0,0,77,24,4,0,37,48,21,5,0,68,20,0,0,0,4,7,11,6,0,18,8,6,2,660,517,249,200,55,
"Viewlands and Craigie",408,0,0,0,0,670,0,0,0,0,0,298,0,0,0,0,556,0,0,0,0,0,154,234,77,0,0,137,23,4,0,56,36,4,2,0,67,6,2,0,0,2,6,6,9,0,30,11,4,1,1074,1008,348,272,93,
"Burghmuir, Oakbank and Cherrybank",376,0,0,0,0,258,0,0,0,0,0,342,0,0,0,0,445,0,0,0,0,0,162,225,71,0,0,104,27,3,0,49,37,11,2,0,52,5,1,0,0,1,3,8,10,0,11,11,4,1,634,899,320,274,88,
"Western Edge",322,0,0,0,0,489,0,0,0,0,0,243,0,0,0,0,524,0,0,0,0,0,172,215,68,0,0,129,27,4,0,53,61,6,0,0,92,7,1,0,0,3,3,6,12,0,18,13,9,3,808,931,388,266,88,
"Letham",280,0,0,0,0,506,0,0,0,0,0,132,0,0,0,0,313,0,0,0,0,0,136,139,106,0,0,123,30,7,0,89,61,23,13,0,108,25,2,0,0,2,7,15,9,0,29,21,10,4,787,672,373,221,139,
"Tulloch and Inveralmond",261,0,0,0,0,588,0,0,0,0,0,108,0,0,0,0,345,0,0,0,0,0,142,193,80,0,0,103,37,2,0,92,69,21,11,0,116,16,0,2,0,2,11,17,10,0,20,13,7,2,853,682,355,275,106,
"North Muirton",284,0,0,0,0,316,0,0,0,0,0,129,0,0,0,0,224,0,0,0,0,0,80,100,34,0,0,63,16,3,0,50,34,7,5,0,78,8,0,0,0,3,7,8,12,0,21,11,3,0,597,508,207,136,51,
"Muirton",104,0,0,0,0,360,0,0,0,0,0,72,0,0,0,0,231,0,0,0,0,0,78,83,53,0,0,50,9,2,0,43,55,14,8,0,50,12,0,0,0,4,8,11,10,0,35,7,4,1,464,435,210,120,72,
"North Inch",269,0,0,0,0,694,0,0,0,0,0,69,0,0,0,0,261,0,0,0,0,0,44,60,27,0,0,22,12,2,0,32,11,4,0,0,38,8,0,0,0,1,2,6,10,0,37,14,8,3,963,438,100,87,40,
"Central and South Inch",502,0,0,0,0,1502,0,0,0,0,0,75,0,0,0,0,406,0,0,0,0,0,79,81,33,0,0,27,10,0,0,60,16,4,2,0,77,6,0,0,0,1,1,7,3,0,92,16,0,0,2004,704,153,101,38,
"Gannochy and Walnut Grove",386,0,0,0,0,231,0,0,0,0,0,291,0,0,0,0,295,0,0,0,0,0,71,118,46,0,0,73,15,3,0,28,23,10,1,0,38,11,0,0,0,3,6,5,10,0,12,5,5,1,617,663,190,152,60,
"Scone",516,0,0,0,0,368,0,0,0,0,0,434,0,0,0,0,436,0,0,0,0,0,115,221,74,0,0,112,33,5,0,58,40,14,4,0,69,6,0,0,0,2,12,6,7,0,13,9,6,1,884,1012,294,282,92,
"Guildtown, Balbeggie and St Madoes",202,0,0,0,0,230,0,0,0,0,0,208,0,0,0,0,420,0,0,0,0,0,118,156,45,0,0,89,19,1,0,23,21,3,0,0,29,2,3,0,0,0,3,5,8,0,12,9,7,4,436,692,246,197,60,
"Errol and Inchture",232,0,0,0,0,262,0,0,0,0,0,201,0,0,0,0,375,0,0,0,0,0,165,260,76,0,0,60,12,1,0,36,29,10,2,0,33,11,0,0,0,1,1,4,19,0,7,9,0,1,495,654,275,287,92,
"Invergowrie, Longforgan and Abernyte",294,0,0,0,0,231,0,0,0,0,0,235,0,0,0,0,336,0,0,0,0,0,91,152,44,0,0,95,15,3,0,38,20,0,0,0,47,2,1,0,0,2,1,10,12,0,11,13,3,0,525,669,219,185,58,
"Coupar Angus and Meigle",359,0,0,0,0,403,0,0,0,0,0,298,0,0,0,0,517,0,0,0,0,0,122,172,68,0,0,110,23,4,0,47,38,11,6,0,83,15,2,0,0,2,7,8,15,0,16,19,8,4,762,964,311,221,95,
"Alyth",263,0,0,0,0,256,0,0,0,0,0,210,0,0,0,0,315,0,0,0,0,0,58,97,29,0,0,73,15,0,0,24,39,8,6,0,42,4,0,0,0,0,6,7,6,0,8,9,7,2,518,597,192,134,38,
"Blair Atholl, Strathardle and Glenshee",280,0,0,0,0,281,0,0,0,0,0,277,0,0,0,0,432,0,0,0,0,0,80,115,46,0,0,71,20,1,0,15,10,1,2,0,40,7,3,1,0,0,3,11,10,0,9,15,9,3,563,775,186,163,62,
"Blairgowrie South (Ardblair and Rosemout)",193,0,0,0,0,97,0,0,0,0,0,252,0,0,0,0,200,0,0,0,0,0,71,102,46,0,0,60,14,0,0,21,15,9,1,0,34,8,0,0,0,0,2,6,9,0,19,6,4,1,290,526,160,135,63,
"Rattray",215,0,0,0,0,317,0,0,0,0,0,151,0,0,0,0,238,0,0,0,0,0,81,119,44,0,0,59,25,0,0,40,45,7,5,0,55,10,1,0,0,0,5,5,7,0,13,7,4,0,532,497,207,161,55,
"Blairgowrie Central",402,0,0,0,0,354,0,0,0,0,0,227,0,0,0,0,307,0,0,0,0,0,74,90,42,0,0,79,14,5,0,36,20,7,1,0,66,9,0,0,0,1,5,4,7,0,17,6,7,1,756,660,193,126,53,
"Bankfoot, Stanley and Murthly",316,0,0,0,0,328,0,0,0,0,0,276,0,0,0,0,452,0,0,0,0,0,132,189,64,0,0,112,35,1,0,36,28,14,1,0,62,10,0,0,0,0,4,13,10,0,19,15,9,5,644,847,299,260,83,
"Luncarty and Bertha Park",131,0,0,0,0,160,0,0,0,0,0,125,0,0,0,0,228,0,0,0,0,0,84,96,25,0,0,66,20,3,0,29,32,6,2,0,26,3,0,0,0,1,1,3,0,0,6,6,2,3,291,419,185,130,33,
"Amulree and Dunkeld",267,0,0,0,0,245,0,0,0,0,0,219,0,0,0,0,348,0,0,0,0,0,94,142,43,0,0,71,17,3,0,28,28,10,5,0,43,8,3,0,0,1,2,4,12,0,13,12,6,4,512,652,215,184,67,
"Pitlochry",354,0,0,0,0,288,0,0,0,0,0,272,0,0,0,0,368,0,0,0,0,0,91,91,29,0,0,57,13,1,0,31,17,5,0,0,47,7,1,0,0,0,5,8,9,0,18,14,9,3,642,736,191,129,47,
"Rannoch and Aberfeldy",385,0,0,0,0,352,0,0,0,0,0,296,0,0,0,0,461,0,0,0,0,0,113,128,50,0,0,72,24,6,0,40,30,12,2,0,44,7,0,0,0,0,6,8,9,0,15,19,9,4,733,856,247,183,73,
"Lochwinnoch",238,0,0,0,0,263,0,0,0,0,0,144,0,0,0,0,249,0,0,0,0,0,67,116,33,0,0,56,19,3,0,33,27,15,1,0,41,5,0,0,0,1,1,5,2,0,6,1,1,2,501,477,159,156,41,
"Renfrewshire Rural South and Howwood",170,0,0,0,0,159,0,0,0,0,0,128,0,0,0,0,349,0,0,0,0,0,159,229,54,0,0,115,34,10,0,24,18,4,2,0,40,6,1,0,0,2,7,7,17,0,10,15,7,0,328,553,319,282,84,
"Dargavel",45,0,0,0,0,181,0,0,0,0,0,60,0,0,0,0,510,0,0,0,0,0,329,360,96,0,0,51,23,3,0,31,25,9,0,0,19,9,0,0,0,3,3,8,12,0,10,4,5,1,226,632,421,403,112,
"Renfrewshire Rural North and Langbank",178,0,0,0,0,270,0,0,0,0,0,204,0,0,0,0,491,0,0,0,0,0,196,217,73,0,0,129,43,4,0,34,35,13,7,0,52,9,0,1,0,0,8,6,20,0,5,17,9,4,452,790,395,287,111,
"Kilbarchan",294,0,0,0,0,308,0,0,0,0,0,191,0,0,0,0,287,0,0,0,0,0,80,93,33,0,0,80,26,6,0,48,29,2,0,0,70,7,0,0,0,3,4,1,5,0,7,8,4,2,602,602,209,126,46,
"Johnstone South West",334,0,0,0,0,444,0,0,0,0,0,148,0,0,0,0,337,0,0,0,0,0,144,222,101,0,0,151,58,7,0,103,77,30,15,0,149,30,3,0,0,3,23,21,11,0,23,18,7,1,778,763,443,351,135,
"Johnstone North West",330,0,0,0,0,616,0,0,0,0,0,92,0,0,0,0,228,0,0,0,0,0,78,85,49,0,0,64,20,1,0,72,47,19,4,0,108,13,0,0,0,1,7,5,5,0,19,10,5,4,946,521,218,134,62,
"Johnstone North East",370,0,0,0,0,592,0,0,0,0,0,118,0,0,0,0,282,0,0,0,0,0,84,98,25,0,0,74,31,0,0,37,32,12,2,0,70,18,0,0,0,4,8,4,6,0,18,9,3,1,962,528,226,145,36,
"Johnstone South East",339,0,0,0,0,503,0,0,0,0,0,122,0,0,0,0,312,0,0,0,0,0,101,123,37,0,0,87,27,2,0,89,46,11,3,0,81,9,1,0,0,5,7,7,4,0,17,17,7,1,838,623,260,179,46,
"Elderslie and Phoenix",390,0,0,0,0,426,0,0,0,0,0,253,0,0,0,0,500,0,0,0,0,0,169,205,56,0,0,132,50,5,0,41,29,16,4,0,85,16,1,0,0,6,7,10,11,0,32,16,6,3,816,911,366,288,79,
"Paisley Ferguslie",189,0,0,0,0,525,0,0,0,0,0,43,0,0,0,0,205,0,0,0,0,0,98,111,70,0,0,94,34,9,0,101,109,40,5,0,133,23,6,1,0,9,13,11,17,0,24,15,10,2,715,518,348,208,104,
"Paisley North West",345,0,0,0,0,951,0,0,0,0,0,55,0,0,0,0,276,0,0,0,0,0,89,105,44,0,0,49,27,2,0,79,36,16,3,0,77,21,1,1,0,9,9,8,10,0,49,26,7,1,1295,538,230,162,61,
"Paisley West",296,0,0,0,0,760,0,0,0,0,0,139,0,0,0,0,416,0,0,0,0,0,129,171,63,0,0,135,44,6,0,93,77,16,6,0,104,12,7,0,0,8,12,11,12,0,26,12,8,2,1056,786,383,250,81,
"Paisley Foxbar",359,0,0,0,0,680,0,0,0,0,0,130,0,0,0,0,366,0,0,0,0,0,142,138,59,0,0,116,33,2,0,110,68,19,2,0,140,17,0,0,0,7,10,10,12,0,20,14,10,0,1042,770,368,210,72,
"Paisley South West",327,0,0,0,0,333,0,0,0,0,0,284,0,0,0,0,372,0,0,0,0,0,99,170,58,0,0,138,59,0,0,23,17,7,0,0,68,13,0,0,0,2,1,7,14,0,8,6,8,4,660,753,274,251,78,
"Paisley Glenburn West",237,0,0,0,0,292,0,0,0,0,0,113,0,0,0,0,257,0,0,0,0,0,102,124,49,0,0,124,37,6,0,59,61,19,5,0,111,18,5,0,0,8,10,14,8,0,15,24,8,2,525,565,334,207,70,
"Paisley Glenburn East",242,0,0,0,0,361,0,0,0,0,0,128,0,0,0,0,234,0,0,0,0,0,99,119,46,0,0,91,38,3,0,45,42,19,6,0,84,18,2,3,0,4,12,6,4,0,19,12,5,0,604,509,274,189,64,
"Paisley South",245,0,0,0,0,366,0,0,0,0,0,169,0,0,0,0,341,0,0,0,0,0,93,152,41,0,0,101,49,3,0,23,20,4,2,0,45,5,1,0,0,1,1,3,9,0,13,8,5,4,611,593,230,214,61,
"Paisley South East",728,0,0,0,0,1153,0,0,0,0,0,236,0,0,0,0,437,0,0,0,0,0,95,131,45,0,0,91,26,4,0,90,89,24,3,0,117,13,0,0,0,5,10,8,13,0,35,22,7,5,1881,919,318,197,66,
"Paisley Dykebar",205,0,0,0,0,246,0,0,0,0,0,146,0,0,0,0,314,0,0,0,0,0,117,243,51,0,0,104,49,5,0,40,32,7,0,0,58,12,1,1,0,4,1,9,8,0,13,8,5,4,451,577,276,311,66,
"Paisley East",349,0,0,0,0,610,0,0,0,0,0,99,0,0,0,0,327,0,0,0,0,0,134,146,82,0,0,98,37,3,0,64,55,19,9,0,115,24,1,0,0,2,4,11,16,0,30,15,11,3,956,638,330,220,114,
"Paisley Central East",163,0,0,0,0,637,0,0,0,0,0,44,0,0,0,0,246,0,0,0,0,0,74,52,12,0,0,17,9,0,0,38,23,4,3,0,34,3,0,0,0,1,0,4,4,0,75,11,6,0,803,438,128,74,21,
"Paisley Central West",394,0,0,0,0,1166,0,0,0,0,0,67,0,0,0,0,363,0,0,0,0,0,84,81,39,0,0,38,7,3,0,71,27,9,2,0,86,10,3,0,0,4,5,6,13,0,86,23,4,4,1560,677,183,109,56,
"Paisley North East",593,0,0,0,0,1266,0,0,0,0,0,198,0,0,0,0,510,0,0,0,0,0,142,165,55,0,0,90,20,5,0,82,42,14,4,0,116,13,4,0,0,1,7,8,14,0,47,15,6,2,1863,948,309,213,80,
"Paisley Ralston",348,0,0,0,0,175,0,0,0,0,0,315,0,0,0,0,401,0,0,0,0,0,131,218,49,0,0,142,56,6,0,23,24,9,0,0,44,15,1,0,0,0,3,11,11,0,6,5,9,2,523,786,323,302,70,
"Paisley Gallowhill and Hillington",377,0,0,0,0,816,0,0,0,0,0,121,0,0,0,0,283,0,0,0,0,0,135,112,68,0,0,105,24,3,0,116,85,44,17,0,142,25,3,0,0,9,19,8,16,0,32,21,12,1,1193,703,386,200,105,
"Paisley North",311,0,0,0,0,1214,0,0,0,0,0,86,0,0,0,0,425,0,0,0,0,0,181,172,69,0,0,60,19,2,0,141,96,27,4,0,115,16,0,0,0,10,0,9,15,0,62,17,5,0,1525,838,370,236,92,
"Renfrew West",215,0,0,0,0,555,0,0,0,0,0,89,0,0,0,0,310,0,0,0,0,0,110,148,59,0,0,91,26,4,0,65,61,11,7,0,73,16,1,0,0,7,5,6,9,0,21,9,3,0,770,561,292,196,80,
"Renfrew South West",159,0,0,0,0,250,0,0,0,0,0,108,0,0,0,0,187,0,0,0,0,0,79,84,28,0,0,68,16,1,0,43,30,22,6,0,50,13,0,0,0,4,1,5,10,0,11,6,1,1,411,399,197,129,46,
"Renfrew South East",477,0,0,0,0,492,0,0,0,0,0,255,0,0,0,0,327,0,0,0,0,0,127,149,52,0,0,110,35,3,0,64,44,9,8,0,125,14,2,1,0,1,8,10,6,0,16,8,5,3,969,789,315,211,75,
"Renfrew East",435,0,0,0,0,430,0,0,0,0,0,306,0,0,0,0,390,0,0,0,0,0,132,182,74,0,0,161,46,4,0,45,29,12,2,0,84,24,2,0,0,4,4,8,17,0,20,9,12,0,865,849,362,262,99,
"Renfrew North West",274,0,0,0,0,908,0,0,0,0,0,108,0,0,0,0,387,0,0,0,0,0,96,70,31,0,0,53,22,1,0,71,41,16,4,0,82,11,5,1,0,1,2,5,8,0,28,11,1,1,1179,677,217,117,46,
"Renfrew North East",64,0,0,0,0,278,0,0,0,0,0,49,0,0,0,0,281,0,0,0,0,0,145,205,64,0,0,52,23,3,0,41,30,9,0,0,43,21,0,0,0,2,6,5,18,0,15,6,4,4,342,431,260,247,96,
"Erskine East and Inchinnan",276,0,0,0,0,271,0,0,0,0,0,273,0,0,0,0,452,0,0,0,0,0,151,248,86,0,0,180,82,11,0,33,36,6,3,0,62,14,1,1,0,0,5,5,15,0,8,9,7,9,545,824,395,349,125,
"Erskine Central",390,0,0,0,0,364,0,0,0,0,0,241,0,0,0,0,302,0,0,0,0,0,98,173,66,0,0,137,42,10,0,61,46,19,4,0,88,23,2,0,0,0,8,12,11,0,22,5,7,1,754,712,317,255,97,
"Erskine West",384,0,0,0,0,422,0,0,0,0,0,223,0,0,0,0,352,0,0,0,0,0,134,210,81,0,0,170,46,9,0,84,72,17,6,0,116,26,2,1,0,0,7,13,19,0,14,13,9,4,809,786,422,297,122,
"Bishopton",319,0,0,0,0,179,0,0,0,0,0,359,0,0,0,0,371,0,0,0,0,0,114,200,53,0,0,144,61,7,0,27,15,7,0,0,59,12,2,0,0,2,2,4,6,0,11,10,4,0,497,824,296,274,66,
"Linwood South",323,0,0,0,0,624,0,0,0,0,0,119,0,0,0,0,250,0,0,0,0,0,95,117,49,0,0,85,27,4,0,84,68,17,17,0,106,19,2,0,0,0,9,7,11,0,28,14,4,0,946,589,290,176,79,
"Linwood North",349,0,0,0,0,370,0,0,0,0,0,135,0,0,0,0,239,0,0,0,0,0,87,161,88,0,0,134,36,5,0,69,55,22,10,0,119,37,0,1,0,5,13,6,14,0,21,10,7,0,716,588,336,229,118,
"Houston South",186,0,0,0,0,191,0,0,0,0,0,165,0,0,0,0,266,0,0,0,0,0,87,160,55,0,0,82,23,5,0,28,13,3,0,0,26,4,0,0,0,1,0,0,4,0,2,5,7,0,377,489,195,194,64,
"Houston North",159,0,0,0,0,122,0,0,0,0,0,205,0,0,0,0,198,0,0,0,0,0,87,182,66,0,0,95,33,1,0,34,21,7,2,0,33,8,0,0,0,0,0,2,7,0,2,2,4,0,278,472,215,228,76,
"Bridge of Weir",348,0,0,0,0,328,0,0,0,0,0,249,0,0,0,0,348,0,0,0,0,0,130,259,84,0,0,116,42,3,0,54,55,10,0,0,51,13,0,1,0,1,6,5,10,0,19,4,9,5,673,722,326,325,103,
"Tweeddale West",290,0,0,0,0,292,0,0,0,0,0,333,0,0,0,0,594,0,0,0,0,0,163,288,81,0,0,132,27,4,0,38,48,10,3,0,60,10,2,0,0,5,7,3,18,0,23,15,13,2,586,1053,372,335,108,
"Peebles North",543,0,0,0,0,584,0,0,0,0,0,231,0,0,0,0,359,0,0,0,0,0,115,161,62,0,0,77,16,4,0,59,34,12,2,0,61,6,1,0,0,0,1,5,5,0,20,15,2,2,1127,730,253,197,72,
"Peebles South",284,0,0,0,0,193,0,0,0,0,0,299,0,0,0,0,354,0,0,0,0,0,142,231,79,0,0,110,29,0,0,36,46,17,0,0,67,9,1,0,0,4,1,8,5,0,8,8,1,1,477,766,316,288,85,
"Innerleithen",277,0,0,0,0,304,0,0,0,0,0,180,0,0,0,0,276,0,0,0,0,0,97,128,32,0,0,66,22,0,0,38,24,9,1,0,35,4,0,0,0,0,2,4,3,0,11,11,2,1,581,536,204,160,40,
"Tweeddale East",222,0,0,0,0,229,0,0,0,0,0,200,0,0,0,0,323,0,0,0,0,0,90,137,71,0,0,77,20,2,0,20,17,10,1,0,30,5,0,0,0,1,6,3,4,0,6,5,4,3,450,583,200,174,84,
"Gala Water Valley and Earlston Area",276,0,0,0,0,293,0,0,0,0,0,210,0,0,0,0,405,0,0,0,0,0,123,167,65,0,0,88,25,1,0,42,31,5,2,0,45,5,0,1,0,1,3,1,17,0,12,9,14,0,565,713,259,216,78,
"Galashiels North",263,0,0,0,0,634,0,0,0,0,0,132,0,0,0,0,371,0,0,0,0,0,80,128,49,0,0,59,16,1,0,58,31,11,2,0,46,10,1,0,0,4,3,7,4,0,31,16,4,3,897,642,199,168,61,
"Galashiels West",236,0,0,0,0,549,0,0,0,0,0,99,0,0,0,0,258,0,0,0,0,0,74,70,38,0,0,58,25,1,0,37,28,10,4,0,49,12,1,0,0,1,7,3,3,0,29,18,7,4,786,478,197,115,49,
"Galashiels South",336,0,0,0,0,307,0,0,0,0,0,225,0,0,0,0,252,0,0,0,0,0,72,116,30,0,0,51,15,0,0,32,24,10,2,0,34,4,0,0,0,0,3,2,12,0,16,5,1,2,643,559,158,143,45,
"Galashiels Langlee",205,0,0,0,0,373,0,0,0,0,0,74,0,0,0,0,163,0,0,0,0,0,52,71,22,0,0,43,14,0,0,53,28,19,3,0,46,16,0,0,0,4,4,4,2,0,9,7,7,0,578,346,148,113,27,
"Tweedbank and Galashiels Melrose Gait",139,0,0,0,0,209,0,0,0,0,0,118,0,0,0,0,293,0,0,0,0,0,108,160,57,0,0,74,18,1,0,34,41,11,2,0,45,10,2,0,0,0,7,6,7,0,10,7,2,1,354,496,241,204,71,
"Melrose Darnick Gattonside and Newstead",313,0,0,0,0,298,0,0,0,0,0,274,0,0,0,0,264,0,0,0,0,0,74,138,35,0,0,69,24,1,0,30,22,5,2,0,37,2,0,0,0,1,1,6,7,0,9,6,2,1,611,615,178,175,46,
"Lauderdale",175,0,0,0,0,153,0,0,0,0,0,177,0,0,0,0,314,0,0,0,0,0,85,170,61,0,0,52,23,3,0,34,24,8,1,0,28,6,2,0,0,2,2,4,10,0,6,5,7,5,331,560,172,215,75,
"Berwickshire West",255,0,0,0,0,264,0,0,0,0,0,222,0,0,0,0,434,0,0,0,0,0,111,168,67,0,0,96,14,5,0,14,27,2,1,0,34,2,0,0,0,1,4,7,18,0,13,12,6,3,522,722,254,198,94,
"Duns",284,0,0,0,0,303,0,0,0,0,0,181,0,0,0,0,244,0,0,0,0,0,73,115,38,0,0,71,18,2,0,44,37,8,3,0,51,8,0,1,0,2,5,1,6,0,15,7,5,1,587,537,205,147,51,
"Berwickshire East",303,0,0,0,0,279,0,0,0,0,0,286,0,0,0,0,449,0,0,0,0,0,97,116,52,0,0,90,15,2,0,31,28,6,1,0,42,5,1,0,0,3,2,7,19,0,12,20,7,1,587,822,244,150,75,
"Eyemouth",294,0,0,0,0,281,0,0,0,0,0,186,2,0,0,0,285,0,0,0,0,0,89,132,55,0,0,73,18,5,0,52,52,23,7,0,58,12,0,0,0,0,11,5,8,0,14,14,6,1,575,599,246,185,74,
"Chirnside and Area",267,0,0,0,0,285,0,0,0,0,0,297,0,0,0,0,452,0,0,0,0,0,96,170,72,0,0,105,19,3,0,35,32,6,0,0,37,6,1,1,0,1,0,8,7,0,20,7,2,3,552,838,243,207,88,
"Coldstream and Area",279,0,0,0,0,278,0,0,0,0,0,253,2,0,0,0,300,0,0,0,0,0,62,76,23,0,0,61,8,0,0,30,25,9,7,0,28,1,1,0,0,0,2,4,4,0,17,9,0,4,557,625,156,100,39,
"Cheviot East",274,0,0,0,0,206,0,0,0,0,0,293,0,0,0,0,410,0,0,0,0,0,72,98,53,0,0,80,25,0,0,13,22,7,2,0,23,2,0,0,0,1,5,4,8,0,15,7,6,0,480,755,188,138,64,
"Kelso North",420,0,0,0,0,386,0,0,0,0,0,314,0,0,0,0,377,0,0,0,0,0,93,150,38,0,0,89,23,3,0,53,50,15,3,0,67,7,1,0,0,0,2,3,6,0,14,7,2,2,803,825,248,194,50,
"Kelso South",272,0,0,0,0,311,0,0,0,0,0,195,0,0,0,0,228,0,0,0,0,0,58,81,28,0,0,42,19,1,0,33,12,3,1,0,36,7,0,0,0,2,0,0,5,0,11,6,2,0,580,508,127,101,37,
"Cheviot West",170,0,0,0,0,195,0,0,0,0,0,207,0,0,0,0,340,0,0,0,0,0,52,79,40,0,0,71,18,1,0,12,11,4,0,0,25,0,0,0,0,1,4,2,11,0,13,8,8,0,365,596,144,110,45,
"St Boswells Newtown and Area",322,0,0,0,0,289,0,0,0,0,0,217,0,0,0,0,356,0,0,0,0,0,116,123,58,0,0,77,22,7,0,55,40,11,6,0,50,7,1,0,0,3,6,4,2,0,17,5,4,1,611,696,251,168,70,
"Jedburgh",356,0,0,0,0,411,0,0,0,0,0,226,0,0,0,0,349,0,0,0,0,0,104,141,64,0,0,94,17,2,0,52,42,18,8,0,60,9,0,0,0,1,6,5,3,0,11,8,0,0,767,699,263,184,77,
"Denholm Upper Teviotdale and Liddesdale",318,0,0,0,0,238,0,0,0,0,0,312,0,0,0,0,507,0,0,0,0,0,78,142,45,0,0,100,26,2,0,22,21,6,0,0,39,7,0,0,0,1,1,8,14,0,16,17,11,1,556,895,224,195,61,
"Hawick - Burnfoot",173,0,0,0,0,218,0,0,0,0,0,67,0,0,0,0,174,0,0,0,0,0,75,108,48,0,0,50,16,0,0,77,49,24,7,0,50,6,0,0,0,2,7,4,11,0,12,5,0,2,391,382,192,153,68,
"Hawick - South East",449,0,0,0,0,664,0,0,0,0,0,239,0,0,0,0,401,0,0,0,0,0,83,121,27,0,0,82,26,4,0,25,38,16,2,0,44,7,0,0,0,1,3,6,9,0,22,4,2,0,1113,732,217,174,42,
"Hawick - South",317,0,0,0,0,403,0,0,0,0,0,219,0,0,0,0,295,0,0,0,0,0,79,91,31,0,0,59,27,1,0,40,15,5,0,0,37,3,0,0,0,0,1,4,8,0,12,10,5,1,722,603,169,130,43,
