SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013735",24,51,4,10,66,28,1,15,25,0,3,23,0,2,5,35,139,85,
"S01013736",14,35,2,2,35,29,4,14,29,1,15,28,2,6,10,22,105,97,
"S01013737",103,110,13,18,59,36,9,11,23,5,10,10,1,3,10,132,197,92,
"S01013738",28,76,6,4,63,76,3,22,37,0,15,15,2,5,10,41,181,144,
"S01013739",57,86,2,12,83,55,11,25,23,3,14,23,0,12,5,83,220,108,
"S01013740",33,49,4,18,68,37,2,15,23,4,5,17,0,7,5,55,140,86,
"S01013741",30,38,1,6,46,20,0,6,23,2,5,13,0,0,1,39,95,58,
"S01013742",66,70,5,16,55,37,2,19,21,1,12,11,2,2,6,87,163,80,
"S01013743",68,92,8,13,81,65,5,19,27,0,20,30,0,7,5,88,215,136,
"S01013744",37,90,4,16,79,73,0,19,30,1,13,26,0,2,6,55,199,142,
"S01013745",18,55,9,5,43,58,3,15,36,3,10,35,1,4,8,30,123,145,
"S01013746",9,85,9,5,24,45,0,15,23,0,11,31,2,8,16,9,143,124,
"S01013747",16,105,6,9,62,53,2,16,29,0,11,29,1,1,2,27,195,120,
"S01013748",32,74,5,5,65,60,0,11,18,0,10,18,0,3,6,37,164,106,
"S01013749",17,70,3,3,47,44,0,7,19,0,6,23,0,2,3,22,128,94,
"S01013750",24,82,3,10,47,37,0,7,24,0,4,11,0,1,2,34,140,77,
"S01013751",25,81,12,7,87,68,0,9,25,0,5,17,0,1,0,32,179,122,
"S01013752",9,60,7,3,41,50,0,10,44,1,11,56,0,6,12,14,128,172,
"S01013753",89,81,2,13,89,70,1,13,26,2,15,25,0,0,4,106,195,127,
"S01013754",7,80,7,5,54,60,2,15,43,1,22,27,1,6,14,16,176,149,
"S01013755",30,100,9,5,58,55,2,15,29,1,13,22,0,2,4,41,190,121,
"S01013756",32,90,3,0,48,38,0,5,24,0,8,16,0,5,7,33,156,88,
"S01013757",15,38,7,4,32,63,0,15,20,1,6,29,0,2,8,21,89,127,
"S01013758",32,53,2,3,66,36,2,18,29,0,12,19,0,3,11,38,151,95,
"S01013759",0,21,0,2,28,70,1,13,35,0,10,27,0,1,10,3,69,138,
