SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Ross and Cromarty Central",761,0,0,377,0,0,0,158,0,0,0,191,0,0,63,1138,158,250,
"Ross and Cromarty East",674,0,0,393,0,0,0,114,0,0,0,133,0,0,41,1067,114,174,
"Muir of Ord",613,0,0,538,0,0,0,306,0,0,0,145,0,0,24,1151,306,169,
"Conon",769,0,0,521,0,0,0,334,0,0,0,111,0,0,32,1290,334,143,
"Dingwall",892,0,0,622,0,0,0,666,0,0,0,306,0,0,48,1517,666,354,
"Black Isle South",641,0,0,399,0,0,0,145,0,0,0,114,0,0,24,1038,145,138,
"Black Isle Fortrose and Avoch",907,0,0,493,0,0,0,247,0,0,0,167,0,0,37,1401,247,205,
"Black Isle North",891,0,0,435,0,0,0,133,0,0,0,141,0,0,34,1322,133,177,
"Alness",765,0,0,643,0,0,0,1150,0,0,0,186,0,0,48,1408,1150,234,
"Invergordon",693,0,0,465,0,0,0,694,0,0,0,164,0,0,34,1158,694,201,
"Seaboard",916,0,0,461,0,0,0,395,0,0,0,245,0,0,45,1377,395,290,
"Tain",606,0,0,427,0,0,0,499,0,0,0,177,0,0,38,1031,499,212,
"Sutherland South",1576,0,0,584,0,0,0,447,0,0,0,283,0,0,100,2160,447,385,
"Sutherland East",1034,0,0,389,0,0,0,429,0,0,0,174,0,0,68,1419,429,242,
"Caithness South",808,0,0,343,0,0,0,156,0,0,0,107,0,0,47,1151,156,154,
"Wick South",589,0,0,378,0,0,0,588,0,0,0,160,0,0,33,963,588,189,
"Wick North",606,0,0,378,0,0,0,387,0,0,0,84,0,0,28,984,387,112,
"Caithness North East",957,0,0,422,0,0,0,193,0,0,0,116,0,0,34,1379,193,153,
"Caithness North West",1136,0,0,621,0,0,0,282,0,0,0,217,0,0,59,1755,282,276,
"Thurso East",824,0,0,485,0,0,0,691,0,0,0,207,0,0,36,1312,691,241,
"Thurso West",571,0,0,333,0,0,0,309,0,0,0,104,0,0,15,906,309,119,
"Sutherland North and West",917,0,0,269,0,0,0,267,0,0,0,134,0,0,86,1186,267,220,
"Kilmacolm Central",753,0,0,474,0,0,0,68,0,0,0,156,0,0,14,1227,68,170,
"Kilmacolm, Quarriers, Greenock Upper East/Central",463,0,0,341,0,0,0,47,0,0,0,112,0,0,12,804,47,124,
"Inverkip and Wemyss Bay",1152,0,0,1107,0,0,0,39,0,0,0,165,0,0,19,2259,39,187,
"West Braeside and West Gourock",689,0,0,332,0,0,0,8,0,0,0,42,0,0,4,1023,8,47,
"Gourock Upper and West Central",951,0,0,702,0,0,0,115,0,0,0,259,0,0,28,1653,115,284,
"Gourock Central and Upper East",775,0,0,574,0,0,0,335,0,0,0,326,0,0,13,1348,335,339,
"Braeside, Branchton, Ravenscraig",527,0,0,444,0,0,0,374,0,0,0,89,0,0,11,970,374,100,
"Larkfield",428,0,0,337,0,0,0,695,0,0,0,134,0,0,11,765,695,145,
"Bow Farm, Fancy Farm and Mallard Bowl",669,0,0,569,0,0,0,911,0,0,0,203,0,0,15,1238,911,215,
"Gourock East, Greenock West and Lyle Road",1245,0,0,653,0,0,0,78,0,0,0,138,0,0,29,1898,78,169,
"Greenock West and Central",967,0,0,715,0,0,0,652,0,0,0,553,0,0,35,1682,652,585,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",787,0,0,606,0,0,0,230,0,0,0,113,0,0,18,1395,230,130,
"Greenock Upper Central",574,0,0,363,0,0,0,1075,0,0,0,360,0,0,26,937,1075,389,
"Greenock Town Centre and East Central",654,0,0,447,0,0,0,1290,0,0,0,456,0,0,30,1101,1290,486,
"Greenock Upper East",406,0,0,331,0,0,0,585,0,0,0,113,0,0,13,737,585,126,
"Greenock Lower East",314,0,0,483,0,0,0,852,0,0,0,131,0,0,12,797,852,143,
"Port Glasgow Upper, West and Central",863,0,0,735,0,0,0,644,0,0,0,324,0,0,29,1598,644,353,
"Port Glasgow Mid, East and Central",579,0,0,434,0,0,0,718,0,0,0,127,0,0,15,1011,718,142,
"Port Glasgow Upper East",687,0,0,560,0,0,0,681,0,0,0,163,0,0,15,1244,681,178,
"Rural South Midlothian",465,0,0,741,0,0,0,212,0,0,0,185,0,0,21,1206,212,206,
"Penicuik Southeast",687,0,0,523,0,0,0,431,0,0,0,192,0,0,16,1210,431,208,
"Penicuik Southwest",743,0,0,509,0,0,0,231,0,0,0,89,0,0,13,1253,231,102,
"Penicuik East",327,0,0,303,0,0,0,417,0,0,0,75,0,0,11,630,417,86,
"Penicuik North",602,0,0,541,0,0,0,189,0,0,0,60,0,0,11,1143,189,69,
"Pentland",489,0,0,895,0,0,0,149,0,0,0,240,0,0,15,1384,149,249,
"Roslin and Bilston",557,0,0,522,0,0,0,313,0,0,0,105,0,0,27,1078,313,132,
"Straiton",600,0,0,323,0,0,0,211,0,0,0,71,0,0,9,927,211,81,
"Loanhead",658,0,0,526,0,0,0,401,0,0,0,135,0,0,16,1184,401,151,
"Poltonhall",625,0,0,612,0,0,0,587,0,0,0,109,0,0,18,1240,587,127,
"Bonnyrigg North",935,0,0,748,0,0,0,582,0,0,0,215,0,0,35,1683,582,248,
"Hopefield",377,0,0,1108,0,0,0,154,0,0,0,100,0,0,19,1488,154,115,
"Dalhousie",571,0,0,831,0,0,0,99,0,0,0,67,0,0,7,1402,99,74,
"Eskbank and Newbattle",1075,0,0,853,0,0,0,91,0,0,0,143,0,0,18,1927,91,161,
"Danderhall, Shawfair and Midlothian North",628,0,0,1029,0,0,0,427,0,0,0,157,0,0,18,1657,427,175,
"Woodburn",496,0,0,778,0,0,0,681,0,0,0,145,0,0,20,1274,681,166,
"Dalkeith",306,0,0,280,0,0,0,665,0,0,0,193,0,0,21,586,665,214,
"Rural North East Midlothian",518,0,0,715,0,0,0,341,0,0,0,151,0,0,19,1230,341,171,
"Pathhead and Rural South East Midlothian",383,0,0,671,0,0,0,221,0,0,0,120,0,0,18,1050,221,146,
"Easthouses",340,0,0,371,0,0,0,459,0,0,0,78,0,0,16,711,459,94,
"Mayfield",468,0,0,513,0,0,0,869,0,0,0,111,0,0,22,985,869,131,
"Newtongrange",573,0,0,534,0,0,0,620,0,0,0,164,0,0,9,1110,620,171,
"North Gorebridge",259,0,0,532,0,0,0,594,0,0,0,137,0,0,16,791,594,153,
"Gorebridge and Birkenside",388,0,0,482,0,0,0,503,0,0,0,102,0,0,11,870,503,116,
"Aberlour, South Speyside and the Cabrach",1013,0,0,468,0,0,0,321,0,0,0,243,0,0,89,1481,321,332,
"Rothes and North Speyside",589,0,0,327,0,0,0,234,0,0,0,133,0,0,54,916,234,191,
"Rural Keith and Strathisla",671,0,0,359,0,0,0,78,0,0,0,131,0,0,40,1033,78,174,
"Keith and Fife Keith",915,0,0,512,0,0,0,590,0,0,0,228,0,0,46,1427,590,273,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",1064,0,0,477,0,0,0,336,0,0,0,116,0,0,45,1541,336,164,
"Buckie Central East",647,0,0,397,0,0,0,564,0,0,0,98,0,0,28,1044,564,126,
"Buckie West, Buckpool and Mains of Buckie",922,0,0,783,0,0,0,533,0,0,0,192,0,0,40,1705,533,232,
"Mosstodloch, Portgordon, Urquhart and seaward",994,0,0,555,0,0,0,265,0,0,0,153,0,0,32,1553,265,185,
"Fochabers, Aultmore, Clochan and Ordiquish",513,0,0,284,0,0,0,224,0,0,0,114,0,0,25,797,224,140,
"Heldon West, Miltonduff and Fogwatt to Inchberry",528,0,0,353,0,0,0,17,0,0,0,126,0,0,21,881,17,147,
"Lhanbryde, Troves, Pitgavney and seaward",404,0,0,314,0,0,0,297,0,0,0,107,0,0,16,718,297,123,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",486,0,0,378,0,0,0,840,0,0,0,361,0,0,33,861,840,394,
"New Elgin East and The Wards",613,0,0,805,0,0,0,663,0,0,0,268,0,0,12,1418,663,283,
"New Elgin West",731,0,0,752,0,0,0,337,0,0,0,185,0,0,20,1479,337,205,
"Elgin Central West",783,0,0,395,0,0,0,90,0,0,0,218,0,0,28,1178,90,246,
"Elgin Bishopmill East, Ladyhill and High Street",555,0,0,483,0,0,0,457,0,0,0,306,0,0,18,1038,457,324,
"Elgin Bishopmill West and Newfield",498,0,0,502,0,0,0,312,0,0,0,378,0,0,24,1000,312,402,
"Lossiemouth East and Seatown",686,0,0,460,0,0,0,229,0,0,0,226,0,0,32,1149,229,253,
"Lossiemouth West",425,0,0,406,0,0,0,391,0,0,0,246,0,0,17,828,391,261,
"Burghead, Roseisle and Laich",1075,0,0,610,0,0,0,194,0,0,0,185,0,0,41,1685,194,230,
"Kinloss, Alves and Pluscarden Valley",335,0,0,340,0,0,0,84,0,0,0,277,0,0,22,675,84,299,
"Forres Central East",1027,0,0,416,0,0,0,424,0,0,0,256,0,0,31,1443,424,287,
"Forres South West, Pilmuir and Mannachie",945,0,0,815,0,0,0,724,0,0,0,288,0,0,34,1760,724,321,
"Findhorn, Rafford, Dallas, Dyke to Dava",894,0,0,380,0,0,0,82,0,0,0,303,0,0,53,1277,82,356,
"Barra and South Uist",843,0,0,262,0,0,0,229,0,0,0,117,0,0,39,1105,229,152,
"Benbecula and North Uist",762,0,0,277,0,0,0,217,0,0,0,96,0,0,35,1041,217,131,
"South Lewis",1304,0,0,385,0,0,0,290,0,0,0,99,0,0,76,1689,290,175,
"Northwest Lewis",1146,0,0,366,0,0,0,203,0,0,0,78,0,0,61,1512,203,135,
"Broadbay",750,0,0,466,0,0,0,213,0,0,0,72,0,0,35,1216,213,107,
"Stornoway West",580,0,0,357,0,0,0,498,0,0,0,130,0,0,35,937,498,166,
"Stornoway East",582,0,0,313,0,0,0,341,0,0,0,96,0,0,44,895,341,140,
"Point to Sandwick",679,0,0,386,0,0,0,184,0,0,0,35,0,0,36,1065,184,70,
"Arran",1229,0,0,433,0,0,0,326,0,0,0,211,0,0,64,1662,326,275,
"Springside and Rural",440,0,0,292,0,0,0,265,0,0,0,108,0,0,20,732,265,125,
"Irvine Tarryholme",610,0,0,481,0,0,0,229,0,0,0,68,0,0,12,1091,229,83,
"Dreghorn",594,0,0,469,0,0,0,368,0,0,0,143,0,0,18,1061,368,161,
"Irvine Broomlands",321,0,0,293,0,0,0,381,0,0,0,155,0,0,19,614,381,177,
"Irvine Bourtreehill",226,0,0,210,0,0,0,446,0,0,0,122,0,0,15,436,446,137,
"Irvine Girdle Toll and Staneca",556,0,0,652,0,0,0,464,0,0,0,194,0,0,16,1208,464,208,
"Irvine Perceton and Lawthorn",816,0,0,962,0,0,0,456,0,0,0,101,0,0,13,1781,456,114,
"Irvine Castlepark North",444,0,0,331,0,0,0,527,0,0,0,241,0,0,14,775,527,255,
"Irvine Castlepark South",326,0,0,304,0,0,0,688,0,0,0,224,0,0,18,630,688,246,
"Irvine East",452,0,0,357,0,0,0,492,0,0,0,169,0,0,28,809,492,197,
"Irvine Central",583,0,0,340,0,0,0,488,0,0,0,264,0,0,26,919,488,286,
"Irvine Fullarton",302,0,0,190,0,0,0,679,0,0,0,167,0,0,21,495,679,188,
"Stevenston Ardeer",336,0,0,425,0,0,0,398,0,0,0,99,0,0,14,761,398,115,
"Saltcoats Central",503,0,0,352,0,0,0,720,0,0,0,374,0,0,27,851,720,401,
"Ardrossan Central",422,0,0,273,0,0,0,761,0,0,0,212,0,0,26,691,761,235,
"Ardrossan North West",770,0,0,433,0,0,0,232,0,0,0,142,0,0,19,1202,232,162,
"Ardrossan North East",547,0,0,472,0,0,0,765,0,0,0,135,0,0,24,1023,765,160,
"Saltcoats North West",746,0,0,480,0,0,0,129,0,0,0,99,0,0,16,1226,129,114,
"Saltcoats North East",538,0,0,645,0,0,0,684,0,0,0,197,0,0,17,1185,684,214,
"Stevenston North West",523,0,0,350,0,0,0,426,0,0,0,157,0,0,15,873,426,172,
"Stevenston Hayocks",482,0,0,389,0,0,0,716,0,0,0,183,0,0,15,870,716,198,
"Kilwinning Whitehirst Park and Woodside",928,0,0,986,0,0,0,79,0,0,0,150,0,0,15,1914,79,167,
"Kilwinning Pennyburn",334,0,0,272,0,0,0,562,0,0,0,133,0,0,10,606,562,143,
"Kilwinning West and Blacklands",567,0,0,427,0,0,0,939,0,0,0,157,0,0,29,994,939,184,
"Kilwinning Central and North",555,0,0,449,0,0,0,631,0,0,0,184,0,0,32,1004,631,216,
"Dalry East and Rural",524,0,0,333,0,0,0,439,0,0,0,125,0,0,23,857,439,148,
"Dalry West",467,0,0,372,0,0,0,338,0,0,0,129,0,0,19,839,338,150,
"Fairlie and Rural",607,0,0,392,0,0,0,187,0,0,0,91,0,0,31,999,187,122,
"West Kilbride and Seamill",1171,0,0,694,0,0,0,304,0,0,0,168,0,0,29,1867,304,198,
"Largs South",1122,0,0,451,0,0,0,138,0,0,0,204,0,0,39,1575,138,243,
"Largs Central and Cumbrae",1055,0,0,501,0,0,0,499,0,0,0,481,0,0,36,1556,499,517,
"Largs North",1218,0,0,529,0,0,0,63,0,0,0,137,0,0,16,1747,63,153,
"Skelmorlie and Rural",712,0,0,380,0,0,0,84,0,0,0,107,0,0,18,1099,84,129,
"Kilbirnie North",482,0,0,387,0,0,0,483,0,0,0,118,0,0,24,866,483,142,
"Kilbirnie South and Longbar",609,0,0,393,0,0,0,842,0,0,0,168,0,0,16,1002,842,184,
"Beith West",518,0,0,396,0,0,0,358,0,0,0,96,0,0,16,911,358,111,
"Beith East and Rural",727,0,0,596,0,0,0,357,0,0,0,132,0,0,24,1322,357,157,
"Overtown",454,0,0,411,0,0,0,505,0,0,0,84,0,0,21,865,505,105,
"Netherton and Kirkhill",518,0,0,492,0,0,0,355,0,0,0,111,0,0,28,1010,355,138,
"Muirhouse",303,0,0,525,0,0,0,752,0,0,0,80,0,0,18,829,752,98,
"Muirhouse and Knowetop",571,0,0,577,0,0,0,199,0,0,0,122,0,0,11,1148,199,133,
"Flemington",334,0,0,494,0,0,0,893,0,0,0,87,0,0,13,828,893,103,
"Craigneuk Wishaw",306,0,0,467,0,0,0,1200,0,0,0,204,0,0,35,773,1200,239,
"Pather",377,0,0,451,0,0,0,692,0,0,0,191,0,0,26,827,692,218,
"Wishaw South",577,0,0,558,0,0,0,974,0,0,0,231,0,0,29,1138,974,260,
"Wishaw North",1046,0,0,853,0,0,0,718,0,0,0,300,0,0,45,1901,718,345,
"Coltness",578,0,0,439,0,0,0,519,0,0,0,107,0,0,21,1017,519,128,
"Wishaw East",506,0,0,416,0,0,0,255,0,0,0,89,0,0,15,923,255,106,
"Newmains",749,0,0,643,0,0,0,871,0,0,0,230,0,0,38,1392,871,268,
"Allanton - Newmains Rural",324,0,0,443,0,0,0,185,0,0,0,42,0,0,15,767,185,60,
"Shotts",598,0,0,539,0,0,0,683,0,0,0,166,0,0,33,1137,683,196,
"Stane",354,0,0,419,0,0,0,513,0,0,0,115,0,0,27,769,513,139,
"Harthill and Salsburgh",487,0,0,365,0,0,0,639,0,0,0,130,0,0,23,852,639,149,
"Salsburgh",319,0,0,595,0,0,0,271,0,0,0,61,0,0,17,911,271,70,
"Cleland",435,0,0,428,0,0,0,359,0,0,0,96,0,0,15,863,359,111,
"Dalziel and Hartwood",248,0,0,840,0,0,0,99,0,0,0,55,0,0,7,1089,99,60,
"Newarthill",483,0,0,372,0,0,0,396,0,0,0,111,0,0,15,855,396,127,
"Carfin North",405,0,0,644,0,0,0,475,0,0,0,92,0,0,22,1049,475,114,
"Clydesdale and New Stevenston",377,0,0,608,0,0,0,419,0,0,0,136,0,0,10,981,419,146,
"Carfin and Cleekhimin",469,0,0,802,0,0,0,721,0,0,0,197,0,0,15,1271,721,212,
"Motherwell South",331,0,0,285,0,0,0,1141,0,0,0,258,0,0,37,616,1141,295,
"Ladywell",1007,0,0,807,0,0,0,94,0,0,0,150,0,0,23,1814,94,175,
"Motherwell West",486,0,0,511,0,0,0,577,0,0,0,181,0,0,25,997,577,206,
"Motherwell North",231,0,0,352,0,0,0,541,0,0,0,71,0,0,11,583,541,80,
"Forgewood",463,0,0,462,0,0,0,993,0,0,0,266,0,0,37,926,993,299,
"Holytown",761,0,0,792,0,0,0,583,0,0,0,225,0,0,29,1557,583,250,
"Milnwood",614,0,0,619,0,0,0,749,0,0,0,187,0,0,21,1233,749,211,
"Orbiston",602,0,0,563,0,0,0,926,0,0,0,201,0,0,24,1165,926,225,
"Bellshill South",514,0,0,507,0,0,0,906,0,0,0,259,0,0,33,1017,906,292,
"Hattonrigg",421,0,0,340,0,0,0,184,0,0,0,84,0,0,10,761,184,94,
"Bellshill Central",420,0,0,415,0,0,0,658,0,0,0,194,0,0,36,835,658,230,
"Fallside",669,0,0,725,0,0,0,570,0,0,0,185,0,0,25,1394,570,213,
"Viewpark",499,0,0,638,0,0,0,949,0,0,0,121,0,0,25,1137,949,146,
"Birkenshaw",838,0,0,726,0,0,0,129,0,0,0,107,0,0,6,1565,129,113,
"Kirkwood and Bargeddie",683,0,0,812,0,0,0,822,0,0,0,143,0,0,33,1497,822,173,
"Kirkshaws",606,0,0,682,0,0,0,979,0,0,0,148,0,0,24,1288,979,172,
"Dundyvan",665,0,0,730,0,0,0,1013,0,0,0,271,0,0,39,1395,1013,310,
"Drumpellier and Langloan",392,0,0,294,0,0,0,222,0,0,0,95,0,0,14,690,222,109,
"Coatbridge West",544,0,0,553,0,0,0,501,0,0,0,232,0,0,28,1097,501,260,
"Townhead",559,0,0,524,0,0,0,733,0,0,0,149,0,0,19,1083,733,168,
"Sunnyside and Cliftonville",559,0,0,497,0,0,0,601,0,0,0,327,0,0,32,1056,601,359,
"Cliftonville",366,0,0,338,0,0,0,212,0,0,0,141,0,0,11,704,212,154,
"Shawhead and Whifflet",398,0,0,593,0,0,0,426,0,0,0,109,0,0,22,991,426,131,
"Greenend and Carnbroe",605,0,0,1078,0,0,0,533,0,0,0,169,0,0,14,1686,533,186,
"Calderbank and Brownsburn",548,0,0,421,0,0,0,387,0,0,0,98,0,0,17,971,387,112,
"Chapelhall West",375,0,0,399,0,0,0,229,0,0,0,66,0,0,14,772,229,80,
"Chapelhall East",416,0,0,717,0,0,0,215,0,0,0,144,0,0,14,1137,215,158,
"Craigneuk Airdrie",549,0,0,630,0,0,0,172,0,0,0,94,0,0,9,1182,172,103,
"Petersburn",318,0,0,360,0,0,0,800,0,0,0,150,0,0,19,678,800,169,
"Gartlea",407,0,0,268,0,0,0,467,0,0,0,150,0,0,8,675,467,158,
"Cairnhill",906,0,0,676,0,0,0,261,0,0,0,164,0,0,17,1582,261,181,
"Coatdyke and Whinhall",748,0,0,833,0,0,0,588,0,0,0,275,0,0,40,1581,588,315,
"Thrashbush",737,0,0,581,0,0,0,871,0,0,0,233,0,0,42,1318,871,272,
"Airdrie North",424,0,0,472,0,0,0,1058,0,0,0,230,0,0,33,895,1058,265,
"Drumgelloch",617,0,0,613,0,0,0,469,0,0,0,203,0,0,27,1230,469,230,
"Caldercruix and Plains",697,0,0,740,0,0,0,735,0,0,0,239,0,0,34,1437,735,273,
"Glenmavis and Greengairs",838,0,0,1251,0,0,0,298,0,0,0,140,0,0,26,2089,298,166,
"Gartcosh",374,0,0,1389,0,0,0,138,0,0,0,72,0,0,6,1763,138,78,
"Marnoch and Glenboig",415,0,0,703,0,0,0,250,0,0,0,57,0,0,19,1118,250,76,
"Cardowan and Millerston",751,0,0,934,0,0,0,195,0,0,0,127,0,0,19,1685,195,146,
"Stepps",541,0,0,632,0,0,0,145,0,0,0,74,0,0,13,1173,145,87,
"Chryston and Muirhead",709,0,0,676,0,0,0,348,0,0,0,86,0,0,25,1385,348,111,
"Moodiesburn West",498,0,0,491,0,0,0,560,0,0,0,99,0,0,15,989,560,113,
"Moodiesburn East",485,0,0,592,0,0,0,134,0,0,0,71,0,0,3,1077,134,77,
"Westfield",559,0,0,568,0,0,0,256,0,0,0,68,0,0,17,1127,256,87,
"Broadwood",396,0,0,684,0,0,0,136,0,0,0,58,0,0,3,1080,136,64,
"Condorrat",961,0,0,627,0,0,0,302,0,0,0,150,0,0,17,1583,302,168,
"Greenfaulds",617,0,0,514,0,0,0,267,0,0,0,276,0,0,18,1132,267,294,
"Seafar",525,0,0,432,0,0,0,492,0,0,0,192,0,0,14,957,492,210,
"Cumbernauld Central",506,0,0,474,0,0,0,805,0,0,0,338,0,0,21,980,805,361,
"Kildrum",625,0,0,590,0,0,0,451,0,0,0,291,0,0,20,1215,451,311,
"Abronhill South",605,0,0,516,0,0,0,374,0,0,0,276,0,0,19,1122,374,290,
"Abronhill North",657,0,0,632,0,0,0,288,0,0,0,246,0,0,10,1290,288,256,
"Village and Castlecary",469,0,0,529,0,0,0,510,0,0,0,172,0,0,21,1000,510,195,
"Carrickstone",636,0,0,905,0,0,0,118,0,0,0,53,0,0,11,1541,118,64,
"Balloch West",612,0,0,567,0,0,0,72,0,0,0,119,0,0,10,1179,72,129,
"Balloch East",499,0,0,361,0,0,0,227,0,0,0,89,0,0,7,856,227,96,
"Klisyth East",585,0,0,647,0,0,0,507,0,0,0,211,0,0,25,1236,507,236,
"Croy, Dullatar and Banton",436,0,0,848,0,0,0,262,0,0,0,89,0,0,18,1284,262,107,
"Kilsyth Bogside",493,0,0,355,0,0,0,524,0,0,0,158,0,0,16,848,524,174,
"Balmalloch",566,0,0,451,0,0,0,485,0,0,0,152,0,0,16,1017,485,168,
"Stromness, Sandwick and Stenness",702,0,0,316,0,0,0,291,0,0,0,144,0,0,37,1018,291,181,
"West Mainland",1040,0,0,465,0,0,0,205,0,0,0,125,0,0,85,1506,205,210,
"East Mainland",873,0,0,567,0,0,0,231,0,0,0,121,0,0,56,1440,231,181,
"West Kirkwall",670,0,0,483,0,0,0,512,0,0,0,292,0,0,57,1153,512,352,
"East Kirkwall",441,0,0,306,0,0,0,324,0,0,0,156,0,0,41,747,324,197,
"Isles",1230,0,0,346,0,0,0,232,0,0,0,180,0,0,93,1575,232,273,
"Powmill, Cleish and Scotlandwell",841,0,0,732,0,0,0,87,0,0,0,105,0,0,25,1573,87,130,
"Kinross",1075,0,0,709,0,0,0,285,0,0,0,208,0,0,24,1784,285,236,
"Milnathort and Crook of Devon",856,0,0,586,0,0,0,160,0,0,0,122,0,0,36,1446,160,160,
"Muthill, Greenloaning and Gleneagles",645,0,0,543,0,0,0,158,0,0,0,189,0,0,39,1188,158,228,
"Auchterarder",1036,0,0,839,0,0,0,382,0,0,0,304,0,0,42,1874,382,346,
"Comrie, Gilmerton and St Fillans",843,0,0,325,0,0,0,183,0,0,0,269,0,0,82,1168,183,351,
"Crieff North",766,0,0,375,0,0,0,105,0,0,0,133,0,0,21,1145,105,154,
"Crieff South",730,0,0,498,0,0,0,484,0,0,0,311,0,0,27,1228,484,338,
"Almondbank and Pitcairngreen",793,0,0,553,0,0,0,143,0,0,0,270,0,0,49,1348,143,319,
"Glenfarg, Dunning and Rhynd",745,0,0,482,0,0,0,114,0,0,0,237,0,0,66,1224,114,305,
"Bridge of Earn and Abernethy",1016,0,0,735,0,0,0,321,0,0,0,187,0,0,38,1751,321,225,
"Upper Craigie and Friarton",583,0,0,500,0,0,0,404,0,0,0,173,0,0,23,1083,404,196,
"Viewlands and Craigie",1151,0,0,911,0,0,0,234,0,0,0,463,0,0,38,2062,234,501,
"Burghmuir, Oakbank and Cherrybank",1154,0,0,806,0,0,0,76,0,0,0,144,0,0,33,1960,76,177,
"Western Edge",943,0,0,940,0,0,0,397,0,0,0,180,0,0,23,1883,397,203,
"Letham",539,0,0,558,0,0,0,871,0,0,0,202,0,0,19,1097,871,223,
"Tulloch and Inveralmond",463,0,0,573,0,0,0,978,0,0,0,226,0,0,31,1036,978,257,
"North Muirton",405,0,0,420,0,0,0,527,0,0,0,132,0,0,14,825,527,149,
"Muirton",259,0,0,373,0,0,0,396,0,0,0,255,0,0,20,632,396,273,
"North Inch",358,0,0,277,0,0,0,407,0,0,0,539,0,0,47,636,407,586,
"Central and South Inch",535,0,0,358,0,0,0,851,0,0,0,1215,0,0,38,896,851,1253,
"Gannochy and Walnut Grove",723,0,0,341,0,0,0,286,0,0,0,316,0,0,16,1064,286,332,
"Scone",1219,0,0,690,0,0,0,401,0,0,0,219,0,0,32,1911,401,254,
"Guildtown, Balbeggie and St Madoes",723,0,0,454,0,0,0,120,0,0,0,280,0,0,49,1177,120,332,
"Errol and Inchture",652,0,0,792,0,0,0,150,0,0,0,186,0,0,29,1441,150,215,
"Invergowrie, Longforgan and Abernyte",764,0,0,536,0,0,0,129,0,0,0,210,0,0,18,1300,129,228,
"Coupar Angus and Meigle",1005,0,0,581,0,0,0,370,0,0,0,323,0,0,77,1587,370,400,
"Alyth",654,0,0,313,0,0,0,291,0,0,0,199,0,0,26,969,291,225,
"Blair Atholl, Strathardle and Glenshee",811,0,0,324,0,0,0,91,0,0,0,412,0,0,113,1129,91,528,
"Blairgowrie South (Ardblair and Rosemout)",662,0,0,328,0,0,0,103,0,0,0,57,0,0,19,990,103,77,
"Rattray",421,0,0,365,0,0,0,522,0,0,0,125,0,0,15,786,522,140,
"Blairgowrie Central",812,0,0,479,0,0,0,221,0,0,0,245,0,0,28,1291,221,275,
"Bankfoot, Stanley and Murthly",875,0,0,645,0,0,0,252,0,0,0,318,0,0,41,1520,252,357,
"Luncarty and Bertha Park",408,0,0,386,0,0,0,174,0,0,0,77,0,0,14,794,174,90,
"Amulree and Dunkeld",645,0,0,432,0,0,0,240,0,0,0,236,0,0,77,1077,240,313,
"Pitlochry",793,0,0,359,0,0,0,302,0,0,0,243,0,0,45,1152,302,291,
"Rannoch and Aberfeldy",964,0,0,443,0,0,0,292,0,0,0,296,0,0,98,1407,292,394,
"Lochwinnoch",592,0,0,413,0,0,0,217,0,0,0,103,0,0,11,1005,217,112,
"Renfrewshire Rural South and Howwood",596,0,0,821,0,0,0,73,0,0,0,64,0,0,12,1414,73,78,
"Dargavel",224,0,0,1468,0,0,0,50,0,0,0,42,0,0,7,1696,50,48,
"Renfrewshire Rural North and Langbank",759,0,0,934,0,0,0,139,0,0,0,177,0,0,26,1693,139,203,
"Kilbarchan",787,0,0,467,0,0,0,181,0,0,0,128,0,0,19,1254,181,147,
"Johnstone South West",733,0,0,847,0,0,0,710,0,0,0,153,0,0,27,1580,710,180,
"Johnstone North West",406,0,0,389,0,0,0,789,0,0,0,275,0,0,24,795,789,299,
"Johnstone North East",563,0,0,489,0,0,0,605,0,0,0,214,0,0,26,1049,605,236,
"Johnstone South East",590,0,0,515,0,0,0,637,0,0,0,196,0,0,15,1105,637,213,
"Elderslie and Phoenix",960,0,0,1023,0,0,0,299,0,0,0,157,0,0,17,1983,299,174,
"Paisley Ferguslie",270,0,0,395,0,0,0,1062,0,0,0,148,0,0,18,665,1062,166,
"Paisley North West",398,0,0,450,0,0,0,842,0,0,0,575,0,0,25,847,842,600,
"Paisley West",729,0,0,839,0,0,0,686,0,0,0,292,0,0,17,1568,686,309,
