SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Forfar West",864,0,0,608,0,0,0,632,0,0,0,173,0,0,21,1472,632,194,
"Kirriemuir Landward",518,0,0,306,0,0,0,135,0,0,0,258,0,0,38,821,135,293,
"Kirriemuir",1196,0,0,715,0,0,0,611,0,0,0,341,0,0,46,1911,611,387,
"Angus Glens",706,0,0,364,0,0,0,98,0,0,0,300,0,0,118,1074,98,418,
"Mull, Iona, Coll and Tiree",959,0,0,416,0,0,0,270,0,0,0,237,0,0,82,1375,270,319,
"Oban South",853,0,0,679,0,0,0,842,0,0,0,318,0,0,35,1532,842,354,
"Oban North",512,0,0,349,0,0,0,239,0,0,0,238,0,0,24,861,239,262,
"Benderloch Trail",573,0,0,260,0,0,0,139,0,0,0,121,0,0,31,836,139,156,
"Glen Lonan",637,0,0,345,0,0,0,356,0,0,0,155,0,0,35,979,356,191,
"Loch Awe",638,0,0,225,0,0,0,80,0,0,0,152,0,0,54,862,80,206,
"Mid Argyll",728,0,0,336,0,0,0,206,0,0,0,179,0,0,35,1064,206,214,
"Greater Lochgilphead",676,0,0,454,0,0,0,605,0,0,0,141,0,0,20,1130,605,159,
"Knapdale",640,0,0,269,0,0,0,192,0,0,0,147,0,0,69,909,192,215,
"Whisky Isles",771,0,0,259,0,0,0,463,0,0,0,173,0,0,88,1028,463,261,
"Kintyre Trail",824,0,0,277,0,0,0,180,0,0,0,144,0,0,34,1101,180,179,
"Campbeltown",834,0,0,452,0,0,0,792,0,0,0,192,0,0,49,1286,792,245,
"Bute",772,0,0,218,0,0,0,104,0,0,0,229,0,0,22,990,104,254,
"Rothesay Town",620,0,0,302,0,0,0,779,0,0,0,237,0,0,29,922,779,270,
"Cowal South",1556,0,0,489,0,0,0,257,0,0,0,280,0,0,55,2045,257,336,
"Hunter's Quay",1157,0,0,532,0,0,0,524,0,0,0,267,0,0,29,1689,524,296,
"Dunoon",856,0,0,517,0,0,0,499,0,0,0,355,0,0,24,1372,499,379,
"Garelochhead",849,0,0,605,0,0,0,310,0,0,0,131,0,0,26,1456,310,157,
"Helensburgh West and Rhu",988,0,0,675,0,0,0,140,0,0,0,206,0,0,13,1661,140,219,
"Helensburgh North",827,0,0,481,0,0,0,169,0,0,0,183,0,0,19,1311,169,198,
"Helensburgh Centre",734,0,0,416,0,0,0,230,0,0,0,445,0,0,27,1150,230,472,
"Helensburgh East",664,0,0,566,0,0,0,427,0,0,0,204,0,0,25,1234,427,229,
"Lomond Shore",812,0,0,592,0,0,0,165,0,0,0,120,0,0,28,1403,165,152,
"Balerno",1213,0,0,880,0,0,0,123,0,0,0,177,0,0,27,2093,123,204,
"Currie West",696,0,0,753,0,0,0,169,0,0,0,106,0,0,18,1449,169,124,
"Currie East",716,0,0,553,0,0,0,105,0,0,0,58,0,0,10,1268,105,72,
"Baberton and Juniper Green",951,0,0,624,0,0,0,69,0,0,0,101,0,0,11,1575,69,112,
"Bonaly and The Pentlands",955,0,0,765,0,0,0,39,0,0,0,112,0,0,14,1717,39,124,
"Colinton and Kingsknowe",730,0,0,463,0,0,0,167,0,0,0,247,0,0,17,1193,167,265,
"Clovenstone and Wester Hailes South",87,0,0,235,0,0,0,912,0,0,0,196,0,0,19,318,912,215,
"The Calders",326,0,0,335,0,0,0,1111,0,0,0,301,0,0,31,661,1111,332,
"Murrayburn and Wester Hailes North",195,0,0,164,0,0,0,1275,0,0,0,146,0,0,29,359,1275,175,
"Parkhead and Sighthill",497,0,0,497,0,0,0,50,0,0,0,308,0,0,12,991,50,318,
"Broomhouse and Bankhead",301,0,0,481,0,0,0,601,0,0,0,235,0,0,24,780,601,259,
"Stenhouse and Saughton Mains",591,0,0,696,0,0,0,922,0,0,0,859,0,0,38,1283,922,904,
"Longstone",574,0,0,609,0,0,0,375,0,0,0,280,0,0,16,1183,375,296,
"Slateford and Chesser",740,0,0,785,0,0,0,441,0,0,0,755,0,0,34,1521,441,792,
"Gorgie West",401,0,0,735,0,0,0,611,0,0,0,1375,0,0,30,1137,611,1405,
"Gorgie East",264,0,0,458,0,0,0,311,0,0,0,1131,0,0,21,721,311,1155,
"Shandon",825,0,0,908,0,0,0,58,0,0,0,821,0,0,33,1730,58,853,
"Craiglockhart",1153,0,0,716,0,0,0,14,0,0,0,158,0,0,17,1871,14,172,
"Morningside West and Craighouse",900,0,0,615,0,0,0,54,0,0,0,596,0,0,22,1515,54,618,
"Greenbank and The Braids",1052,0,0,615,0,0,0,11,0,0,0,111,0,0,17,1667,11,128,
"Colinton Mains and Firrhill",513,0,0,525,0,0,0,505,0,0,0,372,0,0,26,1042,505,399,
"Oxgangs",375,0,0,365,0,0,0,420,0,0,0,177,0,0,22,741,420,199,
"Comiston and Swanston",1232,0,0,688,0,0,0,21,0,0,0,249,0,0,19,1920,21,271,
"Fairmilehead",1094,0,0,869,0,0,0,36,0,0,0,64,0,0,16,1963,36,78,
"Gilmerton South and the Murrays",456,0,0,971,0,0,0,248,0,0,0,154,0,0,11,1427,248,165,
"Burdiehouse South and Broomhills",235,0,0,862,0,0,0,179,0,0,0,106,0,0,10,1097,179,116,
"Mortonhall and Anwickhill",657,0,0,397,0,0,0,42,0,0,0,121,0,0,8,1055,42,129,
"Gracemount, Southhouse and Burdiehouse",472,0,0,634,0,0,0,1087,0,0,0,287,0,0,57,1106,1087,344,
"Hyvots and Gilmerton",380,0,0,543,0,0,0,667,0,0,0,169,0,0,12,923,667,183,
"Fernieside and Moredun South",476,0,0,536,0,0,0,445,0,0,0,227,0,0,20,1012,445,247,
"Moredun and Craigour",367,0,0,283,0,0,0,630,0,0,0,143,0,0,13,646,630,159,
"Liberton East",667,0,0,477,0,0,0,18,0,0,0,127,0,0,9,1144,18,136,
"Liberton West",731,0,0,522,0,0,0,110,0,0,0,123,0,0,21,1250,110,144,
"The Inch",637,0,0,697,0,0,0,546,0,0,0,418,0,0,27,1332,546,449,
"Blackford, West Mains and Mayfield Road",1299,0,0,892,0,0,0,105,0,0,0,464,0,0,37,2188,105,501,
"Prestonfield",530,0,0,418,0,0,0,314,0,0,0,429,0,0,28,948,314,457,
"Newington and Dalkeith Road",521,0,0,392,0,0,0,105,0,0,0,797,0,0,27,910,105,820,
"The Grange",1238,0,0,694,0,0,0,75,0,0,0,507,0,0,29,1932,75,536,
"Marchmont East and Sciennes",541,0,0,348,0,0,0,86,0,0,0,1016,0,0,26,888,86,1042,
"Marchmont West",554,0,0,420,0,0,0,10,0,0,0,832,0,0,18,974,10,849,
"Morningside East",983,0,0,688,0,0,0,78,0,0,0,641,0,0,38,1667,78,679,
"Merchiston and Greenhill",1001,0,0,577,0,0,0,30,0,0,0,558,0,0,24,1578,30,582,
"Bruntsfield",699,0,0,692,0,0,0,157,0,0,0,1074,0,0,30,1391,157,1104,
"Polwarth",473,0,0,667,0,0,0,164,0,0,0,1222,0,0,30,1140,164,1253,
"Dalry",198,0,0,330,0,0,0,347,0,0,0,965,0,0,17,528,347,986,
"Fountainbridge",243,0,0,323,0,0,0,509,0,0,0,1132,0,0,28,562,509,1160,
"Tollcross",463,0,0,421,0,0,0,450,0,0,0,1658,0,0,39,884,450,1701,
"Southside",250,0,0,171,0,0,0,58,0,0,0,905,0,0,24,420,58,929,
"Meadows",366,0,0,173,0,0,0,326,0,0,0,1028,0,0,46,539,326,1074,
"Old Town, Princes Street and Leith Street",358,0,0,215,0,0,0,492,0,0,0,1303,0,0,41,576,492,1347,
"Canongate, St. Leonards and Dumbiedykes",376,0,0,239,0,0,0,1000,0,0,0,1278,0,0,43,615,1000,1321,
"Abbeyhill",215,0,0,364,0,0,0,319,0,0,0,626,0,0,11,579,319,637,
"Meadowbank and Abbeyhill North",580,0,0,998,0,0,0,318,0,0,0,1058,0,0,21,1580,318,1079,
"Willowbrae and Duddingston Village",971,0,0,915,0,0,0,111,0,0,0,476,0,0,31,1886,111,507,
"Greendykes",82,0,0,757,0,0,0,501,0,0,0,211,0,0,6,839,501,217,
"Craigmillar",90,0,0,373,0,0,0,859,0,0,0,496,0,0,19,465,859,515,
"Niddrie",196,0,0,429,0,0,0,1214,0,0,0,202,0,0,30,626,1214,232,
"Bingham, Magdalene and The Christians",372,0,0,362,0,0,0,784,0,0,0,154,0,0,22,731,784,176,
"Jewel, Brunstane and Newcraighall",629,0,0,1074,0,0,0,144,0,0,0,243,0,0,17,1703,144,260,
"Joppa",1072,0,0,767,0,0,0,192,0,0,0,196,0,0,21,1837,192,218,
"Portobello",737,0,0,871,0,0,0,263,0,0,0,483,0,0,14,1608,263,493,
"Duddingston and Durhams",863,0,0,611,0,0,0,48,0,0,0,59,0,0,15,1477,48,74,
"Mountcastle",589,0,0,412,0,0,0,67,0,0,0,96,0,0,13,1001,67,107,
"Northfield and Piershill",491,0,0,558,0,0,0,315,0,0,0,340,0,0,17,1049,315,357,
"Craigentinny",735,0,0,405,0,0,0,17,0,0,0,63,0,0,7,1137,17,74,
"Restalrig (Loganlea) and Craigentinny West",345,0,0,516,0,0,0,568,0,0,0,406,0,0,23,860,568,426,
"Restalrig and Lochend",376,0,0,521,0,0,0,834,0,0,0,326,0,0,30,897,834,355,
"Leith (Hermitage and Prospect Bank)",803,0,0,915,0,0,0,87,0,0,0,277,0,0,14,1718,87,287,
"Western Harbour and Leith Docks",433,0,0,860,0,0,0,614,0,0,0,847,0,0,18,1289,614,868,
"North Leith and Newhaven",528,0,0,833,0,0,0,753,0,0,0,666,0,0,17,1363,753,682,
"The Shore and Constitution Street",437,0,0,888,0,0,0,522,0,0,0,1040,0,0,20,1325,522,1061,
"Great Junction Street",330,0,0,557,0,0,0,618,0,0,0,659,0,0,22,879,618,681,
"South Leith",468,0,0,822,0,0,0,595,0,0,0,991,0,0,24,1286,595,1013,
"Easter Road and Hawkhill Avenue",283,0,0,647,0,0,0,208,0,0,0,894,0,0,13,926,208,907,
"Leith (Albert Street)",234,0,0,374,0,0,0,280,0,0,0,841,0,0,10,606,280,855,
"Hillside and Calton Hill",722,0,0,766,0,0,0,283,0,0,0,1130,0,0,34,1488,283,1164,
"Pilrig",488,0,0,734,0,0,0,427,0,0,0,854,0,0,25,1222,427,879,
"Bonnington",406,0,0,765,0,0,0,401,0,0,0,526,0,0,9,1174,401,535,
"Trinity East and The Dudleys",696,0,0,657,0,0,0,31,0,0,0,205,0,0,8,1351,31,213,
"Trinity West and Wardie",982,0,0,701,0,0,0,121,0,0,0,323,0,0,22,1684,121,345,
"Inverleith, Goldenacre and Warriston",810,0,0,500,0,0,0,61,0,0,0,231,0,0,21,1309,61,252,
"Broughton North and Powderhall",581,0,0,720,0,0,0,208,0,0,0,935,0,0,27,1305,208,963,
"Broughton South",544,0,0,717,0,0,0,166,0,0,0,869,0,0,18,1261,166,887,
