"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Mearns North and Inverbervie",101,169,19,3,0,105,270,47,9,1,17,121,86,14,1,13,143,297,78,24,6,109,378,94,33,3,12,60,52,35,12,74,17,6,3,11,21,22,6,1,2,4,10,10,4,0,8,11,14,6,269,924,948,283,108,
"Fetteresso, Netherley and Catter",31,95,14,4,0,14,198,30,11,7,4,54,89,19,5,7,101,278,64,24,3,82,363,76,23,3,14,39,41,39,2,45,12,6,2,2,10,20,4,2,1,4,12,4,1,0,5,16,9,5,66,608,870,235,102,
"Stonehaven South",157,189,8,3,1,204,306,32,3,3,27,133,67,7,2,21,150,220,30,2,17,141,252,38,8,8,35,57,48,15,32,99,25,5,1,15,46,33,7,1,5,3,5,1,1,3,9,12,3,0,492,1110,714,147,34,
"Stonehaven North",229,226,5,2,0,110,275,30,1,1,13,181,103,9,3,22,180,266,54,4,13,131,283,53,23,8,35,50,51,18,19,80,23,2,4,9,27,22,9,0,0,3,5,4,2,4,18,7,3,0,425,1157,804,187,54,
"Newtonhill",45,106,4,0,0,17,123,7,1,4,11,89,47,5,1,3,81,180,20,5,4,62,223,41,8,0,12,36,35,23,5,43,11,1,1,2,12,17,2,1,1,4,5,1,0,0,3,5,2,3,91,535,540,110,44,
"Portlethen",85,119,10,0,1,56,223,33,8,0,17,147,32,7,0,10,162,248,32,8,5,94,189,37,8,2,11,45,59,14,10,40,6,3,0,1,19,28,5,1,0,3,4,2,0,1,5,8,3,0,188,824,602,156,36,
"Banchory-Devenick and Findon",56,105,7,2,0,61,176,27,6,1,8,83,46,6,0,12,143,225,30,10,19,176,493,61,22,6,24,41,51,18,18,75,23,4,0,14,32,25,7,1,0,10,17,8,0,5,7,16,3,2,199,833,920,179,57,
"Dunecht, Durris and Drumoak",47,178,14,1,3,19,160,24,9,3,11,89,123,22,7,5,75,336,84,36,5,51,392,92,42,3,5,35,56,43,12,35,13,2,0,0,14,23,4,4,0,4,12,8,5,0,7,15,7,7,96,620,987,287,145,
"Banchory East",117,162,6,1,0,70,201,24,1,1,5,104,57,6,2,6,106,208,34,8,8,115,304,49,9,4,14,33,22,16,19,78,13,0,0,6,21,17,5,0,0,3,7,4,3,2,5,8,4,1,237,808,681,125,38,
"Banchory West",92,164,2,1,1,47,145,15,3,5,13,104,97,19,0,11,70,158,39,11,2,53,178,36,14,2,6,33,29,9,2,26,10,4,0,0,16,17,2,1,0,0,3,6,1,0,7,8,4,3,170,596,516,141,48,
"Crathes and Torphins",56,169,17,2,2,28,124,36,4,1,11,113,109,18,4,7,61,184,64,14,1,48,228,73,23,4,6,30,39,31,4,34,8,3,4,2,9,12,1,0,0,2,8,2,1,0,7,11,5,4,112,579,638,213,82,
"Cromar and Kildrummy",62,164,21,3,3,34,204,50,13,9,5,103,108,21,1,6,75,231,68,25,0,63,197,66,24,0,11,26,39,29,3,30,14,2,0,0,13,16,1,3,0,1,10,4,4,2,7,26,11,4,112,673,701,227,101,
"Howe of Alford",114,208,13,2,0,66,282,60,3,4,6,160,129,22,4,10,113,347,93,31,3,118,412,79,45,0,14,42,62,37,15,95,16,3,1,7,25,30,10,1,0,3,11,6,4,1,2,10,10,8,223,1023,1068,297,132,
"Kemnay",95,137,6,0,0,74,199,26,0,0,11,115,50,3,1,6,88,152,37,6,8,93,214,31,15,1,13,44,33,12,27,80,9,2,1,6,33,22,3,0,2,5,6,2,1,1,4,6,10,0,234,766,532,122,42,
"Inverurie North",190,208,7,1,1,133,358,43,5,0,30,207,71,5,2,26,167,267,34,4,7,106,197,39,9,4,27,69,57,15,21,78,13,3,1,17,46,28,7,2,0,5,5,2,1,4,13,14,2,2,434,1215,719,147,39,
"Inverurie South",297,182,8,0,4,293,434,26,2,1,31,185,64,7,4,27,166,190,31,4,10,108,163,29,8,7,19,50,34,12,42,94,17,2,0,25,48,27,7,0,1,11,2,3,3,7,19,4,3,3,745,1255,554,118,39,
"Inverurie - Harlaw",16,66,4,0,0,44,180,24,4,0,3,51,51,6,0,7,105,281,25,12,2,171,525,54,15,0,17,33,35,14,16,98,13,6,0,2,11,20,5,3,0,6,9,4,0,0,7,8,3,4,90,706,968,141,52,
"Durno and Chapel of Garioch",20,74,7,4,0,7,90,20,5,4,5,54,67,15,0,4,45,163,64,23,2,29,182,44,13,0,3,24,36,31,0,23,14,0,2,1,10,3,4,2,0,3,3,3,2,1,0,1,6,5,42,333,488,183,86,
"Kintore",73,163,7,0,1,63,223,36,8,0,9,160,111,21,4,9,94,306,52,18,4,102,469,84,32,3,17,39,57,38,8,86,16,4,1,1,21,30,3,0,1,3,10,1,4,1,4,6,6,3,172,873,1034,240,102,
"Blackburn",39,50,4,2,0,22,126,16,4,0,3,51,42,4,0,6,56,156,23,8,4,64,299,63,15,0,6,33,38,23,3,39,11,3,0,4,12,14,5,1,0,3,4,3,2,3,3,5,5,2,84,409,584,149,52,
"Westhill North and South",25,85,1,2,1,22,171,23,4,0,6,83,110,7,4,6,82,259,42,5,7,88,331,51,28,0,11,44,67,27,6,48,13,3,0,4,21,21,9,2,1,2,6,7,2,2,3,8,1,4,79,594,814,189,74,
"Westhill Central",97,217,9,1,0,44,211,24,6,3,16,148,109,4,2,6,112,170,24,3,5,82,200,30,8,3,12,43,42,13,11,34,7,0,1,0,9,24,3,0,0,4,4,3,1,2,7,9,2,3,184,840,606,117,33,
"Garlogie and Elrick",50,102,5,0,0,30,190,18,3,3,2,78,61,2,0,5,82,191,20,7,9,117,315,49,12,2,11,38,46,24,5,54,14,3,0,4,18,26,3,2,0,0,10,2,0,3,4,5,3,2,110,655,682,131,46,
"Newmachar and Fintray",78,126,7,0,0,26,198,39,2,1,13,92,88,14,1,4,93,311,66,9,10,76,382,83,29,5,13,47,58,22,4,75,15,1,0,0,27,24,0,6,0,6,12,6,5,0,5,10,6,5,143,707,936,238,81,
"Balmedie and Potterton",61,143,11,0,0,23,183,32,6,1,6,106,88,9,4,7,122,267,40,14,4,95,313,63,34,1,11,46,57,30,7,69,22,1,0,1,15,25,2,3,0,0,11,4,3,0,1,9,5,7,112,751,824,192,93,
"Ellon East",165,218,11,4,2,90,354,51,8,1,16,211,85,7,1,7,156,318,39,5,8,144,370,89,14,3,25,45,53,16,11,74,16,8,1,7,25,34,4,1,1,7,5,3,3,2,5,14,3,3,313,1219,949,215,48,
"Ellon West",142,159,7,0,0,92,186,18,1,1,10,159,67,2,2,6,117,231,22,1,3,73,196,40,8,1,17,41,50,14,23,48,6,2,0,5,21,17,2,0,5,3,7,2,1,3,11,11,12,1,287,790,601,135,30,
"Ythanside",29,107,9,4,1,24,174,25,9,2,7,114,100,21,3,2,117,292,73,22,0,72,295,79,24,0,14,43,55,41,3,47,16,7,1,2,21,18,6,3,0,0,9,5,7,1,4,13,11,8,73,671,820,266,113,
"Ythsie",91,195,12,3,0,44,232,32,5,1,7,118,111,11,4,12,129,346,67,19,9,87,377,81,30,1,14,64,65,47,8,56,17,7,0,6,20,24,11,0,0,2,11,11,7,0,9,7,6,7,182,863,994,268,114,
"Barrahill",82,126,8,6,0,33,167,28,4,4,10,104,108,11,2,7,90,272,50,16,3,85,326,75,23,2,14,51,50,44,19,78,23,4,2,4,16,22,11,1,4,4,8,7,4,1,5,13,8,1,164,684,859,225,97,
"Fyvie-Rothie",47,95,8,0,1,26,161,44,8,4,6,85,70,17,2,2,76,233,67,26,5,57,233,70,25,1,8,29,48,36,6,42,14,3,1,1,19,26,6,2,0,0,2,2,2,2,12,11,3,8,101,552,671,224,109,
"Insch, Oyne and Ythanwells",86,127,13,1,0,54,189,37,8,3,10,139,73,7,4,4,95,217,53,20,5,92,245,57,9,0,7,24,38,28,12,48,15,1,0,3,20,17,8,3,0,4,12,7,2,2,7,6,1,5,178,726,658,178,78,
"Clashindarroch",54,144,24,3,2,30,159,35,11,12,4,124,86,17,5,4,112,304,90,20,4,65,239,73,36,2,10,37,39,53,11,37,10,2,1,4,18,27,6,8,1,4,11,4,8,0,9,17,8,3,114,683,783,253,148,
"Huntly",258,218,6,0,0,237,246,30,3,0,27,148,42,7,2,23,158,133,29,6,9,113,129,19,5,3,19,29,21,12,42,75,10,4,0,22,21,18,5,3,1,4,4,2,1,9,9,7,4,1,629,1008,409,91,31,
"Auchterless and Monquhitter",14,61,7,0,0,1,81,39,4,5,2,51,57,12,5,6,72,179,60,12,2,33,138,55,26,1,5,22,32,24,3,13,4,1,2,2,8,10,8,2,0,5,7,7,6,1,5,14,1,8,32,329,479,182,88,
"Turriff",230,212,8,2,0,127,249,47,9,8,34,176,54,2,3,12,140,164,30,4,12,92,134,38,7,1,17,37,31,26,38,64,18,3,0,13,21,30,3,0,2,6,2,3,4,6,16,12,4,2,476,993,499,127,55,
"Portsoy, Fordyce and Cornhill",115,153,17,0,3,76,162,26,3,3,7,113,64,7,0,11,112,164,28,8,11,42,127,33,8,2,14,28,34,23,7,30,5,1,0,8,19,14,4,0,0,7,9,3,0,0,2,10,4,7,234,658,459,118,53,
"Aberchirder and Whitehills",90,189,11,4,1,67,204,23,5,3,14,147,68,3,2,11,111,203,41,7,5,71,176,53,18,2,15,48,39,23,6,39,6,4,2,5,27,10,9,2,0,4,4,5,5,7,10,10,8,4,205,815,559,166,69,
"Banff",200,164,8,1,0,194,259,26,1,1,27,116,41,8,1,20,158,140,23,8,15,89,112,29,8,3,18,43,28,8,36,58,9,3,0,19,44,22,11,0,1,6,7,3,0,3,5,9,4,0,517,920,419,111,25,
"Macduff",131,146,8,0,0,172,220,30,4,1,16,97,29,9,0,27,121,150,37,6,10,110,135,23,20,1,21,39,30,22,21,66,9,3,0,17,25,18,4,1,1,4,5,4,4,3,5,6,4,2,401,817,432,122,49,
"Gardenstown and King Edward",51,119,11,2,0,23,142,21,8,3,6,78,86,17,1,2,93,186,29,14,2,30,140,53,23,1,9,39,26,26,2,38,6,3,0,3,13,14,6,1,0,2,7,3,8,0,10,8,4,4,90,534,514,155,83,
"New Pitsligo",44,110,19,3,0,47,137,29,10,2,9,79,47,10,0,7,74,146,34,14,4,41,126,34,17,3,9,34,31,19,9,38,5,2,0,3,16,19,6,1,1,3,12,5,5,1,5,8,8,5,130,515,442,142,64,
"Deer and Mormond",115,167,12,2,1,54,241,41,6,0,11,121,79,6,8,7,119,253,55,17,3,71,266,62,35,0,16,47,55,32,9,54,22,4,2,2,22,18,9,3,0,2,5,13,7,4,11,23,6,8,208,822,769,221,115,
"Mintlaw",143,112,1,0,0,62,143,24,2,3,12,111,48,2,0,5,54,148,23,5,4,56,152,26,16,4,6,38,18,21,9,53,8,1,0,8,20,19,3,1,0,7,1,2,0,6,5,7,0,1,250,575,449,77,41,
"Auchnagatt",34,86,11,2,2,21,90,24,12,0,2,72,61,8,4,3,50,177,48,17,1,33,212,48,33,0,10,27,42,33,5,25,10,0,4,1,17,19,3,4,2,3,10,9,4,0,4,6,0,1,75,383,550,171,93,
"Cruden",105,160,15,4,0,78,242,44,2,5,14,141,72,4,5,14,141,251,42,8,5,98,203,63,14,3,14,47,48,32,30,81,13,4,0,13,33,27,3,0,3,2,13,12,5,5,9,8,2,1,263,926,691,185,70,
"Peterhead Links",137,148,6,1,0,85,200,14,6,2,18,146,43,0,2,33,151,166,12,1,13,122,154,24,6,5,29,52,45,14,29,70,11,4,0,15,37,21,3,0,5,12,8,1,0,3,2,6,3,1,341,917,477,96,28,
"Peterhead Bay",139,96,2,0,0,172,142,9,4,0,20,80,28,0,0,17,82,69,11,0,12,57,73,12,4,0,15,20,24,2,16,36,4,1,0,10,31,6,0,1,3,9,9,1,1,2,5,10,2,1,386,553,234,55,10,
"Peterhead Harbour",324,163,11,0,0,673,427,31,2,2,28,92,22,1,1,92,193,113,8,0,59,170,131,24,7,18,47,48,26,4,106,126,12,8,0,61,61,35,0,1,12,25,9,6,1,33,34,17,2,0,1404,1341,425,79,18,
"Peterhead Ugieside",132,176,8,1,0,70,225,21,1,2,17,139,50,5,0,5,151,194,20,1,5,98,146,32,8,3,28,60,57,11,22,49,10,2,1,12,28,21,2,1,4,5,7,10,1,4,3,9,2,1,274,897,523,133,25,
"Longside and Rattray South",38,84,4,0,0,23,177,21,6,1,4,62,53,8,2,8,78,253,35,5,2,131,353,77,20,0,7,33,48,18,15,52,8,2,1,1,9,13,6,1,1,7,6,4,2,1,2,8,5,1,89,608,752,187,51,
"Longside and Rattray North",45,105,20,0,2,47,176,25,3,2,2,100,62,10,2,1,78,186,55,17,3,54,158,61,30,3,17,39,45,26,11,38,8,4,1,5,18,17,9,2,1,2,8,4,8,3,9,9,4,3,124,595,527,192,94,
"Rosehearty, Sandhaven and Tyrie",68,103,6,1,0,69,128,17,4,0,14,62,50,2,1,9,98,139,21,5,12,73,171,51,13,0,13,31,29,16,16,47,5,2,0,6,14,19,7,1,0,8,4,3,1,3,7,8,1,2,196,552,456,126,40,
"Cairnbulg/Inverallochy and Memsie",80,145,17,0,1,57,132,27,6,1,7,94,69,9,2,7,77,161,34,11,3,55,154,43,24,3,12,44,45,22,6,39,12,2,3,1,17,27,9,2,1,0,6,4,0,0,8,4,4,0,167,575,515,153,65,
"Fraserburgh Smiddyhill",92,134,4,0,0,47,150,13,4,1,19,158,53,8,0,2,124,171,22,11,4,94,203,48,11,5,22,56,56,24,11,40,4,1,0,10,26,18,12,0,0,2,10,5,1,2,2,5,2,1,194,755,540,158,45,
"Fraserburgh Lochpots",63,71,0,0,0,124,140,12,0,2,13,71,13,0,0,27,80,55,2,1,16,71,62,12,2,3,13,17,16,1,41,64,18,0,0,20,30,11,2,0,0,4,2,1,0,20,7,5,0,0,320,551,192,35,8,
"Fraserburgh Central-Academy",159,114,3,1,0,167,157,13,0,0,13,82,16,0,0,23,94,60,7,1,16,66,69,11,5,5,16,30,18,6,20,50,8,1,1,17,32,15,3,0,2,7,6,2,1,11,9,9,1,1,430,624,229,47,15,
"Fraserburgh Harbour and Broadsea",185,102,3,0,0,351,224,15,1,5,16,55,13,1,0,36,103,50,8,0,30,104,57,11,3,5,22,23,13,5,75,79,16,2,0,20,34,17,1,0,2,20,6,5,0,14,21,5,0,1,740,766,205,41,13,
"South Angus",113,250,15,1,3,29,190,31,2,0,11,147,131,18,4,8,106,309,68,21,5,79,258,77,20,0,21,55,76,42,7,46,14,4,0,4,15,23,7,0,0,8,18,6,4,1,12,18,4,6,181,870,870,266,100,
"Monikie and Wellbank",41,101,10,1,4,10,111,23,4,4,7,92,90,6,2,4,49,200,36,14,0,47,289,71,23,2,10,34,48,39,4,37,8,4,0,2,17,12,9,3,3,6,6,10,6,1,4,5,1,2,75,469,680,190,95,
"Barry and Panbride",18,69,5,0,0,22,110,11,1,0,5,91,40,1,2,7,76,160,13,7,4,77,218,49,9,0,12,33,35,12,3,60,12,4,0,2,13,7,1,2,0,4,6,4,3,0,4,5,1,0,65,511,497,110,34,
"Monifieth West",97,133,2,0,0,32,128,12,0,0,17,153,71,5,4,5,80,107,5,4,4,53,123,21,8,3,24,27,31,13,9,47,3,2,0,10,20,16,1,1,0,4,3,11,0,1,8,7,3,2,177,650,372,80,31,
"Monifieth East",267,276,8,0,0,96,223,20,1,1,44,238,101,6,3,10,170,151,26,8,9,99,222,29,14,1,36,45,54,22,16,80,15,3,0,8,32,26,6,0,2,1,5,3,3,4,10,10,4,4,458,1166,603,131,54,
"Carnoustie West",208,192,7,3,3,188,321,29,2,0,29,167,49,3,2,22,202,201,28,7,16,132,208,40,14,9,27,59,45,15,47,118,21,6,0,26,48,31,7,0,5,10,9,9,3,7,5,9,7,2,550,1220,622,149,52,
"Carnoustie East",177,225,12,1,1,71,207,23,5,3,29,284,124,6,2,11,144,214,25,12,5,102,214,49,12,2,29,73,58,26,15,80,9,4,0,9,39,28,5,2,2,5,9,7,0,4,7,8,7,5,327,1122,717,165,63,
"Arbroath Landward",27,99,12,0,0,35,155,17,5,0,11,110,53,10,2,7,82,193,52,14,5,56,120,28,11,1,10,29,31,20,10,31,4,2,0,0,8,9,1,1,3,0,3,5,4,0,6,8,2,0,101,564,451,142,51,
"Arbroath Kirkton",180,172,13,1,1,170,243,15,4,1,31,197,39,4,3,22,156,185,27,4,11,126,226,49,12,12,30,61,65,24,42,85,14,0,3,11,54,38,6,0,0,5,5,2,1,4,11,8,6,7,487,1081,604,169,53,
"Arbroath Keptie",135,165,7,2,2,154,221,13,4,2,15,152,58,8,0,21,131,138,15,4,10,78,101,25,7,2,16,35,31,11,28,32,7,1,1,17,28,17,4,0,2,5,5,2,2,4,12,7,0,0,385,844,391,88,27,
"Arbroath Harbour",341,154,7,0,0,590,405,19,2,1,28,97,18,0,0,62,200,90,9,2,29,103,76,12,3,4,25,23,13,2,66,87,8,0,1,22,26,15,1,0,4,8,8,2,0,16,24,11,1,0,1166,1132,278,36,13,
"Arbroath Cliffburn",138,134,8,0,0,169,237,19,7,2,36,138,22,2,0,29,169,148,11,3,27,151,184,23,10,13,50,43,33,7,80,131,15,5,2,38,48,41,2,1,15,18,6,4,2,13,8,11,6,5,555,1087,498,96,30,
"Arbroath Warddykes",174,127,3,2,0,268,222,13,1,1,28,137,27,0,1,33,152,113,7,6,48,122,149,23,6,12,31,37,20,14,83,79,10,5,1,27,46,12,1,0,7,16,6,1,0,14,8,10,3,2,695,935,378,63,30,
"Lunan",73,134,22,1,0,67,172,16,5,1,12,76,68,3,1,8,87,145,21,12,2,50,121,31,10,0,17,26,17,6,17,37,8,1,1,7,9,19,2,0,0,3,6,2,2,4,8,6,0,0,192,589,439,82,37,
"Montrose South",324,183,7,0,0,512,447,36,3,4,40,145,25,0,0,61,211,117,8,4,35,111,121,15,8,9,30,36,10,3,67,103,16,4,0,35,37,16,3,4,5,5,10,2,0,15,23,14,0,0,1107,1291,401,48,23,
"Montrose North",185,155,8,2,0,221,257,27,3,4,33,171,35,5,0,18,161,152,16,10,21,127,152,33,6,8,29,57,39,16,43,72,14,2,0,24,39,23,5,0,1,4,5,3,3,4,10,5,3,1,556,1024,474,104,40,
"Hillside",59,149,7,1,1,25,131,34,9,0,8,131,54,11,2,4,111,164,40,7,7,89,176,50,20,4,14,35,42,14,15,58,12,4,0,9,30,13,3,0,0,3,4,4,4,0,6,3,6,4,129,718,502,170,44,
"Friockheim",51,143,15,4,2,34,133,34,12,2,4,96,94,15,7,3,73,240,54,21,3,39,149,43,18,4,13,26,35,23,8,27,5,0,0,3,15,18,5,3,0,1,12,5,4,1,7,14,2,2,111,547,605,177,86,
"Brechin East",134,102,8,2,0,236,240,25,4,2,16,74,19,5,1,32,111,97,16,7,23,90,115,31,8,2,21,25,12,7,39,64,13,1,0,19,22,18,2,1,4,1,10,4,0,8,7,6,1,1,513,734,336,77,24,
"Brechin West",181,171,5,0,0,104,261,24,1,2,20,148,47,10,0,14,121,209,24,5,10,75,129,23,8,3,20,29,31,8,26,63,18,5,0,13,29,20,5,2,2,5,3,3,1,2,4,7,0,0,373,900,490,105,28,
"Letham and Glamis",106,254,24,6,2,46,241,47,6,7,14,199,165,28,4,11,148,359,95,24,4,55,267,74,22,6,15,60,67,34,6,50,12,7,1,6,29,30,6,0,1,6,14,9,7,1,8,23,8,4,203,1005,1001,305,108,
"Forfar East",146,191,13,1,2,103,266,19,0,2,21,183,85,5,4,10,154,191,23,6,1,89,181,44,16,3,19,36,37,16,21,75,10,1,0,7,19,14,8,0,2,4,8,0,6,3,16,7,3,4,329,1020,567,122,56,
"Forfar Central",282,178,6,2,0,295,293,26,3,3,30,96,30,4,0,29,149,121,13,7,31,123,110,17,10,2,33,29,17,8,71,92,11,3,1,21,48,11,3,0,2,15,9,4,2,7,7,11,7,1,770,1038,366,70,29,
"Forfar West",216,199,9,0,0,187,267,24,3,3,26,160,50,6,0,21,200,178,21,4,14,109,122,30,6,4,45,41,34,12,51,117,11,2,1,22,42,22,3,1,2,5,9,1,1,3,8,7,1,1,544,1152,473,100,29,
"Kirriemuir Landward",39,118,10,2,1,13,162,36,6,2,9,75,52,5,5,6,85,162,37,7,2,34,136,25,8,4,12,25,34,15,4,21,9,0,0,5,11,14,2,1,0,0,8,1,1,1,4,11,6,4,82,526,463,130,46,
"Kirriemuir",254,229,17,3,0,221,376,41,6,1,26,235,96,9,2,28,153,262,37,11,13,99,229,43,26,3,21,56,57,29,53,97,17,3,3,16,37,33,8,1,2,11,9,4,0,3,8,12,5,4,619,1272,770,175,73,
"Angus Glens",58,167,15,4,3,28,166,34,4,4,5,102,89,16,5,7,83,218,55,24,0,29,135,62,11,2,14,19,52,26,2,32,11,4,0,3,19,15,6,2,2,4,6,4,8,0,2,4,8,5,107,625,546,216,92,
"Mull, Iona, Coll and Tiree",114,235,20,4,0,84,232,39,4,2,6,129,84,5,3,8,169,210,36,10,4,67,174,30,15,0,14,37,26,15,4,43,3,2,0,6,18,22,1,3,2,7,10,7,4,1,11,15,15,7,228,929,616,132,62,
"Oban South",254,205,7,0,0,301,362,46,3,1,23,109,50,4,0,39,205,176,17,2,36,144,179,51,13,15,47,50,27,8,43,76,12,2,2,40,52,20,4,2,1,12,8,5,4,17,33,15,6,5,771,1246,558,114,37,
"Oban North",123,79,3,0,0,169,233,27,0,0,12,59,25,3,0,28,112,79,7,4,16,63,78,8,2,5,18,33,12,3,23,30,6,0,0,14,25,13,3,2,0,5,5,2,2,5,12,12,0,0,393,641,281,38,12,
"Benderloch Trail",58,121,18,3,0,27,120,16,1,1,0,61,68,11,2,5,66,141,32,12,3,53,119,21,10,2,4,15,22,15,3,18,4,2,0,3,10,20,9,0,0,1,3,4,6,0,3,13,5,5,100,455,419,105,51,
"Glen Lonan",75,146,12,0,1,39,158,26,4,1,8,87,62,11,2,12,98,181,31,6,9,66,138,36,10,1,23,31,26,12,13,58,11,0,0,3,24,14,3,3,1,6,10,8,3,2,10,17,11,8,171,672,503,133,47,
"Loch Awe",50,138,12,2,5,23,129,18,3,0,7,89,49,5,2,4,106,167,32,9,2,32,77,19,6,0,5,20,19,10,5,17,10,0,0,6,12,14,1,5,2,2,5,1,5,2,5,7,7,3,100,537,379,89,43,
"Mid Argyll",68,172,12,2,0,50,153,29,3,0,8,107,74,7,0,8,114,198,45,14,6,54,126,26,9,0,9,28,23,10,6,39,5,1,1,2,12,10,5,0,1,5,4,3,2,2,7,13,5,0,150,674,499,119,42,
"Greater Lochgilphead",167,163,12,3,0,162,292,29,5,1,10,111,38,3,1,13,144,133,34,4,7,90,130,28,7,1,23,36,26,9,28,71,20,0,1,22,30,14,5,0,3,1,4,2,0,7,8,5,5,1,420,929,422,107,22,
"Knapdale",98,150,10,2,0,72,159,41,2,1,9,76,64,1,1,6,79,167,30,16,0,47,79,21,8,3,9,24,19,8,8,33,5,0,0,4,11,12,4,2,0,1,2,2,2,1,10,6,2,3,203,574,414,84,42,
"Whisky Isles",138,190,13,0,0,99,225,33,8,3,11,93,71,7,0,10,116,167,31,15,1,66,129,36,12,5,22,34,32,11,7,32,8,0,0,12,20,24,3,1,1,7,7,4,3,0,14,10,3,7,288,785,496,128,52,
"Kintyre Trail",97,150,16,0,0,44,151,24,2,2,5,115,77,6,1,7,99,202,22,6,5,45,113,25,13,1,12,44,36,15,3,17,7,2,0,6,19,16,1,0,1,3,4,5,2,4,10,22,7,5,173,623,520,105,38,
"Campbeltown",292,211,6,4,0,329,271,21,1,2,41,126,36,1,0,36,157,123,19,6,18,140,116,23,12,4,27,31,34,10,46,55,9,1,0,25,27,16,3,0,0,5,8,3,3,8,19,4,3,3,800,1033,368,95,34,
"Bute",126,210,7,0,0,77,117,22,3,0,24,139,59,4,0,11,113,120,13,7,4,38,63,13,8,3,10,21,13,13,7,15,5,1,0,2,17,6,2,0,0,3,6,3,1,2,15,7,5,2,260,677,316,64,31,
"Rothesay Town",340,143,4,0,2,364,210,21,0,0,41,97,12,0,0,41,154,62,11,4,33,76,67,15,4,8,24,21,10,2,47,51,4,1,0,19,23,7,2,0,5,8,3,0,1,11,7,6,3,0,909,795,207,41,15,
"Cowal South",154,387,28,1,2,92,283,55,8,2,15,238,147,8,2,3,256,281,56,26,10,93,147,24,7,1,28,45,25,29,6,34,5,0,0,8,27,15,9,2,0,6,14,7,2,1,19,20,8,5,290,1367,758,150,76,
"Hunter's Quay",232,265,14,4,0,214,287,32,4,0,19,219,73,8,2,33,165,164,32,7,19,112,122,31,7,3,36,46,17,11,33,87,14,1,3,22,50,24,8,1,3,15,7,7,2,7,14,20,6,2,589,1250,520,117,33,
"Dunoon",216,188,10,1,1,333,251,28,11,4,17,130,39,6,1,34,160,139,19,4,19,102,127,26,10,7,29,29,15,4,45,82,13,1,0,27,30,22,1,0,1,9,10,5,2,6,18,11,3,1,709,1005,426,82,24,
"Garelochhead",95,147,20,5,0,104,207,25,5,1,10,123,76,12,0,15,157,190,49,11,11,98,168,26,17,3,29,43,41,9,24,55,12,2,0,13,31,18,2,1,0,7,8,5,3,8,9,9,12,2,289,863,572,156,44,
"Helensburgh West and Rhu",104,198,11,2,0,68,185,28,3,1,14,158,143,15,3,12,136,206,35,6,6,118,197,35,7,4,24,45,43,25,12,62,10,3,1,7,27,16,1,0,0,3,4,4,5,1,7,14,6,3,233,918,669,150,52,
