SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Moodiesburn West",246,0,0,0,365,0,0,0,0,124,0,0,0,259,0,0,0,237,0,0,0,131,0,0,0,0,137,0,0,0,114,0,0,0,0,24,0,0,0,22,611,749,251,53,
"Moodiesburn East",145,0,0,0,223,0,0,0,0,110,0,0,0,209,0,0,0,287,0,0,0,170,0,0,0,0,62,0,0,0,52,0,0,0,0,14,0,0,0,17,367,776,115,31,
"Westfield",212,0,0,0,216,0,0,0,0,165,0,0,0,241,0,0,0,271,0,0,0,144,0,0,0,0,89,0,0,0,74,0,0,0,0,26,0,0,0,30,428,821,163,59,
"Broadwood",113,0,0,0,142,0,0,0,0,111,0,0,0,252,0,0,0,357,0,0,0,137,0,0,0,0,71,0,0,0,56,0,0,0,0,21,0,0,0,21,255,855,127,43,
"Condorrat",361,0,0,0,360,0,0,0,0,307,0,0,0,291,0,0,0,290,0,0,0,173,0,0,0,0,95,0,0,0,128,0,0,0,0,21,0,0,0,30,720,1061,223,51,
"Greenfaulds",224,0,0,0,386,0,0,0,0,174,0,0,0,234,0,0,0,288,0,0,0,122,0,0,0,0,120,0,0,0,81,0,0,0,0,29,0,0,0,35,610,818,201,64,
"Seafar",232,0,0,0,394,0,0,0,0,114,0,0,0,190,0,0,0,236,0,0,0,105,0,0,0,0,179,0,0,0,134,0,0,0,0,40,0,0,0,30,626,646,313,74,
"Cumbernauld Central",340,0,0,0,528,0,0,0,0,106,0,0,0,257,0,0,0,275,0,0,0,125,0,0,0,0,253,0,0,0,180,0,0,0,0,45,0,0,0,36,868,762,433,81,
"Kildrum",309,0,0,0,544,0,0,0,0,142,0,0,0,277,0,0,0,244,0,0,0,97,0,0,0,0,163,0,0,0,117,0,0,0,0,26,0,0,0,59,853,758,276,85,
"Abronhill South",278,0,0,0,427,0,0,0,0,141,0,0,0,245,0,0,0,261,0,0,0,138,0,0,0,0,141,0,0,0,98,0,0,0,0,22,0,0,0,35,705,783,243,56,
"Abronhill North",221,0,0,0,396,0,0,0,0,168,0,0,0,293,0,0,0,288,0,0,0,152,0,0,0,0,131,0,0,0,119,0,0,0,0,34,0,0,0,35,617,897,246,69,
"Village and Castlecary",265,0,0,0,431,0,0,0,0,141,0,0,0,256,0,0,0,208,0,0,0,95,0,0,0,0,164,0,0,0,93,0,0,0,0,19,0,0,0,31,696,700,257,50,
"Carrickstone",114,0,0,0,166,0,0,0,0,153,0,0,0,349,0,0,0,479,0,0,0,241,0,0,0,0,69,0,0,0,65,0,0,0,0,37,0,0,0,43,283,1222,137,80,
"Balloch West",190,0,0,0,155,0,0,0,0,179,0,0,0,280,0,0,0,282,0,0,0,153,0,0,0,0,45,0,0,0,43,0,0,0,0,17,0,0,0,26,345,901,88,43,
"Balloch East",206,0,0,0,158,0,0,0,0,157,0,0,0,206,0,0,0,149,0,0,0,123,0,0,0,0,71,0,0,0,72,0,0,0,0,12,0,0,0,23,367,635,142,36,
"Klisyth East",342,0,0,0,464,0,0,0,0,155,0,0,0,322,0,0,0,331,0,0,0,124,0,0,0,0,103,0,0,0,83,0,0,0,0,20,0,0,0,37,809,931,185,57,
"Croy, Dullatar and Banton",119,0,0,0,233,0,0,0,0,104,0,0,0,326,0,0,0,521,0,0,0,120,0,0,0,0,82,0,0,0,60,0,0,0,0,56,0,0,0,33,352,1071,140,90,
"Kilsyth Bogside",221,0,0,0,399,0,0,0,0,134,0,0,0,243,0,0,0,195,0,0,0,120,0,0,0,0,117,0,0,0,67,0,0,0,0,20,0,0,0,27,620,692,184,47,
"Balmalloch",225,0,0,0,322,0,0,0,0,160,0,0,0,241,0,0,0,279,0,0,0,137,0,0,0,0,141,0,0,0,109,0,0,0,0,20,0,0,0,35,545,817,251,55,
"Stromness, Sandwick and Stenness",258,0,0,0,370,0,0,0,0,160,0,0,0,289,0,0,0,198,0,0,0,83,0,0,0,0,64,0,0,0,35,0,0,0,0,14,0,0,0,23,624,730,99,35,
"West Mainland",316,0,0,0,298,0,0,0,0,225,0,0,0,438,0,0,0,330,0,0,0,127,0,0,0,0,57,0,0,0,59,0,0,0,0,22,0,0,0,49,614,1120,116,68,
"East Mainland",218,0,0,0,313,0,0,0,0,205,0,0,0,390,0,0,0,418,0,0,0,115,0,0,0,0,76,0,0,0,45,0,0,0,0,27,0,0,0,44,531,1125,122,71,
"West Kirkwall",360,0,0,0,639,0,0,0,0,153,0,0,0,331,0,0,0,226,0,0,0,89,0,0,0,0,94,0,0,0,75,0,0,0,0,9,0,0,0,38,1003,799,166,46,
"East Kirkwall",192,0,0,0,323,0,0,0,0,122,0,0,0,217,0,0,0,197,0,0,0,62,0,0,0,0,88,0,0,0,39,0,0,0,0,7,0,0,0,20,519,596,127,26,
"Isles",426,0,0,0,396,0,0,0,0,261,0,0,0,463,0,0,0,271,0,0,0,90,0,0,0,0,62,0,0,0,46,0,0,0,0,21,0,0,0,47,822,1082,108,68,
"Powmill, Cleish and Scotlandwell",189,0,0,0,181,0,0,0,0,250,0,0,0,444,0,0,0,438,0,0,0,125,0,0,0,0,52,0,0,0,38,0,0,0,0,29,0,0,0,38,367,1264,87,70,
"Kinross",462,0,0,0,336,0,0,0,0,316,0,0,0,423,0,0,0,404,0,0,0,122,0,0,0,0,106,0,0,0,87,0,0,0,0,20,0,0,0,26,796,1266,193,50,
"Milnathort and Crook of Devon",236,0,0,0,246,0,0,0,0,239,0,0,0,388,0,0,0,372,0,0,0,115,0,0,0,0,61,0,0,0,51,0,0,0,0,24,0,0,0,30,482,1112,112,54,
"Muthill, Greenloaning and Gleneagles",181,0,0,0,229,0,0,0,0,201,0,0,0,346,0,0,0,320,0,0,0,126,0,0,0,0,70,0,0,0,63,0,0,0,0,16,0,0,0,27,411,994,130,48,
"Auchterarder",388,0,0,0,452,0,0,0,0,352,0,0,0,505,0,0,0,491,0,0,0,157,0,0,0,0,108,0,0,0,74,0,0,0,0,23,0,0,0,51,841,1507,183,77,
"Comrie, Gilmerton and St Fillans",367,0,0,0,205,0,0,0,0,276,0,0,0,368,0,0,0,232,0,0,0,113,0,0,0,0,51,0,0,0,40,0,0,0,0,14,0,0,0,30,575,991,91,41,
"Crieff North",268,0,0,0,187,0,0,0,0,263,0,0,0,271,0,0,0,219,0,0,0,69,0,0,0,0,51,0,0,0,38,0,0,0,0,15,0,0,0,25,455,819,87,41,
"Crieff South",372,0,0,0,499,0,0,0,0,170,0,0,0,335,0,0,0,318,0,0,0,93,0,0,0,0,123,0,0,0,63,0,0,0,0,32,0,0,0,37,871,923,187,69,
"Almondbank and Pitcairngreen",237,0,0,0,242,0,0,0,0,259,0,0,0,446,0,0,0,313,0,0,0,141,0,0,0,0,63,0,0,0,55,0,0,0,0,22,0,0,0,32,479,1162,118,54,
"Glenfarg, Dunning and Rhynd",211,0,0,0,216,0,0,0,0,218,0,0,0,406,0,0,0,331,0,0,0,116,0,0,0,0,58,0,0,0,29,0,0,0,0,23,0,0,0,34,424,1071,91,57,
"Bridge of Earn and Abernethy",344,0,0,0,338,0,0,0,0,308,0,0,0,431,0,0,0,488,0,0,0,147,0,0,0,0,85,0,0,0,85,0,0,0,0,25,0,0,0,42,685,1378,170,67,
"Upper Craigie and Friarton",297,0,0,0,363,0,0,0,0,125,0,0,0,268,0,0,0,261,0,0,0,105,0,0,0,0,114,0,0,0,88,0,0,0,0,28,0,0,0,34,660,759,202,62,
"Viewlands and Craigie",408,0,0,0,670,0,0,0,0,298,0,0,0,556,0,0,0,463,0,0,0,164,0,0,0,0,98,0,0,0,74,0,0,0,0,23,0,0,0,46,1074,1481,172,69,
"Burghmuir, Oakbank and Cherrybank",376,0,0,0,258,0,0,0,0,342,0,0,0,445,0,0,0,458,0,0,0,130,0,0,0,0,94,0,0,0,58,0,0,0,0,20,0,0,0,28,634,1379,152,51,
"Western Edge",322,0,0,0,489,0,0,0,0,243,0,0,0,524,0,0,0,458,0,0,0,160,0,0,0,0,120,0,0,0,103,0,0,0,0,26,0,0,0,43,808,1381,225,67,
"Letham",280,0,0,0,506,0,0,0,0,132,0,0,0,313,0,0,0,381,0,0,0,160,0,0,0,0,186,0,0,0,137,0,0,0,0,33,0,0,0,63,787,985,323,96,
"Tulloch and Inveralmond",261,0,0,0,588,0,0,0,0,108,0,0,0,345,0,0,0,413,0,0,0,140,0,0,0,0,193,0,0,0,137,0,0,0,0,38,0,0,0,42,853,1007,332,81,
"North Muirton",284,0,0,0,316,0,0,0,0,129,0,0,0,224,0,0,0,217,0,0,0,84,0,0,0,0,96,0,0,0,86,0,0,0,0,29,0,0,0,35,597,654,182,68,
"Muirton",104,0,0,0,360,0,0,0,0,72,0,0,0,231,0,0,0,214,0,0,0,60,0,0,0,0,119,0,0,0,66,0,0,0,0,33,0,0,0,46,464,578,181,79,
"North Inch",269,0,0,0,694,0,0,0,0,69,0,0,0,261,0,0,0,129,0,0,0,36,0,0,0,0,47,0,0,0,46,0,0,0,0,16,0,0,0,60,963,496,93,76,
"Central and South Inch",502,0,0,0,1502,0,0,0,0,75,0,0,0,406,0,0,0,193,0,0,0,37,0,0,0,0,82,0,0,0,82,0,0,0,0,12,0,0,0,112,2004,708,164,124,
"Gannochy and Walnut Grove",386,0,0,0,231,0,0,0,0,291,0,0,0,295,0,0,0,236,0,0,0,93,0,0,0,0,61,0,0,0,45,0,0,0,0,24,0,0,0,23,617,912,106,47,
"Scone",516,0,0,0,368,0,0,0,0,434,0,0,0,436,0,0,0,410,0,0,0,152,0,0,0,0,116,0,0,0,75,0,0,0,0,27,0,0,0,30,884,1435,191,57,
"Guildtown, Balbeggie and St Madoes",202,0,0,0,230,0,0,0,0,208,0,0,0,420,0,0,0,323,0,0,0,109,0,0,0,0,50,0,0,0,33,0,0,0,0,16,0,0,0,34,436,1060,83,47,
"Errol and Inchture",232,0,0,0,262,0,0,0,0,201,0,0,0,375,0,0,0,501,0,0,0,73,0,0,0,0,76,0,0,0,44,0,0,0,0,21,0,0,0,21,495,1153,120,42,
"Invergowrie, Longforgan and Abernyte",294,0,0,0,231,0,0,0,0,235,0,0,0,336,0,0,0,287,0,0,0,112,0,0,0,0,58,0,0,0,52,0,0,0,0,25,0,0,0,27,525,970,110,52,
"Coupar Angus and Meigle",359,0,0,0,403,0,0,0,0,298,0,0,0,517,0,0,0,359,0,0,0,137,0,0,0,0,102,0,0,0,100,0,0,0,0,32,0,0,0,45,762,1312,202,77,
"Alyth",263,0,0,0,256,0,0,0,0,210,0,0,0,315,0,0,0,188,0,0,0,91,0,0,0,0,74,0,0,0,46,0,0,0,0,20,0,0,0,24,518,800,120,44,
"Blair Atholl, Strathardle and Glenshee",280,0,0,0,281,0,0,0,0,277,0,0,0,432,0,0,0,245,0,0,0,93,0,0,0,0,28,0,0,0,51,0,0,0,0,24,0,0,0,41,563,1043,80,65,
"Blairgowrie South (Ardblair and Rosemout)",193,0,0,0,97,0,0,0,0,252,0,0,0,200,0,0,0,220,0,0,0,75,0,0,0,0,43,0,0,0,42,0,0,0,0,17,0,0,0,31,290,747,85,48,
"Rattray",215,0,0,0,317,0,0,0,0,151,0,0,0,238,0,0,0,244,0,0,0,84,0,0,0,0,96,0,0,0,66,0,0,0,0,17,0,0,0,24,532,717,162,41,
"Blairgowrie Central",402,0,0,0,354,0,0,0,0,227,0,0,0,307,0,0,0,210,0,0,0,98,0,0,0,0,64,0,0,0,72,0,0,0,0,17,0,0,0,31,756,844,139,48,
"Bankfoot, Stanley and Murthly",316,0,0,0,328,0,0,0,0,276,0,0,0,452,0,0,0,385,0,0,0,146,0,0,0,0,79,0,0,0,72,0,0,0,0,27,0,0,0,48,644,1259,151,75,
"Luncarty and Bertha Park",131,0,0,0,160,0,0,0,0,125,0,0,0,228,0,0,0,205,0,0,0,89,0,0,0,0,65,0,0,0,29,0,0,0,0,5,0,0,0,16,291,651,94,22,
"Amulree and Dunkeld",267,0,0,0,245,0,0,0,0,219,0,0,0,348,0,0,0,280,0,0,0,89,0,0,0,0,71,0,0,0,54,0,0,0,0,19,0,0,0,35,512,935,129,54,
"Pitlochry",354,0,0,0,288,0,0,0,0,272,0,0,0,368,0,0,0,217,0,0,0,71,0,0,0,0,51,0,0,0,55,0,0,0,0,22,0,0,0,44,642,928,106,66,
"Rannoch and Aberfeldy",385,0,0,0,352,0,0,0,0,296,0,0,0,461,0,0,0,295,0,0,0,102,0,0,0,0,84,0,0,0,51,0,0,0,0,25,0,0,0,45,733,1154,135,70,
"Lochwinnoch",238,0,0,0,263,0,0,0,0,144,0,0,0,249,0,0,0,212,0,0,0,80,0,0,0,0,73,0,0,0,46,0,0,0,0,7,0,0,0,13,501,692,119,18,
"Renfrewshire Rural South and Howwood",170,0,0,0,159,0,0,0,0,128,0,0,0,349,0,0,0,446,0,0,0,156,0,0,0,0,49,0,0,0,47,0,0,0,0,32,0,0,0,32,328,1079,95,64,
"Dargavel",45,0,0,0,181,0,0,0,0,60,0,0,0,510,0,0,0,785,0,0,0,77,0,0,0,0,65,0,0,0,29,0,0,0,0,25,0,0,0,18,226,1432,93,43,
"Renfrewshire Rural North and Langbank",178,0,0,0,270,0,0,0,0,204,0,0,0,491,0,0,0,488,0,0,0,176,0,0,0,0,90,0,0,0,62,0,0,0,0,34,0,0,0,38,452,1359,152,72,
"Kilbarchan",294,0,0,0,308,0,0,0,0,191,0,0,0,287,0,0,0,206,0,0,0,115,0,0,0,0,75,0,0,0,77,0,0,0,0,13,0,0,0,19,602,796,152,32,
"Johnstone South West",334,0,0,0,444,0,0,0,0,148,0,0,0,337,0,0,0,470,0,0,0,217,0,0,0,0,225,0,0,0,182,0,0,0,0,58,0,0,0,52,778,1176,410,110,
"Johnstone North West",330,0,0,0,616,0,0,0,0,92,0,0,0,228,0,0,0,213,0,0,0,85,0,0,0,0,137,0,0,0,121,0,0,0,0,17,0,0,0,43,946,618,262,57,
"Johnstone North East",370,0,0,0,592,0,0,0,0,118,0,0,0,282,0,0,0,207,0,0,0,110,0,0,0,0,80,0,0,0,91,0,0,0,0,23,0,0,0,31,962,717,168,54,
"Johnstone South East",339,0,0,0,503,0,0,0,0,122,0,0,0,312,0,0,0,259,0,0,0,116,0,0,0,0,150,0,0,0,91,0,0,0,0,23,0,0,0,42,838,807,241,65,
"Elderslie and Phoenix",390,0,0,0,426,0,0,0,0,253,0,0,0,500,0,0,0,427,0,0,0,187,0,0,0,0,90,0,0,0,102,0,0,0,0,32,0,0,0,53,816,1367,192,88,
"Paisley Ferguslie",189,0,0,0,525,0,0,0,0,43,0,0,0,205,0,0,0,279,0,0,0,131,0,0,0,0,253,0,0,0,163,0,0,0,0,50,0,0,0,51,715,661,416,100,
"Paisley North West",345,0,0,0,951,0,0,0,0,55,0,0,0,276,0,0,0,238,0,0,0,75,0,0,0,0,134,0,0,0,98,0,0,0,0,37,0,0,0,82,1295,644,228,119,
"Paisley West",296,0,0,0,760,0,0,0,0,139,0,0,0,416,0,0,0,365,0,0,0,183,0,0,0,0,194,0,0,0,120,0,0,0,0,39,0,0,0,47,1056,1103,314,86,
"Paisley Foxbar",359,0,0,0,680,0,0,0,0,130,0,0,0,366,0,0,0,339,0,0,0,151,0,0,0,0,203,0,0,0,156,0,0,0,0,31,0,0,0,44,1042,986,356,75,
"Paisley South West",327,0,0,0,333,0,0,0,0,284,0,0,0,372,0,0,0,327,0,0,0,197,0,0,0,0,49,0,0,0,80,0,0,0,0,23,0,0,0,26,660,1179,129,49,
"Paisley Glenburn West",237,0,0,0,292,0,0,0,0,113,0,0,0,257,0,0,0,275,0,0,0,164,0,0,0,0,140,0,0,0,134,0,0,0,0,40,0,0,0,49,525,812,278,89,
"Paisley Glenburn East",242,0,0,0,361,0,0,0,0,128,0,0,0,234,0,0,0,265,0,0,0,132,0,0,0,0,108,0,0,0,107,0,0,0,0,24,0,0,0,36,604,758,219,64,
"Paisley South",245,0,0,0,366,0,0,0,0,169,0,0,0,341,0,0,0,286,0,0,0,153,0,0,0,0,49,0,0,0,51,0,0,0,0,17,0,0,0,33,611,949,104,46,
"Paisley South East",728,0,0,0,1153,0,0,0,0,236,0,0,0,437,0,0,0,271,0,0,0,121,0,0,0,0,206,0,0,0,132,0,0,0,0,34,0,0,0,63,1881,1065,338,97,
"Paisley Dykebar",205,0,0,0,246,0,0,0,0,146,0,0,0,314,0,0,0,406,0,0,0,155,0,0,0,0,79,0,0,0,72,0,0,0,0,24,0,0,0,25,451,1024,151,51,
"Paisley East",349,0,0,0,610,0,0,0,0,99,0,0,0,327,0,0,0,362,0,0,0,134,0,0,0,0,144,0,0,0,140,0,0,0,0,33,0,0,0,60,956,920,287,92,
"Paisley Central East",163,0,0,0,637,0,0,0,0,44,0,0,0,246,0,0,0,138,0,0,0,32,0,0,0,0,67,0,0,0,37,0,0,0,0,9,0,0,0,92,803,456,105,100,
"Paisley Central West",394,0,0,0,1166,0,0,0,0,67,0,0,0,363,0,0,0,202,0,0,0,44,0,0,0,0,111,0,0,0,98,0,0,0,0,25,0,0,0,117,1560,672,207,142,
"Paisley North East",593,0,0,0,1266,0,0,0,0,198,0,0,0,510,0,0,0,362,0,0,0,115,0,0,0,0,142,0,0,0,128,0,0,0,0,27,0,0,0,68,1863,1185,270,95,
"Paisley Ralston",348,0,0,0,175,0,0,0,0,315,0,0,0,401,0,0,0,398,0,0,0,204,0,0,0,0,53,0,0,0,60,0,0,0,0,26,0,0,0,21,523,1318,113,47,
"Paisley Gallowhill and Hillington",377,0,0,0,816,0,0,0,0,121,0,0,0,283,0,0,0,313,0,0,0,132,0,0,0,0,259,0,0,0,171,0,0,0,0,50,0,0,0,66,1193,849,426,116,
"Paisley North",311,0,0,0,1214,0,0,0,0,86,0,0,0,425,0,0,0,422,0,0,0,81,0,0,0,0,272,0,0,0,130,0,0,0,0,34,0,0,0,86,1525,1014,402,120,
"Renfrew West",215,0,0,0,555,0,0,0,0,89,0,0,0,310,0,0,0,317,0,0,0,121,0,0,0,0,144,0,0,0,86,0,0,0,0,27,0,0,0,33,770,837,230,64,
"Renfrew South West",159,0,0,0,250,0,0,0,0,108,0,0,0,187,0,0,0,192,0,0,0,85,0,0,0,0,101,0,0,0,64,0,0,0,0,17,0,0,0,15,411,568,165,38,
"Renfrew South East",477,0,0,0,492,0,0,0,0,255,0,0,0,327,0,0,0,328,0,0,0,147,0,0,0,0,126,0,0,0,143,0,0,0,0,27,0,0,0,31,969,1059,269,58,
"Renfrew East",435,0,0,0,430,0,0,0,0,306,0,0,0,390,0,0,0,387,0,0,0,211,0,0,0,0,88,0,0,0,114,0,0,0,0,37,0,0,0,43,865,1294,198,76,
"Renfrew North West",274,0,0,0,908,0,0,0,0,108,0,0,0,387,0,0,0,197,0,0,0,76,0,0,0,0,132,0,0,0,97,0,0,0,0,16,0,0,0,39,1179,768,229,55,
"Renfrew North East",64,0,0,0,278,0,0,0,0,49,0,0,0,281,0,0,0,414,0,0,0,79,0,0,0,0,82,0,0,0,65,0,0,0,0,31,0,0,0,25,342,821,147,60,
"Erskine East and Inchinnan",276,0,0,0,271,0,0,0,0,273,0,0,0,452,0,0,0,485,0,0,0,273,0,0,0,0,75,0,0,0,77,0,0,0,0,25,0,0,0,33,545,1483,153,59,
"Erskine Central",390,0,0,0,364,0,0,0,0,241,0,0,0,302,0,0,0,337,0,0,0,191,0,0,0,0,131,0,0,0,113,0,0,0,0,32,0,0,0,37,754,1071,244,69,
"Erskine West",384,0,0,0,422,0,0,0,0,223,0,0,0,352,0,0,0,423,0,0,0,229,0,0,0,0,176,0,0,0,145,0,0,0,0,43,0,0,0,36,809,1227,321,79,
"Bishopton",319,0,0,0,179,0,0,0,0,359,0,0,0,371,0,0,0,366,0,0,0,212,0,0,0,0,49,0,0,0,71,0,0,0,0,13,0,0,0,22,497,1309,120,35,
"Linwood South",323,0,0,0,624,0,0,0,0,119,0,0,0,250,0,0,0,261,0,0,0,114,0,0,0,0,186,0,0,0,127,0,0,0,0,33,0,0,0,46,946,744,313,79,
"Linwood North",349,0,0,0,370,0,0,0,0,135,0,0,0,239,0,0,0,334,0,0,0,175,0,0,0,0,156,0,0,0,157,0,0,0,0,38,0,0,0,33,716,883,313,75,
"Houston South",186,0,0,0,191,0,0,0,0,165,0,0,0,266,0,0,0,302,0,0,0,110,0,0,0,0,48,0,0,0,26,0,0,0,0,3,0,0,0,16,377,843,78,21,
"Houston North",159,0,0,0,122,0,0,0,0,205,0,0,0,198,0,0,0,335,0,0,0,129,0,0,0,0,61,0,0,0,41,0,0,0,0,12,0,0,0,7,278,867,105,19,
"Bridge of Weir",348,0,0,0,328,0,0,0,0,249,0,0,0,348,0,0,0,473,0,0,0,161,0,0,0,0,117,0,0,0,65,0,0,0,0,21,0,0,0,37,673,1229,182,58,
"Tweeddale West",290,0,0,0,292,0,0,0,0,333,0,0,0,594,0,0,0,525,0,0,0,163,0,0,0,0,99,0,0,0,73,0,0,0,0,30,0,0,0,53,586,1618,172,86,
"Peebles North",543,0,0,0,584,0,0,0,0,231,0,0,0,359,0,0,0,340,0,0,0,95,0,0,0,0,107,0,0,0,71,0,0,0,0,12,0,0,0,39,1127,1029,175,51,
"Peebles South",284,0,0,0,193,0,0,0,0,299,0,0,0,354,0,0,0,453,0,0,0,139,0,0,0,0,102,0,0,0,77,0,0,0,0,16,0,0,0,18,477,1242,183,34,
"Innerleithen",277,0,0,0,304,0,0,0,0,180,0,0,0,276,0,0,0,259,0,0,0,87,0,0,0,0,69,0,0,0,39,0,0,0,0,13,0,0,0,24,581,798,108,37,
"Tweeddale East",222,0,0,0,229,0,0,0,0,200,0,0,0,323,0,0,0,298,0,0,0,99,0,0,0,0,52,0,0,0,37,0,0,0,0,17,0,0,0,20,450,917,88,37,
"Gala Water Valley and Earlston Area",276,0,0,0,293,0,0,0,0,210,0,0,0,405,0,0,0,351,0,0,0,114,0,0,0,0,80,0,0,0,51,0,0,0,0,20,0,0,0,33,565,1077,131,53,
"Galashiels North",263,0,0,0,634,0,0,0,0,132,0,0,0,371,0,0,0,257,0,0,0,79,0,0,0,0,102,0,0,0,57,0,0,0,0,18,0,0,0,52,897,837,156,74,
"Galashiels West",236,0,0,0,549,0,0,0,0,99,0,0,0,258,0,0,0,181,0,0,0,84,0,0,0,0,78,0,0,0,65,0,0,0,0,11,0,0,0,57,786,625,143,74,
"Galashiels South",336,0,0,0,307,0,0,0,0,225,0,0,0,252,0,0,0,219,0,0,0,68,0,0,0,0,65,0,0,0,36,0,0,0,0,14,0,0,0,26,643,764,101,40,
"Galashiels Langlee",205,0,0,0,373,0,0,0,0,74,0,0,0,163,0,0,0,145,0,0,0,57,0,0,0,0,100,0,0,0,59,0,0,0,0,15,0,0,0,16,578,439,159,35,
"Tweedbank and Galashiels Melrose Gait",139,0,0,0,209,0,0,0,0,118,0,0,0,293,0,0,0,322,0,0,0,89,0,0,0,0,93,0,0,0,57,0,0,0,0,23,0,0,0,21,354,822,148,44,
"Melrose Darnick Gattonside and Newstead",313,0,0,0,298,0,0,0,0,274,0,0,0,264,0,0,0,247,0,0,0,96,0,0,0,0,58,0,0,0,40,0,0,0,0,15,0,0,0,20,611,883,98,35,
"Lauderdale",175,0,0,0,153,0,0,0,0,177,0,0,0,314,0,0,0,316,0,0,0,77,0,0,0,0,68,0,0,0,36,0,0,0,0,17,0,0,0,21,331,884,104,38,
"Berwickshire West",255,0,0,0,264,0,0,0,0,222,0,0,0,434,0,0,0,346,0,0,0,115,0,0,0,0,46,0,0,0,43,0,0,0,0,30,0,0,0,31,522,1117,89,61,
"Duns",284,0,0,0,303,0,0,0,0,182,0,0,0,244,0,0,0,227,0,0,0,91,0,0,0,0,91,0,0,0,60,0,0,0,0,14,0,0,0,26,587,744,151,42,
"Berwickshire East",303,0,0,0,279,0,0,0,0,286,0,0,0,449,0,0,0,267,0,0,0,107,0,0,0,0,65,0,0,0,49,0,0,0,0,31,0,0,0,40,587,1109,113,70,
"Eyemouth",294,0,0,0,281,0,0,0,0,189,0,0,0,285,0,0,0,273,0,0,0,95,0,0,0,0,131,0,0,0,70,0,0,0,0,27,0,0,0,35,575,844,199,62,
"Chirnside and Area",267,0,0,0,285,0,0,0,0,297,0,0,0,452,0,0,0,338,0,0,0,127,0,0,0,0,69,0,0,0,45,0,0,0,0,15,0,0,0,32,552,1214,114,51,
"Coldstream and Area",279,0,0,0,278,0,0,0,0,254,0,0,0,300,0,0,0,161,0,0,0,67,0,0,0,0,67,0,0,0,36,0,0,0,0,13,0,0,0,27,557,782,99,40,
"Cheviot East",274,0,0,0,206,0,0,0,0,293,0,0,0,410,0,0,0,223,0,0,0,106,0,0,0,0,41,0,0,0,27,0,0,0,0,21,0,0,0,27,480,1032,68,45,
"Kelso North",420,0,0,0,386,0,0,0,0,314,0,0,0,377,0,0,0,281,0,0,0,115,0,0,0,0,121,0,0,0,78,0,0,0,0,6,0,0,0,25,803,1087,196,34,
"Kelso South",272,0,0,0,311,0,0,0,0,195,0,0,0,228,0,0,0,167,0,0,0,60,0,0,0,0,51,0,0,0,43,0,0,0,0,8,0,0,0,19,580,650,94,27,
"Cheviot West",170,0,0,0,195,0,0,0,0,207,0,0,0,340,0,0,0,170,0,0,0,88,0,0,0,0,27,0,0,0,25,0,0,0,0,14,0,0,0,26,365,806,52,45,
"St Boswells Newtown and Area",322,0,0,0,289,0,0,0,0,217,0,0,0,356,0,0,0,297,0,0,0,110,0,0,0,0,108,0,0,0,58,0,0,0,0,12,0,0,0,27,611,976,170,42,
"Jedburgh",356,0,0,0,411,0,0,0,0,226,0,0,0,349,0,0,0,306,0,0,0,116,0,0,0,0,121,0,0,0,69,0,0,0,0,15,0,0,0,19,767,1000,188,34,
"Denholm Upper Teviotdale and Liddesdale",318,0,0,0,238,0,0,0,0,312,0,0,0,507,0,0,0,265,0,0,0,131,0,0,0,0,49,0,0,0,46,0,0,0,0,22,0,0,0,43,556,1211,95,70,
"Hawick - Burnfoot",173,0,0,0,218,0,0,0,0,67,0,0,0,174,0,0,0,231,0,0,0,66,0,0,0,0,157,0,0,0,58,0,0,0,0,24,0,0,0,20,391,532,216,41,
"Hawick - South East",449,0,0,0,664,0,0,0,0,239,0,0,0,401,0,0,0,231,0,0,0,112,0,0,0,0,81,0,0,0,51,0,0,0,0,19,0,0,0,31,1113,983,132,50,
"Hawick - South",317,0,0,0,403,0,0,0,0,219,0,0,0,295,0,0,0,201,0,0,0,89,0,0,0,0,60,0,0,0,42,0,0,0,0,13,0,0,0,29,722,804,100,42,
