SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Insch, Oyne and Ythanwells",227,0,0,0,289,0,0,0,0,233,0,0,0,386,0,0,0,413,0,0,0,98,0,0,0,0,76,0,0,0,51,0,0,0,0,21,0,0,0,22,514,1130,127,42,
"Clashindarroch",228,0,0,0,244,0,0,0,0,231,0,0,0,530,0,0,0,415,0,0,0,143,0,0,0,0,61,0,0,0,56,0,0,0,0,28,0,0,0,40,474,1319,120,68,
"Huntly",482,0,0,0,516,0,0,0,0,223,0,0,0,349,0,0,0,275,0,0,0,82,0,0,0,0,133,0,0,0,67,0,0,0,0,12,0,0,0,32,998,925,200,44,
"Auchterless and Monquhitter",83,0,0,0,132,0,0,0,0,124,0,0,0,326,0,0,0,254,0,0,0,84,0,0,0,0,23,0,0,0,25,0,0,0,0,27,0,0,0,28,215,788,52,53,
"Turriff",452,0,0,0,436,0,0,0,0,270,0,0,0,350,0,0,0,286,0,0,0,117,0,0,0,0,119,0,0,0,67,0,0,0,0,15,0,0,0,39,891,1024,186,54,
"Portsoy, Fordyce and Cornhill",288,0,0,0,273,0,0,0,0,192,0,0,0,323,0,0,0,218,0,0,0,101,0,0,0,0,47,0,0,0,42,0,0,0,0,20,0,0,0,23,558,834,89,43,
"Aberchirder and Whitehills",293,0,0,0,302,0,0,0,0,237,0,0,0,375,0,0,0,323,0,0,0,127,0,0,0,0,57,0,0,0,52,0,0,0,0,13,0,0,0,39,595,1055,109,55,
"Banff",373,0,0,0,484,0,0,0,0,194,0,0,0,348,0,0,0,248,0,0,0,101,0,0,0,0,105,0,0,0,96,0,0,0,0,20,0,0,0,19,854,896,201,39,
"Macduff",285,0,0,0,427,0,0,0,0,154,0,0,0,341,0,0,0,298,0,0,0,115,0,0,0,0,99,0,0,0,65,0,0,0,0,21,0,0,0,19,712,908,164,37,
"Gardenstown and King Edward",183,0,0,0,197,0,0,0,0,190,0,0,0,321,0,0,0,251,0,0,0,104,0,0,0,0,47,0,0,0,37,0,0,0,0,15,0,0,0,26,380,863,85,45,
"New Pitsligo",179,0,0,0,225,0,0,0,0,146,0,0,0,275,0,0,0,223,0,0,0,97,0,0,0,0,54,0,0,0,45,0,0,0,0,23,0,0,0,27,404,740,99,50,
"Deer and Mormond",297,0,0,0,344,0,0,0,0,227,0,0,0,450,0,0,0,436,0,0,0,152,0,0,0,0,89,0,0,0,52,0,0,0,0,29,0,0,0,52,641,1269,144,80,
"Mintlaw",256,0,0,0,233,0,0,0,0,172,0,0,0,235,0,0,0,254,0,0,0,86,0,0,0,0,76,0,0,0,52,0,0,0,0,10,0,0,0,20,489,744,131,30,
"Auchnagatt",135,0,0,0,148,0,0,0,0,145,0,0,0,295,0,0,0,324,0,0,0,109,0,0,0,0,45,0,0,0,36,0,0,0,0,24,0,0,0,14,283,873,78,35,
"Cruden",284,0,0,0,371,0,0,0,0,231,0,0,0,456,0,0,0,384,0,0,0,146,0,0,0,0,129,0,0,0,74,0,0,0,0,34,0,0,0,27,655,1217,203,61,
"Peterhead Links",292,0,0,0,302,0,0,0,0,209,0,0,0,361,0,0,0,319,0,0,0,144,0,0,0,0,114,0,0,0,77,0,0,0,0,26,0,0,0,15,597,1031,191,41,
"Peterhead Bay",234,0,0,0,329,0,0,0,0,128,0,0,0,175,0,0,0,154,0,0,0,64,0,0,0,0,57,0,0,0,48,0,0,0,0,23,0,0,0,17,560,525,107,43,
"Peterhead Harbour",496,0,0,0,1134,0,0,0,0,144,0,0,0,406,0,0,0,387,0,0,0,144,0,0,0,0,255,0,0,0,159,0,0,0,0,53,0,0,0,85,1630,1081,414,138,
