SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Brechin East",170,65,390,115,15,183,110,149,54,4,42,74,89,13,0,17,60,49,21,0,4,25,31,8,1,416,334,705,212,20,
"Brechin West",326,134,149,113,18,397,162,84,77,10,61,88,18,22,1,31,94,19,18,3,10,37,16,6,0,825,515,286,236,32,
"Letham and Glamis",357,115,110,113,40,652,277,50,149,28,124,155,26,48,6,47,177,10,43,10,13,45,4,22,1,1195,769,200,372,83,
"Forfar East",341,102,139,147,17,487,170,82,56,7,65,127,44,11,1,28,144,19,23,0,4,46,6,15,1,927,589,291,252,30,
"Forfar Central",308,119,500,145,15,231,131,213,83,9,37,85,91,50,0,17,62,72,22,0,4,24,46,14,0,595,421,922,310,23,
"Forfar West",353,143,352,46,18,407,217,172,68,6,74,114,60,35,2,21,110,31,10,0,9,29,20,9,0,864,608,632,173,21,
"Kirriemuir Landward",186,46,57,93,11,249,106,41,83,15,39,62,16,40,2,31,73,14,28,5,10,22,5,10,2,518,306,135,258,38,
"Kirriemuir",443,149,336,187,33,606,208,145,91,9,106,141,71,33,2,36,174,34,18,2,8,47,28,12,0,1196,715,611,341,46,
"Angus Glens",226,49,62,108,49,355,141,27,113,36,66,78,5,31,16,45,64,5,34,11,14,34,2,14,6,706,364,98,300,118,
"Mull, Iona, Coll and Tiree",357,74,145,115,41,448,142,60,77,16,78,67,27,19,8,59,85,27,18,13,17,50,14,6,4,959,416,270,237,82,
"Oban South",382,172,456,152,20,339,199,179,102,9,82,130,101,36,3,37,123,72,28,2,15,57,36,4,2,853,679,842,318,35,
"Oban North",250,105,135,125,20,194,106,61,75,2,42,55,25,19,1,15,75,14,16,1,7,15,4,3,0,512,349,239,238,24,
"Benderloch Trail",192,42,65,52,16,293,84,25,34,8,50,51,25,17,4,29,61,16,18,3,12,22,8,8,0,573,260,139,121,31,
"Glen Lonan",212,44,118,68,24,308,115,115,53,6,68,75,59,17,5,34,78,46,12,2,15,30,18,5,0,637,345,356,155,35,
"Loch Awe",216,52,28,60,23,347,91,26,57,11,44,41,13,20,10,18,29,5,21,5,11,19,4,2,5,638,225,80,152,54,
"Mid Argyll",249,66,84,73,13,390,112,57,62,18,57,59,20,24,0,24,76,26,15,1,7,19,19,5,3,728,336,206,179,35,
"Greater Lochgilphead",309,110,331,69,13,289,141,142,36,5,46,73,57,14,2,28,98,59,16,0,5,31,17,5,0,676,454,605,141,20,
"Knapdale",259,68,112,61,35,302,90,42,54,22,44,55,14,16,7,21,46,13,13,3,11,14,8,3,2,640,269,192,147,69,
"Whisky Isles",321,57,231,71,32,333,88,121,52,29,68,43,46,19,12,34,42,42,23,13,9,27,24,9,3,771,259,463,173,88,
"Kintyre Trail",279,51,92,47,16,397,111,41,50,12,81,46,29,30,4,49,46,9,10,4,22,23,10,6,0,824,277,180,144,34,
"Campbeltown",390,109,472,128,31,334,130,172,38,13,59,72,79,16,4,37,110,46,5,4,10,33,26,6,1,834,452,792,192,49,
"Bute",328,55,71,92,16,371,87,22,67,6,50,30,6,29,2,17,28,2,24,0,13,18,3,17,1,772,218,104,229,22,
"Rothesay Town",324,81,519,141,24,232,109,128,49,5,46,53,69,23,2,18,42,32,17,1,3,20,32,7,0,620,302,779,237,29,
"Cowal South",616,113,116,130,31,778,188,74,90,10,95,80,32,34,6,49,83,29,20,6,17,30,6,7,2,1556,489,257,280,55,
"Hunter's Quay",497,119,302,118,18,533,169,122,83,6,71,115,52,31,5,51,108,42,21,1,8,21,9,9,0,1157,532,524,267,29,
"Dunoon",403,145,326,153,13,355,145,92,123,8,66,94,37,39,3,17,106,28,29,0,15,30,13,9,0,856,517,499,355,24,
"Garelochhead",302,107,142,52,15,432,200,80,48,5,82,135,47,17,2,23,121,29,8,2,14,46,16,6,0,849,605,310,131,26,
"Helensburgh West and Rhu",344,119,61,67,7,523,203,39,54,5,72,148,20,36,1,40,160,13,33,0,9,48,7,16,0,988,675,140,206,13,
"Helensburgh North",251,51,58,40,10,454,137,49,38,4,77,133,21,43,0,36,114,23,31,0,10,46,18,31,0,827,481,169,183,19,
