SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Dunfermline Halbeath and Lynebank",116,94,66,24,2,195,256,39,25,2,55,233,40,15,0,26,213,29,12,3,7,69,25,5,0,402,865,197,76,4,
"Dunfermline Touch and Woodmill",137,92,300,44,12,126,117,151,56,4,34,85,71,30,5,11,76,37,26,1,4,29,23,8,0,312,399,586,164,21,
"Dunfermline Abbeyview North",160,112,365,46,13,142,152,171,48,6,32,96,118,36,1,10,88,91,38,0,11,28,46,12,1,352,478,795,181,22,
"Dunfermline Abbeyview South",169,99,102,24,12,150,130,75,48,0,49,101,45,34,2,17,80,39,27,1,5,27,11,6,0,392,437,272,139,16,
"Dunfermline Duloch South",68,119,17,52,3,152,168,15,38,0,56,191,15,15,1,41,268,9,18,1,15,80,9,7,0,333,826,61,129,5,
"Dunfermline Masterton",90,151,30,24,2,132,283,21,50,0,33,245,15,15,2,28,304,12,10,1,10,72,13,8,0,292,1055,91,107,6,
"Dunfermline Pitcorthie East",227,74,9,39,1,398,185,7,31,2,76,141,2,15,0,40,164,2,15,0,9,47,0,10,0,747,611,20,110,3,
"Dunfermline Pitcorthie West",204,70,22,33,8,310,123,15,29,1,57,71,5,20,0,21,88,6,6,0,8,20,3,5,0,600,375,51,93,9,
"Rosyth North",196,91,76,47,8,216,142,57,56,4,46,112,33,19,4,11,89,25,21,0,5,30,10,13,1,470,468,197,156,15,
"Rosyth East",198,98,116,41,12,224,145,96,52,4,53,86,59,24,2,20,75,38,22,0,6,28,16,9,2,497,431,333,145,20,
"Rosyth Central",207,106,311,67,15,231,155,153,56,8,48,88,93,21,3,17,79,28,20,0,3,30,26,13,0,503,461,610,174,26,
"Rosyth South",67,47,41,38,1,115,102,75,35,3,36,88,41,17,1,15,93,30,18,0,3,42,24,13,0,228,372,208,117,6,
"North Queensferry and Inverkeithing West",239,189,137,134,9,301,188,85,95,3,67,116,45,36,2,28,115,24,22,0,10,39,17,13,0,645,643,308,300,16,
"Inverkeithing East",183,85,149,84,4,189,164,119,50,0,41,104,70,25,0,12,75,32,17,0,7,30,36,6,1,432,458,402,181,7,
"Dalgety Bay West and Hillend",119,70,2,8,3,190,129,4,24,0,58,125,2,9,1,23,140,2,9,0,12,38,1,2,0,398,505,11,51,4,
"Dalgety Bay Central",406,152,7,139,10,568,208,11,81,3,74,109,0,13,1,36,155,0,12,0,11,41,1,6,0,1091,662,21,251,16,
"Dalgety Bay East",196,46,23,13,8,327,122,14,20,1,50,81,10,16,2,12,95,6,11,2,10,28,3,7,0,592,369,56,67,12,
"Crossgates and South Knowe",208,105,52,43,10,270,177,46,32,5,50,146,19,18,0,20,118,20,10,1,6,36,4,6,0,554,580,141,108,17,
"Hill of Beath",129,107,203,32,11,187,145,143,34,2,48,133,76,11,3,10,81,57,13,2,1,22,26,6,0,372,484,508,92,21,
"Cowdenbeath South",165,93,275,54,13,181,114,149,41,7,38,81,74,15,1,14,39,49,15,1,4,40,14,5,1,399,367,561,130,25,
"Cowdenbeath North",217,123,241,83,24,331,236,112,47,10,68,174,52,19,0,32,193,32,20,1,5,64,27,8,2,656,788,467,181,38,
"Kelty West",132,58,171,15,12,180,92,105,21,1,41,73,83,5,4,16,42,74,5,1,5,27,38,7,0,374,295,472,56,20,
"Kelty East and Landward",237,112,265,71,19,293,202,133,44,3,37,122,56,23,3,22,135,35,12,1,6,57,15,4,0,595,631,502,154,26,
"Lochore and Crosshill",140,51,200,48,16,173,89,130,32,3,50,60,68,12,2,8,49,35,13,0,8,18,17,1,0,379,267,454,106,24,
"Ballingry",112,54,217,19,11,117,85,185,31,6,27,43,140,16,4,14,61,95,11,1,10,18,52,8,0,280,265,685,84,24,
"Cardenden",204,119,401,49,12,309,188,271,44,3,57,140,120,18,2,25,115,98,15,0,10,33,38,15,1,603,600,925,137,14,
"Lochgelly East",245,138,255,54,14,362,209,171,43,8,83,155,61,19,6,26,161,40,12,0,6,36,15,7,0,723,702,550,138,26,
"Lochgelly West and Lumphinnans",153,84,269,65,19,163,101,182,47,7,32,59,65,24,3,14,46,26,13,0,1,18,21,1,1,363,307,567,150,30,
"Aberdour and Auchtertool",254,82,104,70,23,317,128,45,58,10,60,111,12,29,0,33,109,13,9,1,6,47,8,4,0,669,478,182,170,32,
"Burntisland West",238,98,222,94,27,248,131,114,41,4,63,127,45,24,7,21,134,26,9,1,4,57,23,4,1,574,547,431,172,37,
"Burntisland East",235,82,76,29,11,303,107,42,29,4,37,85,32,9,1,12,87,16,8,0,1,13,4,7,2,588,370,170,86,18,
"Kinghorn",286,72,110,61,14,293,128,50,43,6,37,72,24,8,0,27,65,11,5,3,6,13,4,3,0,649,356,199,120,23,
"Kirkcaldy Linktown and Seafield",221,104,418,140,19,265,136,190,83,5,51,97,89,43,1,35,130,58,24,2,15,39,24,15,0,584,505,777,301,29,
"Kirkcaldy Central",347,147,197,180,13,274,142,45,112,4,47,71,29,33,4,23,69,14,12,2,7,27,6,5,1,697,458,291,344,21,
"Kirkcaldy Bennochy East",337,191,99,285,21,217,134,38,127,7,29,51,22,31,0,16,47,8,21,0,0,19,0,9,0,601,442,166,473,29,
"Kirkcaldy Bennochy West",208,81,152,44,13,222,104,75,48,3,43,81,45,27,1,9,93,30,20,0,7,28,22,6,0,488,387,321,145,15,
"Kirkcaldy Raith",201,63,1,48,3,343,103,6,19,2,57,77,4,20,2,25,109,3,9,1,14,36,0,3,0,642,388,13,92,5,
"Kirkcaldy Newliston and Redcraigs",233,90,127,31,12,328,135,66,30,4,45,96,26,23,2,22,92,22,14,0,5,34,19,2,0,633,448,253,101,16,
"Kirkcaldy Templehall West",145,80,261,35,14,154,115,178,27,4,26,78,107,34,1,5,60,48,18,1,2,21,20,7,0,332,358,614,121,26,
"Kirkcaldy Templehall East",199,88,447,31,15,209,116,280,46,8,46,101,169,38,2,30,95,85,32,4,9,44,42,14,0,491,444,1024,163,27,
"Kirkcaldy Dunnikier",258,75,2,8,6,445,151,5,18,4,69,104,1,14,1,35,136,2,8,2,9,39,3,3,0,812,505,9,55,14,
"Kirkcaldy Chapel",199,135,186,36,9,317,240,72,30,3,72,204,34,39,3,46,252,15,22,0,13,106,13,17,1,647,939,320,144,16,
"Kirkcaldy Hayfield and Smeaton",182,88,224,84,19,187,115,154,65,8,37,73,81,39,1,12,66,74,29,0,5,33,55,13,1,423,379,585,236,30,
"Kirkcaldy Pathhead",304,140,181,173,8,247,118,60,118,8,38,48,12,28,1,13,61,6,16,0,2,18,0,4,0,603,385,257,344,17,
"Kirkcaldy Gallatown and Sinclairtown",254,154,623,117,32,143,132,304,89,10,35,81,149,36,2,7,65,110,22,0,5,17,60,15,0,444,448,1242,279,44,
"Dysart",224,122,392,97,18,224,115,140,61,5,46,68,55,39,0,23,96,38,15,0,5,27,23,18,0,522,432,651,232,23,
"Wemyss",197,76,247,89,20,295,164,129,44,7,40,107,40,28,2,20,104,20,16,1,7,26,9,13,0,559,473,445,191,30,
"Thornton and Kinglassie",286,147,253,62,18,363,254,166,68,10,60,195,89,28,4,21,159,60,18,1,4,58,29,9,1,729,816,594,189,32,
"Leslie and Newcastle",266,112,256,81,23,334,165,118,62,4,57,114,50,29,1,26,98,48,28,2,13,44,12,12,0,690,533,484,213,32,
"Glenrothes Macedonia and Tanshall",213,115,300,82,13,172,142,198,86,4,50,70,86,64,0,22,75,73,36,2,9,34,57,22,0,470,436,714,290,19,
"Glenrothes South Parks",194,46,125,52,9,174,103,45,37,4,27,59,19,29,0,22,50,14,16,0,6,20,5,8,0,423,280,208,141,13,
"Glenrothes Caskieberran and Rimbleton",272,131,214,63,19,295,183,78,82,4,66,132,34,49,0,29,116,15,35,3,11,43,23,24,2,673,605,367,250,28,
"Glenrothes Auchmuty",161,70,240,84,16,162,91,132,82,8,40,71,69,40,1,15,48,34,31,5,7,30,25,19,0,383,310,503,256,27,
"Glenrothes Stenton and Finglassie",176,66,165,24,11,336,125,73,25,3,67,79,38,15,0,22,77,26,10,0,5,18,9,6,1,603,365,313,84,14,
"Glenrothes Pitteuchar",292,140,195,46,16,387,207,71,70,6,58,154,45,53,0,40,181,24,34,0,13,61,11,18,0,791,743,351,218,21,
"Glenrothes Woodside",178,63,121,21,10,179,97,58,36,5,38,95,36,19,0,21,87,23,18,0,10,37,9,6,0,427,379,243,92,15,
"Glenrothes Balgeddie",231,70,7,20,9,395,169,2,18,7,65,115,7,4,0,29,124,0,2,2,8,49,2,4,0,731,528,17,46,15,
"Glenrothes Collydean",57,52,254,20,5,74,57,131,22,3,15,38,72,12,0,8,31,54,19,0,5,16,35,17,0,155,194,542,91,8,
"Glenrothes Cadham and Pitcoudie",112,67,207,57,5,170,87,81,40,3,36,64,26,24,0,11,68,31,12,0,1,24,26,5,4,332,310,371,134,13,
"Glenrothes Balfarg Pitcairn and Coul",112,59,185,10,10,277,142,71,12,1,43,94,31,12,0,13,98,12,4,0,3,24,11,2,0,448,418,309,40,12,
"Markinch and Star",268,117,83,88,16,431,213,42,52,11,84,147,19,16,1,34,180,12,10,0,3,50,7,3,0,827,708,163,171,26,
"Windygates and Coaltown",270,75,88,69,21,354,123,48,61,7,66,110,26,10,2,25,102,6,11,1,13,28,4,4,3,735,440,169,149,34,
"Buckhaven Denbeath and Muiredge",310,111,488,163,29,314,152,249,88,6,75,108,93,39,2,17,76,58,20,1,12,28,30,18,0,728,475,917,331,38,
"Methil Methilhill",243,102,281,34,15,235,141,207,52,7,68,113,121,41,2,27,99,99,15,3,9,28,44,20,0,582,483,752,161,30,
"Methil West",132,57,333,85,15,97,62,148,45,7,17,30,63,20,0,17,31,36,10,0,3,15,31,11,0,263,188,610,171,21,
"Methil East",206,93,270,142,13,178,84,140,76,3,42,48,80,30,4,13,41,60,25,0,1,13,48,9,1,441,279,598,277,24,
"Leven East",304,96,254,195,29,262,109,81,103,5,35,68,30,24,1,19,62,14,17,2,8,24,1,13,0,628,357,379,352,38,
"Leven West",199,113,177,44,11,245,162,127,60,10,61,144,57,21,2,19,144,47,20,0,3,34,24,8,0,527,601,431,153,20,
"Leven North",185,67,113,17,14,291,120,72,22,5,56,89,36,11,1,22,91,24,9,1,1,29,22,13,0,555,391,265,71,16,
"Largo",265,61,45,40,8,352,94,33,29,1,51,57,12,11,1,24,55,6,8,1,8,17,3,1,0,696,285,99,91,11,
"Kennoway and Bonnybank",290,85,297,44,25,482,207,189,54,13,97,161,130,30,4,32,122,70,16,0,20,47,44,11,0,925,626,729,157,39,
"Kettle and Ladybank",285,79,117,70,14,452,192,55,77,7,83,113,36,12,3,40,111,16,13,2,16,42,9,9,0,880,538,233,185,21,
"Falkland and Freuchie",182,64,49,47,7,267,123,24,38,11,42,62,11,12,1,18,70,8,11,1,2,21,5,6,0,511,340,100,112,20,
"Auchtermuchty and Gateside",273,90,145,60,15,407,179,75,62,8,68,124,35,12,3,27,126,29,5,5,22,48,11,7,2,797,566,293,147,32,
"Newburgh",209,72,136,79,11,285,128,59,44,6,48,60,23,24,4,22,66,18,12,2,11,21,6,8,0,577,347,242,167,20,
"Cupar West and Springfield",240,69,87,65,10,401,144,48,54,9,60,110,32,20,0,32,143,21,12,1,9,42,15,4,1,742,507,203,155,21,
"Cupar Central",171,108,314,132,6,147,105,111,93,4,33,69,59,42,2,20,56,32,24,0,6,25,20,14,0,375,359,536,304,12,
"Cupar East",404,118,79,55,17,450,149,56,54,2,77,107,20,27,4,32,106,12,11,0,8,33,6,4,0,977,513,173,152,25,
"Dairsie Ceres and Dunino",202,60,47,59,17,371,109,17,65,7,67,77,8,21,2,31,79,7,12,2,11,28,2,3,1,685,349,82,160,21,
"Elie Colinsburgh and Largoward",214,51,67,60,22,259,95,42,58,13,38,25,31,31,2,23,42,22,21,5,14,24,7,7,0,550,236,169,171,41,
"St Monans and Pittenweem",292,66,153,86,9,331,101,71,50,8,49,59,33,19,2,22,56,14,16,4,2,25,16,10,0,698,308,288,178,28,
"Anstruther",316,106,184,86,18,405,138,95,74,7,79,91,48,31,2,36,114,22,28,0,9,35,22,15,3,852,488,374,235,30,
"Crail and Boarhills",256,47,94,87,21,327,86,49,62,7,44,46,13,19,2,22,38,11,16,1,1,9,5,10,1,646,225,173,194,33,
"St Andrews South East",212,53,204,89,19,236,68,120,211,2,50,55,47,73,1,19,43,40,39,1,3,12,9,17,0,517,232,422,425,24,
"St Andrews Central",246,62,180,192,25,141,56,72,461,11,31,20,25,141,0,4,15,18,123,0,4,4,7,74,0,427,155,302,994,37,
"St Andrews South West",326,67,40,47,5,440,98,19,158,3,74,70,23,39,3,32,105,11,45,3,6,30,4,38,0,882,369,98,330,22,
"St Andrews North and Strathkinness",230,39,29,62,9,331,77,16,74,3,58,51,6,30,0,25,61,0,42,4,7,24,2,24,2,651,254,54,232,17,
"Leuchars and Guardbridge",110,71,107,79,4,147,111,79,181,2,37,71,51,96,4,11,55,32,92,0,7,16,47,61,0,310,324,315,509,8,
"Balmullo and Gauldry",271,80,31,76,16,465,161,21,97,14,79,88,3,22,3,43,102,6,17,1,18,35,6,17,1,874,462,67,224,35,
"Tayport",275,91,176,72,11,362,172,99,88,2,57,120,42,30,2,34,95,28,24,2,18,27,16,13,0,746,508,362,229,17,
"Newport and Wormit",341,112,98,53,8,459,177,42,47,6,74,143,20,33,0,37,167,8,10,0,8,38,6,6,0,919,633,174,145,13,
"Darnley East",201,121,398,59,18,182,145,276,41,5,55,73,183,15,5,27,105,135,12,0,12,35,69,19,3,477,477,1061,146,30,
"Darnley North",91,115,202,20,10,119,220,75,15,2,48,182,51,11,0,31,177,46,12,2,16,138,14,35,0,302,836,388,92,12,
"Darnley West",160,150,94,47,6,204,222,40,32,7,57,209,16,21,3,50,222,16,23,0,26,217,8,21,0,496,1022,172,142,18,
"Nitshill",52,115,190,14,7,61,192,113,20,3,30,108,116,7,2,16,72,53,9,1,5,33,47,7,0,164,522,519,56,13,
"South Nitshill",97,62,513,60,13,93,90,285,27,0,27,75,153,16,4,18,63,76,9,1,3,35,73,4,0,238,325,1102,115,19,
"Crookston South",107,64,404,29,8,77,69,261,19,3,29,63,182,12,4,12,54,118,11,0,3,25,77,5,1,218,275,1042,77,19,
"Crookston North",196,75,176,10,14,165,109,122,26,5,60,85,71,20,4,23,64,43,9,1,10,27,37,6,2,451,361,449,77,25,
"Pollok South and West",314,168,32,31,17,423,304,22,30,4,120,291,10,17,5,75,307,12,9,1,16,158,6,21,2,951,1228,82,113,28,
"Pollok North and East",204,167,444,54,15,191,201,247,38,2,75,154,173,25,1,31,122,132,14,2,10,56,76,20,2,509,700,1072,151,25,
"Cardonald South and East",215,88,253,49,16,145,100,71,54,5,46,58,26,38,2,19,60,16,26,1,5,26,12,21,2,430,332,377,194,26,
"Cardonald North",242,105,444,44,28,153,137,188,40,5,54,77,91,24,3,16,64,71,15,5,16,35,57,7,6,475,421,847,130,47,
"Cardonald West and Central",433,182,262,75,21,412,221,66,71,6,105,166,29,40,0,41,121,19,39,1,14,58,11,11,2,1008,744,387,234,29,
"Penilee",256,126,361,36,22,195,163,177,29,2,76,141,115,35,3,19,155,83,39,2,10,76,63,24,1,558,661,796,163,32,
"Hillington",231,122,220,76,11,176,148,39,93,4,58,89,20,63,3,27,74,14,30,7,10,27,4,20,5,506,464,292,285,32,
"Drumoyne and Shieldhall",316,194,807,151,25,237,198,326,119,5,59,116,166,37,3,26,105,110,32,3,8,52,38,9,2,646,672,1448,348,36,
"Govan and Linthouse",93,101,1349,120,39,55,99,472,112,20,15,57,251,37,9,6,35,141,12,9,3,11,65,14,8,176,304,2277,300,88,
"Craigton",286,174,326,94,20,141,122,151,100,10,46,71,75,31,3,19,66,38,13,2,8,25,28,8,0,500,462,621,247,31,
"Mosspark",335,191,252,48,22,265,213,149,40,12,87,173,60,27,4,34,131,39,26,0,22,84,23,5,1,743,788,523,145,42,
"Ibrox",125,85,591,94,20,31,53,242,76,12,13,27,118,17,7,6,13,77,17,7,6,17,68,6,2,182,196,1096,209,48,
"Ibrox East and Cessnock",178,153,471,350,26,56,103,160,244,6,18,29,71,59,1,11,14,46,25,1,10,9,21,25,4,277,312,769,705,36,
"Kinning Park and Festival Park",222,234,239,235,24,128,156,110,275,12,27,48,31,86,4,20,46,28,66,1,18,24,9,48,2,414,508,419,710,43,
"Kingston West and Dumbreck",219,138,428,155,17,144,127,95,106,4,37,56,40,33,4,23,49,18,36,1,50,54,6,19,3,473,426,589,346,32,
"Pollokshields West",186,118,101,103,10,166,151,47,71,6,71,94,33,31,0,42,83,35,30,1,81,102,51,51,9,547,548,265,286,23,
"Pollokshields East",161,243,122,150,13,107,269,94,230,6,48,90,44,65,5,35,64,44,52,8,55,118,37,61,0,406,784,341,558,33,
"Govanhill West",195,215,649,307,24,78,123,208,240,6,21,28,89,60,2,12,22,97,54,2,20,66,88,111,10,331,462,1131,772,44,
"Govanhill East and Aikenhead",155,117,578,129,11,90,87,212,98,10,22,44,102,48,3,7,46,99,35,0,21,69,87,65,0,296,364,1081,372,25,
"Battlefield",309,411,218,268,20,175,445,58,279,12,52,123,11,58,0,24,85,4,26,2,26,55,5,19,0,586,1119,296,647,33,
"Strathbungo",343,398,188,419,16,200,343,43,343,5,55,107,19,72,3,26,89,22,41,0,27,39,27,30,0,647,976,301,909,25,
"Maxwell Park",440,191,69,44,17,482,281,16,79,9,122,163,3,35,6,56,166,4,12,3,110,124,6,17,6,1210,925,101,187,37,
"Shawlands West",289,385,60,317,17,123,306,21,390,2,24,54,15,49,0,9,24,11,29,2,13,17,4,13,1,458,783,109,797,20,
"Shawlands East",277,329,63,337,18,83,241,16,287,7,34,68,10,40,3,11,35,7,12,0,5,16,7,15,0,410,689,106,691,28,
"Langside",393,387,99,244,18,231,368,30,262,11,44,95,12,39,0,11,68,9,15,1,18,22,4,9,0,700,940,155,569,28,
"Pollokshaws",217,293,853,198,20,127,236,215,151,12,26,76,73,36,2,15,43,25,22,1,4,30,13,25,0,390,675,1182,431,34,
"Carnwadric West",141,57,665,47,16,110,93,226,30,7,41,69,118,33,3,24,64,57,18,4,21,58,51,14,2,339,338,1116,142,31,
"Carnwadric East",193,131,151,56,10,141,117,81,68,2,46,53,59,46,3,15,39,45,27,6,8,50,33,24,3,399,390,366,217,25,
"Newlands",354,128,231,28,11,384,196,65,47,10,98,165,45,27,4,54,175,39,20,0,41,86,17,11,0,922,749,400,133,27,
"Merrylee and Millbrae",213,155,63,68,8,232,177,29,51,4,64,124,24,23,0,39,132,17,14,0,15,46,9,15,1,563,634,142,171,14,
"Muirend and Old Cathcart",462,213,91,119,6,381,247,29,87,5,107,137,13,22,3,53,179,10,13,0,14,56,5,8,0,1017,833,146,249,21,
"Carmunnock North",342,138,186,55,10,446,245,115,23,7,108,199,52,24,3,59,188,50,11,4,16,91,15,9,0,971,860,422,123,22,
"Glenwood South",90,60,969,41,14,84,117,459,16,4,34,77,241,17,2,13,73,125,7,0,3,26,68,10,1,227,353,1864,90,22,
"Glenwood North",72,58,600,18,11,46,88,320,25,2,21,72,233,14,2,14,53,125,11,5,4,26,92,7,0,158,296,1371,75,20,
"Castlemilk",276,178,731,93,16,184,140,330,93,10,44,100,162,54,2,20,69,113,28,8,10,27,81,15,17,536,517,1421,281,50,
"Kingspark South",230,165,24,62,13,252,210,6,107,3,75,135,8,61,3,29,109,3,45,9,16,43,7,19,11,602,659,48,300,35,
"Kingspark North",234,141,29,51,7,328,195,11,71,3,81,138,1,42,8,41,141,9,39,1,18,46,2,15,5,702,657,55,214,24,
"Cathcart",428,549,285,504,22,240,344,113,234,7,50,127,37,28,2,24,104,29,15,0,11,36,16,12,1,753,1160,480,793,32,
"Mount Florida",270,296,257,233,22,191,285,61,217,6,51,121,12,32,2,26,67,12,18,2,8,43,3,9,2,549,812,348,505,34,
"Toryglen and Oatlands",188,108,327,50,11,117,94,168,49,11,38,73,97,19,2,20,82,48,17,3,10,42,38,27,4,371,395,680,162,27,
"Polmadie and Toryglen",97,331,327,60,17,60,288,163,108,6,16,111,72,23,6,8,71,54,11,2,1,23,43,7,1,174,824,662,208,31,
"Gorbals and Hutchesontown",220,237,1084,126,21,101,193,377,175,9,29,72,149,84,3,10,51,92,38,0,6,11,64,8,1,369,564,1764,430,36,
"Laurieston and Tradeston",186,250,549,343,28,85,179,248,479,8,27,53,102,143,4,5,39,74,43,0,8,11,73,20,2,309,528,1047,1028,42,
"Calton and Gallowgate",196,216,575,318,30,109,163,185,373,9,27,35,66,46,0,3,17,56,23,1,6,9,28,4,2,342,440,910,766,43,
"Bridgeton",133,196,394,254,10,53,116,179,258,17,17,32,65,46,0,7,20,76,22,3,3,12,59,7,4,213,376,777,590,37,
"Dalmarnock",111,171,560,88,18,68,163,281,36,3,12,50,182,11,0,14,47,120,7,4,7,34,81,0,4,214,465,1224,139,32,
"Parkhead West and Barrowfield",77,140,789,129,26,35,57,301,86,4,12,27,135,13,0,3,20,94,7,3,3,3,33,6,0,128,250,1358,244,37,
"Barrowfield Central",45,77,452,60,17,45,67,280,65,4,20,27,194,18,0,13,30,142,12,1,2,15,88,8,4,125,218,1154,163,26,
"Parkhead East and Braidfauld North",120,94,497,167,16,77,80,226,82,8,17,30,148,17,3,13,20,69,14,0,0,17,34,6,4,226,238,974,286,29,
"Braidfauld",150,120,436,89,32,100,92,193,63,5,32,43,154,31,3,22,42,66,15,4,2,18,37,8,5,305,312,886,206,48,
"Braidfauld West",35,88,335,96,11,38,119,172,64,1,11,75,113,27,7,8,66,66,17,0,2,29,24,4,0,99,377,710,208,17,
"Shettleston South",246,142,113,54,12,297,184,52,23,6,107,131,20,7,3,42,80,9,1,0,18,47,10,5,2,706,586,201,95,23,
"Carmyle and Mount Vernon South",183,83,111,16,9,181,111,71,16,0,48,71,45,15,3,21,72,28,11,0,4,19,10,3,0,437,356,268,63,13,
"Mount Vernon North and Sandyhills",295,90,21,39,9,394,174,17,31,1,97,128,7,19,4,37,111,8,6,5,15,31,3,3,0,838,537,62,100,20,
"Baillieston West",245,115,183,25,14,289,136,94,35,6,75,112,48,16,0,35,101,25,14,1,2,16,18,9,0,653,483,367,101,20,
"Baillieston East",210,164,147,80,19,193,217,92,57,5,75,176,27,19,3,36,145,8,9,2,15,45,6,3,1,523,747,280,168,29,
"Baillieston South",37,96,37,24,3,71,297,44,20,0,43,242,15,5,3,29,264,4,2,0,12,100,6,3,1,192,999,104,57,6,
"Garrowhill West",267,94,31,18,8,431,214,7,16,1,118,167,5,16,2,53,128,9,10,0,20,40,4,6,0,883,647,56,59,8,
"Garrowhill East and Swinton",250,142,29,19,10,334,245,11,33,2,109,194,8,16,1,56,146,8,8,0,15,57,4,4,3,763,784,61,79,16,
"Easterhouse East",131,124,291,83,15,114,138,102,55,10,44,102,58,35,3,17,79,33,25,7,10,17,12,9,7,316,456,497,207,35,
"Central Easterhouse",47,27,521,20,17,19,27,286,8,6,10,16,146,6,2,4,7,75,5,1,2,6,39,3,0,79,83,1068,41,26,
"Garthamlock, Auchinlea and Gartloch",78,101,300,51,9,119,168,175,30,8,57,123,116,21,0,24,157,51,19,4,11,59,46,13,2,287,608,698,131,23,
"North Barlanark and Easterhouse South",29,23,492,9,10,30,17,349,9,11,8,16,219,14,1,3,22,116,4,3,7,12,81,1,0,72,91,1255,39,24,
"Barlanark",116,106,578,64,15,128,176,294,41,8,48,128,225,16,4,24,106,118,22,10,5,30,82,17,7,321,554,1294,163,47,
"Greenfield",312,153,529,94,26,268,158,207,88,7,68,100,106,24,5,31,103,57,20,2,16,26,32,6,5,695,540,931,235,45,
"Shettleston North",236,162,864,192,35,151,121,213,94,17,33,68,117,45,3,14,47,42,24,8,4,9,25,4,4,441,406,1256,359,66,
"Tollcross",197,133,443,133,17,121,113,242,83,9,48,51,117,27,1,11,32,72,15,6,3,14,23,6,1,383,344,899,264,38,
"Old Shettleston and Parkhead North",123,143,601,95,21,108,183,350,62,8,29,140,182,26,4,20,88,127,13,6,5,35,64,10,5,281,593,1324,206,44,
"Carntyne",274,105,370,65,15,190,118,166,64,6,57,77,50,31,3,21,40,38,17,3,7,11,19,3,2,547,351,646,178,28,
"Cranhill, Lightburn and Queenslie South",237,97,702,51,16,177,151,367,43,7,70,115,243,36,6,31,72,153,20,7,10,43,104,11,10,522,475,1569,161,44,
"Craigend and Ruchazie",177,112,724,41,16,157,184,353,45,10,31,132,155,19,5,15,100,90,20,5,5,41,51,5,5,385,570,1377,132,41,
"Riddrie and Hogganfield",228,146,527,61,17,192,157,259,67,10,61,101,117,38,1,20,74,92,12,8,7,43,73,14,3,507,521,1071,192,36,
"Blackhill and Barmulloch East",208,123,376,36,17,173,117,265,35,7,62,106,156,28,2,24,91,89,27,2,7,31,56,15,5,474,472,945,143,32,
"Robroyston and Millerston",78,96,4,6,4,121,223,4,17,2,53,222,2,9,4,33,209,4,7,4,26,107,5,7,5,314,859,22,44,14,
"Robroyston South",186,200,6,51,7,258,243,3,32,3,72,155,1,11,4,31,116,2,12,0,22,55,3,7,0,571,766,15,110,14,
"Balornock",186,111,289,33,28,184,124,245,45,6,79,89,128,24,4,35,69,76,13,2,14,32,66,10,2,500,429,804,125,42,
"Barmulloch",99,39,292,4,10,79,70,177,4,8,37,69,84,4,1,10,46,63,5,0,7,25,51,1,2,234,245,667,16,21,
"Petershill",174,167,427,116,30,112,116,206,127,7,30,67,95,30,8,7,49,48,14,1,5,17,26,14,0,328,422,801,301,42,
"Springburn",200,113,550,67,14,128,102,208,54,6,42,70,104,29,5,22,37,69,26,2,5,18,27,14,9,397,341,957,187,32,
"Springburn East and Cowlairs",185,94,690,81,22,98,76,199,83,14,44,64,111,42,6,19,42,64,15,7,5,16,49,17,6,346,292,1114,240,58,
"Cowlairs and Port Dundas",102,102,640,127,16,49,82,260,119,8,17,28,144,25,0,11,20,66,8,2,0,4,62,6,0,179,237,1172,285,27,
"Roystonhill, Blochairn, and Provanmill",127,74,1194,60,29,88,85,540,63,11,27,51,268,32,2,14,42,180,17,4,4,30,138,13,1,255,281,2320,185,42,
"Dennistoun North",235,255,107,217,22,141,259,47,475,17,42,59,24,89,0,7,30,13,23,1,5,7,18,5,2,425,610,209,809,39,
"Alexandra Parade",153,142,316,171,11,82,120,89,178,9,19,20,40,30,0,2,14,21,10,0,0,1,11,5,0,256,298,477,393,17,
"Carntyne West and Haghill",132,131,614,293,24,99,72,236,161,10,23,30,136,26,2,6,17,89,5,4,1,2,42,1,6,258,252,1116,483,44,
"Dennistoun",217,289,177,213,13,109,331,50,443,9,38,63,28,89,2,17,31,16,30,2,3,5,15,12,2,384,719,291,786,27,
