SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 10 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over","One person household: Aged under 66","One family household: All aged 66 and over","One family household: Couple family: No children","One family household: Couple family: With dependent children","One family household: Couple family: All children non-dependent","One family household: Lone parent: With dependent children","One family household: Lone parent: All children non-dependent","Other household types: With dependent children","Other household types: Other (including all full-time students and all aged 66 and over)","Total",
"Data Zone (2022)",
"S01013808",28,56,33,89,96,17,13,9,9,5,352,
"S01013809",52,68,19,78,89,24,20,13,2,4,369,
"S01013810",38,46,56,91,97,25,7,7,1,2,364,
"S01013811",44,92,29,41,45,19,16,14,4,4,305,
"S01013812",52,75,30,74,68,24,15,0,5,5,348,
"S01013813",23,29,18,47,64,9,14,3,1,5,216,
"S01013814",26,41,42,82,80,21,14,10,4,7,325,
"S01013815",39,31,31,83,94,28,9,11,3,4,334,
"S01013816",25,32,26,43,40,12,7,4,0,1,187,
"S01013817",28,25,22,53,57,18,5,4,2,5,218,
"S01013818",10,57,8,76,80,12,16,1,0,3,270,
"S01013819",4,31,2,51,117,9,8,3,5,4,235,
"S01013820",16,34,40,84,77,33,7,7,5,10,313,
"S01013821",55,58,43,61,44,17,11,4,2,5,310,
"S01013822",45,97,20,46,68,22,44,30,5,7,382,
"S01013823",51,66,49,89,108,26,31,19,2,5,442,
"S01013824",47,45,49,74,79,34,18,9,1,4,358,
"S01013825",83,113,24,44,51,26,33,26,2,8,408,
"S01013826",75,158,44,83,39,23,16,16,5,2,457,
"S01013827",9,16,7,27,63,10,9,1,1,0,141,
"S01013828",56,45,56,64,47,17,14,8,1,4,311,
"S01013829",44,17,46,53,30,13,7,5,3,2,219,
"S01013830",94,59,66,73,74,32,19,11,0,7,436,
"S01013831",33,12,35,44,37,12,7,4,1,1,191,
"S01013832",11,22,9,63,109,24,18,12,2,4,269,
"S01013833",142,159,33,68,34,11,18,6,0,10,485,
"S01013834",23,54,6,60,60,11,11,4,2,0,234,
"S01013835",30,28,33,42,47,22,11,8,0,6,229,
"S01013836",32,23,25,66,56,22,16,6,1,2,251,
"S01013837",65,70,47,91,56,19,16,17,0,9,397,
"S01013838",21,35,21,69,106,25,27,5,4,0,310,
"S01013839",29,15,52,52,75,22,4,5,4,2,249,
"S01013840",40,41,36,81,101,38,16,9,1,4,366,
"S01013841",46,28,46,75,62,24,7,11,4,2,305,
"S01013842",23,37,43,94,63,30,17,7,0,1,316,
"S01013843",47,100,29,80,36,11,8,11,1,2,325,
