SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Craigton",25,8,4,214,91,8,127,53,14,594,464,246,2,1,6,0,0,0,1,0,0,962,621,278,
"Mosspark",37,12,5,717,155,61,313,76,14,462,279,108,1,0,0,0,1,0,0,0,0,1531,523,189,
"Ibrox",5,14,5,32,43,2,60,82,11,275,948,231,5,10,4,0,3,1,1,0,0,381,1096,254,
"Ibrox East and Cessnock",10,4,1,10,13,2,43,50,11,523,700,711,3,2,6,0,0,5,1,0,1,589,769,739,
"Kinning Park and Festival Park",7,0,2,80,15,16,150,29,28,680,368,692,4,0,8,1,1,6,0,0,1,918,419,753,
"Kingston West and Dumbreck",165,7,9,144,18,10,69,25,15,450,533,335,70,4,8,1,2,0,0,0,0,899,589,378,
"Pollokshields West",189,1,7,205,6,24,24,6,3,423,246,244,253,5,34,2,0,0,0,1,0,1095,265,312,
"Pollokshields East",7,7,3,17,24,6,12,58,11,1134,250,561,17,0,5,4,1,2,0,2,0,1190,341,587,
"Govanhill West",11,8,2,18,2,8,8,13,6,745,1089,780,8,12,12,1,2,5,1,2,3,793,1131,816,
"Govanhill East and Aikenhead",18,13,6,97,28,35,110,44,23,434,992,334,5,3,2,0,1,0,0,0,0,660,1081,401,
"Battlefield",38,0,4,67,9,13,104,25,5,1404,256,634,87,7,19,3,0,6,1,1,1,1705,296,683,
"Strathbungo",9,1,9,36,4,5,238,7,14,1185,277,863,152,5,40,4,0,2,1,1,1,1623,301,930,
"Maxwell Park",454,9,19,363,10,14,290,8,16,919,61,159,109,11,11,0,0,0,0,0,0,2135,101,224,
"Shawlands West",10,0,0,23,1,0,45,6,6,1152,100,810,16,2,3,1,0,0,2,0,0,1244,109,820,
"Shawlands East",1,0,2,5,2,1,56,8,6,1023,96,698,8,0,10,3,0,2,1,0,0,1099,106,715,
"Langside",29,1,3,45,4,2,175,2,4,1327,146,580,67,0,6,1,0,2,0,0,0,1639,155,597,
"Pollokshaws",17,9,2,53,9,7,226,18,12,760,1131,439,9,10,4,2,1,1,1,1,0,1068,1182,461,
"Carnwadric West",118,9,12,121,37,38,89,61,10,351,996,109,2,8,3,0,3,0,0,0,1,677,1116,173,
"Carnwadric East",42,4,4,127,24,9,181,27,10,431,307,217,8,0,1,3,2,0,0,0,0,789,366,242,
"Newlands",225,8,9,450,11,14,548,31,24,419,344,112,29,3,2,1,3,0,0,0,0,1675,400,160,
"Merrylee and Millbrae",76,4,5,296,31,7,370,21,12,398,88,151,56,0,6,0,0,1,0,0,0,1197,142,185,
"Muirend and Old Cathcart",135,2,9,598,7,19,456,9,17,631,120,217,27,1,7,3,4,1,0,0,0,1853,146,270,
"Carmunnock North",415,5,11,818,44,35,321,57,22,258,310,72,11,3,1,6,0,5,1,0,1,1831,422,145,
"Glenwood South",49,34,5,220,156,13,156,295,18,149,1370,74,2,7,1,0,0,0,1,4,0,580,1864,113,
"Glenwood North",63,31,2,146,132,17,165,180,21,78,1010,50,2,16,3,0,1,0,2,1,2,456,1371,95,
"Castlemilk",16,13,3,111,104,19,95,133,20,829,1164,283,2,4,8,0,1,0,0,0,0,1053,1421,333,
"Kingspark South",180,1,11,78,4,43,26,4,11,960,39,257,14,0,13,0,0,0,0,0,0,1261,48,336,
"Kingspark North",28,3,2,385,7,42,302,3,18,639,41,170,6,0,9,0,0,0,1,0,0,1361,55,242,
"Cathcart",69,8,1,206,5,3,325,17,2,1292,444,797,16,3,14,5,4,2,1,2,1,1913,480,825,
"Mount Florida",9,1,1,118,2,13,257,10,8,945,327,513,30,0,6,2,8,2,0,2,0,1361,348,540,
"Toryglen and Oatlands",6,0,4,165,19,10,243,32,8,345,626,162,3,0,2,0,3,0,0,0,1,766,680,189,
"Polmadie and Toryglen",29,9,5,105,52,5,187,91,26,678,506,201,2,4,2,0,0,1,1,1,0,998,662,239,
"Gorbals and Hutchesontown",3,7,3,9,21,6,113,79,17,801,1646,433,1,9,3,0,1,4,2,4,0,933,1764,466,
"Laurieston and Tradeston",5,4,2,23,22,4,77,43,20,682,971,1002,32,9,13,18,0,24,0,0,5,837,1047,1070,
"Calton and Gallowgate",9,22,8,30,35,10,141,83,30,579,760,725,14,3,23,7,8,15,2,0,1,781,910,809,
"Bridgeton",6,6,3,28,31,4,126,61,16,416,669,585,9,6,13,1,3,0,2,1,1,589,777,627,
"Dalmarnock",13,26,4,61,112,7,252,227,12,294,848,130,2,7,5,0,1,0,53,4,11,679,1224,171,
"Parkhead West and Barrowfield",7,7,1,15,23,1,62,46,8,284,1263,260,1,6,5,0,13,3,9,0,3,378,1358,281,
"Barrowfield Central",15,43,12,41,218,10,101,335,16,174,543,143,2,12,2,0,2,3,10,1,5,343,1154,189,
"Parkhead East and Braidfauld North",18,34,4,74,134,20,95,77,15,259,726,257,8,2,8,0,1,2,6,0,9,465,974,315,
"Braidfauld",11,17,2,200,75,18,92,68,7,297,717,220,7,5,2,3,2,4,2,3,0,615,886,254,
"Braidfauld West",36,9,7,167,72,16,168,52,16,103,576,185,0,4,4,0,4,0,0,0,1,476,710,228,
"Shettleston South",119,8,6,814,52,29,119,26,8,233,115,69,4,0,3,0,0,1,0,0,0,1290,201,118,
"Carmyle and Mount Vernon South",55,4,0,243,54,21,407,120,32,84,90,20,4,0,1,0,0,0,0,0,0,793,268,76,
"Mount Vernon North and Sandyhills",589,4,9,530,26,29,105,11,9,128,20,70,23,1,2,0,0,1,0,0,0,1375,62,120,
"Baillieston West",52,2,2,546,68,41,437,167,38,92,127,33,4,1,2,0,0,0,0,0,0,1136,367,116,
"Baillieston East",383,5,11,356,26,19,229,47,20,292,203,139,5,2,4,2,0,5,1,0,0,1270,280,198,
"Baillieston South",875,2,22,197,26,0,65,19,3,52,58,41,3,0,1,0,0,0,0,0,0,1191,104,64,
"Garrowhill West",167,4,6,1041,11,33,292,18,13,26,23,22,3,0,0,0,0,0,1,0,0,1529,56,74,
"Garrowhill East and Swinton",479,5,18,700,20,29,270,6,15,94,26,29,2,0,2,2,1,2,2,0,1,1547,61,96,
"Easterhouse East",139,33,13,190,110,20,196,93,29,238,260,176,9,1,6,1,0,1,0,0,0,772,497,245,
"Central Easterhouse",4,15,2,73,294,15,19,91,0,66,659,50,0,8,0,0,0,0,0,1,0,162,1068,67,
"Garthamlock, Auchinlea and Gartloch",169,27,10,374,103,33,202,111,11,149,454,91,1,2,9,0,1,0,0,1,0,895,698,154,
"North Barlanark and Easterhouse South",8,53,4,64,289,18,29,228,6,58,676,39,0,6,0,0,0,0,1,0,0,161,1255,63,
"Barlanark",74,12,8,265,148,14,256,124,30,274,1004,149,4,2,6,0,3,3,0,2,0,875,1294,210,
"Greenfield",127,15,11,397,111,23,396,140,38,299,661,177,6,0,5,1,0,0,9,1,23,1235,931,280,
"Shettleston North",27,9,4,187,21,16,88,53,19,538,1168,374,5,4,8,2,0,2,0,1,3,847,1256,425,
"Tollcross",30,11,3,184,34,23,165,113,18,334,734,251,7,2,4,0,4,2,3,1,0,723,899,302,
"Old Shettleston and Parkhead North",174,18,11,180,198,25,168,104,14,316,997,154,0,4,6,0,2,0,40,2,40,874,1324,250,
"Carntyne",16,13,2,348,120,19,42,30,10,489,475,175,0,1,0,0,0,2,1,0,0,898,646,206,
"Cranhill, Lightburn and Queenslie South",21,30,4,550,402,46,119,115,24,308,1008,127,4,8,0,0,5,0,1,0,3,997,1569,206,
"Craigend and Ruchazie",83,30,4,240,104,26,469,257,47,166,983,91,2,2,3,0,1,0,0,0,5,957,1377,173,
"Riddrie and Hogganfield",28,30,4,417,149,34,134,165,8,443,711,177,2,11,4,1,0,0,3,2,0,1028,1071,228,
"Blackhill and Barmulloch East",119,30,12,397,211,57,125,71,16,303,634,91,0,0,1,0,0,0,0,0,2,946,945,177,
"Robroyston and Millerston",787,0,25,345,1,22,29,6,1,11,15,8,1,0,0,0,0,0,0,0,0,1170,22,58,
"Robroyston South",470,3,22,587,2,37,158,1,18,121,9,36,0,0,0,0,0,1,0,0,10,1334,15,124,
"Balornock",21,17,6,240,128,31,302,183,36,362,472,93,4,1,1,0,2,0,0,2,0,929,804,167,
"Barmulloch",26,23,2,273,135,14,112,123,7,66,384,15,1,4,0,0,0,0,2,2,0,479,667,37,
"Petershill",22,9,5,163,55,25,137,28,17,417,707,294,5,2,1,1,2,0,1,2,0,746,801,343,
"Springburn",9,2,2,142,47,15,128,62,11,456,837,183,6,5,8,0,0,3,0,2,0,738,957,219,
"Springburn East and Cowlairs",64,12,11,207,56,21,89,80,17,275,962,240,1,0,4,0,4,0,0,0,2,636,1114,295,
"Cowlairs and Port Dundas",9,37,5,17,131,10,49,122,4,323,875,284,10,4,4,4,4,0,3,0,2,413,1172,312,
"Roystonhill, Blochairn, and Provanmill",7,51,2,180,188,18,83,129,13,264,1933,192,0,13,2,1,4,1,0,4,2,541,2320,231,
"Dennistoun North",3,1,2,19,2,0,32,6,7,961,198,831,20,0,7,0,0,0,0,0,1,1038,209,848,
"Alexandra Parade",2,3,0,7,4,0,7,10,4,521,455,400,7,4,5,0,1,2,0,0,0,553,477,410,
"Carntyne West and Haghill",4,9,4,107,101,13,131,34,11,263,972,478,0,0,3,0,3,1,5,0,20,510,1116,527,
"Dennistoun",6,2,0,20,0,5,47,6,7,1009,281,786,20,5,3,1,0,4,0,0,0,1103,291,809,
"Gallowgate North and Bellgrove",3,11,4,9,23,5,33,46,5,444,1101,749,1,6,3,6,3,11,0,0,1,500,1192,776,
"City Centre East",8,4,2,8,4,3,4,19,4,825,1256,1478,22,2,20,58,5,84,0,0,0,924,1290,1587,
"City Centre West",8,3,10,7,8,2,8,10,1,596,783,1087,27,6,25,21,4,22,0,0,1,670,813,1147,
"City Centre South",0,5,3,4,5,1,4,11,6,435,529,878,13,1,14,27,8,49,0,0,0,480,557,952,
"Anderston",7,3,0,5,4,2,18,14,4,666,761,951,27,4,17,6,0,8,0,1,1,731,787,984,
"Finnieston and Kelvinhaugh",10,0,4,8,2,4,27,3,4,592,363,644,30,1,24,2,1,6,0,0,0,669,369,686,
"Yorkhill",1,0,0,3,0,1,5,5,8,558,391,776,9,1,15,2,4,3,0,0,1,578,404,806,
"Woodlands",4,0,4,20,1,6,46,5,17,505,203,584,138,0,29,1,0,2,1,0,0,717,212,639,
"Kelvinbridge South",5,0,4,5,0,2,5,1,6,567,201,723,1,1,3,2,0,4,0,0,0,583,204,739,
"Woodside",6,5,2,9,10,5,26,22,7,367,750,514,15,15,7,1,2,2,0,0,1,427,803,540,
"Firhill",11,11,5,16,24,3,116,61,31,878,1097,824,80,14,41,0,4,5,0,0,0,1101,1213,909,
"Keppochhill",5,41,6,40,147,13,61,138,14,290,1150,277,0,9,7,0,2,2,4,3,6,395,1489,328,
"Ruchill",6,2,3,16,7,2,62,27,7,818,332,657,13,8,9,1,2,0,0,0,0,916,378,677,
"Ruchill Park",4,11,0,98,38,19,34,41,18,334,728,391,0,1,0,1,1,2,0,0,2,473,821,432,
"Possil Park",85,54,9,365,264,64,216,176,25,433,1075,208,6,13,4,3,4,2,2,2,0,1111,1588,311,
"Milton West",28,21,11,226,147,40,283,204,34,316,635,147,4,7,2,2,2,0,0,0,0,857,1016,240,
"Milton East",11,25,3,164,123,27,280,226,41,103,444,61,0,7,2,0,3,0,1,0,0,560,828,132,
"Summerston Central and West",281,10,18,497,44,31,167,63,13,227,481,81,4,1,7,0,2,0,2,0,0,1176,603,151,
"Summerston North",94,7,6,158,15,9,163,34,8,531,524,164,12,0,5,0,0,4,0,1,0,954,579,201,
"Maryhill East",3,5,3,79,29,8,139,40,4,305,904,174,0,3,4,0,1,1,0,0,4,531,980,196,
"Maryhill West",7,10,5,107,36,21,161,76,15,237,593,162,6,1,7,2,0,4,0,0,0,520,711,218,
"Wyndford",7,8,3,23,20,7,48,55,15,339,1524,240,3,8,5,2,3,0,2,1,2,422,1619,272,
"Kelvindale",59,1,8,659,5,29,322,2,22,713,73,430,312,1,29,0,0,2,0,0,1,2065,83,521,
"North Kelvin",25,2,2,43,5,3,97,6,12,877,143,507,176,0,70,0,1,2,0,0,0,1216,157,596,
"Kelvingrove and University",6,0,7,15,1,7,84,10,20,989,236,1158,128,1,96,3,1,11,1,0,0,1227,252,1296,
"Hillhead",8,5,6,8,8,5,40,33,8,926,918,1308,21,3,18,6,0,17,0,1,2,1007,970,1362,
"Glasgow Harbour and Partick South",7,5,2,12,6,6,25,27,7,1131,473,1261,7,3,6,0,3,6,0,0,0,1183,516,1288,
"Partick",9,2,2,20,2,3,54,11,11,725,737,794,17,6,15,4,2,1,0,1,0,835,763,822,
"Partickhill and Hyndland",30,2,0,51,2,6,183,3,17,1488,153,906,149,14,32,1,1,6,0,0,0,1902,175,967,
"Dowanhill",31,2,1,38,5,2,109,1,7,889,61,609,541,6,124,0,0,11,3,0,1,1616,74,755,
"Kelvinside and Jordanhill",146,1,11,442,3,14,605,4,15,801,136,251,73,2,14,2,0,0,0,0,0,2071,148,309,
"Broomhill",19,2,0,125,0,0,392,2,14,994,289,389,35,0,4,0,1,7,0,0,0,1566,293,415,
"Victoria Park",22,0,2,201,10,5,565,24,17,379,590,227,13,9,9,0,4,1,3,3,0,1183,642,262,
"Scotstoun North and East",42,6,2,73,14,8,681,29,21,324,524,126,6,12,1,0,9,0,0,2,3,1126,597,164,
"Scotstoun South and West",10,14,2,20,24,12,137,59,20,419,1341,376,7,1,3,1,7,0,8,0,11,602,1446,426,
"Yoker South",11,13,2,151,48,12,175,76,12,514,988,399,1,4,5,0,3,1,0,0,0,856,1130,430,
"Yoker North",36,7,7,186,37,13,495,151,46,61,73,21,4,0,0,0,0,0,1,0,0,786,268,87,
"Knightswood West",53,6,3,186,54,18,88,31,13,314,338,77,0,2,0,0,0,0,0,0,0,641,431,111,
"Knightswood East",24,12,1,384,96,33,226,49,18,508,687,153,5,4,7,0,2,1,0,0,1,1140,850,212,
"Knightswood Park West",11,5,0,252,52,19,144,19,11,404,646,100,1,3,6,0,2,2,0,1,0,808,728,137,
"Knightswood Park East",83,4,9,337,54,31,92,19,9,382,524,113,6,3,2,1,0,2,2,1,0,903,605,164,
"Anniesland East",181,5,9,161,8,40,316,2,38,803,129,417,4,4,5,6,2,2,0,0,0,1470,149,512,
"Anniesland West",24,14,1,301,108,59,388,98,47,1265,397,611,6,4,17,2,0,2,2,0,0,1987,619,736,
"Blairdardie East",16,11,3,506,192,55,263,118,18,669,661,183,6,4,5,0,0,0,1,1,0,1461,986,264,
"Blairdardie West",156,5,6,330,30,16,463,91,22,34,27,15,1,0,0,0,1,0,0,1,1,985,156,61,
"Drumchapel South",12,5,0,75,7,6,80,34,8,176,552,82,5,1,1,0,0,0,0,0,2,347,599,101,
"Drumchapel North",5,31,0,114,182,17,23,169,14,79,886,50,0,5,0,0,2,2,0,2,0,222,1274,83,
"Drumry East",6,45,4,99,348,13,24,175,5,66,674,58,2,3,1,2,5,0,0,0,1,198,1250,82,
"Drumry West",83,25,2,175,184,7,117,126,5,145,553,68,0,0,0,0,0,0,0,0,0,526,886,83,
"Lochaber West",1143,24,189,269,213,87,95,68,31,16,43,37,3,8,6,10,5,10,23,1,5,1562,363,368,
"Fort William North",413,17,28,381,229,55,453,293,49,27,89,13,10,4,0,1,0,3,3,0,0,1285,635,148,
"Fort William South",425,47,46,419,180,55,323,243,45,258,501,139,12,13,13,14,9,11,0,2,0,1452,991,309,
"Lochaber East and North",1002,15,152,409,169,70,168,136,34,34,95,24,5,2,9,6,0,4,14,3,4,1635,421,295,
"Badenoch and Strathspey South",798,16,117,225,113,66,105,47,18,27,72,25,13,1,10,14,0,10,2,0,0,1190,246,246,
"Badenoch and Strathspey Central",750,17,114,450,163,93,182,95,40,66,194,67,2,2,10,5,1,6,1,0,6,1461,471,336,
"Badenoch and Strathspey North",966,6,150,307,121,72,117,73,25,41,71,46,24,0,11,18,1,8,12,0,0,1484,273,314,
"Nairn Rural",1259,16,250,337,106,86,36,22,22,43,21,18,2,2,8,0,0,0,14,1,1,1693,167,386,
"Nairn East",462,11,44,329,122,78,206,126,62,97,143,115,17,4,16,15,0,8,2,0,0,1112,412,324,
"Nairn West",722,14,43,576,211,62,77,55,19,54,94,34,28,2,3,1,1,2,0,0,0,1457,377,163,
"Inverness East Rural",1237,21,200,309,124,104,180,121,34,33,27,35,0,2,10,3,0,1,9,0,4,1770,296,382,
"Inverness Culloden and Balloch",775,6,25,330,41,33,255,58,27,105,33,85,3,0,2,1,0,1,0,0,1,1469,140,176,
"Inverness Smithton",264,12,28,391,99,44,179,106,28,80,62,153,5,1,9,0,0,1,0,0,0,919,280,263,
"Inverness Westhill",1308,21,61,544,116,62,139,68,31,179,123,107,2,0,0,2,0,0,0,0,0,2173,328,262,
"Inverness Inshes",1013,10,54,539,106,90,143,53,37,222,99,233,3,3,11,0,0,1,2,0,0,1923,269,422,
"Inverness Slackbuie",665,8,54,351,68,69,46,23,19,113,70,111,1,0,4,2,0,1,4,0,0,1182,171,259,
"Inverness Lochardil and Holm Mains",1310,9,55,750,40,69,109,35,14,108,125,141,7,2,5,1,0,0,1,0,0,2286,211,284,
"Inverness Drummond",376,15,16,302,87,25,275,93,33,106,171,80,18,7,5,2,0,1,0,0,0,1077,373,162,
"Inverness Hilton",186,19,14,223,177,52,516,203,63,116,75,164,0,1,2,0,4,0,1,0,1,1043,479,297,
"Inverness Drakies",285,1,18,609,6,63,9,2,2,3,1,10,2,0,3,0,0,1,2,0,0,910,9,99,
"Inverness Central, Raigmore and Longman",183,26,28,220,88,64,259,100,142,272,365,360,18,21,28,7,13,28,1,2,0,960,611,650,
"Inverness Crown and Haugh",614,4,29,443,26,52,138,34,48,252,105,208,60,4,35,7,0,6,0,0,0,1511,175,382,
"Inverness Ballifeary and Dalneigh",152,20,27,445,227,61,254,212,41,266,261,146,9,3,10,2,0,3,1,0,0,1133,723,288,
"Inverness Muirtown",186,14,28,368,100,71,225,103,45,226,434,281,42,16,67,3,0,6,3,0,0,1053,667,498,
"Inverness Merkinch",40,38,10,111,203,17,151,269,29,81,777,78,8,22,9,1,1,1,0,0,0,393,1310,144,
"Inverness Scorguie",374,2,23,577,20,66,73,11,13,184,33,129,7,0,8,0,0,0,0,0,0,1214,68,239,
"Inverness Kinmylies and South West",347,30,30,489,165,67,333,68,33,89,159,51,7,3,3,0,0,2,1,0,1,1266,422,191,
"Inverness West Rural",817,8,86,255,91,57,118,45,16,57,37,36,14,1,19,5,0,8,11,0,4,1270,185,224,
"Inverness West Strathglass",908,4,104,129,84,33,32,26,14,9,17,2,0,0,10,3,0,2,14,0,3,1104,129,169,
"Loch Ness",1183,10,165,271,138,81,120,48,46,22,26,20,6,0,11,7,0,5,21,0,0,1632,224,325,
"Lochalsh",611,18,89,209,125,27,62,63,14,3,96,8,3,0,5,0,1,2,13,0,12,907,304,157,
"Skye South",1155,22,107,118,160,26,33,52,5,13,71,15,2,0,5,6,2,9,15,0,8,1342,308,172,
"Skye North East",679,42,62,235,241,48,99,73,21,47,160,27,8,3,8,4,0,4,8,0,2,1077,515,175,
"Skye North West",1283,9,128,53,81,19,9,28,1,1,16,3,3,0,4,5,1,3,17,0,2,1368,135,160,
"Ross and Cromarty South West",962,14,140,134,142,38,19,36,9,5,21,4,1,2,6,3,3,7,12,0,0,1135,217,208,
"Ross and Cromarty North West",833,5,103,188,120,38,58,26,14,22,81,23,7,3,4,7,0,6,14,1,0,1127,247,189,
"Ross and Cromarty Central",821,12,127,234,106,71,50,26,30,9,13,13,12,2,7,1,0,4,14,0,1,1138,158,250,
"Ross and Cromarty East",776,6,88,186,60,47,80,40,15,12,7,16,5,2,1,2,0,1,5,0,0,1067,114,174,
"Muir of Ord",691,14,53,358,186,54,60,57,19,32,49,31,10,0,6,0,0,2,1,0,0,1151,306,169,
"Conon",820,12,64,356,187,51,103,79,18,7,53,5,2,1,3,0,0,4,1,1,0,1290,334,143,
"Dingwall",661,44,51,377,201,71,336,147,51,123,264,152,13,3,12,6,2,16,1,3,2,1517,666,354,
"Black Isle South",783,2,66,191,89,50,48,19,12,6,32,5,0,0,6,0,0,0,2,0,1,1038,145,138,
"Black Isle Fortrose and Avoch",906,8,86,305,144,62,142,48,31,23,40,13,20,2,9,2,0,3,0,0,0,1401,247,205,
"Black Isle North",1026,5,95,168,54,39,99,55,17,11,14,6,9,3,6,4,2,1,9,0,11,1322,133,177,
"Alness",596,60,52,556,427,82,230,484,51,18,167,32,2,11,7,5,1,10,0,0,0,1408,1150,234,
"Invergordon",416,37,34,406,165,82,293,282,44,39,198,34,1,19,4,2,0,2,5,0,0,1158,694,201,
"Seaboard",860,28,103,321,163,111,174,179,57,6,20,8,4,0,7,6,0,1,6,0,0,1377,395,290,
"Tain",525,30,61,328,184,65,134,139,40,28,137,37,9,12,11,6,1,3,3,0,0,1031,499,212,
"Sutherland South",1511,30,218,510,301,113,88,60,23,16,50,18,4,4,2,5,0,8,25,0,3,2160,447,385,
"Sutherland East",707,21,102,542,235,93,153,128,28,7,44,10,5,2,0,8,0,5,1,0,0,1419,429,242,
"Caithness South",834,13,91,257,93,43,37,41,12,2,8,4,1,1,4,0,0,0,19,0,3,1151,156,154,
"Wick South",231,27,21,285,136,41,376,133,72,59,283,37,8,12,13,3,1,0,1,0,0,963,588,189,
"Wick North",433,16,21,314,111,36,184,121,16,38,131,28,7,6,6,8,2,4,0,0,0,984,387,112,
"Caithness North East",1083,10,93,232,138,38,38,31,12,6,14,5,1,0,3,1,0,1,17,0,1,1379,193,153,
"Caithness North West",1258,15,134,413,162,80,73,72,20,4,29,30,1,4,12,1,0,0,6,0,0,1755,282,276,
"Thurso East",252,28,22,529,230,64,459,224,67,51,200,68,5,9,10,14,0,10,1,0,0,1312,691,241,
"Thurso West",260,4,17,490,175,46,122,61,17,31,55,32,2,11,4,2,0,0,0,0,0,906,309,119,
"Sutherland North and West",950,15,159,164,170,28,44,48,12,5,34,9,1,2,5,3,0,4,17,0,0,1186,267,220,
"Kilmacolm Central",506,1,15,215,19,13,186,20,17,262,29,109,56,1,16,3,0,0,0,0,0,1227,68,170,
"Kilmacolm, Quarriers, Greenock Upper East/Central",500,9,41,98,15,24,76,3,10,65,11,23,65,9,25,0,0,1,2,0,0,804,47,124,
"Inverkip and Wemyss Bay",1328,2,29,465,8,20,205,7,28,227,22,90,28,0,14,1,0,2,4,0,0,2259,39,187,
"West Braeside and West Gourock",536,1,12,209,4,5,41,0,1,203,3,29,21,0,0,0,0,0,11,0,0,1023,8,47,
"Gourock Upper and West Central",207,6,6,428,22,19,189,22,12,675,63,226,148,2,17,4,0,4,0,0,0,1653,115,284,
"Gourock Central and Upper East",186,1,3,378,20,9,197,14,18,562,289,305,22,7,2,2,2,2,0,0,0,1348,335,339,
"Braeside, Branchton, Ravenscraig",78,29,18,408,150,36,465,124,38,21,66,7,0,0,1,1,0,0,0,0,0,970,374,100,
"Larkfield",24,38,4,346,279,62,321,253,57,72,127,20,2,5,0,0,0,1,0,0,0,765,695,145,
"Bow Farm, Fancy Farm and Mallard Bowl",101,29,4,534,281,47,320,210,42,274,382,121,6,6,1,0,3,0,0,0,1,1238,911,215,
"Gourock East, Greenock West and Lyle Road",448,3,12,549,11,18,155,5,14,431,55,107,311,1,19,0,3,0,0,0,0,1898,78,169,
"Greenock West and Central",65,1,7,182,13,12,61,13,6,1198,609,541,171,12,20,7,7,5,0,0,0,1682,652,585,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",274,5,1,502,32,27,300,23,15,308,170,87,14,0,0,0,0,1,0,0,0,1395,230,130,
"Greenock Upper Central",63,2,3,108,16,9,130,15,5,627,1021,363,8,18,3,1,2,2,0,0,0,937,1075,389,
"Greenock Town Centre and East Central",92,32,8,190,164,30,116,130,19,678,943,407,19,11,6,3,10,15,0,0,0,1101,1290,486,
"Greenock Upper East",48,21,5,401,305,48,196,103,21,88,156,49,4,1,3,0,0,0,0,0,0,737,585,126,
"Greenock Lower East",96,34,8,288,209,23,261,101,21,142,500,84,9,8,4,1,0,0,0,0,0,797,852,143,
"Port Glasgow Upper, West and Central",158,8,5,325,59,27,612,70,48,443,499,249,56,3,17,2,9,7,0,0,0,1598,644,353,
"Port Glasgow Mid, East and Central",61,33,8,354,218,29,414,149,18,172,307,82,11,3,4,0,7,2,0,1,0,1011,718,142,
"Port Glasgow Upper East",30,38,14,391,242,59,752,224,65,68,175,36,4,0,1,0,2,0,0,0,0,1244,681,178,
"Rural South Midlothian",666,18,98,257,60,42,232,96,33,47,39,26,1,2,3,0,0,0,0,0,0,1206,212,206,
"Penicuik Southeast",399,10,11,349,55,21,199,128,32,220,230,131,36,4,9,8,0,3,2,1,1,1210,431,208,
"Penicuik Southwest",306,2,4,626,23,25,212,89,28,108,113,42,0,3,3,0,0,0,0,0,0,1253,231,102,
"Penicuik East",29,11,1,161,96,23,416,206,48,17,102,8,4,4,0,1,0,0,0,0,0,630,417,86,
"Penicuik North",252,5,6,545,56,24,303,99,26,37,33,11,4,0,1,0,0,2,1,0,0,1143,189,69,
"Pentland",661,2,50,398,21,142,221,36,18,94,90,34,10,1,4,1,0,0,0,0,0,1384,149,249,
"Roslin and Bilston",338,25,20,414,88,33,177,86,26,128,113,49,14,2,4,4,0,0,0,0,0,1078,313,132,
"Straiton",181,0,10,266,40,17,146,56,11,76,106,22,1,4,4,0,0,0,254,4,17,927,211,81,
"Loanhead",223,15,18,474,83,26,230,84,14,222,215,88,22,3,3,11,1,2,3,0,0,1184,401,151,
"Poltonhall",183,8,15,413,203,36,585,284,54,48,92,13,6,1,1,2,0,2,0,0,0,1240,587,127,
"Bonnyrigg North",553,5,22,563,165,56,314,129,43,220,282,113,20,0,7,10,2,5,4,0,2,1683,582,248,
"Hopefield",470,7,6,298,51,18,524,92,29,192,7,60,4,0,1,0,0,0,0,0,0,1488,154,115,
"Dalhousie",950,1,15,255,47,15,144,15,12,50,35,31,2,0,0,6,0,1,0,0,0,1402,99,74,
"Eskbank and Newbattle",911,3,18,555,13,22,217,10,16,209,56,91,34,7,8,7,0,10,0,0,0,1927,91,161,
"Danderhall, Shawfair and Midlothian North",608,17,20,417,111,39,440,156,52,183,146,53,7,0,2,0,0,5,1,0,0,1657,427,175,
"Woodburn",326,22,7,320,160,31,419,234,44,203,264,83,8,3,0,2,0,0,0,2,0,1274,681,166,
"Dalkeith",42,9,3,115,83,25,164,119,26,243,442,147,12,5,6,7,6,8,0,0,0,586,665,214,
"Rural North East Midlothian",573,4,50,317,67,41,272,103,25,67,165,52,2,1,1,1,0,0,0,0,0,1230,341,171,
