SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Data Zone (2022)",
"S01013677",53,235,23,26,101,10,15,28,6,12,11,6,7,1,0,
"S01013678",58,54,8,80,18,8,27,8,6,31,4,2,16,2,3,
"S01013679",59,93,11,45,36,15,28,15,8,22,9,7,11,3,2,
"S01013680",66,90,20,68,56,16,22,15,8,13,5,6,5,4,6,
"S01013681",51,157,40,28,48,14,11,14,8,4,10,4,1,5,1,
"S01013682",45,9,19,55,10,11,11,3,1,9,2,7,5,0,4,
"S01013683",89,83,20,71,31,23,7,10,6,24,4,8,8,1,6,
"S01013684",50,72,4,39,59,11,24,22,4,11,6,2,2,4,0,
"S01013685",71,31,4,96,29,6,23,15,2,27,7,2,12,1,0,
"S01013686",53,53,4,38,42,9,24,18,5,15,13,1,7,1,1,
"S01013687",53,73,5,33,43,6,13,17,1,12,8,1,4,1,1,
"S01013688",74,84,13,76,44,5,35,28,3,24,11,1,5,1,0,
"S01013689",54,43,7,48,23,9,39,18,4,17,4,2,4,6,0,
"S01013690",26,40,7,47,26,11,17,14,0,15,8,1,1,0,0,
"S01013691",53,87,7,72,40,4,39,21,4,26,8,1,9,1,0,
"S01013692",69,114,12,66,53,8,26,24,3,28,10,2,9,5,5,
"S01013693",57,91,7,105,50,6,48,13,6,21,0,5,7,1,1,
"S01013694",68,130,15,77,42,8,41,6,5,31,12,0,2,2,0,
"S01013695",53,28,8,68,30,5,19,10,0,15,4,0,4,4,0,
"S01013696",66,96,12,79,65,12,34,26,5,28,12,2,6,4,0,
"S01013697",55,72,0,65,24,4,26,9,4,26,8,0,7,4,2,
"S01013698",17,20,3,33,26,3,24,29,0,10,23,1,0,14,0,
"S01013699",40,27,3,43,24,7,20,24,2,11,16,3,4,10,1,
