SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01018918",27,13,0,134,13,0,74,10,0,17,0,0,4,0,0,
"S01018919",44,27,0,105,44,0,63,15,0,17,4,0,8,0,0,
"S01018920",50,147,0,72,119,0,47,29,0,14,3,0,2,2,0,
"S01018921",40,180,0,53,129,0,24,26,0,4,5,0,0,0,0,
"S01018922",24,66,0,39,54,0,21,16,0,3,0,0,4,1,0,
"S01018923",21,114,0,29,50,0,18,10,0,3,4,0,2,0,0,
"S01018924",76,37,0,133,19,0,54,6,0,12,2,0,1,0,0,
"S01018925",58,50,0,99,50,0,55,10,0,20,2,1,2,1,0,
"S01018926",56,14,0,151,20,0,105,4,0,16,0,0,8,0,0,
"S01018927",47,36,0,74,29,0,39,1,0,9,0,0,4,0,0,
"S01018928",14,1,0,88,2,0,96,1,0,21,1,0,12,0,0,
"S01018929",60,10,0,117,6,0,56,1,0,8,0,0,3,0,0,
"S01018930",104,17,0,147,19,0,84,3,0,22,1,0,8,1,0,
"S01018931",24,158,0,47,108,0,27,18,0,5,0,0,2,0,0,
"S01018932",23,163,0,57,104,0,36,21,0,8,3,0,2,1,0,
"S01018933",28,107,0,59,67,0,49,18,0,14,1,0,3,0,0,
"S01018934",41,137,0,31,114,0,10,46,0,3,12,0,0,0,0,
"S01018935",13,63,0,64,76,0,53,26,0,14,0,0,4,0,0,
"S01018936",14,49,0,39,64,0,24,18,0,3,4,0,2,3,0,
"S01018937",30,51,0,103,58,0,66,10,0,21,0,0,6,2,0,
"S01018938",46,57,0,75,29,0,41,5,0,13,0,0,2,0,0,
"S01018939",15,72,0,49,81,0,36,13,0,9,3,0,1,1,0,
"S01018940",39,26,0,87,40,0,49,9,0,10,0,0,4,1,0,
"S01018941",7,2,0,69,9,0,112,2,0,21,0,0,6,0,0,
"S01018942",80,27,0,152,24,0,74,11,0,23,0,0,10,0,0,
"S01018943",82,16,0,125,2,0,59,4,0,4,0,0,7,0,0,
"S01018944",22,22,0,81,45,0,76,16,0,26,3,0,13,2,0,
"S01018945",15,66,2,34,47,0,20,16,0,9,7,0,2,1,0,
"S01018946",11,3,0,102,5,0,85,4,0,19,0,0,5,0,0,
"S01018947",93,33,0,172,36,0,74,7,0,13,0,0,12,1,0,
"S01018948",74,1,0,137,5,0,73,1,0,25,0,0,13,0,0,
"S01018949",12,2,0,78,6,0,72,1,0,26,2,0,17,0,0,
"S01018950",2,2,0,44,3,0,67,0,0,17,0,0,9,0,0,
"S01018951",19,38,0,71,53,0,49,9,0,21,8,0,15,0,1,
"S01018952",7,7,0,71,33,0,150,10,0,25,3,0,11,0,0,
"S01018953",25,13,0,77,22,0,43,10,0,21,3,0,11,3,0,
"S01018954",7,2,0,95,1,0,121,3,0,28,2,0,16,1,0,
"S01018955",25,10,0,106,33,0,110,17,0,28,2,0,5,0,0,
"S01018956",73,21,0,171,15,2,69,10,0,24,0,0,14,0,0,
"S01018957",10,4,0,91,8,0,116,3,0,16,0,0,3,0,0,
"S01018958",11,26,0,78,40,0,106,11,0,29,1,0,11,0,0,
"S01018959",4,3,0,71,3,0,129,0,0,16,0,0,4,0,0,
"S01018960",37,24,0,110,53,0,83,19,0,13,4,0,7,0,0,
"S01018961",8,6,0,56,17,1,92,3,0,11,0,0,4,0,0,
"S01018962",8,3,0,111,20,0,143,7,0,31,0,0,11,0,0,
"S01018963",3,5,0,102,14,0,127,6,0,10,0,0,3,0,0,
"S01018964",12,0,0,96,8,0,168,2,0,28,0,0,16,1,0,
"S01018965",3,0,0,83,4,0,162,1,0,12,0,0,4,0,0,
"S01018966",16,1,0,112,1,0,160,2,0,34,1,0,20,0,0,
"S01018967",16,29,0,81,62,0,146,12,0,36,4,0,6,1,0,
"S01018968",31,2,0,90,5,0,101,1,0,26,0,0,11,0,0,
"S01018969",79,56,0,123,53,0,75,21,0,28,5,0,7,0,0,
"S01018970",14,0,0,77,8,0,202,5,0,36,2,0,9,0,0,
"S01018971",24,28,0,125,55,0,135,12,0,28,3,0,7,0,0,
"S01018972",50,20,8,148,32,17,93,8,6,18,1,0,5,0,0,
"S01018973",3,29,1,75,46,3,77,15,0,7,1,0,0,0,0,
"S01018974",22,3,0,114,3,0,86,1,0,24,0,0,4,0,0,
"S01018975",37,36,0,127,44,1,61,11,0,22,0,0,1,0,0,
"S01018976",30,31,0,119,87,0,110,18,0,30,1,0,8,0,0,
"S01018977",49,11,0,144,20,0,114,4,0,28,0,0,3,0,0,
"S01018978",8,4,0,74,11,0,92,5,0,14,0,0,9,0,0,
"S01018979",3,8,0,51,7,0,95,0,0,6,0,0,1,0,0,
"S01018980",14,4,0,64,15,0,75,5,0,19,0,0,6,0,0,
"S01018981",12,22,0,76,26,0,79,8,0,25,0,0,13,0,0,
"S01018982",11,43,0,50,103,0,52,34,0,13,10,0,4,3,0,
"S01018983",61,49,0,159,74,0,71,19,0,23,0,0,8,0,0,
"S01018984",21,2,0,158,4,0,133,0,0,34,0,0,10,0,0,
"S01018985",39,62,0,116,99,0,74,18,0,13,6,0,12,0,0,
"S01018986",58,12,0,180,21,0,135,3,0,26,1,0,5,0,0,
"S01018987",36,30,0,75,24,0,35,6,0,5,1,0,2,0,0,
"S01018988",82,74,0,89,28,1,36,7,0,4,0,0,2,0,0,
"S01018989",62,49,0,88,67,0,38,12,0,4,1,0,6,0,0,
"S01018990",44,25,0,154,7,0,87,2,0,30,0,0,8,0,0,
"S01018991",15,2,0,72,1,0,49,0,0,19,0,0,6,0,0,
"S01018992",51,41,0,71,56,0,35,8,0,3,1,0,3,0,0,
"S01018993",22,8,0,143,15,0,110,2,0,26,0,0,7,0,0,
"S01018994",34,0,0,132,0,0,102,1,0,15,0,0,4,0,0,
"S01018995",9,3,0,55,10,0,104,5,0,36,0,0,10,0,0,
"S01018996",14,8,0,96,9,0,112,4,0,22,0,0,11,0,0,
"S01018997",20,10,0,62,19,0,63,0,0,11,1,0,9,0,0,
"S01018998",89,0,0,159,4,0,71,0,0,12,0,0,6,0,0,
"S01018999",95,19,0,142,18,0,74,3,0,13,0,0,2,0,0,
"S01019000",30,9,0,106,10,0,111,0,0,23,0,0,2,0,0,
"S01019001",81,5,0,187,14,0,123,0,0,21,2,0,10,0,0,
"S01019002",11,0,0,80,0,0,98,2,0,21,0,0,5,0,0,
"S01019003",9,0,0,90,1,0,91,0,0,24,0,0,5,0,0,
"S01019004",11,5,0,56,22,0,96,8,0,45,0,0,20,0,0,
"S01019005",9,0,0,49,1,0,59,0,0,17,0,0,0,0,0,
"S01019006",86,37,0,144,34,0,67,4,0,19,0,0,9,0,0,
"S01019007",56,46,0,75,38,0,42,8,0,6,2,0,3,0,0,
"S01019008",62,38,0,166,51,0,74,5,0,16,0,0,3,0,0,
"S01019009",71,4,0,164,7,0,72,0,0,21,0,0,5,0,0,
"S01019010",29,0,0,146,1,0,85,2,0,22,0,0,9,0,0,
"S01019011",76,20,0,120,13,0,71,8,0,7,1,0,4,0,0,
"S01019012",67,24,0,117,27,0,68,4,0,16,0,0,3,1,0,
"S01019013",25,4,0,123,7,0,95,0,0,19,1,0,6,0,0,
"S01019014",37,46,0,94,51,0,54,8,2,7,0,0,2,0,0,
"S01019015",41,61,0,62,70,0,43,11,0,10,2,0,1,0,0,
"S01019016",33,146,0,83,108,1,69,13,0,26,2,0,7,0,0,
"S01019017",98,11,0,120,8,0,44,0,0,10,0,0,2,0,0,
"S01019018",93,56,0,107,34,0,36,3,0,12,1,0,5,0,0,
"S01019019",74,53,0,93,31,0,41,8,0,5,0,0,0,0,0,
"S01019020",73,30,0,124,27,0,63,6,0,11,0,0,3,0,0,
"S01019021",85,37,0,131,60,0,39,10,0,7,1,0,0,0,0,
"S01019022",101,114,0,122,96,0,31,21,0,0,0,0,1,0,0,
"S01019023",163,77,0,179,23,0,45,2,0,11,0,0,0,0,0,
"S01019024",80,4,0,94,2,0,25,2,0,8,0,0,0,0,0,
"S01019025",130,52,0,127,26,0,37,7,0,10,0,0,0,0,0,
"S01019026",104,27,0,93,7,0,45,3,0,9,2,0,7,0,0,
"S01019027",69,64,0,51,40,0,23,10,0,4,0,0,2,0,0,
"S01019028",107,88,0,138,30,0,46,5,0,12,0,0,0,0,0,
"S01019029",17,137,0,30,98,0,12,19,0,6,4,0,1,0,0,
"S01019030",88,68,0,149,65,0,59,8,0,5,2,0,2,0,0,
"S01019031",50,66,0,117,74,0,73,13,0,14,4,0,4,0,0,
"S01019032",105,20,0,155,16,0,49,5,0,14,0,0,2,0,0,
"S01019033",51,105,0,115,88,0,58,8,0,9,1,0,3,0,0,
"S01019034",59,84,0,129,73,0,57,21,0,16,0,0,2,0,0,
"S01019035",71,52,0,96,59,0,43,9,0,17,0,0,3,0,0,
"S01019036",53,1,0,90,2,0,61,5,0,10,0,0,5,0,0,
"S01019037",80,3,0,151,2,0,74,2,0,18,0,0,4,0,0,
"S01019038",66,69,0,114,94,0,50,20,0,10,0,0,1,0,0,
"S01019039",55,6,0,125,3,0,63,1,0,16,0,0,2,0,0,
"S01019040",34,71,0,65,73,0,23,12,0,9,4,0,0,1,0,
"S01019041",86,17,0,133,12,0,80,4,0,11,0,0,2,0,0,
"S01019042",43,0,0,126,3,0,67,0,0,21,0,0,4,0,0,
"S01019043",19,3,0,89,4,0,91,0,0,23,0,0,6,0,0,
"S01019044",10,7,0,76,6,0,86,7,0,22,2,0,9,0,0,
"S01019045",66,58,0,121,54,0,60,19,0,7,1,0,5,2,0,
"S01019046",32,89,0,61,119,0,44,33,0,11,4,0,3,0,0,
"S01019047",49,69,0,104,48,0,34,12,0,9,0,0,1,0,0,
"S01019048",75,66,0,99,64,0,40,11,0,4,0,0,2,0,0,
"S01019049",4,0,0,95,2,0,99,0,0,25,0,0,9,0,0,
"S01019050",14,0,0,121,3,0,169,2,0,60,0,0,14,0,0,
"S01019051",5,0,0,64,2,0,87,1,0,34,0,0,5,0,0,
"S01019052",31,24,0,83,43,0,108,12,0,31,0,0,13,0,0,
"S01019053",8,0,0,88,0,0,107,0,0,30,0,0,9,0,0,
"S01019054",7,2,0,83,4,0,149,0,0,61,0,0,24,0,0,
"S01019055",14,10,0,86,30,0,79,4,0,27,1,0,5,0,0,
"S01019056",36,15,0,62,44,0,69,13,0,19,1,0,7,0,0,
"S01019057",22,3,1,137,22,0,94,4,0,24,0,0,9,0,0,
"S01019058",18,1,0,119,2,0,131,0,0,37,0,0,25,0,0,
"S01019059",18,3,0,69,2,0,96,0,0,14,0,0,7,0,0,
"S01019060",17,2,0,95,10,0,84,3,0,26,0,0,6,0,0,
"S01019061",17,3,0,88,5,1,72,0,0,16,0,0,2,0,0,
"S01019062",100,9,0,159,22,0,65,7,0,12,0,0,4,0,0,
"S01019063",83,3,0,177,3,0,71,0,0,8,0,0,2,0,0,
"S01019064",7,36,0,63,35,0,107,3,0,24,1,0,4,0,0,
"S01019065",11,33,0,58,55,0,60,26,0,12,2,0,11,0,0,
"S01019066",19,90,0,56,84,0,37,25,0,7,3,0,2,1,0,
"S01019067",58,146,0,111,155,0,71,29,0,18,2,0,8,0,0,
"S01019068",23,60,0,61,92,0,67,23,0,15,0,0,5,1,0,
"S01019069",2,2,0,40,1,0,99,1,0,11,0,0,3,0,0,
"S01019070",7,0,0,23,4,0,68,1,0,19,0,0,7,0,0,
"S01019071",77,88,0,118,86,0,50,30,0,10,5,0,7,0,0,
"S01019072",7,2,0,35,1,0,104,3,0,40,0,0,28,0,1,
"S01019073",7,9,0,90,19,3,124,6,3,28,1,1,4,0,0,
"S01019074",2,1,0,53,2,0,143,1,0,16,0,0,6,0,0,
"S01019075",29,4,1,120,7,1,116,2,1,29,0,0,12,0,0,
"S01019076",50,52,0,109,93,0,45,25,0,18,4,0,4,0,0,
"S01019077",27,93,0,55,113,0,24,24,0,7,1,0,4,2,0,
"S01019078",30,128,0,43,131,0,22,38,0,6,4,0,3,1,0,
"S01019079",21,7,0,136,14,0,142,8,0,40,0,0,17,0,0,
"S01019080",17,53,0,28,74,0,27,34,0,4,3,0,0,0,0,
"S01019081",45,4,0,132,26,0,107,11,0,22,2,0,7,0,0,
"S01019082",44,16,0,84,23,0,59,5,0,7,1,0,6,0,0,
"S01019083",22,27,0,75,31,0,38,18,0,15,0,0,4,0,0,
"S01019084",55,46,0,95,50,0,48,5,0,9,2,0,4,1,0,
"S01019085",32,10,0,116,12,0,63,12,0,15,1,0,8,0,0,
"S01019086",91,21,0,171,19,0,54,4,0,10,0,0,3,0,0,
"S01019087",44,25,0,132,20,0,44,4,0,10,0,0,2,1,0,
"S01019088",20,1,0,63,0,0,68,3,0,19,0,0,8,0,0,
"S01019089",47,6,0,124,2,0,69,1,0,16,0,0,5,0,0,
"S01019090",18,1,0,153,1,2,147,0,0,49,0,0,17,0,0,
"S01019091",70,9,0,115,4,0,104,1,0,29,0,0,14,0,0,
"S01019092",26,2,0,150,2,0,133,0,0,32,0,0,17,0,0,
"S01019093",38,1,0,205,0,1,168,0,0,55,0,0,27,0,0,
"S01019094",15,0,0,163,1,0,173,2,4,50,0,0,27,0,0,
"S01019095",12,2,2,106,2,0,117,2,0,29,0,0,20,0,0,
"S01019096",27,0,0,110,2,0,101,0,0,27,0,0,10,0,0,
"S01019097",23,2,0,121,0,0,147,1,0,42,0,0,14,0,0,
"S01019098",7,0,0,65,1,0,86,0,0,31,0,0,8,0,0,
"S01019099",24,4,0,146,6,0,123,1,2,19,0,0,12,0,0,
"S01019100",16,1,0,122,0,0,128,1,2,33,0,1,34,0,0,
"S01019101",53,5,0,145,1,0,113,2,0,20,0,0,11,0,0,
"S01019102",42,3,0,162,5,0,67,1,0,21,1,0,6,0,0,
"S01019103",49,5,0,144,4,0,61,0,0,16,0,0,6,0,0,
"S01019104",98,8,0,212,15,0,77,1,0,6,0,0,3,0,0,
"S01019105",46,16,0,118,12,0,61,1,0,17,0,0,5,0,0,
"S01019106",75,64,0,101,40,0,31,5,0,6,1,0,2,0,0,
"S01019107",78,106,0,91,78,0,40,6,0,7,0,0,0,0,0,
"S01019108",67,10,0,141,8,0,58,0,0,10,0,0,3,0,0,
"S01019109",107,4,0,174,2,0,83,0,0,10,0,0,5,0,0,
"S01019110",44,16,0,127,16,0,49,1,1,6,0,0,4,0,0,
"S01019111",51,25,0,125,29,0,61,3,0,19,2,0,4,1,0,
"S01019112",42,2,0,143,4,0,73,0,0,13,0,0,8,0,0,
"S01019113",54,15,0,173,7,1,142,3,0,49,0,2,17,0,0,
"S01019114",10,2,0,111,1,0,75,0,0,15,0,0,5,0,2,
"S01019115",45,0,1,125,0,1,80,0,1,23,0,2,17,0,0,
"S01019116",53,1,0,217,2,0,121,2,0,37,0,1,15,0,0,
"S01019117",39,1,0,167,0,5,132,0,2,29,0,0,12,0,0,
"S01019118",12,2,0,73,9,1,127,0,1,75,0,0,30,0,0,
"S01019119",11,17,0,124,36,0,181,2,0,48,0,0,18,0,0,
"S01019120",14,4,2,99,1,6,134,2,7,58,0,1,35,0,0,
"S01019121",14,2,0,116,6,1,141,0,1,47,0,0,15,0,0,
"S01019122",8,0,0,84,8,0,137,7,0,45,0,0,23,0,0,
"S01019123",35,6,0,199,17,0,181,6,0,39,1,0,13,1,0,
"S01019124",40,8,0,176,10,0,114,2,0,21,1,0,4,0,0,
"S01019125",26,15,0,115,19,0,96,1,0,19,0,0,7,0,0,
"S01019126",19,2,0,95,5,0,73,0,0,16,0,0,4,0,0,
"S01019127",42,48,0,125,56,0,111,6,0,28,0,0,6,0,0,
"S01019128",82,53,0,164,50,0,112,8,0,26,0,0,6,2,0,
"S01019129",19,1,0,95,7,0,145,2,1,45,2,0,20,0,0,
"S01019130",6,2,2,61,1,29,83,0,12,37,0,0,30,0,0,
"S01019131",15,16,0,113,25,0,142,9,0,37,2,0,10,0,0,
"S01019132",63,25,0,199,37,0,127,12,0,36,4,0,16,1,0,
"S01019133",5,0,0,57,4,0,133,0,0,45,0,0,27,0,0,
"S01019134",5,0,0,55,1,1,90,1,0,25,0,0,13,0,0,
"S01019135",18,3,0,104,10,0,126,4,0,35,2,0,12,0,0,
"S01019136",35,12,0,160,39,0,123,11,0,39,2,0,15,0,0,
"S01019137",5,0,0,68,7,0,116,5,0,29,0,0,20,0,0,
"S01019138",46,8,0,134,12,0,129,8,0,39,1,0,17,4,0,
"S01019139",45,74,0,146,68,0,109,15,0,29,1,0,9,0,0,
"S01019140",20,40,0,104,58,0,108,8,0,26,1,0,7,1,0,
"S01019141",45,14,0,160,30,0,102,8,0,28,0,0,7,0,0,
"S01019142",62,15,0,199,40,0,130,11,0,26,1,0,5,0,0,
"S01019143",28,7,0,163,34,0,158,18,0,40,2,0,22,0,0,
"S01019144",19,6,0,147,10,0,171,0,0,25,0,0,5,0,0,
"S01019145",27,2,0,103,3,0,85,0,0,22,0,0,12,0,1,
"S01019146",57,2,0,205,4,0,194,1,0,57,1,0,13,0,0,
"S01019147",68,14,0,189,14,0,109,5,0,32,2,0,8,0,0,
"S01019148",8,0,0,72,4,0,101,3,0,35,1,0,18,0,0,
"S01019149",22,7,0,90,23,0,52,12,0,17,4,0,5,0,0,
"S01019150",24,15,2,151,41,20,134,7,1,32,1,0,11,0,0,
"S01019151",23,36,0,70,58,0,59,25,0,16,4,0,9,1,0,
"S01019152",19,4,0,153,29,2,129,7,0,31,1,0,7,0,0,
"S01019153",23,23,0,104,43,0,60,9,0,14,0,0,7,0,0,
"S01019154",39,19,0,144,24,0,88,6,0,18,0,0,12,0,0,
"S01019155",62,57,0,157,45,0,96,12,0,26,0,0,4,0,0,
"S01019156",29,68,0,105,124,0,72,17,0,13,3,0,7,1,0,
"S01019157",26,91,0,83,127,0,48,27,0,8,8,0,4,3,0,
"S01019158",45,39,2,119,54,7,70,9,1,15,2,0,9,0,0,
"S01019159",23,2,0,143,6,3,190,2,2,63,2,0,30,0,0,
"S01019160",8,0,0,119,2,4,165,2,1,64,0,1,22,0,0,
"S01019161",22,5,0,119,25,0,117,5,0,49,1,0,10,0,0,
"S01019162",28,3,0,90,14,0,109,4,0,29,0,0,8,0,0,
"S01019163",38,5,0,139,21,0,70,4,0,29,0,0,15,1,0,
"S01019164",6,0,0,64,5,3,89,0,0,36,1,0,15,0,0,
"S01019165",46,11,0,184,17,0,150,10,0,35,5,0,17,2,0,
"S01019166",9,4,0,70,9,0,98,0,0,29,2,0,10,0,0,
"S01019167",18,1,0,59,1,0,100,0,0,22,0,0,17,0,0,
"S01019168",8,0,0,67,8,0,102,4,0,35,0,0,19,0,0,
"S01019169",16,2,0,83,1,0,93,2,0,40,0,1,18,0,0,
"S01019170",32,38,0,104,85,0,107,9,0,23,1,0,16,0,0,
"S01019171",65,32,0,193,25,0,117,4,0,19,0,0,7,0,0,
"S01019172",20,7,0,133,19,0,170,9,0,33,1,0,6,0,0,
"S01019173",5,2,0,58,2,0,82,2,0,22,0,0,11,0,0,
"S01019174",10,1,0,59,1,0,85,0,0,28,0,0,12,0,0,
"S01019175",15,2,0,98,11,0,122,1,0,29,0,0,12,0,0,
"S01019176",21,5,0,135,9,0,130,4,0,33,4,0,11,0,0,
"S01019177",41,3,0,82,19,0,53,6,0,18,1,0,5,0,0,
"S01019178",55,46,0,127,40,0,59,10,0,17,7,0,5,0,0,
"S01019179",35,63,0,124,73,0,84,13,0,16,1,0,4,1,0,
"S01019180",24,21,0,99,38,0,76,10,0,13,0,0,2,0,0,
"S01019181",32,134,0,69,97,0,21,20,0,7,0,0,0,1,0,
"S01019182",28,102,0,92,166,0,44,26,0,12,3,0,2,1,0,
"S01019183",20,142,0,118,174,0,66,32,0,17,4,0,2,0,0,
"S01019184",32,42,0,101,63,0,41,15,0,8,0,0,2,1,0,
"S01019185",21,12,0,96,40,0,76,6,0,6,0,0,5,0,0,
"S01019186",28,57,0,131,83,0,77,23,0,16,0,0,4,0,0,
"S01019187",39,21,0,166,53,0,128,13,0,31,0,0,18,0,0,
"S01019188",15,15,0,104,41,0,93,10,0,22,0,0,3,0,0,
"S01019189",8,3,0,86,5,0,97,0,0,12,0,0,0,0,0,
"S01019190",52,5,0,194,3,0,79,4,0,14,0,0,5,0,0,
"S01019191",20,0,0,144,1,1,108,1,0,19,0,0,7,0,0,
"S01019192",29,27,0,165,83,0,147,28,0,18,1,0,8,0,0,
"S01019193",73,3,0,199,6,0,139,2,0,34,0,0,8,0,0,
"S01019194",36,16,0,166,28,0,103,2,0,19,0,0,9,0,0,
"S01019195",34,3,0,139,14,0,98,2,0,20,0,0,4,0,0,
"S01019196",18,2,0,112,2,0,107,2,0,24,0,0,10,1,0,
"S01019197",20,3,0,103,9,0,48,3,0,13,0,0,2,0,0,
"S01019198",40,6,0,175,13,0,81,0,0,18,0,0,3,0,0,
"S01019199",32,21,0,127,15,0,105,2,0,17,1,0,6,0,0,
"S01019200",17,15,0,169,58,0,125,13,0,19,2,0,9,0,0,
"S01019201",17,124,0,52,83,0,25,13,0,3,2,0,1,0,0,
"S01019202",56,62,0,74,43,0,33,9,0,6,0,0,0,0,0,
"S01019203",42,122,0,71,102,1,25,31,0,6,3,0,0,0,0,
"S01019204",75,13,0,117,21,0,50,3,0,11,0,0,0,0,0,
"S01019205",56,52,0,93,49,0,35,16,0,4,4,0,1,1,0,
"S01019206",31,98,0,53,112,0,26,46,0,7,3,0,6,0,0,
"S01019207",58,37,0,118,41,0,59,10,0,13,1,0,4,0,0,
"S01019208",30,20,0,80,30,0,30,10,0,2,2,0,3,0,0,
"S01019209",48,31,0,72,45,0,33,10,0,10,2,0,2,1,0,
"S01019210",33,136,0,47,107,1,16,23,0,7,0,0,3,0,0,
"S01019211",47,66,0,94,100,0,35,21,1,15,8,0,1,0,0,
"S01019212",46,69,1,74,51,2,32,7,0,8,1,0,0,2,0,
"S01019213",60,76,0,98,41,0,40,6,0,4,0,0,4,0,0,
"S01019214",60,98,1,102,72,0,45,10,0,5,2,0,2,2,0,
"S01019215",32,33,0,70,27,0,22,4,0,5,0,0,1,0,0,
"S01019216",5,5,4,102,22,5,104,6,0,21,0,0,7,0,0,
"S01019217",61,32,0,106,33,0,51,18,0,8,0,0,2,0,0,
"S01019218",71,28,0,102,26,0,35,7,0,8,0,0,1,2,0,
"S01019219",60,32,0,130,31,0,34,10,0,6,0,0,2,0,0,
"S01019220",83,22,0,113,32,0,34,12,1,2,0,0,3,0,0,
"S01019221",70,35,0,103,32,0,41,3,0,7,0,0,4,0,0,
"S01019222",59,40,0,100,43,0,53,8,0,9,2,0,3,0,0,
"S01019223",67,17,0,89,40,0,38,8,0,11,3,0,1,0,0,
"S01019224",12,83,0,47,103,0,17,22,0,6,4,0,3,0,0,
"S01019225",22,87,0,71,132,0,37,41,0,10,2,0,1,1,0,
"S01019226",32,116,0,55,78,0,30,14,0,8,2,0,3,0,0,
"S01019227",39,111,0,34,95,0,26,10,0,6,4,0,0,2,0,
"S01019228",28,169,0,51,118,0,21,16,0,7,2,0,4,0,0,
"S01019229",17,253,0,15,214,0,15,25,0,0,3,0,0,1,0,
"S01019230",15,116,0,54,141,0,19,18,0,4,6,0,2,0,0,
"S01019231",9,245,0,10,128,0,4,21,0,6,2,0,0,0,0,
"S01019232",10,216,0,8,81,0,5,25,0,0,0,0,0,0,0,
"S01019233",6,278,0,8,139,0,7,22,0,3,2,0,0,0,0,
"S01019234",15,371,0,17,149,0,9,21,0,0,1,0,1,0,0,
"S01019235",5,250,0,15,127,0,6,12,0,0,2,0,0,0,0,
"S01019236",44,212,0,24,91,0,12,9,0,1,0,0,0,0,0,
"S01019237",7,6,0,59,22,0,64,6,1,20,0,0,9,0,0,
"S01019238",19,2,0,124,5,0,131,3,0,34,0,0,10,0,0,
"S01019239",56,67,0,97,55,0,55,10,0,20,2,0,6,0,0,
"S01019240",32,2,0,113,3,0,52,4,1,9,0,0,1,0,0,
"S01019241",41,155,0,136,91,0,103,12,0,30,2,0,5,0,0,
"S01019242",55,1,0,190,5,0,136,0,0,28,0,0,6,0,0,
"S01019243",88,11,0,173,13,0,77,2,0,17,0,0,1,0,0,
"S01019244",39,48,0,125,49,0,89,15,0,24,1,0,5,0,0,
"S01019245",22,2,0,151,7,0,127,1,0,24,0,0,4,0,0,
"S01019246",26,16,0,132,30,0,110,10,0,29,1,0,8,0,0,
"S01019247",41,15,0,83,7,0,40,2,0,20,0,0,7,0,0,
"S01019248",76,41,0,161,60,0,71,14,0,8,1,0,6,0,1,
"S01019249",36,11,3,140,14,2,180,1,0,32,0,0,11,0,0,
"S01019250",7,2,0,90,16,0,88,3,0,32,2,0,7,0,0,
"S01019251",18,5,0,130,3,0,132,0,0,30,0,0,17,0,0,
"S01019252",7,3,0,73,12,2,82,2,0,27,1,0,12,0,0,
"S01019253",31,7,0,155,10,0,140,3,0,37,2,0,22,0,0,
"S01019254",6,0,1,65,3,9,98,2,3,26,0,0,9,0,0,
"S01019255",11,1,0,73,4,0,159,3,0,21,1,0,6,0,0,
"S01019256",16,10,0,122,20,0,118,4,0,28,1,0,2,1,0,
"S01019257",8,1,0,67,3,2,115,0,0,28,0,0,6,0,0,
"S01019258",26,14,0,104,7,0,97,0,0,18,0,0,4,0,0,
"S01019259",31,17,0,201,47,0,128,13,0,38,1,0,10,0,0,
"S01019260",50,14,0,147,31,0,100,8,0,28,1,0,7,0,0,
"S01019261",41,1,0,105,7,0,121,4,0,27,0,0,9,0,0,
"S01019262",27,7,0,148,12,0,190,3,0,72,0,0,25,0,0,
"S01019263",30,52,0,120,132,0,80,36,0,15,3,0,9,1,0,
"S01019264",51,12,0,95,23,0,54,4,0,10,1,0,4,0,0,
"S01019265",67,102,0,141,116,0,60,27,0,18,4,0,5,1,0,
"S01019266",34,2,0,150,9,0,147,2,0,45,0,0,21,0,0,
"S01019267",17,0,0,145,5,1,174,0,1,43,0,0,19,0,0,
"S01019268",17,7,0,119,8,0,123,2,0,27,0,0,3,0,0,
"S01019269",30,8,0,159,12,0,170,6,0,41,4,0,21,0,0,
"S01019270",16,1,0,87,6,0,68,1,0,21,0,0,3,0,0,
"S01019271",37,19,0,122,46,0,81,11,0,25,2,0,9,0,0,
"S01019272",66,16,0,209,27,1,129,8,0,36,1,0,12,0,0,
"S01019273",51,44,0,152,63,0,81,14,0,10,0,0,9,1,0,
"S01019274",17,0,1,94,3,14,66,0,2,13,0,1,13,0,0,
"S01019275",28,2,0,225,15,4,144,7,1,30,0,0,21,0,0,
"S01019276",10,2,0,163,1,17,194,3,5,58,4,0,24,0,1,
"S01019277",31,0,0,132,1,0,110,0,0,13,1,0,14,0,0,
"S01019278",7,0,0,91,4,0,112,1,0,27,0,0,15,0,0,
"S01019279",37,5,0,179,19,2,140,2,0,26,0,0,15,0,0,
"S01019280",43,4,0,128,7,0,92,3,0,15,1,0,6,0,0,
"S01019281",25,1,0,171,4,0,185,0,0,48,0,0,17,0,0,
"S01019282",59,61,0,98,55,0,36,14,0,3,0,0,6,0,0,
"S01019283",32,16,0,90,34,0,77,9,0,21,1,0,2,2,0,
