SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Tranent East",61,187,160,169,7,4,0,138,361,320,104,1,4,0,15,65,69,95,1,4,0,14,24,9,17,2,0,0,230,641,558,385,12,8,0,
"Tranent North Blindwells Levenhall",54,35,56,121,8,3,0,453,142,160,69,7,4,1,23,22,26,28,0,2,0,23,7,4,3,0,0,0,549,202,247,222,20,9,1,
"Tranent South",84,144,197,260,6,1,0,614,354,419,119,2,3,0,56,67,100,57,0,0,0,34,25,22,4,1,0,0,788,586,738,440,8,4,0,
"Ormiston",39,170,99,58,9,3,0,197,294,132,30,7,0,0,10,67,23,17,0,0,0,15,23,8,0,0,0,0,260,552,262,105,20,3,0,
"Aberlady",83,133,88,40,10,2,1,308,232,138,32,6,1,0,15,26,11,5,0,1,0,16,9,8,3,0,0,0,425,400,245,78,16,5,1,
"Macmerry Longniddry",135,174,117,26,1,0,0,491,348,220,12,11,0,0,26,57,48,12,0,0,1,25,14,12,1,0,0,0,676,593,397,55,11,0,1,
"Haddington Rural",74,37,33,56,3,0,17,543,170,103,33,3,0,16,22,23,20,12,0,0,0,23,4,1,2,0,0,0,662,239,157,103,8,0,30,
"Humbie Gifford Garvald",171,237,103,35,9,1,1,812,500,201,23,13,3,1,42,76,22,6,0,0,0,35,21,14,6,1,0,0,1060,835,342,68,20,4,3,
"Haddington North",85,195,104,91,11,0,0,408,447,211,46,6,0,0,33,76,48,13,2,0,0,17,24,13,3,0,0,0,543,742,376,159,17,0,0,
"Haddington South",51,197,250,408,51,18,2,186,341,332,154,29,10,0,17,75,84,63,6,3,0,9,17,29,14,2,2,0,263,630,692,639,88,32,2,
"Gullane and Drem",163,204,106,113,20,3,1,593,379,166,89,21,3,1,25,53,21,14,3,0,0,23,13,6,5,0,1,0,814,649,292,221,44,4,4,
"North Berwick North",135,47,59,338,70,6,0,371,111,51,112,98,6,0,19,8,11,21,7,0,0,7,5,1,20,6,0,0,531,170,119,488,181,12,0,
"North Berwick South",137,94,130,189,20,0,0,779,264,200,115,35,0,0,38,60,44,38,4,0,0,28,20,6,14,2,0,0,982,438,377,362,60,0,0,
"East Linton and Rural",217,199,158,49,25,3,0,906,375,302,33,27,2,2,48,60,48,10,0,0,0,44,18,15,0,0,0,1,1215,649,524,91,58,5,3,
"Dunbar West",100,220,98,257,22,3,1,579,434,254,161,18,5,0,39,94,46,67,5,0,0,27,28,24,6,1,0,0,745,776,418,490,44,6,1,
"Dunbar East",128,135,52,281,27,4,0,504,263,91,143,27,8,1,44,56,29,45,9,1,0,22,15,17,11,5,0,0,698,469,183,484,68,13,1,
"Neilston East",80,115,72,216,0,1,0,233,214,89,91,1,2,0,18,64,20,61,3,0,0,17,19,12,13,0,0,0,348,409,192,384,4,3,0,
"Neilston West and Uplawmoor",125,123,82,38,0,0,12,364,362,190,27,4,2,6,24,41,30,10,0,1,0,18,8,9,0,0,0,1,531,531,311,79,6,1,21,
"Cross Stobbs",106,133,44,157,3,0,0,373,440,85,74,5,0,0,25,43,15,31,0,0,0,19,7,0,8,0,0,0,527,624,142,269,8,0,0,
"Dunterlie, East Arthurlie and Dovecothall",70,198,163,1004,16,11,3,212,371,142,328,10,4,1,21,95,64,221,3,2,0,17,30,21,51,0,0,0,321,697,390,1601,30,16,4,
"West Arthurlie, Gateside and Springhill",110,173,70,251,5,0,1,493,361,91,152,4,0,0,38,45,22,76,1,0,0,24,16,5,16,0,0,0,665,595,188,493,10,0,1,
"Auchenback and Barrhead Dams",27,209,177,148,0,0,0,101,371,232,94,3,0,0,16,112,79,90,0,0,0,12,36,26,18,0,0,0,155,728,508,350,6,0,0,
"Crookfur East, Fruin and Greenlaw East",97,91,44,366,1,0,0,615,141,42,204,0,2,0,42,17,13,44,0,0,0,41,5,2,7,0,0,0,796,251,101,621,3,2,0,
"Crookfur West and Greenlaw West",44,84,35,103,0,1,0,533,302,73,67,1,1,0,44,52,24,12,0,0,0,26,14,1,2,0,0,0,647,455,133,185,1,2,0,
"Mearns Village, Westacres and Greenfarm",109,155,130,240,9,0,0,706,337,156,78,2,0,0,55,68,54,54,0,0,0,28,21,15,8,0,0,0,905,582,359,380,10,0,0,
"Whitecraigs and Broom North",152,32,7,112,2,0,0,796,139,12,95,0,1,0,41,6,1,17,0,0,0,41,5,0,1,0,0,0,1029,182,20,226,3,1,0,
"Kirkhill South and Broom South",176,45,19,234,4,0,0,730,115,25,148,2,3,0,38,26,4,42,0,0,0,34,7,0,4,0,1,0,978,193,48,426,6,6,0,
"Mearnskirk and Maidenhill",93,32,17,142,1,1,0,823,123,44,99,1,0,1,45,34,9,27,3,0,0,44,2,3,5,1,0,0,1008,194,76,273,6,1,1,
"Eaglesham and Waterfoot",102,146,153,200,18,3,0,515,426,287,51,7,4,0,20,73,53,30,2,0,0,18,13,8,5,0,0,0,655,662,501,292,27,5,0,
"Kirkhill North",119,114,89,88,0,0,0,510,217,64,55,0,0,0,24,41,29,16,0,1,0,11,6,3,1,0,0,0,667,373,182,160,0,1,0,
"Busby",36,95,136,327,11,3,0,171,245,173,163,8,0,0,11,52,88,60,4,2,0,5,6,8,7,1,0,0,222,401,404,560,21,4,0,
"Clarkston and Sheddens",96,169,92,151,3,4,0,501,727,255,63,5,0,0,35,57,44,25,2,0,0,16,30,6,1,0,0,0,648,979,398,240,10,4,0,
"Williamwood",57,101,12,32,0,0,0,213,523,97,11,0,2,0,22,49,12,2,1,0,0,1,14,3,1,0,0,0,296,689,122,46,2,2,0,
"Stamperland",68,74,176,33,0,0,0,215,265,433,16,0,1,0,12,37,83,2,0,0,0,4,12,9,0,0,0,0,301,385,701,55,0,1,0,
"Netherlee",64,56,108,295,8,0,0,267,257,539,144,7,0,0,12,16,35,16,1,0,0,8,2,10,9,0,0,0,350,334,694,462,16,0,0,
"Merrylee and Braidbar",70,171,44,262,1,4,0,250,690,177,98,1,0,0,9,67,15,20,0,0,0,17,42,5,2,0,0,0,346,971,237,382,1,7,0,
"Lower Whitecraigs and Giffnock South",86,33,9,112,3,0,0,434,318,89,84,0,0,0,26,19,5,3,0,0,0,19,16,2,1,0,0,0,564,383,106,200,3,0,0,
"Giffnock North and Thornliebank North",31,186,86,489,27,1,0,92,422,130,100,4,1,1,4,70,20,20,1,1,0,10,25,5,10,1,0,0,139,703,241,621,33,3,1,
"Thornliebank South and Woodfarm",38,138,63,288,12,0,0,137,501,107,114,7,0,0,6,75,21,92,2,0,0,18,32,8,9,0,0,0,199,750,199,503,15,0,0,
"Dunipace",71,98,153,249,6,2,0,230,258,175,92,3,0,0,9,65,50,56,0,0,0,18,20,13,11,0,0,0,334,441,391,409,11,2,0,
"Fankerton, Stoneywood and Denny Town",120,102,153,273,14,7,26,593,242,284,155,5,3,15,43,43,59,65,4,0,1,29,23,24,13,0,0,0,785,406,521,508,24,10,40,
"Denny - Nethermains",37,124,247,200,0,2,0,115,221,464,83,2,1,0,22,50,135,51,0,0,0,14,14,29,10,0,0,0,188,409,875,343,4,4,0,
"Head of Muir and Dennyloanhead",61,123,68,48,0,0,0,361,293,94,33,2,0,0,22,25,28,11,1,2,0,18,8,6,5,0,0,0,463,453,200,95,3,2,0,
"Banknock, Haggs and Longcroft",73,131,160,120,4,0,0,234,341,255,60,2,0,0,16,77,92,19,0,0,0,21,20,15,4,0,0,0,346,569,522,200,4,0,0,
"Bonnybridge",66,196,251,175,2,3,0,353,396,275,82,5,1,0,23,82,120,45,0,1,0,13,30,20,11,0,0,0,458,704,669,315,4,5,0,
"High Bonnybridge and Greenhill",74,107,54,153,0,1,0,460,276,98,63,1,0,0,28,50,31,49,2,0,1,21,22,3,6,0,0,0,583,455,182,267,3,1,1,
"Larbert - Inches",78,40,64,221,0,0,0,1086,136,194,115,0,0,1,66,17,51,44,0,0,0,28,9,13,8,0,0,0,1258,204,320,391,0,0,1,
"Larbert - North Broomage",57,115,107,126,0,1,0,268,259,136,52,2,0,0,15,38,34,49,0,0,0,15,14,11,3,0,0,0,355,425,288,230,2,1,0,
"Larbert - South Broomage and Village",140,116,28,174,8,2,0,588,311,54,82,11,4,1,45,31,8,25,1,1,0,18,12,0,5,0,0,0,785,468,89,290,19,10,1,
"Stenhousemuir West",12,157,129,222,13,8,0,54,311,185,76,0,6,0,8,93,81,51,0,0,0,3,28,24,14,1,0,0,77,590,419,359,14,14,0,
"Stenhousemuir East",89,117,159,137,8,0,0,261,268,223,52,3,2,2,17,51,82,33,0,1,0,7,11,13,3,0,0,0,374,446,476,226,9,3,2,
"Stenhousemuir - Antonshill",69,194,99,79,2,0,0,327,402,142,36,1,0,0,15,44,20,8,0,0,0,14,13,7,2,0,0,0,421,651,268,127,3,0,0,
"Carron",72,114,36,150,4,0,0,311,248,51,50,3,0,0,22,21,21,24,0,0,0,18,7,7,3,0,0,0,423,394,117,227,6,0,0,
"Carronshore",16,115,97,94,0,3,0,120,268,156,53,0,0,0,9,53,45,29,2,0,0,6,23,18,5,0,1,0,151,459,316,181,2,3,0,
"Carse and Grangemouth Old Town",86,104,81,60,0,1,0,328,157,122,46,3,0,0,29,29,28,26,0,0,0,13,3,10,8,0,0,0,456,293,236,140,3,1,0,
"Falkirk - Bainsford and Langlees",14,87,64,582,4,1,8,73,169,139,245,2,2,0,8,51,65,152,0,0,0,3,26,16,26,0,2,0,98,333,287,1009,7,3,6,
"Falkirk - Merchiston and New Carron Village",78,134,33,362,2,0,0,512,292,64,217,0,1,0,30,31,12,79,0,0,0,16,16,1,21,1,0,0,639,473,110,680,3,3,0,
"Falkirk - Grahamston",20,100,113,827,28,11,0,50,239,118,219,15,8,0,10,35,25,77,2,1,0,8,14,10,31,2,0,0,85,388,266,1151,45,21,0,
"Falkirk - Westfield",2,82,50,177,0,1,0,14,187,91,135,0,0,1,6,50,27,78,0,0,1,1,24,7,20,1,0,0,20,342,175,414,1,1,1,
"Falkirk - Middlefield",20,50,90,350,5,0,0,125,114,145,159,1,0,0,3,24,34,59,0,0,0,4,7,9,12,0,0,0,152,198,278,582,9,0,0,
"Falkirk - Town Centre and Callendar Park",27,84,36,1105,23,22,0,117,169,41,375,14,8,0,15,12,10,60,0,2,0,10,3,3,19,2,0,0,164,268,96,1556,40,29,0,
"Falkirk - Bantaskin",66,125,114,210,16,4,0,277,260,161,118,23,5,0,19,47,59,29,4,0,0,12,15,10,11,2,0,0,374,451,344,368,44,6,0,
"Falkirk - Camelon East",16,82,68,666,15,5,0,45,145,45,251,3,1,0,0,30,21,122,1,0,0,5,17,6,31,1,0,0,71,272,143,1070,20,8,0,
"Falkirk - Camelon West",9,89,164,153,0,0,0,18,174,249,103,0,0,0,5,62,63,61,0,0,0,2,20,12,15,0,0,0,34,345,495,333,0,0,0,
"Falkirk - Tamfourhill",48,85,178,303,1,1,0,122,111,236,85,3,0,0,12,27,53,36,1,0,0,7,10,16,12,0,0,0,189,239,484,440,5,1,0,
"Falkirk - Lochgreen and Lionthorn",126,103,23,44,2,2,0,755,270,32,21,0,2,0,38,25,5,5,0,0,0,23,9,4,3,0,0,0,942,407,62,69,4,3,0,
"Hallglen and Glen Village",6,69,229,179,0,0,0,19,128,390,93,0,0,0,7,44,136,56,0,0,0,4,14,31,16,0,0,0,36,255,786,343,0,0,0,
"Shieldhill",64,97,51,49,2,0,0,292,200,86,22,1,1,0,26,47,20,7,0,0,0,12,19,4,2,0,0,0,392,370,161,80,4,1,0,
"Braes Villages",129,148,134,153,7,2,10,428,334,218,78,6,5,5,34,96,69,42,0,0,0,39,32,14,11,0,0,0,630,611,439,287,13,6,9,
"Reddingmuirhead and Overton",90,114,78,26,1,0,2,888,271,135,18,0,0,0,45,27,30,4,1,0,0,26,11,1,0,1,0,1,1051,423,248,50,3,0,5,
"Brightons and Wallacestone",96,150,86,108,5,3,0,582,318,95,47,6,1,0,51,58,21,18,2,0,0,28,8,2,2,0,0,0,757,534,207,177,13,4,0,
"Maddiston and Rumford",116,171,110,91,1,0,0,670,299,212,59,2,0,0,46,72,75,39,0,0,0,24,13,19,7,0,0,0,852,554,418,196,3,0,0,
"Polmont",154,205,68,241,7,4,0,505,389,82,116,10,0,0,25,24,17,29,0,0,0,13,20,8,12,0,0,0,696,641,176,398,17,4,0,
"Redding",40,154,135,68,3,3,0,163,324,175,56,2,1,0,12,45,68,19,0,0,0,7,20,4,6,1,0,0,222,540,386,149,5,5,0,
"Laurieston and Westquarter",44,174,106,272,4,4,0,108,320,139,133,3,3,0,9,46,38,48,3,0,0,5,23,11,16,1,0,0,163,563,297,470,14,7,0,
"Grangemouth - Newlands",18,112,239,590,4,1,0,79,245,389,305,4,0,0,5,60,96,146,1,1,0,2,8,18,23,0,0,0,106,423,742,1064,9,3,0,
"Grangemouth - Town Centre",24,84,86,717,9,9,0,94,208,192,332,7,4,0,3,23,26,76,3,2,0,6,8,8,17,0,0,1,127,326,312,1142,18,15,1,
"Grangemouth - Kersiebank",41,136,165,463,10,10,0,125,272,244,269,6,1,1,14,30,70,130,1,0,0,7,13,17,41,0,0,0,184,451,488,900,15,11,1,
"Grangemouth - Bowhouse",56,79,232,461,3,1,0,102,169,305,145,2,0,0,9,43,81,107,0,0,0,3,8,10,21,1,0,0,167,299,628,734,5,1,0,
"Bo'ness - Kinneil",87,217,138,109,10,3,0,297,437,349,30,2,1,0,19,78,84,20,0,0,0,14,26,11,1,0,0,0,412,761,582,161,12,4,0,
"Bo'ness - Newtown",70,116,153,145,2,0,0,335,238,211,75,2,1,0,22,28,55,44,0,0,0,11,6,9,7,0,0,0,438,388,424,271,1,2,0,
"Bo'ness - town centre",44,111,92,434,15,16,0,122,159,137,192,10,8,0,10,32,50,79,1,4,0,12,10,8,17,1,0,0,185,313,287,719,27,28,0,
"Blackness, Bo'ness - Carriden and Grahamsdyke",94,179,195,318,11,0,0,458,318,244,127,9,1,1,33,45,66,62,3,0,0,16,17,11,16,0,1,0,602,559,519,526,23,0,1,
"Kincardine",87,160,139,128,19,5,0,247,261,217,50,12,2,0,17,54,42,18,4,2,0,12,17,14,6,2,0,0,363,495,413,203,33,7,0,
"Comrie and Oakley",38,154,123,104,0,2,0,174,273,161,51,0,0,0,16,68,62,34,0,0,0,14,28,12,10,0,0,0,242,523,358,199,0,1,0,
"Blairhall Saline and Carnock",149,119,98,106,0,1,0,649,225,132,76,1,2,2,47,52,52,36,0,0,0,32,8,13,10,0,2,0,877,405,293,228,1,3,2,
"Valleyfield Culross and Torryburn",72,169,145,178,33,1,2,320,292,196,75,16,2,2,23,69,55,37,5,0,0,17,17,20,7,0,0,0,442,547,416,297,52,2,3,
"Cairneyhill and Crombie",112,117,80,76,2,1,0,374,241,100,35,4,1,1,35,42,30,16,0,1,0,19,7,4,4,1,0,0,540,412,214,124,10,2,1,
"Crossford Charlestown and Limekilns",220,170,94,49,13,3,0,680,270,138,41,7,2,0,38,27,28,15,0,0,0,26,7,8,1,1,1,0,963,478,269,106,22,6,0,
"Dunfermline Milesmark and Wellwood",125,108,117,115,12,1,0,611,242,180,85,7,4,0,47,27,37,22,0,0,0,29,12,8,8,1,0,0,814,387,338,230,22,6,0,
"Dunfermline Baldridgeburn",47,90,155,800,48,5,0,85,108,140,273,39,6,0,17,8,35,139,4,1,0,3,12,8,50,2,0,0,152,217,340,1262,92,16,0,
"Dunfermline Headwell",68,126,50,694,49,0,1,198,286,95,329,25,1,0,15,58,29,140,3,0,0,6,20,14,39,4,0,0,293,489,188,1201,81,2,1,
"Dunfermline Central",73,48,62,619,57,27,0,251,95,77,236,55,8,0,13,12,10,41,4,6,0,18,2,1,35,5,6,0,355,162,152,931,119,51,0,
"Dunfermline Brucefield",38,100,83,318,30,3,0,147,188,178,138,12,1,0,15,60,59,31,3,0,0,15,24,28,16,0,0,0,209,372,343,504,45,4,0,
"Dunfermline Garvock Hill",126,119,11,69,8,0,1,470,307,34,29,7,1,0,28,35,4,11,0,0,0,18,11,4,3,0,0,0,642,469,53,113,15,1,1,
"Townhill and Kingseat",132,68,63,128,4,0,0,361,109,117,73,3,0,0,21,31,29,30,1,0,0,21,7,6,5,1,0,0,535,215,216,232,9,0,0,
"Dunfermline Bellyeoman",173,142,93,47,2,0,0,423,283,75,21,0,1,0,25,43,32,16,0,0,0,14,15,4,1,0,0,0,638,484,203,83,2,1,0,
"Dunfermline Duloch North",50,22,31,174,0,0,0,484,81,83,119,2,1,0,36,29,36,29,0,0,0,24,3,10,4,0,0,0,595,135,157,327,2,1,0,
"Dunfermline Halbeath and Lynebank",105,71,27,92,2,2,0,705,191,66,62,1,1,0,40,44,24,54,1,2,0,35,8,9,9,0,0,0,882,316,126,220,4,5,0,
"Dunfermline Touch and Woodmill",18,109,145,313,2,2,0,46,190,218,126,5,0,0,13,66,80,77,0,0,0,4,14,30,25,2,0,0,81,379,468,541,8,2,0,
"Dunfermline Abbeyview North",12,187,217,276,3,1,0,43,315,325,75,1,8,1,11,103,111,46,0,0,0,5,31,30,16,0,0,0,74,636,687,414,6,10,1,
"Dunfermline Abbeyview South",11,95,253,44,3,0,0,30,161,423,11,1,0,0,5,56,109,5,2,1,0,4,11,27,2,2,0,0,54,323,808,62,8,1,0,
"Dunfermline Duloch South",77,22,27,131,0,1,0,790,64,49,40,3,1,0,60,15,15,14,0,0,0,35,5,2,5,0,0,0,962,106,92,188,4,0,0,
"Dunfermline Masterton",94,29,75,95,0,0,1,803,120,116,57,4,4,0,55,19,31,11,0,0,0,24,7,4,0,0,0,0,976,175,227,165,5,4,1,
"Dunfermline Pitcorthie East",133,147,18,50,2,0,0,688,273,30,20,1,0,0,54,28,2,4,0,0,0,27,10,7,1,0,0,0,900,458,54,75,2,0,0,
"Dunfermline Pitcorthie West",82,136,65,52,4,0,0,267,307,73,31,9,4,0,11,31,21,3,0,0,0,10,18,5,1,0,0,0,374,492,161,86,17,4,0,
"Rosyth North",18,58,189,154,3,0,0,77,147,378,76,2,2,0,12,35,72,38,0,2,0,4,18,18,10,0,0,0,108,258,653,282,5,4,0,
"Rosyth East",48,121,195,100,0,0,0,67,244,349,55,5,3,0,7,42,92,29,0,3,0,8,21,21,7,1,0,0,128,428,661,196,7,5,0,
"Rosyth Central",30,90,330,252,1,1,4,67,156,486,74,4,0,0,17,43,132,38,1,0,1,11,15,24,12,1,0,0,122,304,964,373,5,1,2,
"Rosyth South",33,37,55,68,0,0,0,234,146,146,47,0,0,0,19,24,76,6,0,0,0,23,8,12,6,0,0,0,309,215,289,126,0,0,0,
"North Queensferry and Inverkeithing West",91,82,226,291,9,9,0,270,192,323,132,8,6,0,21,36,98,36,0,1,0,17,14,29,23,0,0,0,401,324,675,482,17,15,0,
"Inverkeithing East",39,75,143,228,13,9,0,160,200,263,125,7,6,0,14,38,64,45,3,0,0,9,11,11,15,0,0,0,221,325,481,413,25,13,0,
"Dalgety Bay West and Hillend",86,86,17,11,0,0,0,485,170,23,6,1,0,0,35,8,7,2,0,0,0,19,9,3,4,0,0,0,621,278,48,22,1,0,0,
"Dalgety Bay Central",205,180,91,223,5,0,0,731,257,81,104,2,0,0,41,38,14,17,0,0,0,27,8,2,9,0,0,0,1008,482,188,353,8,0,0,
"Dalgety Bay East",107,101,75,3,0,0,0,340,197,129,6,0,0,0,27,33,43,2,1,0,0,15,5,8,2,0,0,0,489,338,255,12,0,0,0,
"Crossgates and South Knowe",104,114,60,116,5,3,23,459,213,77,61,5,4,18,20,37,25,26,1,0,0,20,6,7,0,2,0,0,603,370,166,200,13,9,41,
"Hill of Beath",13,172,151,133,2,0,0,53,378,233,51,2,1,0,17,92,57,32,1,0,0,5,44,21,10,3,0,0,90,686,463,228,5,1,0,
"Cowdenbeath South",35,179,137,237,10,2,0,69,249,168,113,9,6,0,11,63,40,78,0,2,0,12,34,14,11,0,0,0,127,525,359,439,26,10,0,
"Cowdenbeath North",79,205,161,219,14,7,0,413,395,282,89,4,3,0,29,60,63,33,1,6,0,18,22,11,8,3,1,0,536,685,517,349,22,18,0,
"Kelty West",43,91,105,148,2,0,0,83,163,251,92,1,0,0,6,36,60,80,0,0,0,6,8,20,17,0,0,0,138,301,436,337,5,0,0,
"Kelty East and Landward",135,122,80,362,6,0,2,491,208,96,157,4,1,1,28,34,31,78,0,1,0,30,9,10,20,0,0,0,684,373,218,617,11,2,3,
"Lochore and Crosshill",53,171,91,138,3,0,1,82,304,115,49,3,1,0,11,67,44,49,1,0,0,7,25,10,8,2,1,0,155,567,260,242,9,2,1,
"Ballingry",38,108,215,45,2,0,0,72,185,309,12,0,2,0,20,94,156,17,0,1,0,2,16,33,7,1,0,0,134,406,713,80,5,0,0,
"Cardenden",75,214,247,238,7,4,0,250,356,350,102,10,5,0,23,117,122,63,2,1,0,21,36,25,15,0,0,0,369,727,744,418,18,13,0,
"Lochgelly East",86,238,140,233,6,7,1,360,507,181,91,4,4,0,24,99,37,62,0,2,0,15,22,5,12,1,0,0,482,864,367,400,10,15,1,
"Lochgelly West and Lumphinnans",17,161,81,324,0,3,0,76,240,105,131,5,4,0,9,71,26,94,0,0,0,9,15,16,24,0,0,0,111,490,229,573,7,8,0,
"Aberdour and Auchtertool",132,99,114,161,18,4,0,432,177,153,70,20,3,1,18,24,24,22,6,0,1,21,10,10,5,3,0,0,603,310,297,264,46,8,2,
"Burntisland West",56,103,91,400,24,7,0,352,166,101,176,19,12,1,25,33,30,82,0,2,0,29,18,7,22,3,2,0,462,320,226,683,49,22,1,
"Burntisland East",63,112,95,136,16,0,0,189,229,129,91,13,2,0,11,35,41,21,3,2,0,7,5,12,12,0,0,0,270,378,277,261,36,3,0,
"Kinghorn",97,97,68,263,15,4,0,265,184,70,124,11,3,0,15,24,12,69,0,1,0,10,7,1,7,1,0,0,387,312,151,467,24,8,0,
"Kirkcaldy Linktown and Seafield",90,92,51,643,24,1,1,428,159,68,314,12,1,1,27,27,17,156,4,1,0,27,10,5,35,0,2,0,572,288,141,1152,40,5,1,
"Kirkcaldy Central",27,77,67,627,51,34,0,90,190,125,265,55,11,0,12,16,18,75,6,5,0,3,5,5,41,9,0,0,132,286,218,1005,120,51,0,
"Kirkcaldy Bennochy East",43,104,53,710,22,1,4,71,185,58,281,7,1,0,10,14,6,79,2,4,0,5,6,3,39,3,1,0,129,312,120,1112,33,5,4,
"Kirkcaldy Bennochy West",68,146,65,215,3,0,1,181,257,98,113,1,0,0,18,58,22,63,0,0,0,13,22,0,11,0,0,1,278,483,184,401,5,0,2,
"Kirkcaldy Raith",131,103,25,50,3,0,0,493,200,29,9,0,0,0,23,24,7,3,0,1,0,25,9,1,1,0,0,2,673,339,61,63,8,1,2,
"Kirkcaldy Newliston and Redcraigs",69,137,200,85,2,0,0,234,222,301,27,2,1,0,5,36,66,25,0,0,0,12,14,17,2,0,0,0,318,409,584,139,3,1,0,
"Kirkcaldy Templehall West",18,123,267,127,0,0,0,29,156,373,47,1,2,0,4,54,146,38,0,2,0,3,17,26,11,0,0,0,51,350,812,226,2,5,0,
"Kirkcaldy Templehall East",32,159,244,334,6,0,0,110,265,362,147,3,0,0,18,92,132,135,2,0,0,7,24,31,37,0,0,0,172,538,770,657,11,0,0,
"Kirkcaldy Dunnikier",150,183,12,3,2,0,0,405,504,20,3,2,0,1,25,58,3,2,0,0,0,10,17,2,1,0,0,0,590,765,37,11,3,0,1,
"Kirkcaldy Chapel",87,98,259,119,4,0,0,681,161,343,51,4,0,0,51,21,82,25,0,0,0,50,9,19,5,0,0,0,866,289,703,201,4,0,0,
"Kirkcaldy Hayfield and Smeaton",45,133,68,324,6,0,21,86,270,117,196,7,0,23,17,84,40,89,0,0,0,4,32,23,50,1,1,0,156,521,248,659,17,1,48,
"Kirkcaldy Pathhead",44,112,48,559,25,17,0,120,179,83,229,18,8,0,9,17,13,52,2,5,0,6,14,8,26,2,2,0,182,322,152,866,47,32,0,
"Kirkcaldy Gallatown and Sinclairtown",45,161,251,706,19,1,2,59,163,241,350,3,6,1,20,62,82,198,0,3,0,2,22,23,43,0,2,0,132,401,600,1299,18,12,2,
"Dysart",55,104,110,563,21,4,0,133,188,170,229,11,1,0,8,27,33,102,3,0,0,13,13,24,42,5,2,0,211,333,337,936,36,4,0,
"Wemyss",56,133,184,235,17,5,1,295,249,212,93,7,1,2,24,40,36,53,3,1,0,26,8,14,6,2,1,0,394,430,442,386,25,8,5,
"Thornton and Kinglassie",105,220,146,279,2,5,3,405,429,243,138,6,2,3,38,90,74,97,0,2,0,33,22,8,12,0,0,1,584,761,467,529,11,8,7,
"Leslie and Newcastle",122,172,203,212,19,6,1,275,289,243,85,13,7,0,20,58,71,74,8,1,0,25,23,15,8,2,0,0,438,542,536,381,42,14,1,
"Glenrothes Macedonia and Tanshall",25,141,416,136,8,4,0,46,137,520,44,2,1,0,16,69,233,37,1,0,0,4,20,62,9,1,1,0,92,365,1230,226,12,2,0,
"Glenrothes South Parks",12,96,210,99,9,2,0,25,152,271,21,1,0,0,3,36,84,9,1,0,0,2,15,20,0,0,0,0,39,299,585,129,8,2,0,
"Glenrothes Caskieberran and Rimbleton",35,94,511,62,0,0,0,94,130,696,30,1,1,0,13,37,140,8,0,1,0,12,12,46,2,2,0,0,154,268,1392,103,3,2,0,
"Glenrothes Auchmuty",8,102,209,241,6,5,0,25,160,324,91,3,0,0,13,57,102,55,1,0,0,4,28,32,10,0,0,0,50,348,667,403,10,5,0,
"Glenrothes Stenton and Finglassie",117,68,140,113,4,3,0,415,161,183,22,0,3,0,25,25,37,4,0,1,0,23,11,10,4,2,0,0,580,265,372,146,7,8,0,
"Glenrothes Pitteuchar",93,84,396,107,0,5,0,287,184,595,21,3,0,5,18,46,182,11,1,0,0,17,15,41,6,0,0,0,415,327,1217,145,7,5,5,
"Glenrothes Woodside",14,114,200,59,1,1,0,16,189,322,17,0,0,0,3,40,83,24,0,2,0,2,11,42,7,0,0,0,39,353,650,112,1,1,0,
"Glenrothes Balgeddie",178,113,9,35,0,0,0,686,185,17,14,2,0,0,25,21,3,5,0,0,0,34,5,0,1,0,0,0,926,324,29,57,2,0,0,
