SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Number of cars or vans and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Intermediate Zone (2022)",
"Black Isle Fortrose and Avoch",237,0,0,0,808,0,0,0,618,0,0,125,0,0,67,237,808,806,
"Black Isle North",132,0,0,0,598,0,0,0,625,0,0,184,0,0,95,132,598,904,
"Alness",720,0,0,0,1275,0,0,0,622,0,0,139,0,0,36,720,1275,797,
"Invergordon",493,0,0,0,931,0,0,0,472,0,0,116,0,0,41,493,931,629,
"Seaboard",287,0,0,0,904,0,0,0,637,0,0,162,0,0,72,287,904,872,
"Tain",392,0,0,0,811,0,0,0,418,0,0,88,0,0,32,392,811,541,
"Sutherland South",317,0,0,0,1384,0,0,0,930,0,0,266,0,0,98,317,1384,1290,
"Sutherland East",421,0,0,0,977,0,0,0,501,0,0,127,0,0,61,421,977,691,
"Caithness South",167,0,0,0,640,0,0,0,458,0,0,146,0,0,46,167,640,654,
"Wick South",576,0,0,0,770,0,0,0,299,0,0,75,0,0,20,576,770,393,
"Wick North",380,0,0,0,699,0,0,0,323,0,0,56,0,0,25,380,699,406,
"Caithness North East",182,0,0,0,691,0,0,0,548,0,0,203,0,0,101,182,691,852,
"Caithness North West",277,0,0,0,958,0,0,0,755,0,0,224,0,0,98,277,958,1080,
"Thurso East",687,0,0,0,1083,0,0,0,363,0,0,89,0,0,21,687,1083,473,
"Thurso West",271,0,0,0,661,0,0,0,323,0,0,61,0,0,19,271,661,407,
"Sutherland North and West",212,0,0,0,775,0,0,0,497,0,0,130,0,0,59,212,775,686,
"Kilmacolm Central",208,0,0,0,628,0,0,0,455,0,0,124,0,0,45,208,628,629,
"Kilmacolm, Quarriers, Greenock Upper East/Central",78,0,0,0,351,0,0,0,414,0,0,103,0,0,29,78,351,545,
"Inverkip and Wemyss Bay",172,0,0,0,940,0,0,0,1003,0,0,285,0,0,82,172,940,1370,
"West Braeside and West Gourock",104,0,0,0,464,0,0,0,387,0,0,97,0,0,24,104,464,508,
"Gourock Upper and West Central",466,0,0,0,969,0,0,0,496,0,0,93,0,0,25,466,969,615,
"Gourock Central and Upper East",656,0,0,0,905,0,0,0,363,0,0,74,0,0,22,656,905,460,
"Braeside, Branchton, Ravenscraig",384,0,0,0,626,0,0,0,338,0,0,79,0,0,19,384,626,434,
"Larkfield",608,0,0,0,632,0,0,0,288,0,0,66,0,0,18,608,632,365,
"Bow Farm, Fancy Farm and Mallard Bowl",832,0,0,0,1028,0,0,0,411,0,0,80,0,0,16,832,1028,507,
"Gourock East, Greenock West and Lyle Road",317,0,0,0,947,0,0,0,692,0,0,140,0,0,49,317,947,881,
"Greenock West and Central",1117,0,0,0,1299,0,0,0,428,0,0,61,0,0,17,1117,1299,506,
"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",400,0,0,0,783,0,0,0,455,0,0,99,0,0,26,400,783,581,
"Greenock Upper Central",1255,0,0,0,883,0,0,0,214,0,0,39,0,0,12,1255,883,264,
"Greenock Town Centre and East Central",1525,0,0,0,1056,0,0,0,243,0,0,38,0,0,19,1525,1056,300,
"Greenock Upper East",488,0,0,0,598,0,0,0,288,0,0,57,0,0,17,488,598,362,
"Greenock Lower East",632,0,0,0,727,0,0,0,358,0,0,55,0,0,20,632,727,437,
"Port Glasgow Upper, West and Central",864,0,0,0,1042,0,0,0,556,0,0,109,0,0,24,864,1042,690,
"Port Glasgow Mid, East and Central",703,0,0,0,786,0,0,0,307,0,0,59,0,0,17,703,786,383,
"Port Glasgow Upper East",771,0,0,0,829,0,0,0,382,0,0,102,0,0,19,771,829,503,
"Rural South Midlothian",137,0,0,0,643,0,0,0,659,0,0,128,0,0,62,137,643,849,
"Penicuik Southeast",485,0,0,0,832,0,0,0,426,0,0,74,0,0,32,485,832,532,
"Penicuik Southwest",277,0,0,0,745,0,0,0,433,0,0,111,0,0,22,277,745,566,
"Penicuik East",309,0,0,0,522,0,0,0,233,0,0,47,0,0,20,309,522,302,
"Penicuik North",228,0,0,0,641,0,0,0,411,0,0,97,0,0,24,228,641,532,
"Pentland",142,0,0,0,806,0,0,0,681,0,0,121,0,0,35,142,806,837,
"Roslin and Bilston",232,0,0,0,758,0,0,0,424,0,0,77,0,0,32,232,758,533,
"Straiton",306,0,0,0,601,0,0,0,226,0,0,67,0,0,17,306,601,308,
"Loanhead",419,0,0,0,805,0,0,0,390,0,0,90,0,0,32,419,805,508,
"Poltonhall",435,0,0,0,874,0,0,0,509,0,0,105,0,0,31,435,874,645,
"Bonnyrigg North",581,0,0,0,1140,0,0,0,611,0,0,131,0,0,50,581,1140,792,
"Hopefield",155,0,0,0,807,0,0,0,651,0,0,93,0,0,44,155,807,791,
"Dalhousie",113,0,0,0,596,0,0,0,650,0,0,160,0,0,56,113,596,866,
"Eskbank and Newbattle",250,0,0,0,977,0,0,0,742,0,0,144,0,0,64,250,977,952,
"Danderhall, Shawfair and Midlothian North",347,0,0,0,1022,0,0,0,719,0,0,127,0,0,44,347,1022,890,
"Woodburn",491,0,0,0,927,0,0,0,592,0,0,86,0,0,22,491,927,700,
"Dalkeith",642,0,0,0,598,0,0,0,184,0,0,33,0,0,10,642,598,228,
"Rural North East Midlothian",257,0,0,0,696,0,0,0,605,0,0,136,0,0,50,257,696,791,
"Pathhead and Rural South East Midlothian",112,0,0,0,560,0,0,0,579,0,0,127,0,0,43,112,560,749,
"Easthouses",331,0,0,0,518,0,0,0,310,0,0,84,0,0,21,331,518,415,
"Mayfield",563,0,0,0,904,0,0,0,384,0,0,100,0,0,29,563,904,513,
"Newtongrange",483,0,0,0,885,0,0,0,420,0,0,81,0,0,32,483,885,533,
"North Gorebridge",353,0,0,0,702,0,0,0,373,0,0,81,0,0,29,353,702,483,
"Gorebridge and Birkenside",358,0,0,0,654,0,0,0,341,0,0,105,0,0,36,358,654,482,
"Aberlour, South Speyside and the Cabrach",300,0,0,0,933,0,0,0,629,0,0,189,0,0,83,300,933,901,
"Rothes and North Speyside",177,0,0,0,564,0,0,0,399,0,0,148,0,0,53,177,564,600,
"Rural Keith and Strathisla",89,0,0,0,452,0,0,0,472,0,0,165,0,0,103,89,452,743,
"Keith and Fife Keith",524,0,0,0,1079,0,0,0,506,0,0,125,0,0,54,524,1079,687,
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",266,0,0,0,939,0,0,0,611,0,0,178,0,0,47,266,939,836,
"Buckie Central East",411,0,0,0,836,0,0,0,376,0,0,83,0,0,28,411,836,490,
"Buckie West, Buckpool and Mains of Buckie",451,0,0,0,1235,0,0,0,597,0,0,134,0,0,51,451,1235,782,
"Mosstodloch, Portgordon, Urquhart and seaward",195,0,0,0,846,0,0,0,706,0,0,195,0,0,61,195,846,962,
"Fochabers, Aultmore, Clochan and Ordiquish",174,0,0,0,512,0,0,0,362,0,0,83,0,0,35,174,512,474,
"Heldon West, Miltonduff and Fogwatt to Inchberry",33,0,0,0,321,0,0,0,469,0,0,151,0,0,71,33,321,691,
"Lhanbryde, Troves, Pitgavney and seaward",202,0,0,0,519,0,0,0,323,0,0,67,0,0,25,202,519,417,
"Elgin Central East, Kingsmills, Ashgrove and Pinefield",624,0,0,0,1069,0,0,0,317,0,0,64,0,0,21,624,1069,402,
"New Elgin East and The Wards",532,0,0,0,1093,0,0,0,593,0,0,116,0,0,28,532,1093,737,
"New Elgin West",357,0,0,0,921,0,0,0,594,0,0,119,0,0,34,357,921,744,
"Elgin Central West",248,0,0,0,690,0,0,0,448,0,0,94,0,0,34,248,690,576,
"Elgin Bishopmill East, Ladyhill and High Street",530,0,0,0,825,0,0,0,373,0,0,70,0,0,17,530,825,464,
"Elgin Bishopmill West and Newfield",292,0,0,0,705,0,0,0,595,0,0,90,0,0,32,292,705,717,
"Lossiemouth East and Seatown",305,0,0,0,796,0,0,0,401,0,0,94,0,0,36,305,796,530,
"Lossiemouth West",228,0,0,0,766,0,0,0,382,0,0,79,0,0,27,228,766,486,
"Burghead, Roseisle and Laich",231,0,0,0,961,0,0,0,674,0,0,174,0,0,68,231,961,919,
"Kinloss, Alves and Pluscarden Valley",101,0,0,0,482,0,0,0,361,0,0,74,0,0,43,101,482,478,
"Forres Central East",560,0,0,0,1036,0,0,0,434,0,0,88,0,0,33,560,1036,552,
"Forres South West, Pilmuir and Mannachie",516,0,0,0,1322,0,0,0,768,0,0,156,0,0,36,516,1322,961,
"Findhorn, Rafford, Dallas, Dyke to Dava",165,0,0,0,666,0,0,0,614,0,0,186,0,0,80,165,666,882,
"Barra and South Uist",255,0,0,0,630,0,0,0,449,0,0,109,0,0,38,255,630,596,
"Benbecula and North Uist",204,0,0,0,631,0,0,0,408,0,0,102,0,0,34,204,631,548,
"South Lewis",349,0,0,0,959,0,0,0,631,0,0,162,0,0,53,349,959,846,
"Northwest Lewis",276,0,0,0,815,0,0,0,533,0,0,173,0,0,61,276,815,767,
"Broadbay",193,0,0,0,631,0,0,0,494,0,0,161,0,0,60,193,631,713,
"Stornoway West",530,0,0,0,679,0,0,0,295,0,0,67,0,0,27,530,679,389,
"Stornoway East",363,0,0,0,635,0,0,0,294,0,0,61,0,0,24,363,635,378,
"Point to Sandwick",186,0,0,0,602,0,0,0,387,0,0,108,0,0,41,186,602,535,
"Arran",378,0,0,0,1096,0,0,0,596,0,0,138,0,0,51,378,1096,788,
"Springside and Rural",243,0,0,0,472,0,0,0,291,0,0,81,0,0,39,243,472,411,
"Irvine Tarryholme",268,0,0,0,578,0,0,0,417,0,0,109,0,0,24,268,578,550,
"Dreghorn",421,0,0,0,704,0,0,0,363,0,0,74,0,0,28,421,704,465,
"Irvine Broomlands",335,0,0,0,535,0,0,0,226,0,0,64,0,0,12,335,535,302,
"Irvine Bourtreehill",334,0,0,0,436,0,0,0,211,0,0,31,0,0,6,334,436,250,
"Irvine Girdle Toll and Staneca",450,0,0,0,889,0,0,0,461,0,0,64,0,0,20,450,889,546,
"Irvine Perceton and Lawthorn",320,0,0,0,892,0,0,0,884,0,0,183,0,0,69,320,892,1136,
"Irvine Castlepark North",499,0,0,0,676,0,0,0,306,0,0,63,0,0,13,499,676,382,
"Irvine Castlepark South",611,0,0,0,631,0,0,0,247,0,0,55,0,0,18,611,631,322,
"Irvine East",509,0,0,0,644,0,0,0,267,0,0,60,0,0,19,509,644,346,
"Irvine Central",614,0,0,0,716,0,0,0,276,0,0,67,0,0,20,614,716,363,
"Irvine Fullarton",608,0,0,0,563,0,0,0,150,0,0,34,0,0,7,608,563,191,
"Stevenston Ardeer",385,0,0,0,490,0,0,0,315,0,0,67,0,0,13,385,490,395,
"Saltcoats Central",868,0,0,0,829,0,0,0,221,0,0,42,0,0,15,868,829,275,
"Ardrossan Central",783,0,0,0,637,0,0,0,205,0,0,55,0,0,4,783,637,270,
"Ardrossan North West",324,0,0,0,752,0,0,0,396,0,0,88,0,0,36,324,752,520,
"Ardrossan North East",610,0,0,0,837,0,0,0,380,0,0,91,0,0,24,610,837,496,
"Saltcoats North West",255,0,0,0,646,0,0,0,434,0,0,108,0,0,26,255,646,568,
"Saltcoats North East",621,0,0,0,866,0,0,0,476,0,0,93,0,0,32,621,866,598,
"Stevenston North West",509,0,0,0,622,0,0,0,275,0,0,49,0,0,17,509,622,340,
"Stevenston Hayocks",638,0,0,0,771,0,0,0,303,0,0,58,0,0,18,638,771,375,
"Kilwinning Whitehirst Park and Woodside",234,0,0,0,911,0,0,0,771,0,0,189,0,0,53,234,911,1012,
"Kilwinning Pennyburn",438,0,0,0,612,0,0,0,212,0,0,41,0,0,9,438,612,261,
"Kilwinning West and Blacklands",754,0,0,0,894,0,0,0,378,0,0,75,0,0,20,754,894,472,
"Kilwinning Central and North",611,0,0,0,755,0,0,0,374,0,0,85,0,0,22,611,755,485,
"Dalry East and Rural",413,0,0,0,636,0,0,0,274,0,0,83,0,0,38,413,636,393,
"Dalry West",307,0,0,0,571,0,0,0,326,0,0,85,0,0,35,307,571,449,
"Fairlie and Rural",185,0,0,0,579,0,0,0,394,0,0,107,0,0,43,185,579,544,
"West Kilbride and Seamill",412,0,0,0,1066,0,0,0,700,0,0,141,0,0,48,412,1066,889,
"Largs South",511,0,0,0,974,0,0,0,369,0,0,74,0,0,28,511,974,471,
"Largs Central and Cumbrae",962,0,0,0,1122,0,0,0,368,0,0,87,0,0,27,962,1122,482,
"Largs North",316,0,0,0,964,0,0,0,534,0,0,116,0,0,33,316,964,683,
"Skelmorlie and Rural",144,0,0,0,606,0,0,0,406,0,0,111,0,0,43,144,606,560,
"Kilbirnie North",356,0,0,0,689,0,0,0,331,0,0,84,0,0,31,356,689,446,
"Kilbirnie South and Longbar",749,0,0,0,869,0,0,0,319,0,0,73,0,0,24,749,869,410,
"Beith West",310,0,0,0,599,0,0,0,364,0,0,81,0,0,24,310,599,473,
"Beith East and Rural",373,0,0,0,740,0,0,0,531,0,0,138,0,0,53,373,740,722,
"Overtown",326,0,0,0,660,0,0,0,355,0,0,101,0,0,33,326,660,489,
"Netherton and Kirkhill",352,0,0,0,672,0,0,0,359,0,0,89,0,0,25,352,672,470,
"Muirhouse",520,0,0,0,656,0,0,0,391,0,0,84,0,0,23,520,656,501,
"Muirhouse and Knowetop",268,0,0,0,634,0,0,0,457,0,0,97,0,0,28,268,634,582,
"Flemington",628,0,0,0,727,0,0,0,370,0,0,72,0,0,27,628,727,469,
"Craigneuk Wishaw",947,0,0,0,834,0,0,0,354,0,0,66,0,0,11,947,834,429,
"Pather",536,0,0,0,769,0,0,0,340,0,0,70,0,0,26,536,769,436,
"Wishaw South",854,0,0,0,923,0,0,0,432,0,0,123,0,0,36,854,923,591,
"Wishaw North",796,0,0,0,1316,0,0,0,648,0,0,157,0,0,46,796,1316,852,
"Coltness",409,0,0,0,760,0,0,0,397,0,0,91,0,0,8,409,760,495,
"Wishaw East",295,0,0,0,573,0,0,0,331,0,0,74,0,0,8,295,573,415,
"Newmains",729,0,0,0,1069,0,0,0,538,0,0,154,0,0,38,729,1069,730,
"Allanton - Newmains Rural",166,0,0,0,355,0,0,0,362,0,0,99,0,0,33,166,355,494,
"Shotts",494,0,0,0,972,0,0,0,435,0,0,84,0,0,34,494,972,553,
"Stane",398,0,0,0,595,0,0,0,321,0,0,73,0,0,36,398,595,426,
"Harthill and Salsburgh",358,0,0,0,768,0,0,0,389,0,0,100,0,0,28,358,768,517,
"Salsburgh",197,0,0,0,439,0,0,0,490,0,0,88,0,0,42,197,439,620,
"Cleland",278,0,0,0,560,0,0,0,354,0,0,100,0,0,45,278,560,495,
"Dalziel and Hartwood",62,0,0,0,427,0,0,0,587,0,0,114,0,0,60,62,427,759,
"Newarthill",358,0,0,0,634,0,0,0,296,0,0,68,0,0,24,358,634,388,
"Carfin North",336,0,0,0,729,0,0,0,446,0,0,100,0,0,31,336,729,577,
"Clydesdale and New Stevenston",337,0,0,0,633,0,0,0,457,0,0,91,0,0,29,337,633,580,
"Carfin and Cleekhimin",558,0,0,0,867,0,0,0,591,0,0,155,0,0,38,558,867,784,
"Motherwell South",981,0,0,0,809,0,0,0,218,0,0,36,0,0,11,981,809,265,
"Ladywell",256,0,0,0,1000,0,0,0,636,0,0,143,0,0,49,256,1000,829,
"Motherwell West",514,0,0,0,785,0,0,0,372,0,0,84,0,0,21,514,785,477,
"Motherwell North",371,0,0,0,445,0,0,0,296,0,0,76,0,0,21,371,445,389,
"Forgewood",869,0,0,0,885,0,0,0,381,0,0,61,0,0,17,869,885,459,
"Holytown",609,0,0,0,1007,0,0,0,589,0,0,136,0,0,48,609,1007,774,
"Milnwood",655,0,0,0,957,0,0,0,452,0,0,97,0,0,32,655,957,581,
"Orbiston",761,0,0,0,995,0,0,0,409,0,0,122,0,0,31,761,995,560,
"Bellshill South",838,0,0,0,940,0,0,0,337,0,0,81,0,0,22,838,940,440,
"Hattonrigg",202,0,0,0,475,0,0,0,261,0,0,72,0,0,26,202,475,359,
"Bellshill Central",635,0,0,0,717,0,0,0,301,0,0,51,0,0,15,635,717,374,
"Fallside",513,0,0,0,902,0,0,0,586,0,0,140,0,0,40,513,902,762,
"Viewpark",727,0,0,0,920,0,0,0,465,0,0,102,0,0,13,727,920,583,
"Birkenshaw",228,0,0,0,752,0,0,0,597,0,0,165,0,0,58,228,752,824,
"Kirkwood and Bargeddie",703,0,0,0,1037,0,0,0,556,0,0,138,0,0,57,703,1037,751,
"Kirkshaws",792,0,0,0,1013,0,0,0,468,0,0,126,0,0,40,792,1013,631,
"Dundyvan",1001,0,0,0,1103,0,0,0,459,0,0,111,0,0,42,1001,1103,614,
"Drumpellier and Langloan",259,0,0,0,431,0,0,0,263,0,0,57,0,0,12,259,431,331,
"Coatbridge West",642,0,0,0,753,0,0,0,348,0,0,86,0,0,22,642,753,459,
"Townhead",627,0,0,0,823,0,0,0,414,0,0,104,0,0,18,627,823,536,
"Sunnyside and Cliftonville",739,0,0,0,904,0,0,0,281,0,0,69,0,0,24,739,904,373,
"Cliftonville",329,0,0,0,469,0,0,0,222,0,0,37,0,0,12,329,469,270,
"Shawhead and Whifflet",453,0,0,0,649,0,0,0,370,0,0,65,0,0,9,453,649,444,
"Greenend and Carnbroe",463,0,0,0,900,0,0,0,803,0,0,173,0,0,63,463,900,1039,
"Calderbank and Brownsburn",339,0,0,0,638,0,0,0,387,0,0,86,0,0,22,339,638,493,
"Chapelhall West",206,0,0,0,467,0,0,0,308,0,0,84,0,0,20,206,467,412,
"Chapelhall East",200,0,0,0,611,0,0,0,542,0,0,123,0,0,38,200,611,700,
"Craigneuk Airdrie",208,0,0,0,598,0,0,0,477,0,0,126,0,0,45,208,598,648,
"Petersburn",521,0,0,0,695,0,0,0,316,0,0,92,0,0,23,521,695,431,
"Gartlea",459,0,0,0,563,0,0,0,222,0,0,50,0,0,9,459,563,281,
"Cairnhill",394,0,0,0,877,0,0,0,575,0,0,134,0,0,40,394,877,753,
"Coatdyke and Whinhall",648,0,0,0,1071,0,0,0,611,0,0,120,0,0,33,648,1071,768,
"Thrashbush",838,0,0,0,1013,0,0,0,483,0,0,95,0,0,36,838,1013,614,
"Airdrie North",872,0,0,0,878,0,0,0,366,0,0,76,0,0,25,872,878,467,
"Drumgelloch",495,0,0,0,838,0,0,0,465,0,0,99,0,0,31,495,838,596,
"Caldercruix and Plains",562,0,0,0,1048,0,0,0,593,0,0,157,0,0,85,562,1048,835,
"Glenmavis and Greengairs",303,0,0,0,1020,0,0,0,903,0,0,226,0,0,101,303,1020,1230,
"Gartcosh",116,0,0,0,748,0,0,0,939,0,0,126,0,0,50,116,748,1115,
"Marnoch and Glenboig",229,0,0,0,522,0,0,0,517,0,0,134,0,0,49,229,522,697,
"Cardowan and Millerston",276,0,0,0,875,0,0,0,707,0,0,141,0,0,27,276,875,875,
"Stepps",165,0,0,0,591,0,0,0,519,0,0,98,0,0,28,165,591,650,
"Chryston and Muirhead",319,0,0,0,859,0,0,0,490,0,0,124,0,0,53,319,859,666,
"Moodiesburn West",475,0,0,0,733,0,0,0,367,0,0,72,0,0,22,475,733,457,
"Moodiesburn East",186,0,0,0,557,0,0,0,414,0,0,97,0,0,31,186,557,546,
"Westfield",287,0,0,0,629,0,0,0,441,0,0,84,0,0,31,287,629,556,
"Broadwood",133,0,0,0,499,0,0,0,477,0,0,125,0,0,42,133,499,648,
"Condorrat",525,0,0,0,960,0,0,0,438,0,0,98,0,0,31,525,960,570,
"Greenfaulds",483,0,0,0,741,0,0,0,368,0,0,82,0,0,19,483,741,469,
"Seafar",611,0,0,0,736,0,0,0,255,0,0,46,0,0,10,611,736,315,
"Cumbernauld Central",986,0,0,0,854,0,0,0,250,0,0,45,0,0,9,986,854,304,
"Kildrum",743,0,0,0,868,0,0,0,292,0,0,61,0,0,9,743,868,362,
"Abronhill South",559,0,0,0,805,0,0,0,336,0,0,68,0,0,20,559,805,424,
"Abronhill North",466,0,0,0,838,0,0,0,413,0,0,95,0,0,21,466,838,529,
"Village and Castlecary",525,0,0,0,753,0,0,0,344,0,0,57,0,0,23,525,753,428,
"Carrickstone",98,0,0,0,587,0,0,0,733,0,0,235,0,0,70,98,587,1038,
"Balloch West",144,0,0,0,573,0,0,0,486,0,0,124,0,0,53,144,573,663,
"Balloch East",237,0,0,0,560,0,0,0,302,0,0,63,0,0,17,237,560,382,
"Klisyth East",494,0,0,0,802,0,0,0,548,0,0,99,0,0,36,494,802,683,
"Croy, Dullatar and Banton",235,0,0,0,548,0,0,0,653,0,0,142,0,0,69,235,548,866,
"Kilsyth Bogside",411,0,0,0,690,0,0,0,332,0,0,80,0,0,30,411,690,442,
"Balmalloch",380,0,0,0,750,0,0,0,423,0,0,82,0,0,33,380,750,542,
"Stromness, Sandwick and Stenness",276,0,0,0,690,0,0,0,391,0,0,98,0,0,38,276,690,522,
"West Mainland",171,0,0,0,748,0,0,0,705,0,0,195,0,0,98,171,748,1002,
"East Mainland",164,0,0,0,720,0,0,0,706,0,0,173,0,0,89,164,720,968,
"West Kirkwall",586,0,0,0,984,0,0,0,348,0,0,73,0,0,23,586,984,447,
"East Kirkwall",327,0,0,0,623,0,0,0,256,0,0,47,0,0,14,327,623,318,
"Isles",267,0,0,0,948,0,0,0,631,0,0,163,0,0,71,267,948,865,
"Powmill, Cleish and Scotlandwell",88,0,0,0,562,0,0,0,741,0,0,274,0,0,127,88,562,1142,
"Kinross",373,0,0,0,1027,0,0,0,709,0,0,154,0,0,42,373,1027,905,
"Milnathort and Crook of Devon",156,0,0,0,628,0,0,0,671,0,0,202,0,0,107,156,628,979,
"Muthill, Greenloaning and Gleneagles",133,0,0,0,586,0,0,0,611,0,0,171,0,0,77,133,586,859,
"Auchterarder",372,0,0,0,1161,0,0,0,838,0,0,175,0,0,54,372,1161,1070,
"Comrie, Gilmerton and St Fillans",203,0,0,0,705,0,0,0,563,0,0,171,0,0,56,203,705,790,
"Crieff North",162,0,0,0,670,0,0,0,437,0,0,95,0,0,38,162,670,572,
"Crieff South",473,0,0,0,987,0,0,0,451,0,0,95,0,0,38,473,987,586,
"Almondbank and Pitcairngreen",139,0,0,0,681,0,0,0,670,0,0,233,0,0,87,139,681,990,
"Glenfarg, Dunning and Rhynd",122,0,0,0,569,0,0,0,649,0,0,209,0,0,94,122,569,952,
"Bridge of Earn and Abernethy",256,0,0,0,927,0,0,0,840,0,0,196,0,0,75,256,927,1111,
"Upper Craigie and Friarton",460,0,0,0,767,0,0,0,355,0,0,81,0,0,19,460,767,456,
"Viewlands and Craigie",574,0,0,0,1425,0,0,0,643,0,0,120,0,0,34,574,1425,797,
"Burghmuir, Oakbank and Cherrybank",264,0,0,0,1081,0,0,0,715,0,0,114,0,0,39,264,1081,868,
"Western Edge",469,0,0,0,1188,0,0,0,663,0,0,127,0,0,36,469,1188,826,
"Letham",715,0,0,0,1005,0,0,0,389,0,0,61,0,0,20,715,1005,470,
"Tulloch and Inveralmond",776,0,0,0,1017,0,0,0,378,0,0,79,0,0,22,776,1017,481,
"North Muirton",505,0,0,0,705,0,0,0,247,0,0,34,0,0,13,505,705,294,
"Muirton",385,0,0,0,628,0,0,0,235,0,0,46,0,0,8,385,628,286,
"North Inch",765,0,0,0,664,0,0,0,155,0,0,33,0,0,10,765,664,199,
"Central and South Inch",1795,0,0,0,993,0,0,0,187,0,0,25,0,0,4,1795,993,220,
"Gannochy and Walnut Grove",391,0,0,0,707,0,0,0,442,0,0,112,0,0,34,391,707,586,
"Scone",481,0,0,0,1190,0,0,0,695,0,0,157,0,0,41,481,1190,893,
"Guildtown, Balbeggie and St Madoes",131,0,0,0,636,0,0,0,632,0,0,163,0,0,69,131,636,862,
"Errol and Inchture",142,0,0,0,727,0,0,0,738,0,0,163,0,0,38,142,727,936,
"Invergowrie, Longforgan and Abernyte",221,0,0,0,699,0,0,0,540,0,0,146,0,0,51,221,699,738,
"Coupar Angus and Meigle",349,0,0,0,973,0,0,0,768,0,0,187,0,0,76,349,973,1031,
"Alyth",247,0,0,0,712,0,0,0,397,0,0,91,0,0,34,247,712,529,
"Blair Atholl, Strathardle and Glenshee",105,0,0,0,766,0,0,0,643,0,0,149,0,0,88,105,766,880,
"Blairgowrie South (Ardblair and Rosemout)",112,0,0,0,505,0,0,0,424,0,0,91,0,0,37,112,505,553,
"Rattray",354,0,0,0,671,0,0,0,346,0,0,65,0,0,18,354,671,429,
"Blairgowrie Central",361,0,0,0,871,0,0,0,426,0,0,88,0,0,41,361,871,555,
"Bankfoot, Stanley and Murthly",213,0,0,0,908,0,0,0,739,0,0,198,0,0,73,213,908,1008,
"Luncarty and Bertha Park",130,0,0,0,468,0,0,0,358,0,0,81,0,0,28,130,468,464,
"Amulree and Dunkeld",200,0,0,0,703,0,0,0,518,0,0,149,0,0,57,200,703,728,
"Pitlochry",316,0,0,0,819,0,0,0,461,0,0,98,0,0,46,316,819,607,
"Rannoch and Aberfeldy",276,0,0,0,952,0,0,0,591,0,0,178,0,0,92,276,952,861,
"Lochwinnoch",246,0,0,0,635,0,0,0,348,0,0,82,0,0,23,246,635,453,
"Renfrewshire Rural South and Howwood",93,0,0,0,552,0,0,0,671,0,0,187,0,0,64,93,552,922,
"Dargavel",52,0,0,0,642,0,0,0,977,0,0,94,0,0,29,52,642,1100,
"Renfrewshire Rural North and Langbank",121,0,0,0,781,0,0,0,852,0,0,197,0,0,84,121,781,1133,
"Kilbarchan",305,0,0,0,727,0,0,0,430,0,0,84,0,0,36,305,727,550,
"Johnstone South West",698,0,0,0,1064,0,0,0,564,0,0,112,0,0,32,698,1064,708,
"Johnstone North West",828,0,0,0,751,0,0,0,239,0,0,50,0,0,15,828,751,304,
"Johnstone North East",729,0,0,0,779,0,0,0,316,0,0,62,0,0,11,729,779,389,
"Johnstone South East",673,0,0,0,847,0,0,0,363,0,0,56,0,0,16,673,847,435,
"Elderslie and Phoenix",493,0,0,0,979,0,0,0,795,0,0,150,0,0,41,493,979,986,
"Paisley Ferguslie",796,0,0,0,718,0,0,0,292,0,0,63,0,0,24,796,718,379,
"Paisley North West",1196,0,0,0,763,0,0,0,261,0,0,48,0,0,22,1196,763,331,
"Paisley West",746,0,0,0,1122,0,0,0,538,0,0,126,0,0,31,746,1122,697,
"Paisley Foxbar",875,0,0,0,991,0,0,0,466,0,0,106,0,0,24,875,991,596,
"Paisley South West",269,0,0,0,883,0,0,0,641,0,0,171,0,0,52,269,883,864,
"Paisley Glenburn West",491,0,0,0,703,0,0,0,395,0,0,93,0,0,28,491,703,513,
"Paisley Glenburn East",417,0,0,0,740,0,0,0,372,0,0,82,0,0,30,417,740,484,
"Paisley South",283,0,0,0,759,0,0,0,499,0,0,123,0,0,46,283,759,668,
"Paisley South East",1504,0,0,0,1346,0,0,0,427,0,0,80,0,0,24,1504,1346,531,
"Paisley Dykebar",215,0,0,0,725,0,0,0,576,0,0,124,0,0,32,215,725,732,
