SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation - 3 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation - 3 groups, collapsed","Whole house or bungalow",,,,,"Flat, maisonette or apartment",,,,,"Caravan or other mobile or temporary structure",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Data Zone (2022)",
"S01013668",9,6,2,0,1,192,88,28,9,0,0,0,0,0,0,
"S01013669",11,3,2,0,1,116,89,26,12,3,0,0,0,0,0,
"S01013670",5,7,1,2,0,183,140,36,25,3,0,0,0,0,0,
"S01013671",91,92,28,19,9,178,52,11,7,5,0,0,0,0,0,
"S01013672",55,65,27,28,16,168,112,41,18,7,0,0,0,0,1,
"S01013673",17,21,7,4,2,121,66,39,16,7,0,0,0,0,0,
"S01013674",21,45,18,10,11,128,75,20,5,5,0,0,0,0,0,
"S01013675",60,82,11,21,9,83,49,13,3,4,0,0,0,0,0,
"S01013676",33,46,15,10,6,241,116,47,21,14,0,0,0,0,0,
"S01013677",37,29,23,14,5,274,108,26,11,3,0,0,0,0,0,
"S01013678",69,87,35,34,15,51,19,6,2,2,0,0,0,0,0,
"S01013679",38,58,37,19,13,125,42,17,13,3,0,0,0,0,0,
"S01013680",58,74,26,23,10,118,67,19,5,3,0,0,0,0,0,
"S01013681",29,18,13,8,5,219,72,23,10,1,0,0,0,0,0,
"S01013682",35,44,7,13,6,38,30,9,9,1,0,0,0,0,0,
"S01013683",66,62,11,26,11,126,64,15,10,2,0,0,0,0,0,
"S01013684",64,57,39,12,5,62,56,18,6,2,0,0,0,0,0,
"S01013685",102,126,40,34,14,2,5,0,2,1,0,0,0,0,0,
"S01013686",72,52,34,16,7,41,37,13,11,2,0,0,0,0,0,
"S01013687",52,43,19,10,5,82,43,10,11,1,0,0,0,0,0,
"S01013688",96,98,57,31,5,75,27,11,5,1,0,0,0,0,0,
"S01013689",81,59,44,19,9,23,18,15,4,0,0,0,0,0,0,
"S01013690",51,68,24,20,1,22,20,9,4,0,0,0,0,0,0,
"S01013691",96,111,63,34,10,51,6,3,1,0,0,0,0,0,0,
"S01013692",114,89,40,37,16,84,38,15,4,0,1,0,0,0,0,
"S01013693",119,154,66,22,9,32,9,0,0,0,1,0,0,0,0,
"S01013694",131,107,49,41,4,86,20,3,0,0,0,0,0,0,0,
"S01013695",86,95,30,18,7,3,10,1,0,0,0,0,0,0,0,
"S01013696",111,127,56,39,9,58,29,9,4,0,0,0,0,0,0,
"S01013697",91,78,23,28,12,36,15,18,6,4,0,0,0,0,0,
"S01013698",33,53,38,22,12,7,6,18,16,6,0,0,0,0,0,
"S01013699",56,67,40,28,15,14,7,6,0,0,0,0,0,0,0,
"S01013700",129,128,54,49,10,33,9,4,3,0,0,0,0,0,0,
"S01013701",43,94,50,26,12,11,4,3,0,0,0,0,0,0,0,
"S01013702",84,124,63,61,21,3,6,3,6,2,0,0,0,0,0,
"S01013703",73,94,39,22,17,5,2,1,1,3,0,0,0,0,0,
"S01013704",88,117,53,37,13,18,3,3,2,1,0,0,0,0,0,
"S01013705",78,92,43,35,13,12,11,5,3,1,0,0,0,0,0,
"S01013706",96,88,43,32,7,4,2,1,4,0,0,0,0,0,0,
"S01013707",25,40,33,29,15,42,52,36,34,8,0,0,0,0,0,
"S01013708",63,78,39,43,15,16,10,1,2,0,0,0,0,0,0,
"S01013709",14,26,14,10,6,54,49,63,20,10,0,0,0,0,0,
"S01013710",40,37,35,21,22,148,80,53,22,7,0,0,0,0,0,
"S01013711",68,90,38,25,11,27,33,27,15,4,0,0,0,0,0,
"S01013712",34,35,23,27,26,116,78,55,28,21,0,0,0,0,0,
"S01013713",45,84,51,29,13,8,16,6,2,5,0,0,0,0,0,
"S01013714",62,58,28,20,6,59,18,6,4,0,0,0,0,0,0,
"S01013715",50,124,62,65,18,0,3,0,0,1,0,0,0,0,0,
"S01013716",75,101,25,29,6,3,2,2,2,1,0,0,0,0,0,
"S01013717",72,114,101,90,12,1,0,2,1,4,0,0,0,0,0,
"S01013718",71,147,53,42,5,0,4,0,2,1,0,0,0,0,0,
"S01013719",17,67,28,37,9,8,5,0,1,1,0,1,0,0,0,
"S01013720",33,76,42,33,12,93,65,8,3,1,0,0,0,0,0,
"S01013721",68,86,16,15,3,5,7,0,0,0,0,0,0,0,0,
"S01013722",80,99,61,81,12,7,8,2,1,0,0,0,0,0,0,
"S01013723",63,92,56,60,18,7,12,8,0,2,0,0,0,0,0,
"S01013724",44,50,27,14,8,208,113,26,29,9,1,0,0,0,0,
"S01013725",27,33,5,10,2,136,70,28,14,6,16,1,0,0,0,
"S01013726",66,72,60,43,23,58,24,5,5,2,1,0,0,0,0,
"S01013727",47,83,40,31,12,125,64,22,18,3,6,0,0,0,0,
"S01013728",103,91,52,31,11,30,7,1,1,3,0,0,0,0,0,
"S01013729",143,97,39,32,5,11,5,2,2,0,0,0,0,0,0,
"S01013730",104,59,27,22,6,4,2,3,2,0,0,0,0,0,0,
"S01013731",103,119,38,35,14,84,35,8,1,0,0,0,0,0,0,
"S01013732",45,50,18,10,5,96,53,12,3,1,0,0,0,0,0,
"S01013733",54,66,38,19,7,153,76,35,11,2,0,0,0,0,0,
"S01013734",91,122,59,45,11,47,8,5,0,0,0,0,0,0,0,
"S01013735",74,101,41,27,7,5,3,0,1,0,0,0,0,0,0,
"S01013736",46,55,44,43,16,6,11,3,1,0,0,0,0,0,0,
"S01013737",73,61,22,13,9,153,51,25,12,5,0,2,0,0,0,
"S01013738",49,115,45,25,13,61,31,17,7,3,0,0,0,0,0,
"S01013739",90,116,37,30,9,55,34,20,7,8,0,0,0,0,0,
"S01013740",62,96,35,24,9,28,23,4,2,5,0,0,0,0,0,
"S01013741",50,58,19,21,2,18,13,6,3,0,0,0,0,0,0,
"S01013742",89,92,33,16,11,52,16,11,4,4,0,0,0,0,0,
"S01013743",100,137,42,48,11,68,22,9,4,3,0,0,0,0,0,
"S01013744",96,146,41,40,7,38,22,7,3,0,0,0,0,0,0,
"S01013745",53,89,43,42,14,28,13,8,6,0,0,1,0,0,0,
"S01013746",13,32,26,39,23,90,40,12,3,0,0,0,0,0,0,
"S01013747",83,119,44,44,4,44,6,0,1,0,0,0,0,0,0,
"S01013748",65,116,28,25,8,49,15,1,1,0,0,0,0,0,0,
"S01013749",76,93,24,29,5,13,3,0,0,0,0,0,2,0,0,
"S01013750",71,79,28,14,2,38,13,2,0,0,0,0,0,0,0,
"S01013751",70,149,31,21,3,42,13,3,1,0,0,0,0,0,0,
"S01013752",49,83,51,64,21,28,11,4,3,0,0,0,0,2,0,
"S01013753",144,164,39,38,4,29,8,2,1,0,0,0,0,0,0,
"S01013754",86,115,57,47,21,1,5,3,3,2,0,0,0,0,0,
"S01013755",108,110,45,35,6,36,8,1,2,1,0,0,0,0,0,
"S01013756",59,79,36,24,11,62,7,0,0,2,0,0,0,0,0,
"S01013757",50,97,31,36,10,11,2,0,0,0,0,0,0,0,0,
"S01013758",82,105,45,36,14,5,0,1,0,0,0,0,0,0,0,
"S01013759",21,99,48,34,10,0,0,0,0,0,0,0,0,0,0,
"S01013760",109,157,52,55,13,5,0,5,0,0,0,0,0,0,0,
"S01013761",66,124,34,27,13,1,0,0,0,0,0,0,0,0,0,
"S01013762",28,55,30,27,10,0,0,0,0,0,0,0,0,0,0,
"S01013763",95,126,29,27,10,35,16,5,4,0,0,0,0,0,0,
"S01013764",87,132,60,55,16,6,7,2,4,2,0,0,0,0,0,
"S01013765",43,102,41,29,9,0,0,0,0,0,0,0,0,0,0,
"S01013766",101,87,49,37,13,108,42,16,9,5,1,0,0,0,0,
"S01013767",67,55,13,9,6,94,38,7,9,3,0,0,0,0,0,
"S01013768",60,128,27,31,11,0,0,0,1,0,0,0,0,0,0,
