SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Total",
"Data Zone (2022)",
"S01013993",113,90,14,14,4,239,
"S01013994",100,111,12,43,7,272,
"S01013995",104,107,60,22,4,300,
"S01013996",97,64,75,6,4,246,
"S01013997",77,112,46,11,2,245,
"S01013998",43,149,3,16,0,215,
"S01013999",135,88,61,19,4,313,
"S01014000",101,76,0,36,8,221,
"S01014001",148,115,11,17,3,294,
"S01014002",90,81,6,18,8,202,
"S01014003",70,58,66,23,5,221,
"S01014004",118,94,4,34,3,255,
"S01014005",107,69,2,25,3,210,
"S01014006",111,83,4,31,4,236,
"S01014007",146,145,8,55,6,357,
"S01014008",125,159,71,18,7,373,
"S01014009",99,155,113,24,5,402,
"S01014010",153,98,6,24,9,285,
"S01014011",158,114,9,66,14,358,
"S01014012",224,129,76,31,5,465,
"S01014013",106,133,32,28,7,304,
"S01014014",81,89,47,30,1,249,
"S01014015",104,67,9,29,5,214,
"S01014016",167,94,18,39,8,330,
"S01014017",239,146,10,39,7,438,
"S01014018",170,111,57,51,11,398,
"S01014019",175,104,18,44,11,352,
"S01014020",163,105,155,41,8,469,
"S01014021",214,120,113,61,8,517,
"S01014022",194,79,76,40,9,398,
"S01014023",123,75,193,71,7,469,
"S01014024",93,52,156,14,4,319,
"S01014025",109,69,3,20,0,205,
"S01014026",177,186,4,39,13,415,
"S01014027",98,77,14,62,4,258,
"S01014028",116,72,8,29,7,228,
"S01014029",160,123,149,66,11,513,
"S01014030",204,87,46,36,9,382,
"S01014031",141,69,48,27,1,287,
"S01014032",135,102,85,44,15,380,
"S01014033",176,114,57,28,6,381,
"S01014034",92,48,56,13,0,210,
"S01014035",108,55,19,29,5,216,
"S01014036",231,121,38,48,6,440,
"S01014037",159,77,164,14,8,417,
"S01014038",253,92,79,19,11,451,
"S01014039",253,112,97,41,2,512,
"S01014040",199,129,30,54,15,427,
"S01014041",169,90,13,29,12,313,
"S01014042",169,77,89,27,11,373,
"S01014043",65,48,64,12,4,197,
"S01014044",183,102,171,86,10,552,
"S01014045",122,80,95,6,5,308,
"S01014046",136,72,93,19,1,322,
"S01014047",133,76,175,19,7,410,
"S01014048",183,107,79,25,6,401,
"S01014049",164,105,144,16,3,435,
"S01014050",121,82,75,27,2,307,
"S01014051",142,143,142,18,0,446,
"S01014052",105,77,88,16,4,291,
"S01014053",131,98,83,31,2,339,
"S01014054",135,101,58,32,3,332,
"S01014055",196,111,14,54,14,389,
"S01014056",167,91,30,31,6,321,
"S01014057",172,118,8,24,4,336,
"S01014058",147,73,19,18,3,256,
"S01014059",121,51,2,17,6,198,
"S01014060",183,103,24,29,9,344,
"S01014061",206,106,137,43,5,495,
"S01014062",127,99,43,36,5,314,
"S01014063",157,141,59,26,2,385,
"S01014064",132,114,27,12,2,289,
"S01014065",86,60,5,16,2,169,
"S01014066",175,123,112,51,5,469,
"S01014067",113,92,2,24,6,237,
"S01014068",127,108,8,21,4,271,
"S01014069",174,95,27,9,4,309,
"S01014070",148,139,83,28,2,399,
"S01014071",198,145,112,18,6,482,
"S01014072",58,64,71,8,3,204,
"S01014073",170,145,8,38,9,367,
"S01014074",139,111,8,20,4,282,
"S01014075",153,152,41,25,1,372,
"S01014076",117,90,29,13,6,251,
"S01014077",180,147,14,42,1,385,
"S01014078",218,126,34,19,7,404,
"S01014079",133,105,99,18,4,361,
"S01014080",114,130,61,35,2,346,
"S01014081",86,58,74,27,2,244,
"S01014082",144,146,75,19,10,393,
"S01014083",121,71,12,8,3,214,
"S01014084",225,140,13,13,3,401,
"S01014085",98,59,84,26,4,271,
"S01014086",117,79,104,30,5,335,
"S01014087",117,88,58,26,0,292,
"S01014088",166,89,75,14,3,347,
"S01014089",128,84,112,32,4,360,
"S01014090",126,134,174,54,8,493,
"S01014091",129,94,111,39,3,383,
"S01014092",93,79,102,32,3,309,
"S01014093",103,74,78,26,9,291,
"S01014094",127,91,257,45,4,522,
"S01014095",122,70,51,28,2,270,
"S01014096",130,87,141,111,6,475,
"S01014097",61,43,380,112,8,604,
"S01014098",123,82,210,105,3,517,
"S01014099",64,33,129,40,6,272,
"S01014100",132,68,4,12,5,220,
"S01014101",102,98,9,31,3,243,
"S01014102",69,105,131,9,3,315,
"S01014103",98,67,115,19,7,304,
"S01014104",231,115,26,29,7,410,
"S01014105",215,108,19,15,4,360,
"S01014106",141,173,28,18,4,363,
"S01014107",24,219,0,8,0,251,
"S01014108",127,111,3,5,2,250,
"S01014109",25,157,84,27,3,296,
"S01014110",158,112,5,22,9,306,
"S01014111",73,137,2,7,0,221,
"S01014112",116,81,5,17,4,227,
"S01014113",145,163,34,13,5,360,
"S01014114",146,100,31,23,6,305,
"S01014115",99,70,152,16,2,342,
"S01014116",141,93,16,34,11,295,
"S01014117",130,63,8,34,3,238,
"S01014118",42,141,2,3,0,189,
"S01014119",126,91,144,14,3,375,
"S01014120",117,104,91,25,6,343,
"S01014121",113,57,41,13,8,225,
"S01014122",186,93,65,11,7,366,
"S01014123",136,93,7,11,4,253,
"S01014124",119,57,38,26,2,243,
"S01014125",164,81,49,13,2,307,
"S01014126",168,109,6,18,9,310,
"S01014127",138,64,4,17,1,227,
"S01014128",121,75,17,25,3,241,
"S01014129",189,132,41,16,6,385,
"S01014130",136,69,30,11,5,251,
"S01014131",161,145,5,8,4,321,
"S01014132",143,108,5,8,4,264,
"S01014133",73,48,130,33,3,284,
"S01014134",83,72,141,22,1,322,
"S01014135",119,78,224,65,14,500,
"S01014136",65,47,150,58,0,320,
"S01014137",106,70,86,29,4,295,
"S01014138",117,88,93,40,7,345,
"S01014139",153,105,83,41,6,385,
"S01014140",177,60,118,34,5,394,
"S01014141",73,52,265,40,3,437,
"S01014142",76,69,264,106,8,523,
"S01014143",114,51,200,34,9,405,
"S01014144",194,144,5,29,4,372,
"S01014145",149,91,17,21,3,279,
"S01014146",170,116,40,15,7,344,
"S01014147",180,95,5,17,2,299,
"S01014148",120,95,8,37,3,263,
"S01014149",139,86,36,24,10,293,
"S01014150",114,73,5,7,6,209,
"S01014151",101,91,0,18,4,217,
"S01014152",64,169,1,11,0,248,
"S01014153",130,91,6,22,0,249,
"S01014154",138,118,22,13,6,299,
"S01014155",73,89,23,28,6,217,
"S01014156",132,81,6,26,2,243,
"S01014157",121,97,8,13,11,246,
"S01014158",44,92,45,8,12,202,
"S01014159",79,238,16,8,0,344,
"S01014160",56,138,1,13,0,209,
"S01014161",333,56,11,52,13,465,
"S01014162",273,115,44,33,7,469,
"S01014163",150,114,32,24,4,327,
"S01014164",181,86,18,21,2,308,
"S01014165",120,77,2,5,4,206,
"S01014166",143,67,3,15,7,236,
"S01014167",246,83,17,21,6,376,
"S01014168",184,78,3,7,4,278,
"S01014169",43,128,33,7,1,214,
"S01014170",127,71,15,18,5,232,
"S01014171",154,99,36,11,4,302,
"S01014172",187,109,87,74,5,460,
"S01014173",141,98,38,32,5,315,
"S01014174",153,89,33,38,9,322,
"S01014175",78,105,58,38,6,283,
"S01014176",146,159,31,34,4,378,
"S01014177",93,81,84,58,4,317,
"S01014178",65,119,39,46,2,269,
"S01014179",129,122,112,38,0,402,
"S01014180",130,105,63,40,5,344,
