SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 4 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,"One family household: Couple family",,,"One family household: Lone parent",,,"Other household types",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013617",131,53,0,32,68,29,31,33,3,3,7,0,195,161,32,
"S01013618",99,68,2,13,46,21,9,11,4,9,12,5,133,137,29,
"S01013619",229,132,1,47,44,21,9,14,2,27,27,8,315,217,30,
"S01013620",308,91,0,56,56,15,29,11,5,27,19,2,415,177,22,
"S01013621",75,119,13,37,87,34,10,11,2,38,29,29,157,246,71,
"S01013622",197,136,7,68,79,30,10,9,1,37,26,7,309,244,45,
"S01013623",173,94,6,42,40,29,8,6,1,60,29,5,283,173,39,
"S01013624",119,96,2,37,24,19,1,0,0,45,17,17,202,139,34,
"S01013625",148,146,5,49,92,46,7,12,6,43,52,30,249,302,85,
"S01013626",158,54,2,33,37,11,23,12,2,20,10,2,236,105,17,
"S01013627",113,73,0,26,51,8,2,1,0,24,17,4,165,142,12,
"S01013628",95,72,4,31,47,15,30,8,1,24,5,4,180,132,19,
"S01013629",279,115,11,67,58,13,10,0,2,61,26,9,413,204,34,
"S01013630",242,107,3,42,71,26,6,15,4,44,21,6,334,213,39,
"S01013631",145,78,0,21,49,26,6,4,2,27,24,9,198,157,38,
"S01013632",175,51,2,39,26,5,8,2,1,25,9,0,245,90,10,
"S01013633",99,49,3,34,34,20,11,5,2,29,25,13,177,113,37,
"S01013634",56,90,7,18,49,35,3,6,1,19,18,11,91,163,58,
"S01013635",141,120,4,30,60,27,24,16,3,11,24,5,207,221,39,
"S01013636",103,143,3,21,124,81,3,6,4,15,6,11,142,284,99,
"S01013637",152,96,5,47,80,29,22,10,3,13,20,14,234,205,48,
"S01013638",77,56,4,13,36,11,8,10,0,17,19,7,113,121,18,
"S01013639",95,50,4,26,62,20,19,17,1,30,18,5,170,144,30,
"S01013640",123,81,4,49,36,21,14,13,1,30,23,7,216,153,31,
"S01013641",87,67,4,30,48,14,2,4,4,30,24,15,152,143,33,
"S01013642",68,24,5,30,24,11,13,12,3,16,14,6,127,75,24,
"S01013643",51,54,1,18,40,19,5,6,2,17,13,13,89,113,40,
"S01013644",78,31,1,30,33,16,21,11,3,31,14,4,157,89,24,
"S01013645",63,36,7,20,38,6,2,1,2,23,33,8,109,108,23,
"S01013646",58,40,2,29,39,18,6,1,0,19,9,9,114,87,24,
"S01013647",140,62,6,28,32,20,6,7,0,35,15,22,203,116,49,
"S01013648",219,120,5,43,82,46,19,24,3,14,19,12,289,245,70,
"S01013649",188,90,7,31,43,12,17,13,3,19,7,2,257,153,26,
"S01013650",109,77,9,41,49,19,6,6,4,42,24,21,200,156,53,
"S01013651",255,118,3,49,62,21,26,11,1,18,15,9,352,206,38,
"S01013652",145,95,5,16,49,18,2,10,0,25,11,8,190,169,31,
