SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01019046",39,86,56,7,3,64,65,14,1,0,18,30,4,2,0,
"S01019047",43,102,26,9,1,63,41,11,0,0,12,8,9,0,0,
"S01019048",51,92,39,4,2,75,57,11,0,0,15,14,3,0,0,
"S01019049",2,92,96,25,9,1,4,0,0,0,2,3,3,0,0,
"S01019050",12,115,165,59,14,0,3,2,0,0,1,4,4,1,0,
"S01019051",4,59,85,34,5,0,1,2,0,0,0,5,1,0,0,
"S01019052",6,83,101,27,12,44,34,15,4,2,5,12,4,0,0,
"S01019053",9,80,105,29,9,0,2,1,0,0,1,7,1,0,0,
"S01019054",7,79,142,61,19,2,3,0,0,0,0,5,6,0,1,
"S01019055",14,93,73,26,5,9,10,3,2,0,8,13,7,1,0,
"S01019056",9,67,67,19,6,27,7,1,0,0,18,32,14,1,1,
"S01019057",16,144,95,24,9,0,2,0,0,0,8,18,3,0,0,
"S01019058",16,118,126,37,25,2,5,1,0,0,1,1,2,0,0,
"S01019059",18,65,90,14,7,2,1,0,0,0,2,2,1,0,0,
"S01019060",13,100,87,25,6,4,1,0,0,0,0,3,3,2,0,
"S01019061",15,86,69,15,2,0,0,0,0,0,0,9,4,1,0,
"S01019062",37,91,50,4,5,63,67,12,9,1,9,23,6,0,0,
"S01019063",39,140,62,7,2,34,26,5,1,0,11,18,4,0,0,
"S01019064",6,67,105,23,4,28,23,2,1,0,9,11,0,1,0,
"S01019065",19,60,68,11,11,33,38,14,0,0,4,10,3,2,0,
"S01019066",27,66,52,8,3,66,47,6,0,0,16,27,4,1,0,
"S01019067",50,143,82,19,8,125,74,6,0,0,29,46,15,1,0,
"S01019068",44,108,76,8,6,27,10,3,2,0,11,26,11,0,0,
"S01019069",0,41,99,11,3,2,0,0,0,0,2,0,0,0,0,
"S01019070",7,22,64,19,7,0,1,2,0,0,0,4,4,0,0,
"S01019071",47,109,56,12,7,94,72,18,2,0,24,16,6,0,0,
"S01019072",6,33,103,39,31,1,0,0,0,1,2,2,2,1,1,
"S01019073",8,98,127,30,4,4,0,0,0,0,3,12,5,1,0,
"S01019074",2,51,143,16,6,1,1,1,0,0,0,0,0,0,0,
"S01019075",18,92,101,22,10,15,29,11,2,0,4,8,9,3,2,
"S01019076",29,124,49,20,4,66,46,12,3,0,6,25,9,0,0,
"S01019077",28,73,30,9,5,74,69,11,2,0,18,26,7,0,0,
"S01019078",24,53,35,6,2,110,94,18,3,3,25,26,10,0,0,
"S01019079",22,138,145,39,17,1,2,0,0,0,4,11,8,1,0,
"S01019080",23,63,36,6,0,32,20,8,0,0,15,19,14,2,0,
"S01019081",32,127,98,21,7,13,21,16,3,0,6,7,4,1,0,
"S01019082",20,71,47,6,6,31,21,9,2,3,8,13,8,0,0,
"S01019083",16,58,40,8,3,32,39,16,3,0,4,6,0,3,1,
"S01019084",32,75,38,9,5,61,39,13,2,0,9,32,1,1,0,
"S01019085",12,72,53,14,5,29,51,13,0,3,5,5,8,1,0,
"S01019086",30,114,43,6,3,78,51,10,0,0,8,25,5,0,0,
"S01019087",34,101,36,10,4,20,23,5,0,0,15,26,5,0,0,
"S01019088",10,52,65,18,8,2,1,0,0,0,9,14,6,2,0,
"S01019089",15,78,51,16,1,32,30,12,0,0,6,15,3,0,2,
"S01019090",13,119,130,47,16,6,15,6,0,1,4,22,9,0,0,
"S01019091",25,81,83,22,11,36,28,16,4,2,16,10,8,3,0,
"S01019092",18,112,119,31,16,2,27,1,0,1,4,12,11,0,0,
"S01019093",18,137,142,51,25,14,41,12,2,1,7,28,17,0,1,
"S01019094",6,121,163,46,25,0,3,1,0,0,6,41,19,4,2,
"S01019095",10,87,111,29,11,4,5,1,0,1,1,16,6,0,0,
"S01019096",15,79,83,24,9,10,21,13,0,1,2,13,4,3,0,
"S01019097",16,92,130,36,12,7,12,10,0,0,7,17,10,3,2,
"S01019098",3,43,85,33,8,2,2,2,0,0,2,18,3,1,0,
"S01019099",7,120,108,19,12,11,18,6,0,0,9,13,7,0,0,
"S01019100",10,89,119,31,31,1,9,0,2,0,7,26,11,0,1,
"S01019101",9,95,91,17,11,43,42,18,4,0,6,9,6,0,0,
"S01019102",32,132,57,18,5,5,9,3,2,0,8,23,7,0,1,
"S01019103",18,105,53,11,4,34,22,7,1,1,2,18,1,1,1,
"S01019104",40,154,60,4,3,45,35,9,0,0,24,34,11,1,0,
"S01019105",29,91,57,16,4,20,16,0,1,0,12,27,5,0,1,
"S01019106",25,65,22,5,0,93,53,8,2,1,17,23,3,0,0,
"S01019107",29,67,32,8,0,95,39,5,0,0,57,60,7,3,0,
"S01019108",26,105,45,12,3,34,28,7,0,0,15,16,6,1,0,
"S01019109",31,105,55,7,1,67,49,18,4,2,17,22,10,0,0,
"S01019110",25,95,44,4,3,15,18,4,0,0,20,31,3,2,0,
"S01019111",19,95,48,17,2,30,32,8,2,2,24,27,5,2,0,
"S01019112",29,94,55,12,6,9,23,7,1,1,3,30,9,0,0,
"S01019113",24,127,121,44,15,37,25,8,2,0,8,27,16,4,2,
"S01019114",4,92,67,14,3,5,6,4,0,0,4,14,4,1,1,
"S01019115",26,88,69,16,14,16,15,1,2,0,5,21,10,0,3,
"S01019116",31,173,104,33,15,13,14,1,1,0,15,25,18,2,0,
"S01019117",14,127,113,27,9,12,21,5,0,1,9,22,16,2,2,
"S01019118",10,62,117,68,29,1,4,1,1,0,3,14,11,6,1,
"S01019119",11,113,171,45,18,19,27,7,1,0,0,19,4,0,0,
"S01019120",8,92,130,57,36,4,8,3,0,0,3,8,10,2,1,
"S01019121",11,111,137,47,18,2,4,2,1,0,4,9,4,1,1,
"S01019122",7,74,134,42,23,0,3,0,0,0,2,15,8,2,0,
"S01019123",31,203,177,40,13,4,2,1,0,0,6,11,6,0,1,
"S01019124",32,151,101,17,4,3,4,3,1,0,10,30,12,3,0,
"S01019125",25,110,79,19,3,12,12,4,0,1,4,11,14,1,2,
"S01019126",14,78,71,14,4,3,12,1,0,0,2,10,2,1,0,
"S01019127",31,126,100,31,4,40,31,7,0,0,21,17,9,2,2,
"S01019128",41,133,99,24,3,77,47,12,1,6,17,34,9,1,1,
"S01019129",11,84,132,41,20,4,7,5,1,0,1,6,11,1,0,
"S01019130",7,77,90,30,26,2,0,2,0,0,2,11,4,3,4,
"S01019131",16,103,144,37,10,6,11,7,1,0,10,24,4,2,0,
"S01019132",34,165,112,38,13,50,44,11,0,5,7,31,14,1,0,
"S01019133",4,48,128,43,24,1,3,0,0,0,0,10,5,2,5,
"S01019134",4,51,86,23,11,1,2,0,0,0,0,3,4,1,1,
"S01019135",13,86,106,29,10,9,16,4,4,0,2,12,20,7,2,
"S01019136",14,121,118,32,12,30,42,6,7,0,3,33,10,1,3,
"S01019137",3,54,99,23,19,0,4,2,0,0,2,13,18,8,1,
"S01019138",29,88,103,34,16,13,17,6,2,0,10,39,29,4,3,
"S01019139",26,126,99,27,7,69,44,11,0,0,24,44,14,1,2,
"S01019140",18,114,106,24,8,27,10,3,0,0,18,38,7,3,0,
"S01019141",28,134,93,24,6,10,20,4,3,0,21,38,13,1,1,
"S01019142",24,144,122,19,5,49,64,9,2,0,4,29,8,0,0,
"S01019143",31,164,161,40,21,0,2,0,0,0,3,32,14,2,1,
"S01019144",4,115,155,21,0,14,34,11,3,0,4,7,5,0,1,
"S01019145",9,60,55,16,13,14,11,4,0,1,5,32,26,6,2,
"S01019146",43,167,163,49,10,12,9,7,1,0,5,32,26,8,4,
"S01019147",25,131,89,28,7,52,51,8,5,0,5,19,19,1,1,
"S01019148",2,33,67,20,9,0,5,0,0,0,3,42,37,16,2,
"S01019149",22,86,41,17,4,0,0,0,0,0,6,27,20,4,1,
"S01019150",31,191,135,32,11,6,10,0,0,0,2,11,12,0,0,
"S01019151",19,83,70,18,10,27,17,4,0,0,13,28,10,2,0,
"S01019152",15,154,129,28,7,3,2,0,0,0,3,28,10,1,0,
"S01019153",20,108,61,13,9,13,18,2,1,1,10,21,8,1,0,
"S01019154",29,121,79,16,14,28,43,9,1,0,1,7,6,0,1,
"S01019155",31,117,83,17,4,77,59,17,5,0,13,27,7,4,0,
"S01019156",39,138,69,15,7,37,34,8,1,0,21,55,9,0,2,
"S01019157",55,124,49,11,7,18,25,1,0,0,44,64,22,5,1,
"S01019158",28,95,61,19,8,48,59,14,2,0,10,26,10,0,1,
"S01019159",12,103,146,51,22,10,22,13,3,0,5,30,37,12,8,
"S01019160",4,91,135,57,21,1,0,2,0,0,4,33,31,4,1,
"S01019161",15,90,93,40,10,2,2,1,0,0,10,49,27,10,0,
"S01019162",18,76,99,26,8,10,14,4,0,0,2,14,10,0,0,
"S01019163",20,107,66,30,15,23,36,2,0,1,1,17,6,2,1,
"S01019164",2,27,64,22,11,0,1,0,0,0,4,42,25,14,4,
"S01019165",22,143,124,41,13,19,28,11,0,4,13,30,21,2,2,
"S01019166",3,51,81,22,9,6,2,3,1,0,4,23,15,8,1,
"S01019167",12,29,83,18,9,4,8,1,0,0,4,23,18,4,4,
"S01019168",8,64,104,35,19,0,0,0,0,0,0,9,0,0,0,
"S01019169",6,59,88,39,15,5,15,1,0,0,6,10,7,0,3,
"S01019170",39,107,88,18,13,14,45,13,4,2,19,34,14,1,0,
"S01019171",37,150,97,17,7,53,62,18,0,0,7,9,6,0,0,
"S01019172",14,123,162,30,6,16,14,9,2,0,0,12,6,2,0,
"S01019173",4,36,69,21,11,0,4,0,0,0,2,18,10,1,0,
"S01019174",7,46,75,25,12,0,2,0,0,0,4,12,10,3,0,
"S01019175",10,81,107,29,10,1,16,4,0,1,4,13,9,2,0,
"S01019176",16,117,115,31,11,5,22,10,3,0,3,9,12,3,0,
"S01019177",21,72,50,20,2,18,19,4,0,3,6,8,5,0,0,
"S01019178",26,104,53,18,2,71,51,12,3,3,10,15,8,3,0,
"S01019179",59,159,85,16,5,28,14,4,0,0,10,21,8,2,0,
"S01019180",20,107,81,12,2,13,10,2,0,0,16,20,3,1,0,
"S01019181",35,101,25,6,1,104,37,10,0,0,27,28,9,2,0,
"S01019182",58,170,62,16,2,4,2,0,0,0,69,76,8,0,1,
"S01019183",54,185,69,19,2,73,41,6,0,0,35,68,15,3,0,
"S01019184",31,118,43,5,2,18,15,6,2,0,25,34,6,0,1,
"S01019185",24,119,81,6,5,3,0,0,0,0,6,19,1,0,0,
"S01019186",39,173,88,17,4,20,7,2,0,0,26,35,10,0,0,
"S01019187",41,190,125,31,18,16,13,2,0,0,8,14,15,0,0,
"S01019188",24,132,97,22,2,2,1,0,0,1,4,17,6,0,0,
"S01019189",7,76,95,12,0,3,9,1,0,0,2,5,1,0,0,
"S01019190",44,184,76,13,5,2,2,2,0,0,11,11,3,1,0,
"S01019191",19,137,106,19,7,0,3,0,0,0,1,9,3,0,0,
"S01019192",35,200,151,18,8,5,2,6,0,0,12,46,18,1,1,
"S01019193",60,184,137,34,7,8,9,3,0,0,4,12,1,0,0,
"S01019194",34,165,101,18,9,11,7,0,0,0,4,19,7,1,0,
"S01019195",36,140,95,18,4,0,2,0,0,0,1,11,7,2,0,
"S01019196",15,106,103,22,11,4,2,2,1,0,2,11,1,1,0,
"S01019197",21,99,52,12,2,0,0,0,1,0,2,11,6,0,0,
"S01019198",34,165,68,18,2,6,7,5,0,0,5,16,8,0,0,
"S01019199",10,102,98,17,5,35,25,3,0,0,11,12,6,1,1,
"S01019200",20,205,128,19,8,5,3,0,0,0,6,18,4,2,1,
"S01019201",25,56,31,6,1,111,61,7,0,0,7,18,2,0,0,
"S01019202",40,60,31,4,0,63,48,6,0,0,15,9,4,1,0,
"S01019203",31,79,28,6,0,116,72,20,2,0,18,23,6,0,0,
"S01019204",31,96,46,10,0,52,35,4,0,0,5,5,5,0,0,
"S01019205",32,83,44,4,3,67,42,7,4,0,9,17,2,0,0,
"S01019206",23,62,40,6,5,89,77,16,1,1,19,28,18,0,0,
"S01019207",22,108,55,11,2,64,40,11,4,2,12,11,3,0,0,
"S01019208",17,66,21,2,3,27,32,16,1,0,6,12,4,1,0,
"S01019209",39,75,39,8,1,34,27,5,1,0,6,14,2,0,0,
"S01019210",14,48,13,7,3,133,96,25,0,0,22,11,1,0,0,
"S01019211",31,98,39,14,1,68,51,12,8,0,14,44,8,3,0,
"S01019212",32,54,24,6,2,71,52,8,3,0,13,20,7,0,0,
"S01019213",35,81,28,4,4,98,43,13,0,0,11,11,8,0,0,
"S01019214",33,76,40,6,2,113,83,16,3,2,17,16,3,0,0,
"S01019215",20,61,19,5,1,41,27,4,0,0,4,11,3,0,0,
"S01019216",7,109,102,20,7,4,7,2,1,0,1,15,4,1,1,
"S01019217",30,88,50,7,2,55,37,15,0,0,14,14,4,1,0,
"S01019218",34,85,30,6,2,54,31,13,0,1,11,12,2,3,0,
"S01019219",34,111,28,5,2,53,34,9,0,0,9,16,7,0,0,
"S01019220",29,90,39,2,3,71,43,1,0,0,7,16,7,3,0,
"S01019221",25,83,39,6,1,70,42,4,1,1,10,11,1,0,2,
"S01019222",21,66,34,6,2,64,58,20,3,1,14,23,12,0,0,
"S01019223",16,49,23,7,0,60,59,20,6,1,8,21,3,1,0,
"S01019224",24,84,22,8,3,45,21,5,1,0,26,45,17,1,0,
"S01019225",60,142,56,10,1,23,13,2,0,0,26,51,20,2,1,
"S01019226",46,60,33,9,1,58,27,2,1,0,44,47,10,1,2,
"S01019227",45,54,29,6,2,17,9,1,0,2,89,68,4,5,1,
"S01019228",56,89,27,8,4,67,17,2,0,0,70,63,6,0,0,
"S01019229",51,81,26,1,0,153,54,2,0,1,66,96,12,4,0,
"S01019230",43,113,23,6,2,56,6,0,0,0,36,76,12,2,0,
"S01019231",56,63,10,7,0,115,16,6,0,0,82,62,9,1,0,
"S01019232",22,26,11,0,0,106,25,7,0,0,97,39,11,0,0,
"S01019233",45,61,20,4,0,53,10,0,0,0,186,75,10,0,0,
"S01019234",130,50,21,0,1,101,27,2,0,0,155,90,8,1,0,
"S01019235",36,43,12,2,0,132,51,2,0,0,87,47,4,2,0,
"S01019236",42,37,14,1,0,101,30,2,0,0,111,48,5,0,0,
"S01019237",13,64,59,19,9,0,1,1,0,0,0,17,8,1,0,
"S01019238",15,123,132,31,10,2,2,0,0,0,4,4,2,3,0,
"S01019239",33,88,57,18,6,64,45,0,2,0,25,21,8,0,0,
"S01019240",4,9,15,5,0,9,22,12,1,0,25,81,28,5,1,
"S01019241",53,161,104,27,5,100,20,4,0,0,43,47,11,1,0,
"S01019242",50,184,129,28,6,1,3,0,0,0,2,9,7,0,0,
"S01019243",37,122,71,17,0,52,41,4,0,1,6,21,4,0,0,
"S01019244",31,139,89,22,5,45,21,2,0,0,11,18,11,2,0,
"S01019245",21,145,125,23,4,0,2,0,0,0,3,13,3,0,1,
"S01019246",20,126,104,25,8,8,12,4,1,0,11,28,12,3,0,
"S01019247",14,59,39,20,6,28,25,3,0,0,16,6,0,0,1,
"S01019248",40,122,62,11,6,64,66,13,0,0,13,33,11,2,2,
"S01019249",28,111,173,29,6,15,22,3,3,2,7,17,7,2,0,
"S01019250",6,56,63,28,8,0,2,0,0,0,3,40,27,6,1,
"S01019251",15,82,103,24,16,9,19,1,0,0,0,34,28,6,1,
"S01019252",2,44,59,22,10,0,2,0,0,0,7,43,25,6,1,
"S01019253",15,112,116,32,17,14,14,6,2,4,9,38,18,4,1,
"S01019254",7,53,82,25,9,1,1,0,0,0,1,23,20,1,0,
"S01019255",4,55,144,19,4,8,15,10,3,2,0,7,7,0,0,
"S01019256",8,117,111,26,3,10,7,0,0,0,8,18,7,0,2,
"S01019257",4,60,109,27,6,0,1,1,0,0,2,9,5,5,0,
"S01019258",12,84,87,14,4,24,24,5,1,0,2,3,5,3,0,
"S01019259",28,188,115,30,8,11,22,1,2,0,15,38,25,7,2,
"S01019260",29,137,97,28,7,27,20,5,1,0,7,17,6,0,0,
"S01019261",36,99,109,25,9,6,2,4,0,0,4,9,10,1,0,
"S01019262",16,109,168,64,22,14,11,4,1,0,6,36,23,7,3,
"S01019263",47,181,91,15,9,17,13,3,1,0,18,56,22,2,1,
"S01019264",26,65,51,11,4,25,37,5,0,0,10,17,2,0,0,
"S01019265",41,127,58,16,3,90,74,17,3,1,38,56,9,0,0,
"S01019266",25,116,125,41,19,8,20,12,2,0,4,14,10,2,2,
"S01019267",4,78,133,31,16,2,7,0,0,0,9,66,45,12,3,
"S01019268",13,84,102,23,3,9,17,6,1,0,3,21,18,3,0,
"S01019269",21,139,151,35,19,5,9,9,0,0,12,22,15,4,0,
"S01019270",6,61,58,12,3,4,10,3,0,0,7,20,10,5,0,
"S01019271",29,126,81,25,9,15,23,0,0,0,15,19,15,1,0,
"S01019272",26,149,104,32,12,41,44,9,2,0,10,42,24,3,0,
"S01019273",30,118,61,9,10,52,69,19,0,0,13,28,12,2,0,
"S01019274",7,79,58,11,13,11,13,0,0,0,0,19,13,3,0,
"S01019275",17,122,98,26,15,3,20,7,0,0,10,102,45,8,5,
"S01019276",7,113,134,43,19,3,4,0,0,0,10,67,68,17,6,
"S01019277",8,71,69,11,10,9,9,9,0,1,13,53,32,3,3,
"S01019278",6,59,97,25,11,0,3,0,0,0,4,34,16,2,4,
"S01019279",25,156,119,25,15,11,29,15,1,0,3,11,10,0,0,
"S01019280",27,92,79,17,6,14,23,12,0,0,6,20,7,0,0,
"S01019281",24,161,180,45,16,0,0,0,0,0,2,8,5,3,0,
"S01019282",8,58,23,1,3,96,75,24,0,3,11,12,3,2,0,
"S01019283",24,100,80,20,4,12,5,2,0,0,12,18,7,2,0,
"S01019284",20,65,53,12,1,81,95,19,1,1,13,19,9,0,0,
"S01019285",28,138,118,23,4,37,52,10,3,1,9,25,1,1,0,
"S01019286",40,161,93,20,7,8,13,4,0,2,3,11,7,0,1,
"S01019287",28,188,149,22,13,8,4,1,0,0,7,20,7,1,1,
"S01019288",56,209,100,30,10,21,23,1,0,0,30,50,13,1,2,
"S01019289",40,70,36,9,5,75,56,4,1,0,43,63,11,1,0,
"S01019290",4,56,71,23,14,0,2,1,0,0,2,13,10,2,1,
"S01019291",5,59,90,32,6,7,9,1,0,0,2,21,20,9,1,
"S01019292",17,59,55,12,0,20,29,12,2,0,5,12,2,1,1,
"S01019293",18,110,94,28,13,24,46,12,0,0,12,40,11,4,1,
"S01019294",7,76,92,26,14,0,1,0,0,0,5,7,8,0,0,
"S01019295",5,70,67,19,4,4,10,3,1,0,7,66,32,5,3,
"S01019296",16,76,62,12,6,1,3,0,3,0,3,13,7,4,0,
"S01019297",16,87,79,16,10,30,19,7,1,0,4,26,1,0,0,
"S01019298",29,130,117,37,18,24,25,2,2,0,4,20,11,0,0,
"S01019299",18,108,110,30,9,10,21,5,3,0,2,18,6,0,0,
"S01019300",4,90,84,6,1,29,46,10,1,0,6,17,8,2,0,
"S01019301",15,107,91,23,9,22,25,19,4,5,2,14,5,2,0,
"S01019302",12,71,57,19,7,11,15,3,0,0,17,23,8,0,0,
"S01019303",2,36,75,33,13,1,4,0,1,0,2,41,25,8,4,
"S01019304",17,128,85,25,4,32,25,2,0,0,7,28,19,3,0,
"S01019305",21,99,88,28,9,28,33,8,3,0,13,46,34,5,2,
"S01019306",8,65,65,18,14,10,23,6,0,0,5,31,26,7,3,
"S01019307",66,227,114,25,8,31,32,1,0,0,24,37,18,1,1,
"S01019308",39,157,80,16,10,65,65,18,4,0,17,36,11,5,0,
"S01019309",20,96,104,16,11,23,19,0,0,0,14,29,17,0,1,
"S01019310",9,75,77,23,10,3,5,1,1,0,8,36,25,15,4,
"S01019311",41,172,77,15,10,57,59,18,2,3,25,48,13,7,1,
"S01019312",35,155,97,22,13,25,35,8,0,5,6,20,10,0,0,
"S01019313",14,82,83,28,3,17,13,4,4,0,7,27,16,5,7,
"S01019314",5,71,50,21,16,3,5,0,1,0,4,26,31,6,1,
"S01019315",11,91,67,23,11,0,11,6,0,1,4,22,12,2,8,
"S01019316",45,207,117,30,7,12,13,0,0,0,11,32,3,0,0,
"S01019317",28,95,63,16,4,53,47,10,0,0,9,20,2,0,0,
"S01019318",9,72,70,16,6,17,12,4,1,0,4,4,2,0,0,
"S01019319",24,107,65,19,6,25,16,5,0,0,8,11,6,0,0,
"S01019320",2,53,86,15,12,1,2,2,0,0,0,11,5,3,0,
"S01019321",17,126,122,44,10,10,8,0,3,1,1,14,5,1,0,
"S01019322",15,116,106,39,7,16,16,4,0,1,2,9,0,0,0,
"S01019323",5,91,198,48,13,5,1,0,0,0,1,5,0,0,0,
"S01019324",13,90,133,33,16,1,1,4,0,0,5,9,5,2,0,
"S01019325",10,126,144,13,3,8,22,5,0,0,1,7,3,0,0,
"S01019326",2,121,165,10,6,0,0,0,0,0,1,5,2,0,0,
"S01019327",7,107,163,8,2,3,1,0,0,0,2,0,2,0,0,
"S01019328",6,117,142,15,3,0,1,2,0,0,2,5,2,1,0,
"S01019329",3,56,158,16,8,0,1,2,0,0,0,7,3,0,0,
"S01019330",4,64,175,28,5,2,0,1,1,0,1,1,2,0,1,
"S01019331",12,142,167,30,17,4,2,0,0,0,1,3,3,3,1,
"S01019332",13,67,89,21,21,30,51,9,2,0,20,42,13,0,3,
"S01019333",4,116,98,18,7,0,2,0,0,0,4,21,7,1,0,
"S01019334",7,50,92,18,7,6,19,6,4,0,0,15,11,6,3,
"S01019335",5,78,131,20,2,0,0,0,0,0,0,1,0,0,1,
"S01019336",8,87,131,25,11,0,0,1,1,0,1,3,1,0,0,
"S01019337",3,61,85,39,16,0,3,0,0,0,3,18,11,2,1,
"S01019338",42,126,102,17,7,31,21,5,1,0,3,11,1,0,0,
"S01019339",35,131,75,15,8,28,29,2,0,0,17,29,7,2,0,
"S01019340",36,151,119,25,9,33,19,2,0,0,20,26,0,0,0,
"S01019341",44,167,101,24,12,2,4,2,0,0,13,15,4,0,0,
"S01019342",31,83,57,10,3,25,13,3,0,0,2,5,3,0,0,
"S01019343",42,64,35,5,1,60,38,5,2,0,10,13,3,0,0,
"S01019344",27,55,18,5,0,132,66,27,3,0,11,11,5,0,0,
"S01019345",67,134,59,11,4,55,59,19,6,1,9,17,8,0,0,
"S01019346",21,76,83,28,5,11,16,3,0,0,1,4,3,0,0,
"S01019347",45,121,70,22,7,38,34,4,0,0,11,25,3,2,0,
"S01019348",18,80,74,10,7,8,17,3,0,0,1,4,4,0,0,
"S01019349",41,88,58,8,1,25,21,11,0,0,8,11,5,0,0,
"S01019350",30,98,47,11,2,77,58,11,5,0,13,13,3,0,0,
"S01019351",41,97,44,13,4,138,61,9,3,0,19,24,9,0,0,
"S01019352",55,126,56,12,0,175,62,7,2,1,84,61,10,2,0,
"S01019353",46,74,37,4,6,113,60,5,2,1,34,20,5,0,0,
"S01019354",48,91,34,6,3,137,47,6,0,0,30,23,8,0,0,
"S01019355",50,69,31,3,0,138,55,11,4,0,29,22,8,0,1,
"S01019356",52,122,46,10,0,45,14,0,1,0,29,13,6,1,0,
"S01019357",36,156,106,18,2,35,35,3,2,0,7,8,5,0,0,
"S01019358",23,86,46,18,3,53,21,2,0,0,13,17,1,4,2,
"S01019359",67,145,60,10,3,71,29,3,0,0,24,29,9,0,0,
"S01019360",43,103,48,18,0,76,64,13,0,1,4,13,7,0,0,
"S01019361",29,55,25,1,0,85,51,14,0,0,20,22,7,1,0,
"S01019362",65,112,59,10,4,88,52,12,1,0,11,27,10,2,0,
"S01019363",35,111,85,11,4,45,25,3,0,0,10,9,7,0,1,
"S01019364",27,113,140,21,5,2,2,0,1,0,0,7,3,0,0,
"S01019365",31,119,87,22,7,11,4,1,0,0,9,15,2,0,1,
"S01019366",49,106,86,12,0,71,31,7,0,0,8,17,6,0,0,
"S01019367",50,109,72,16,7,95,34,5,1,2,15,13,8,0,0,
"S01019368",49,128,132,27,9,11,15,2,0,0,16,26,2,0,0,
"S01019369",23,102,131,31,4,0,1,1,0,0,1,4,0,0,1,
"S01019370",21,115,101,21,8,0,0,0,0,0,2,10,1,1,0,
"S01019371",18,99,65,11,4,7,8,0,0,2,7,12,4,0,0,
"S01019372",8,45,20,3,0,103,63,10,2,0,8,11,5,1,0,
"S01019373",1,11,14,8,3,122,69,19,3,0,9,4,2,0,0,
"S01019374",25,104,54,15,11,86,50,8,3,1,23,18,3,1,0,
"S01019375",10,18,12,3,3,116,71,14,0,0,6,3,1,0,0,
"S01019376",5,12,4,1,1,110,57,16,4,0,8,0,4,0,0,
"S01019377",23,27,22,5,0,85,26,7,0,0,16,9,2,1,0,
"S01019378",32,39,30,4,1,158,42,7,0,0,51,23,0,0,0,
"S01019379",26,49,15,3,3,132,31,6,0,0,90,54,6,0,0,
"S01019380",29,50,17,3,4,86,30,4,0,0,65,29,6,0,0,
"S01019381",30,28,13,0,1,154,32,0,0,0,92,43,5,0,0,
"S01019382",54,64,25,9,3,78,25,0,0,0,29,22,5,0,0,
"S01019383",34,153,101,22,7,36,18,2,1,0,26,31,18,2,0,
"S01019384",30,138,65,23,6,3,4,0,0,0,23,38,11,0,0,
"S01019385",15,108,92,32,4,2,1,0,2,0,2,7,1,1,0,
"S01019386",44,131,64,18,4,71,36,11,0,1,25,36,10,0,0,
"S01019387",46,98,55,14,1,74,46,11,0,0,28,18,5,5,1,
"S01019388",32,120,97,17,4,35,29,5,0,0,11,14,3,0,0,
"S01019389",49,100,40,11,5,104,43,7,0,0,20,17,3,1,2,
"S01019390",21,54,27,6,5,103,79,16,0,0,11,15,6,0,0,
"S01019391",38,67,26,6,2,132,72,13,5,0,15,13,4,1,0,
"S01019392",32,66,43,6,0,91,40,6,0,1,9,12,4,0,0,
"S01019393",36,80,28,6,3,118,68,10,3,1,7,11,2,0,0,
"S01019394",24,108,63,15,5,7,8,2,0,0,4,5,1,0,0,
"S01019395",30,85,88,20,2,23,13,6,0,0,2,14,3,0,0,
"S01019396",69,85,50,22,1,100,38,15,3,0,15,16,8,0,0,
"S01019397",36,117,78,17,4,74,41,15,0,2,10,24,6,0,0,
"S01019398",13,91,85,28,10,30,13,1,0,0,3,5,4,0,2,
"S01019399",31,145,112,29,4,8,0,0,0,0,10,23,0,1,0,
"S01019400",14,136,142,44,11,1,0,0,0,0,1,1,2,1,0,
"S01019401",33,117,64,9,4,0,0,0,0,0,2,9,4,0,0,
"S01019402",33,98,52,16,6,1,1,0,0,0,10,4,5,0,0,
"S01019403",39,96,42,8,0,4,1,0,0,0,11,15,5,0,0,
"S01019404",27,120,117,35,16,1,2,0,0,0,0,7,5,1,0,
"S01019405",31,97,111,28,15,48,29,7,0,0,1,11,4,4,0,
"S01019406",74,124,70,15,4,44,31,1,0,1,10,14,10,0,0,
"S01019407",49,91,62,17,0,34,22,7,4,0,10,9,1,0,0,
"S01019408",34,87,46,14,1,24,19,7,0,0,7,13,7,0,0,
"S01019409",38,86,43,9,2,68,48,4,4,0,18,14,10,0,0,
"S01019410",39,84,58,12,8,50,30,3,0,0,6,16,8,0,0,
