SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013704",33,93,81,7,0,49,45,11,2,0,4,8,4,0,0,
"S01013705",29,79,52,6,1,42,38,17,4,2,6,7,4,2,0,
"S01013706",24,107,48,6,2,37,29,13,1,0,6,2,2,0,0,
"S01013707",13,36,21,4,3,107,72,42,4,2,3,3,2,0,0,
"S01013708",20,80,42,15,3,48,47,11,2,0,2,4,0,0,0,
"S01013709",16,25,9,3,0,86,67,23,5,1,17,10,2,0,0,
"S01013710",18,31,16,3,1,211,130,37,6,0,14,7,0,0,0,
"S01013711",33,84,47,5,1,63,57,12,1,1,8,8,4,0,0,
"S01013712",16,46,17,4,2,167,113,31,6,0,9,16,4,1,0,
"S01013713",24,87,55,6,1,34,37,4,2,0,6,7,1,0,0,
"S01013714",26,64,32,6,1,61,46,8,1,0,6,7,2,0,0,
"S01013715",9,88,148,42,13,0,1,0,0,0,2,10,6,5,0,
"S01013716",18,107,80,15,7,3,3,0,2,0,3,3,3,0,0,
"S01013717",10,134,161,39,3,2,9,2,0,0,4,17,14,2,1,
"S01013718",18,130,115,23,5,4,6,1,0,0,6,5,14,0,0,
"S01013719",7,35,77,22,4,0,4,1,0,1,2,12,9,0,0,
"S01013720",5,90,111,10,2,27,45,8,0,0,11,39,13,1,0,
"S01013721",3,64,47,20,8,0,8,1,0,0,3,24,15,1,0,
"S01013722",15,123,134,29,10,4,1,1,0,0,3,23,12,2,1,
"S01013723",9,114,93,10,5,16,36,9,0,0,5,9,6,0,0,
"S01013724",14,87,63,4,1,25,48,10,0,0,56,169,45,1,0,
"S01013725",17,119,28,5,3,34,36,5,0,0,37,49,9,0,0,
"S01013726",10,136,117,8,1,21,22,5,0,0,12,22,3,1,0,
"S01013727",31,179,84,6,3,15,15,5,0,0,20,73,19,2,1,
"S01013728",25,132,54,11,0,36,33,12,3,0,3,15,4,1,0,
"S01013729",46,122,34,3,2,51,46,7,0,0,7,14,2,0,0,
"S01013730",32,70,35,7,0,43,25,6,0,0,4,6,1,1,0,
"S01013731",34,173,101,13,3,27,26,6,2,0,13,38,9,0,0,
"S01013732",31,114,48,4,1,15,28,6,2,0,16,22,5,0,0,
"S01013733",45,111,47,10,4,85,71,15,1,0,26,37,10,0,0,
"S01013734",31,100,84,14,3,59,49,12,1,0,14,14,3,0,1,
"S01013735",31,134,59,19,3,0,3,1,0,0,7,3,0,1,0,
"S01013736",10,89,81,12,2,9,7,2,0,0,3,3,3,0,0,
"S01013737",35,100,55,10,2,87,81,15,2,0,14,19,2,2,0,
"S01013738",10,119,108,12,2,23,24,5,3,0,8,34,14,0,1,
"S01013739",29,150,82,11,2,46,47,5,2,2,8,23,4,0,0,
"S01013740",22,105,62,9,6,28,21,3,0,0,5,13,3,0,0,
"S01013741",13,70,32,11,4,22,18,6,0,0,4,8,4,1,0,
"S01013742",31,111,63,9,0,48,34,4,0,0,6,18,2,0,0,
"S01013743",30,179,103,20,6,41,16,4,0,0,15,24,3,0,0,
"S01013744",40,171,104,27,7,9,10,1,2,0,8,15,3,2,1,
"S01013745",15,90,82,32,7,5,14,4,0,0,13,21,14,3,0,
"S01013746",8,97,78,15,11,2,1,1,0,0,4,45,11,4,0,
"S01013747",20,174,101,13,0,1,5,0,0,0,6,17,7,3,0,
"S01013748",28,139,78,18,3,0,0,0,0,0,9,22,7,2,0,
"S01013749",23,117,69,15,4,0,2,0,0,0,2,12,4,0,0,
"S01013750",25,125,58,10,2,0,0,0,0,0,9,15,4,1,0,
"S01013751",24,155,93,19,1,1,0,1,0,0,7,24,6,0,0,
"S01013752",8,105,139,11,3,5,4,2,0,0,4,19,16,1,0,
"S01013753",46,173,102,9,5,51,23,1,0,0,9,2,6,0,0,
"S01013754",11,143,109,20,6,0,2,0,0,0,4,31,7,1,0,
"S01013755",31,172,93,17,1,0,2,0,0,0,6,21,6,0,0,
"S01013756",22,142,73,7,3,0,0,0,0,0,14,14,0,0,0,
"S01013757",16,82,95,24,6,2,2,0,0,0,3,5,5,1,0,
"S01013758",20,125,70,11,3,16,12,2,0,0,6,14,3,0,0,
"S01013759",3,67,108,25,0,0,0,0,0,0,0,4,4,2,0,
"S01013760",34,158,99,17,7,16,27,4,0,0,7,15,6,1,0,
"S01013761",21,131,92,9,2,1,0,1,0,0,1,7,2,0,0,
"S01013762",7,62,59,8,5,0,0,1,0,0,0,6,1,0,0,
"S01013763",30,155,102,18,12,1,0,0,0,0,7,17,2,0,0,
"S01013764",22,158,121,22,5,2,1,3,0,0,5,18,3,1,0,
"S01013765",16,92,89,15,4,1,6,0,0,0,0,5,1,0,0,
"S01013766",37,179,90,12,4,39,39,10,0,1,15,34,5,1,0,
"S01013767",37,76,33,1,1,71,43,7,3,0,7,14,4,0,0,
"S01013768",20,131,74,16,5,0,1,0,0,0,6,8,0,1,0,
"S01013769",36,130,58,8,3,13,13,0,0,0,1,11,6,0,0,
"S01013770",26,89,40,5,2,38,33,11,0,0,7,7,3,0,0,
"S01013771",22,84,44,6,6,25,14,3,1,0,4,5,3,1,0,
"S01013772",40,120,75,11,6,1,2,0,0,0,4,9,4,0,0,
"S01013773",29,163,91,15,9,7,19,4,1,0,20,23,11,1,0,
"S01013774",39,104,52,5,3,12,15,1,2,0,8,9,4,2,0,
"S01013775",24,127,58,14,0,4,2,1,0,0,9,35,6,0,0,
"S01013776",10,93,77,23,5,0,0,0,0,0,2,3,5,0,0,
"S01013777",16,120,116,28,11,6,8,1,0,0,9,15,5,0,0,
"S01013778",21,103,84,21,7,18,8,2,1,0,6,8,6,0,0,
"S01013779",11,101,95,28,4,36,7,3,0,0,4,12,2,0,0,
"S01013780",6,95,106,16,14,6,5,3,0,0,5,21,3,1,0,
"S01013781",5,102,137,11,1,6,2,0,0,0,2,14,0,0,0,
"S01013782",26,103,55,28,5,5,6,5,0,3,11,33,6,3,0,
"S01013783",36,142,71,18,10,55,59,17,3,0,10,26,8,0,1,
"S01013784",6,63,66,30,10,8,9,4,0,0,5,34,41,11,2,
"S01013785",3,64,54,19,13,3,4,1,0,0,7,71,59,13,7,
"S01013786",16,80,51,13,6,27,16,4,0,0,16,25,23,2,5,
"S01013787",17,97,61,16,3,25,30,4,0,1,6,8,8,1,0,
"S01013788",18,92,118,22,11,11,20,3,0,0,8,22,6,3,0,
"S01013789",15,87,118,20,12,2,11,8,1,1,0,3,6,0,0,
"S01013790",2,56,98,31,14,2,1,0,0,0,1,40,21,11,2,
"S01013791",3,41,88,33,16,1,4,0,0,0,0,28,28,10,4,
"S01013792",22,114,96,27,14,51,47,8,3,1,3,27,4,2,0,
"S01013793",5,64,150,48,25,1,4,1,0,0,0,16,17,5,3,
"S01013794",10,119,79,15,3,0,1,2,0,0,3,10,6,1,0,
"S01013795",5,55,80,6,0,6,43,18,2,0,1,7,6,0,0,
"S01013796",15,84,80,11,8,43,43,7,2,0,11,10,5,0,0,
"S01013797",12,79,97,13,5,4,4,1,0,0,3,14,5,3,0,
"S01013798",15,100,125,36,14,26,33,6,1,0,7,30,17,2,1,
"S01013799",13,65,90,25,13,23,20,4,0,0,6,34,26,10,3,
"S01013800",3,39,69,23,14,2,5,0,0,0,3,13,3,0,0,
"S01013801",12,107,168,42,30,9,19,8,1,0,5,38,20,8,1,
"S01013802",3,72,96,28,12,1,2,0,0,0,0,30,24,4,3,
"S01013803",11,80,75,15,2,27,69,13,0,0,2,14,6,1,0,
"S01013804",10,70,90,20,15,0,2,2,0,0,1,1,7,1,0,
"S01013805",19,117,101,30,15,28,38,11,0,2,3,19,12,6,4,
"S01013806",5,56,128,59,23,0,3,1,0,1,0,35,24,3,4,
"S01013807",7,50,71,24,11,12,14,18,3,0,4,10,3,0,0,
"S01013808",2,70,136,38,18,9,21,7,2,0,3,21,13,5,0,
"S01013809",28,108,109,27,12,20,25,7,2,1,5,12,9,1,0,
