SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013739",19,84,38,10,66,57,46,47,9,4,22,4,5,1,0,
"S01013740",18,65,33,4,44,45,28,21,6,2,12,3,1,1,0,
"S01013741",7,40,18,2,29,27,22,18,6,4,6,5,0,1,0,
"S01013742",28,75,27,5,36,47,48,34,4,5,17,2,0,1,0,
"S01013743",28,120,65,4,59,66,41,16,4,10,22,3,5,1,0,
"S01013744",36,115,69,4,59,63,9,10,0,5,13,3,3,0,0,
"S01013745",10,45,53,4,45,64,5,14,4,13,21,22,0,0,0,
"S01013746",8,32,24,4,65,80,2,1,1,4,44,21,0,2,0,
"S01013747",13,94,44,7,80,67,1,5,0,4,17,8,2,0,1,
"S01013748",19,76,53,9,63,46,0,0,0,8,21,7,1,2,0,
"S01013749",22,83,56,2,34,34,0,2,0,2,6,4,0,3,0,
"S01013750",18,55,33,4,70,37,0,0,0,9,15,7,0,0,0,
"S01013751",20,107,71,4,52,44,1,0,1,6,22,5,2,3,0,
"S01013752",4,33,35,4,72,117,5,4,2,1,17,22,1,1,0,
"S01013753",41,136,54,5,34,70,51,23,1,5,2,6,4,0,0,
"S01013754",5,46,35,5,97,104,0,2,0,4,29,12,0,3,0,
"S01013755",15,79,47,18,93,64,0,2,0,6,21,6,0,0,0,
"S01013756",14,74,26,5,68,63,0,0,0,9,12,0,5,2,0,
"S01013757",14,45,59,1,37,62,2,2,0,2,5,6,1,0,0,
"S01013758",15,87,47,5,38,47,16,12,2,4,14,3,4,0,1,
"S01013759",2,49,76,1,18,56,0,0,0,0,4,2,0,0,0,
"S01013760",25,92,53,9,70,71,16,27,4,5,15,5,2,0,0,
"S01013761",20,95,45,1,36,58,1,0,1,1,7,1,0,0,2,
"S01013762",7,44,31,0,18,44,0,0,1,0,6,1,0,0,0,
"S01013763",23,104,51,7,51,80,1,0,0,7,16,2,0,1,0,
"S01013764",17,98,61,8,60,87,2,1,1,5,17,3,0,1,1,
"S01013765",11,66,59,1,26,49,1,6,0,0,5,0,0,0,1,
"S01013766",28,84,22,8,95,84,39,39,12,17,30,4,1,4,0,
"S01013767",18,49,11,16,27,22,71,43,10,6,13,4,2,4,0,
"S01013768",17,104,49,3,27,46,0,1,0,1,6,2,1,2,0,
"S01013769",32,84,33,4,46,36,13,13,0,1,10,7,0,1,1,
"S01013770",17,49,18,6,40,33,38,33,11,4,7,3,4,0,0,
"S01013771",20,45,30,4,39,24,25,14,4,6,4,4,3,1,0,
"S01013772",39,88,43,2,29,51,1,2,0,2,5,2,2,2,1,
"S01013773",25,85,53,4,79,61,7,19,5,13,19,12,3,4,0,
"S01013774",36,80,34,8,24,29,12,15,3,1,8,2,6,0,2,
"S01013775",14,75,40,10,52,38,4,2,1,8,30,6,0,3,0,
"S01013776",8,58,50,2,35,55,0,0,0,2,2,5,0,1,0,
"S01013777",12,71,74,4,49,84,6,8,1,7,12,5,2,1,0,
"S01013778",14,67,55,5,36,52,18,8,3,4,8,6,2,0,0,
"S01013779",6,30,24,7,71,103,36,7,3,1,13,2,2,0,0,
"S01013780",4,24,39,2,71,97,6,5,3,4,17,4,1,4,0,
"S01013781",0,17,9,6,83,143,6,2,0,2,13,0,0,0,0,
"S01013782",21,81,53,5,22,35,5,6,8,11,31,7,0,0,2,
"S01013783",31,112,63,5,30,36,55,59,16,7,22,9,3,8,0,
"S01013784",5,51,71,1,9,38,8,9,4,2,29,32,3,5,22,
"S01013785",3,49,57,0,15,29,3,4,1,5,60,52,2,12,20,
"S01013786",15,62,48,0,18,25,27,16,4,12,16,13,4,12,17,
"S01013787",12,69,46,4,28,38,25,30,6,2,8,9,3,0,1,
"S01013788",14,73,93,2,26,62,11,20,3,7,22,7,1,0,1,
"S01013789",12,50,65,5,37,88,2,11,10,0,0,4,0,1,2,
"S01013790",2,42,84,0,14,55,2,1,0,1,29,23,0,11,10,
"S01013791",3,34,82,0,10,59,1,4,0,0,25,28,0,3,14,
"S01013792",16,71,72,6,43,68,51,47,12,4,24,7,1,5,1,
"S01013793",2,50,130,1,14,93,1,4,1,0,11,22,0,5,3,
"S01013794",7,84,44,3,35,56,0,1,2,1,6,6,0,1,1,
