SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01019243",99,0,0,0,0,0,187,0,0,0,0,0,79,17,1,99,187,79,17,1,
"S01019244",87,0,0,0,0,0,176,0,0,0,0,0,104,23,5,87,176,104,23,5,
"S01019245",24,0,0,0,0,0,160,0,0,0,0,0,128,24,4,24,160,128,24,4,
"S01019246",42,0,0,0,0,0,165,0,0,0,0,0,120,26,8,42,165,120,26,8,
"S01019247",56,0,0,0,0,0,91,0,0,0,0,0,42,20,7,56,91,42,20,7,
"S01019248",117,0,0,0,0,0,221,0,0,0,0,0,90,13,8,117,221,90,13,8,
"S01019249",50,0,0,0,0,0,153,0,0,0,0,0,181,33,11,50,153,181,33,11,
"S01019250",9,0,0,0,0,0,98,0,0,0,0,0,90,34,7,9,98,90,34,7,
"S01019251",24,0,0,0,0,0,135,0,0,0,0,0,132,30,17,24,135,132,30,17,
"S01019252",10,0,0,0,0,0,85,0,0,0,0,0,84,24,12,10,85,84,24,12,
"S01019253",35,0,0,0,0,0,165,0,0,0,0,0,143,38,22,35,165,143,38,22,
"S01019254",7,0,0,0,0,0,77,0,0,0,0,0,102,26,9,7,77,102,26,9,
"S01019255",12,0,0,0,0,0,74,0,0,0,0,0,161,22,6,12,74,161,22,6,
"S01019256",26,0,0,0,0,0,142,0,0,0,0,0,122,26,4,26,142,122,26,4,
"S01019257",3,0,0,0,0,0,72,0,0,0,0,0,115,28,6,3,72,115,28,6,
"S01019258",40,0,0,0,0,0,111,0,0,0,0,0,97,18,4,40,111,97,18,4,
"S01019259",51,0,0,0,0,0,248,0,0,0,0,0,141,41,10,51,248,141,41,10,
"S01019260",63,0,0,0,0,0,174,0,0,0,0,0,108,29,7,63,174,108,29,7,
"S01019261",42,0,0,0,0,0,112,0,0,0,0,0,123,27,9,42,112,123,27,9,
"S01019262",34,0,0,0,0,0,161,0,0,0,0,0,193,72,25,34,161,193,72,25,
"S01019263",82,0,0,0,0,0,252,0,0,0,0,0,116,18,10,82,252,116,18,10,
"S01019264",67,0,0,0,0,0,118,0,0,0,0,0,58,11,4,67,118,58,11,4,
"S01019265",169,0,0,0,0,0,257,0,0,0,0,0,84,22,6,169,257,84,22,6,
"S01019266",36,0,0,0,0,0,153,0,0,0,0,0,149,45,21,36,153,149,45,21,
"S01019267",22,0,0,0,0,0,151,0,0,0,0,0,177,43,19,22,151,177,43,19,
"S01019268",25,0,0,0,0,0,124,0,0,0,0,0,126,27,3,25,124,126,27,3,
"S01019269",38,0,0,0,0,0,173,0,0,0,0,0,174,39,21,38,173,174,39,21,
"S01019270",15,0,0,0,0,0,91,0,0,0,0,0,68,21,3,15,91,68,21,3,
"S01019271",56,0,0,0,0,0,168,0,0,0,0,0,96,26,9,56,168,96,26,9,
"S01019272",79,0,0,0,0,0,237,0,0,0,0,0,137,37,12,79,237,137,37,12,
"S01019273",95,0,0,0,0,0,214,0,0,0,0,0,95,10,10,95,214,95,10,10,
"S01019274",20,0,0,0,0,0,111,0,0,0,0,0,69,14,13,20,111,69,14,13,
"S01019275",33,0,0,0,0,0,244,0,0,0,0,0,150,30,21,33,244,150,30,21,
"S01019276",18,0,0,0,0,0,184,0,0,0,0,0,199,57,25,18,184,199,57,25,
"S01019277",31,0,0,0,0,0,133,0,0,0,0,0,110,14,14,31,133,110,14,14,
"S01019278",8,0,0,0,0,0,94,0,0,0,0,0,113,27,15,8,94,113,27,15,
"S01019279",42,0,0,0,0,0,195,0,0,0,0,0,144,27,15,42,195,144,27,15,
"S01019280",47,0,0,0,0,0,131,0,0,0,0,0,95,17,6,47,131,95,17,6,
"S01019281",26,0,0,0,0,0,173,0,0,0,0,0,185,48,17,26,173,185,48,17,
"S01019282",118,0,0,0,0,0,149,0,0,0,0,0,50,3,6,118,149,50,3,6,
"S01019283",48,0,0,0,0,0,124,0,0,0,0,0,86,22,4,48,124,86,22,4,
"S01019284",114,0,0,0,0,0,178,0,0,0,0,0,81,14,3,114,178,81,14,3,
"S01019285",74,0,0,0,0,0,217,0,0,0,0,0,129,27,5,74,217,129,27,5,
"S01019286",50,0,0,0,0,0,184,0,0,0,0,0,103,21,10,50,184,103,21,10,
"S01019287",46,0,0,0,0,0,212,0,0,0,0,0,157,23,14,46,212,157,23,14,
"S01019288",107,0,0,0,0,0,284,0,0,0,0,0,114,35,12,107,284,114,35,12,
"S01019289",158,0,0,0,0,0,193,0,0,0,0,0,48,9,5,158,193,48,9,5,
"S01019290",4,0,0,0,0,0,71,0,0,0,0,0,82,25,15,4,71,82,25,15,
"S01019291",10,0,0,0,0,0,93,0,0,0,0,0,108,42,5,10,93,108,42,5,
"S01019292",42,0,0,0,0,0,100,0,0,0,0,0,70,15,1,42,100,70,15,1,
"S01019293",52,0,0,0,0,0,193,0,0,0,0,0,117,31,14,52,193,117,31,14,
"S01019294",13,0,0,0,0,0,84,0,0,0,0,0,100,26,14,13,84,100,26,14,
"S01019295",16,0,0,0,0,0,146,0,0,0,0,0,102,25,7,16,146,102,25,7,
"S01019296",18,0,0,0,0,0,90,0,0,0,0,0,65,20,6,18,90,65,20,6,
"S01019297",46,0,0,0,0,0,132,0,0,0,0,0,87,14,10,46,132,87,14,10,
"S01019298",57,0,0,0,0,0,173,0,0,0,0,0,128,39,18,57,173,128,39,18,
"S01019299",30,0,0,0,0,0,143,0,0,0,0,0,123,37,9,30,143,123,37,9,
"S01019300",39,0,0,0,0,0,150,0,0,0,0,0,102,9,1,39,150,102,9,1,
"S01019301",39,0,0,0,0,0,148,0,0,0,0,0,115,26,12,39,148,115,26,12,
"S01019302",43,0,0,0,0,0,109,0,0,0,0,0,68,19,7,43,109,68,19,7,
"S01019303",7,0,0,0,0,0,81,0,0,0,0,0,104,37,20,7,81,104,37,20,
"S01019304",56,0,0,0,0,0,188,0,0,0,0,0,105,31,4,56,188,105,31,4,
"S01019305",57,0,0,0,0,0,178,0,0,0,0,0,130,39,14,57,178,130,39,14,
"S01019306",24,0,0,0,0,0,119,0,0,0,0,0,98,29,17,24,119,98,29,17,
"S01019307",117,0,0,0,0,0,297,0,0,0,0,0,133,27,10,117,297,133,27,10,
"S01019308",121,0,0,0,0,0,258,0,0,0,0,0,109,25,10,121,258,109,25,10,
"S01019309",54,0,0,0,0,0,145,0,0,0,0,0,123,17,9,54,145,123,17,9,
"S01019310",19,0,0,0,0,0,119,0,0,0,0,0,103,39,15,19,119,103,39,15,
"S01019311",126,0,0,0,0,0,275,0,0,0,0,0,106,22,14,126,275,106,22,14,
"S01019312",65,0,0,0,0,0,210,0,0,0,0,0,114,25,18,65,210,114,25,18,
"S01019313",38,0,0,0,0,0,122,0,0,0,0,0,102,37,11,38,122,102,37,11,
"S01019314",16,0,0,0,0,0,102,0,0,0,0,0,84,27,21,16,102,84,27,21,
"S01019315",17,0,0,0,0,0,124,0,0,0,0,0,88,27,17,17,124,88,27,17,
"S01019316",72,0,0,0,0,0,252,0,0,0,0,0,122,30,7,72,252,122,30,7,
"S01019317",89,0,0,0,0,0,162,0,0,0,0,0,70,16,4,89,162,70,16,4,
"S01019318",32,0,0,0,0,0,87,0,0,0,0,0,76,17,6,32,87,76,17,6,
"S01019319",57,0,0,0,0,0,134,0,0,0,0,0,76,19,6,57,134,76,19,6,
"S01019320",3,0,0,0,0,0,66,0,0,0,0,0,92,18,12,3,66,92,18,12,
"S01019321",27,0,0,0,0,0,148,0,0,0,0,0,128,47,11,27,148,128,47,11,
"S01019322",33,0,0,0,0,0,141,0,0,0,0,0,112,39,12,33,141,112,39,12,
"S01019323",9,0,0,0,0,0,97,0,0,0,0,0,199,48,13,9,97,199,48,13,
"S01019324",21,0,0,0,0,0,100,0,0,0,0,0,140,35,16,21,100,140,35,16,
"S01019325",18,0,0,0,0,0,158,0,0,0,0,0,152,13,3,18,158,152,13,3,
"S01019326",5,0,0,0,0,0,126,0,0,0,0,0,163,11,6,5,126,163,11,6,
"S01019327",12,0,0,0,0,0,109,0,0,0,0,0,168,8,2,12,109,168,8,2,
"S01019328",7,0,0,0,0,0,123,0,0,0,0,0,145,16,3,7,123,145,16,3,
"S01019329",3,0,0,0,0,0,64,0,0,0,0,0,164,16,8,3,64,164,16,8,
"S01019330",7,0,0,0,0,0,63,0,0,0,0,0,182,33,8,7,63,182,33,8,
"S01019331",16,0,0,0,0,0,147,0,0,0,0,0,166,33,18,16,147,166,33,18,
"S01019332",63,0,0,0,0,0,159,0,0,0,0,0,112,21,19,63,159,112,21,19,
"S01019333",9,0,0,0,0,0,141,0,0,0,0,0,105,21,7,9,141,105,21,7,
"S01019334",15,0,0,0,0,0,84,0,0,0,0,0,109,31,10,15,84,109,31,10,
"S01019335",5,0,0,0,0,0,80,0,0,0,0,0,131,20,2,5,80,131,20,2,
"S01019336",10,0,0,0,0,0,88,0,0,0,0,0,137,26,11,10,88,137,26,11,
"S01019337",6,0,0,0,0,0,82,0,0,0,0,0,96,41,17,6,82,96,41,17,
"S01019338",76,0,0,0,0,0,156,0,0,0,0,0,113,18,7,76,156,113,18,7,
"S01019339",80,0,0,0,0,0,192,0,0,0,0,0,88,17,8,80,192,88,17,8,
"S01019340",93,0,0,0,0,0,196,0,0,0,0,0,122,25,9,93,196,122,25,9,
"S01019341",56,0,0,0,0,0,184,0,0,0,0,0,106,24,12,56,184,106,24,12,
"S01019342",57,0,0,0,0,0,101,0,0,0,0,0,63,10,3,57,101,63,10,3,
"S01019343",110,0,0,0,0,0,115,0,0,0,0,0,46,8,1,110,115,46,8,1,
"S01019344",168,0,0,0,0,0,127,0,0,0,0,0,54,8,0,168,127,54,8,0,
"S01019345",131,0,0,0,0,0,214,0,0,0,0,0,86,17,5,131,214,86,17,5,
"S01019346",35,0,0,0,0,0,96,0,0,0,0,0,89,28,5,35,96,89,28,5,
"S01019347",94,0,0,0,0,0,180,0,0,0,0,0,77,24,9,94,180,77,24,9,
"S01019348",28,0,0,0,0,0,103,0,0,0,0,0,79,11,7,28,103,79,11,7,
"S01019349",74,0,0,0,0,0,124,0,0,0,0,0,74,8,1,74,124,74,8,1,
"S01019350",124,0,0,0,0,0,166,0,0,0,0,0,61,16,2,124,166,61,16,2,
"S01019351",198,0,0,0,0,0,182,0,0,0,0,0,62,16,4,198,182,62,16,4,
"S01019352",315,0,0,0,0,0,249,0,0,0,0,0,73,13,3,315,249,73,13,3,
"S01019353",191,0,0,0,0,0,154,0,0,0,0,0,43,5,7,191,154,43,5,7,
"S01019354",219,0,0,0,0,0,162,0,0,0,0,0,48,6,3,219,162,48,6,3,
"S01019355",217,0,0,0,0,0,146,0,0,0,0,0,50,9,1,217,146,50,9,1,
"S01019356",126,0,0,0,0,0,146,0,0,0,0,0,52,12,0,126,146,52,12,0,
"S01019357",78,0,0,0,0,0,199,0,0,0,0,0,118,19,2,78,199,118,19,2,
"S01019358",89,0,0,0,0,0,125,0,0,0,0,0,52,16,5,89,125,52,16,5,
"S01019359",162,0,0,0,0,0,199,0,0,0,0,0,72,10,3,162,199,72,10,3,
"S01019360",123,0,0,0,0,0,180,0,0,0,0,0,68,17,1,123,180,68,17,1,
"S01019361",134,0,0,0,0,0,124,0,0,0,0,0,46,2,0,134,124,46,2,0,
"S01019362",164,0,0,0,0,0,191,0,0,0,0,0,81,13,4,164,191,81,13,4,
"S01019363",91,0,0,0,0,0,145,0,0,0,0,0,96,11,7,91,145,96,11,7,
"S01019364",29,0,0,0,0,0,125,0,0,0,0,0,143,22,5,29,125,143,22,5,
"S01019365",51,0,0,0,0,0,135,0,0,0,0,0,96,22,8,51,135,96,22,8,
"S01019366",128,0,0,0,0,0,157,0,0,0,0,0,100,12,0,128,157,100,12,0,
"S01019367",160,0,0,0,0,0,156,0,0,0,0,0,85,13,9,160,156,85,13,9,
"S01019368",74,0,0,0,0,0,170,0,0,0,0,0,139,27,9,74,170,139,27,9,
"S01019369",28,0,0,0,0,0,107,0,0,0,0,0,132,32,5,28,107,132,32,5,
"S01019370",23,0,0,0,0,0,127,0,0,0,0,0,102,22,8,23,127,102,22,8,
"S01019371",30,0,0,0,0,0,119,0,0,0,0,0,69,11,6,30,119,69,11,6,
"S01019372",120,0,0,0,0,0,119,0,0,0,0,0,35,9,0,120,119,35,9,0,
"S01019373",135,0,0,0,0,0,82,0,0,0,0,0,37,11,3,135,82,37,11,3,
"S01019374",134,0,0,0,0,0,173,0,0,0,0,0,68,19,10,134,173,68,19,10,
"S01019375",132,0,0,0,0,0,90,0,0,0,0,0,27,3,3,132,90,27,3,3,
"S01019376",122,0,0,0,0,0,72,0,0,0,0,0,25,5,1,122,72,25,5,1,
"S01019377",124,0,0,0,0,0,63,0,0,0,0,0,30,6,0,124,63,30,6,0,
"S01019378",238,0,0,0,0,0,104,0,0,0,0,0,39,4,1,238,104,39,4,1,
"S01019379",248,0,0,0,0,0,138,0,0,0,0,0,29,6,3,248,138,29,6,3,
"S01019380",180,0,0,0,0,0,105,0,0,0,0,0,23,4,5,180,105,23,4,5,
"S01019381",273,0,0,0,0,0,101,0,0,0,0,0,18,0,1,273,101,18,0,1,
"S01019382",164,0,0,0,0,0,112,0,0,0,0,0,31,9,3,164,112,31,9,3,
"S01019383",96,0,0,0,0,0,199,0,0,0,0,0,121,23,11,96,199,121,23,11,
"S01019384",53,0,0,0,0,0,179,0,0,0,0,0,77,23,6,53,179,77,23,6,
"S01019385",18,0,0,0,0,0,114,0,0,0,0,0,93,34,4,18,114,93,34,4,
"S01019386",147,0,0,0,0,0,203,0,0,0,0,0,85,18,5,147,203,85,18,5,
"S01019387",140,0,0,0,0,0,157,0,0,0,0,0,75,17,2,140,157,75,17,2,
"S01019388",78,0,0,0,0,0,163,0,0,0,0,0,107,17,4,78,163,107,17,4,
"S01019389",177,0,0,0,0,0,160,0,0,0,0,0,56,12,7,177,160,56,12,7,
"S01019390",134,0,0,0,0,0,145,0,0,0,0,0,44,7,5,134,145,44,7,5,
"S01019391",185,0,0,0,0,0,155,0,0,0,0,0,41,12,1,185,155,41,12,1,
"S01019392",132,0,0,0,0,0,117,0,0,0,0,0,53,7,1,132,117,53,7,1,
"S01019393",162,0,0,0,0,0,159,0,0,0,0,0,41,9,4,162,159,41,9,4,
"S01019394",33,0,0,0,0,0,121,0,0,0,0,0,67,15,5,33,121,67,15,5,
"S01019395",55,0,0,0,0,0,119,0,0,0,0,0,97,21,2,55,119,97,21,2,
"S01019396",184,0,0,0,0,0,143,0,0,0,0,0,69,25,1,184,143,69,25,1,
"S01019397",124,0,0,0,0,0,182,0,0,0,0,0,99,17,5,124,182,99,17,5,
"S01019398",46,0,0,0,0,0,109,0,0,0,0,0,94,28,11,46,109,94,28,11,
"S01019399",48,0,0,0,0,0,169,0,0,0,0,0,113,29,4,48,169,113,29,4,
"S01019400",16,0,0,0,0,0,138,0,0,0,0,0,144,45,11,16,138,144,45,11,
"S01019401",33,0,0,0,0,0,126,0,0,0,0,0,68,10,4,33,126,68,10,4,
"S01019402",41,0,0,0,0,0,99,0,0,0,0,0,57,16,6,41,99,57,16,6,
"S01019403",54,0,0,0,0,0,113,0,0,0,0,0,45,10,0,54,113,45,10,0,
"S01019404",28,0,0,0,0,0,129,0,0,0,0,0,122,36,13,28,129,122,36,13,
"S01019405",87,0,0,0,0,0,145,0,0,0,0,0,121,32,15,87,145,121,32,15,
"S01019406",128,0,0,0,0,0,169,0,0,0,0,0,81,15,5,128,169,81,15,5,
"S01019407",91,0,0,0,0,0,122,0,0,0,0,0,70,21,0,91,122,70,21,0,
"S01019408",65,0,0,0,0,0,117,0,0,0,0,0,60,14,4,65,117,60,14,4,
"S01019409",128,0,0,0,0,0,148,0,0,0,0,0,60,12,2,128,148,60,12,2,
"S01019410",95,0,0,0,0,0,130,0,0,0,0,0,71,12,8,95,130,71,12,8,
"S01019411",75,0,0,0,0,0,126,0,0,0,0,0,57,6,2,75,126,57,6,2,
"S01019412",40,0,0,0,0,0,120,0,0,0,0,0,105,30,12,40,120,105,30,12,
"S01019413",118,0,0,0,0,0,147,0,0,0,0,0,44,11,4,118,147,44,11,4,
"S01019414",89,0,0,0,0,0,217,0,0,0,0,0,97,22,6,89,217,97,22,6,
"S01019415",23,0,0,0,0,0,133,0,0,0,0,0,148,30,11,23,133,148,30,11,
"S01019416",90,0,0,0,0,0,242,0,0,0,0,0,129,30,7,90,242,129,30,7,
"S01019417",114,0,0,0,0,0,234,0,0,0,0,0,129,32,12,114,234,129,32,12,
"S01019418",54,0,0,0,0,0,150,0,0,0,0,0,94,27,13,54,150,94,27,13,
"S01019419",366,0,0,0,0,0,168,0,0,0,0,0,29,2,0,366,168,29,2,0,
"S01019420",317,0,0,0,0,0,234,0,0,0,0,0,48,3,6,317,234,48,3,6,
"S01019421",263,0,0,0,0,0,215,0,0,0,0,0,39,6,2,263,215,39,6,2,
"S01019422",190,0,0,0,0,0,143,0,0,0,0,0,53,6,4,190,143,53,6,4,
"S01019423",134,0,0,0,0,0,209,0,0,0,0,0,59,11,0,134,209,59,11,0,
"S01019424",165,0,0,0,0,0,231,0,0,0,0,0,84,20,3,165,231,84,20,3,
"S01019425",64,0,0,0,0,0,147,0,0,0,0,0,115,32,10,64,147,115,32,10,
"S01019426",69,0,0,0,0,0,136,0,0,0,0,0,44,7,3,69,136,44,7,3,
"S01019427",66,0,0,0,0,0,159,0,0,0,0,0,70,12,1,66,159,70,12,1,
"S01019428",19,0,0,0,0,0,126,0,0,0,0,0,129,16,4,19,126,129,16,4,
"S01019429",22,0,0,0,0,0,94,0,0,0,0,0,122,40,7,22,94,122,40,7,
"S01019430",15,0,0,0,0,0,80,0,0,0,0,0,94,28,8,15,80,94,28,8,
"S01019431",20,0,0,0,0,0,129,0,0,0,0,0,117,21,9,20,129,117,21,9,
"S01019432",79,0,0,0,0,0,191,0,0,0,0,0,144,21,10,79,191,144,21,10,
"S01019433",148,0,0,0,0,0,193,0,0,0,0,0,87,21,5,148,193,87,21,5,
"S01019434",88,0,0,0,0,0,139,0,0,0,0,0,71,18,1,88,139,71,18,1,
"S01019435",83,0,0,0,0,0,101,0,0,0,0,0,53,11,7,83,101,53,11,7,
"S01019436",76,0,0,0,0,0,137,0,0,0,0,0,36,1,4,76,137,36,1,4,
"S01019437",297,0,0,0,0,0,192,0,0,0,0,0,35,6,1,297,192,35,6,1,
"S01019438",117,0,0,0,0,0,185,0,0,0,0,0,79,9,2,117,185,79,9,2,
"S01019439",186,0,0,0,0,0,129,0,0,0,0,0,25,2,0,186,129,25,2,0,
"S01019440",199,0,0,0,0,0,184,0,0,0,0,0,30,2,0,199,184,30,2,0,
"S01019441",131,0,0,0,0,0,146,0,0,0,0,0,34,3,6,131,146,34,3,6,
"S01019442",200,0,0,0,0,0,185,0,0,0,0,0,49,2,1,200,185,49,2,1,
"S01019443",347,0,0,0,0,0,271,0,0,0,0,0,59,11,3,347,271,59,11,3,
"S01019444",378,0,0,0,0,0,210,0,0,0,0,0,47,6,2,378,210,47,6,2,
"S01019445",261,0,0,0,0,0,176,0,0,0,0,0,36,5,1,261,176,36,5,1,
"S01019446",119,0,0,0,0,0,162,0,0,0,0,0,44,10,0,119,162,44,10,0,
"S01019447",221,0,0,0,0,0,301,0,0,0,0,0,89,7,4,221,301,89,7,4,
"S01019448",410,0,0,0,0,0,193,0,0,0,0,0,26,3,0,410,193,26,3,0,
"S01019449",309,0,0,0,0,0,143,0,0,0,0,0,29,1,2,309,143,29,1,2,
"S01019450",265,0,0,0,0,0,209,0,0,0,0,0,46,8,2,265,209,46,8,2,
"S01019451",119,0,0,0,0,0,224,0,0,0,0,0,97,14,7,119,224,97,14,7,
"S01019452",120,0,0,0,0,0,216,0,0,0,0,0,101,12,6,120,216,101,12,6,
"S01019453",26,0,0,0,0,0,104,0,0,0,0,0,94,13,3,26,104,94,13,3,
"S01019454",54,0,0,0,0,0,185,0,0,0,0,0,130,24,9,54,185,130,24,9,
"S01019455",56,0,0,0,0,0,198,0,0,0,0,0,108,26,9,56,198,108,26,9,
"S01019456",42,0,0,0,0,0,166,0,0,0,0,0,129,27,12,42,166,129,27,12,
"S01019457",62,0,0,0,0,0,190,0,0,0,0,0,150,28,10,62,190,150,28,10,
"S01019458",43,0,0,0,0,0,140,0,0,0,0,0,161,33,15,43,140,161,33,15,
"S01019459",257,0,0,0,0,0,209,0,0,0,0,0,45,8,2,257,209,45,8,2,
"S01019460",202,0,0,0,0,0,154,0,0,0,0,0,43,3,1,202,154,43,3,1,
"S01019461",149,0,0,0,0,0,129,0,0,0,0,0,37,3,1,149,129,37,3,1,
"S01019462",93,0,0,0,0,0,149,0,0,0,0,0,85,18,7,93,149,85,18,7,
"S01019463",156,0,0,0,0,0,170,0,0,0,0,0,55,10,2,156,170,55,10,2,
"S01019464",108,0,0,0,0,0,100,0,0,0,0,0,46,5,1,108,100,46,5,1,
"S01019465",169,0,0,0,0,0,124,0,0,0,0,0,38,7,1,169,124,38,7,1,
"S01019466",197,0,0,0,0,0,230,0,0,0,0,0,47,5,6,197,230,47,5,6,
"S01019467",253,0,0,0,0,0,170,0,0,0,0,0,25,1,5,253,170,25,1,5,
"S01019468",269,0,0,0,0,0,198,0,0,0,0,0,65,9,4,269,198,65,9,4,
"S01019469",103,0,0,0,0,0,143,0,0,0,0,0,67,10,2,103,143,67,10,2,
"S01019470",154,0,0,0,0,0,117,0,0,0,0,0,31,4,0,154,117,31,4,0,
"S01019471",175,0,0,0,0,0,237,0,0,0,0,0,86,12,1,175,237,86,12,1,
"S01019472",76,0,0,0,0,0,209,0,0,0,0,0,117,22,7,76,209,117,22,7,
"S01019473",124,0,0,0,0,0,173,0,0,0,0,0,94,14,10,124,173,94,14,10,
"S01019474",27,0,0,0,0,0,169,0,0,0,0,0,164,31,11,27,169,164,31,11,
"S01019475",181,0,0,0,0,0,175,0,0,0,0,0,49,8,5,181,175,49,8,5,
"S01019476",92,0,0,0,0,0,128,0,0,0,0,0,47,11,2,92,128,47,11,2,
"S01019477",157,0,0,0,0,0,158,0,0,0,0,0,59,10,2,157,158,59,10,2,
"S01019478",27,0,0,0,0,0,99,0,0,0,0,0,81,21,4,27,99,81,21,4,
"S01019479",32,0,0,0,0,0,147,0,0,0,0,0,86,17,4,32,147,86,17,4,
"S01019480",93,0,0,0,0,0,79,0,0,0,0,0,28,3,0,93,79,28,3,0,
"S01019481",142,0,0,0,0,0,204,0,0,0,0,0,98,12,1,142,204,98,12,1,
"S01019482",50,0,0,0,0,0,125,0,0,0,0,0,78,13,1,50,125,78,13,1,
"S01019483",123,0,0,0,0,0,186,0,0,0,0,0,82,12,6,123,186,82,12,6,
"S01019484",226,0,0,0,0,0,268,0,0,0,0,0,90,17,2,226,268,90,17,2,
"S01019485",178,0,0,0,0,0,219,0,0,0,0,0,74,12,7,178,219,74,12,7,
"S01019486",114,0,0,0,0,0,124,0,0,0,0,0,48,5,3,114,124,48,5,3,
"S01019487",41,0,0,0,0,0,128,0,0,0,0,0,83,24,6,41,128,83,24,6,
"S01019488",22,0,0,0,0,0,117,0,0,0,0,0,132,40,16,22,117,132,40,16,
"S01019489",62,0,0,0,0,0,189,0,0,0,0,0,81,10,7,62,189,81,10,7,
"S01019490",49,0,0,0,0,0,196,0,0,0,0,0,92,12,4,49,196,92,12,4,
"S01019491",43,0,0,0,0,0,101,0,0,0,0,0,60,27,8,43,101,60,27,8,
"S01019492",34,0,0,0,0,0,116,0,0,0,0,0,65,16,10,34,116,65,16,10,
"S01019493",92,0,0,0,0,0,110,0,0,0,0,0,61,12,2,92,110,61,12,2,
"S01019494",69,0,0,0,0,0,136,0,0,0,0,0,76,12,3,69,136,76,12,3,
"S01019495",126,0,0,0,0,0,139,0,0,0,0,0,74,10,8,126,139,74,10,8,
"S01019496",107,0,0,0,0,0,221,0,0,0,0,0,57,4,0,107,221,57,4,0,
"S01019497",73,0,0,0,0,0,375,0,0,0,0,0,149,5,2,73,375,149,5,2,
"S01019498",257,0,0,0,0,0,234,0,0,0,0,0,49,5,2,257,234,49,5,2,
"S01019499",113,0,0,0,0,0,154,0,0,0,0,0,59,10,5,113,154,59,10,5,
"S01019500",144,0,0,0,0,0,150,0,0,0,0,0,45,10,4,144,150,45,10,4,
"S01019501",28,0,0,0,0,0,135,0,0,0,0,0,91,21,12,28,135,91,21,12,
"S01019502",29,0,0,0,0,0,122,0,0,0,0,0,124,14,2,29,122,124,14,2,
"S01019503",9,0,0,0,0,0,89,0,0,0,0,0,110,21,1,9,89,110,21,1,
"S01019504",41,0,0,0,0,0,119,0,0,0,0,0,90,18,4,41,119,90,18,4,
"S01019505",89,0,0,0,0,0,139,0,0,0,0,0,48,11,2,89,139,48,11,2,
"S01019506",47,0,0,0,0,0,113,0,0,0,0,0,69,22,6,47,113,69,22,6,
"S01019507",33,0,0,0,0,0,95,0,0,0,0,0,91,15,5,33,95,91,15,5,
"S01019508",17,0,0,0,0,0,82,0,0,0,0,0,75,19,6,17,82,75,19,6,
"S01019509",26,0,0,0,0,0,134,0,0,0,0,0,106,26,7,26,134,106,26,7,
"S01019510",20,0,0,0,0,0,87,0,0,0,0,0,96,29,3,20,87,96,29,3,
"S01019511",6,0,0,0,0,0,73,0,0,0,0,0,93,34,5,6,73,93,34,5,
"S01019512",7,0,0,0,0,0,65,0,0,0,0,0,75,21,11,7,65,75,21,11,
"S01019513",49,0,0,0,0,0,170,0,0,0,0,0,148,34,13,49,170,148,34,13,
"S01019514",17,0,0,0,0,0,84,0,0,0,0,0,73,19,7,17,84,73,19,7,
"S01019515",69,0,0,0,0,0,159,0,0,0,0,0,72,9,4,69,159,72,9,4,
"S01019516",106,0,0,0,0,0,181,0,0,0,0,0,85,19,7,106,181,85,19,7,
"S01019517",67,0,0,0,0,0,130,0,0,0,0,0,76,20,1,67,130,76,20,1,
"S01019518",66,0,0,0,0,0,125,0,0,0,0,0,56,15,3,66,125,56,15,3,
"S01019519",69,0,0,0,0,0,144,0,0,0,0,0,67,25,6,69,144,67,25,6,
"S01019520",43,0,0,0,0,0,106,0,0,0,0,0,71,14,3,43,106,71,14,3,
"S01019521",33,0,0,0,0,0,140,0,0,0,0,0,114,23,8,33,140,114,23,8,
"S01019522",10,0,0,0,0,0,117,0,0,0,0,0,99,32,8,10,117,99,32,8,
"S01019523",17,0,0,0,0,0,135,0,0,0,0,0,106,27,3,17,135,106,27,3,
"S01019524",59,0,0,0,0,0,130,0,0,0,0,0,92,30,8,59,130,92,30,8,
"S01019525",102,0,0,0,0,0,178,0,0,0,0,0,85,26,6,102,178,85,26,6,
"S01019526",122,0,0,0,0,0,201,0,0,0,0,0,102,19,7,122,201,102,19,7,
"S01019527",97,0,0,0,0,0,134,0,0,0,0,0,74,7,6,97,134,74,7,6,
