SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01013982",7,97,147,50,20,326,
"S01013983",20,122,164,23,5,336,
"S01013984",17,152,137,38,9,353,
"S01013985",16,147,156,76,41,436,
"S01013986",4,49,83,29,20,185,
"S01013987",9,101,131,50,16,307,
"S01013988",33,165,169,52,17,440,
"S01013989",52,192,165,33,18,460,
"S01013990",11,106,162,47,22,346,
"S01013991",27,101,140,47,16,329,
"S01013992",27,125,149,28,14,342,
"S01013993",21,91,90,29,8,239,
"S01013994",13,85,119,36,19,272,
"S01013995",30,124,114,24,9,300,
"S01013996",37,106,76,18,11,246,
"S01013997",23,89,107,22,4,245,
"S01013998",5,44,129,24,13,215,
"S01013999",48,139,99,18,5,313,
"S01014000",5,66,94,39,18,221,
"S01014001",14,74,144,45,20,294,
"S01014002",2,48,103,36,17,202,
"S01014003",35,116,55,13,3,221,
"S01014004",7,75,107,43,23,255,
"S01014005",3,65,90,35,17,210,
"S01014006",10,70,111,27,21,236,
"S01014007",14,121,147,46,33,357,
"S01014008",33,103,161,60,16,373,
"S01014009",70,179,131,21,3,402,
"S01014010",8,100,112,46,26,285,
"S01014011",13,106,157,56,23,358,
"S01014012",68,218,134,31,14,465,
"S01014013",15,126,124,24,11,304,
"S01014014",30,93,84,25,17,249,
"S01014015",10,66,82,38,18,214,
"S01014016",14,114,144,39,19,330,
"S01014017",11,121,196,63,47,438,
"S01014018",33,161,142,47,15,398,
"S01014019",20,128,135,41,32,352,
"S01014020",114,217,107,26,8,469,
"S01014021",121,250,102,32,8,517,
"S01014022",105,179,92,14,8,398,
"S01014023",185,215,54,11,6,469,
"S01014024",106,152,51,8,2,319,
"S01014025",9,54,87,37,18,205,
"S01014026",10,130,192,56,31,415,
"S01014027",7,84,103,47,16,258,
"S01014028",4,61,100,42,22,228,
"S01014029",148,227,113,22,9,513,
"S01014030",50,181,105,26,16,382,
"S01014031",53,144,74,16,5,287,
"S01014032",125,154,72,23,6,380,
"S01014033",70,186,97,21,9,381,
"S01014034",30,108,47,20,8,210,
"S01014035",17,86,82,28,8,216,
"S01014036",29,150,180,52,26,440,
"S01014037",90,220,85,19,3,417,
"S01014038",101,200,113,22,13,451,
"S01014039",91,264,130,22,9,512,
"S01014040",21,180,166,41,16,427,
"S01014041",16,103,116,47,31,313,
"S01014042",42,172,112,41,10,373,
"S01014043",36,97,37,18,5,197,
"S01014044",191,254,81,20,6,552,
"S01014045",54,150,87,16,4,308,
"S01014046",80,147,74,19,1,322,
"S01014047",107,200,77,23,3,410,
"S01014048",85,172,100,30,13,401,
"S01014049",99,198,105,21,12,435,
"S01014050",69,144,65,27,5,307,
"S01014051",95,190,121,29,11,446,
"S01014052",67,139,57,18,10,291,
"S01014053",71,149,87,27,9,339,
"S01014054",20,126,122,44,19,332,
"S01014055",22,125,165,48,31,389,
"S01014056",33,160,101,20,7,321,
"S01014057",17,123,129,43,23,336,
"S01014058",17,110,87,29,13,256,
"S01014059",8,68,77,28,14,198,
"S01014060",15,114,141,51,23,344,
"S01014061",90,223,137,34,11,495,
"S01014062",46,136,108,19,7,314,
"S01014063",41,161,124,48,11,385,
"S01014064",19,104,115,35,13,289,
"S01014065",5,53,67,28,16,169,
"S01014066",78,216,126,35,15,469,
"S01014067",7,65,108,27,29,237,
"S01014068",14,84,120,29,24,271,
"S01014069",42,126,112,17,12,309,
"S01014070",85,162,124,19,10,399,
"S01014071",87,184,161,32,22,482,
"S01014072",36,103,54,9,0,204,
"S01014073",17,85,160,63,38,367,
"S01014074",5,75,131,51,20,282,
"S01014075",37,142,141,36,19,372,
"S01014076",16,81,114,22,18,251,
"S01014077",16,121,165,61,23,385,
"S01014078",50,197,118,27,9,404,
"S01014079",57,146,125,25,10,361,
"S01014080",55,155,102,26,9,346,
"S01014081",47,137,48,12,3,244,
"S01014082",40,167,133,37,16,393,
"S01014083",24,90,76,23,7,214,
"S01014084",39,179,142,31,8,401,
"S01014085",78,139,44,11,1,271,
"S01014086",86,177,55,13,4,335,
"S01014087",44,155,80,8,5,292,
"S01014088",75,176,76,18,2,347,
"S01014089",108,159,74,17,2,360,
"S01014090",162,215,89,21,9,493,
"S01014091",116,179,71,15,0,383,
"S01014092",93,156,54,5,2,309,
"S01014093",76,144,57,10,1,291,
"S01014094",231,204,68,13,6,522,
"S01014095",72,137,52,8,1,270,
"S01014096",216,177,63,14,3,475,
"S01014097",317,232,45,10,0,604,
"S01014098",258,185,59,15,0,517,
"S01014099",138,102,27,2,2,272,
"S01014100",7,116,66,20,10,220,
"S01014101",40,121,59,19,0,243,
"S01014102",50,140,94,24,7,315,
"S01014103",75,159,54,13,0,304,
"S01014104",59,196,128,22,8,410,
"S01014105",41,157,122,36,4,360,
"S01014106",26,109,154,56,18,363,
"S01014107",2,93,137,15,1,251,
"S01014108",10,97,114,25,7,250,
"S01014109",28,156,93,13,1,296,
"S01014110",20,91,134,47,13,306,
"S01014111",7,59,116,30,9,221,
"S01014112",8,80,90,36,13,227,
"S01014113",25,129,137,46,23,360,
"S01014114",13,120,103,47,23,305,
"S01014115",61,156,99,17,9,342,
"S01014116",17,110,101,46,23,295,
"S01014117",11,83,90,37,20,238,
"S01014118",5,58,90,29,7,189,
"S01014119",79,172,100,20,4,375,
"S01014120",60,145,106,25,7,343,
"S01014121",44,94,67,14,5,225,
"S01014122",53,142,126,34,12,366,
"S01014123",20,77,102,31,23,253,
"S01014124",40,108,80,16,3,243,
"S01014125",45,143,89,28,6,307,
"S01014126",13,109,122,45,21,310,
"S01014127",22,114,73,11,7,227,
"S01014128",49,113,54,20,6,241,
"S01014129",56,191,101,30,6,385,
"S01014130",41,113,67,32,2,251,
"S01014131",13,118,137,41,16,321,
"S01014132",14,109,114,20,8,264,
"S01014133",69,153,45,14,2,284,
"S01014134",89,165,57,9,4,322,
"S01014135",162,233,91,14,2,500,
"S01014136",176,110,27,5,4,320,
"S01014137",93,130,57,11,2,295,
"S01014138",85,181,63,12,4,345,
"S01014139",76,203,82,19,5,385,
"S01014140",123,187,60,12,4,394,
"S01014141",196,184,46,7,1,437,
"S01014142",273,194,44,11,5,523,
"S01014143",146,197,53,6,5,405,
"S01014144",18,108,182,51,17,372,
"S01014145",39,141,73,18,8,279,
"S01014146",39,159,113,30,7,344,
"S01014147",32,139,96,22,10,299,
"S01014148",16,103,97,30,17,263,
"S01014149",26,106,117,28,16,293,
"S01014150",6,59,90,38,16,209,
"S01014151",5,55,102,46,9,217,
"S01014152",8,54,144,32,12,248,
"S01014153",9,82,106,33,20,249,
"S01014154",32,115,107,30,13,299,
"S01014155",9,65,91,42,14,217,
"S01014156",8,88,114,23,12,243,
"S01014157",13,65,124,30,19,246,
"S01014158",11,79,91,20,1,202,
"S01014159",0,105,190,40,8,344,
"S01014160",8,71,96,25,9,209,
"S01014161",45,259,122,25,16,465,
"S01014162",77,239,115,32,8,469,
"S01014163",49,163,91,17,6,327,
"S01014164",37,156,91,21,3,308,
"S01014165",15,92,75,10,13,206,
"S01014166",24,122,70,11,3,236,
"S01014167",63,196,92,15,9,376,
"S01014168",32,135,74,28,7,278,
"S01014169",20,71,96,19,4,214,
"S01014170",40,109,59,15,9,232,
"S01014171",44,147,84,22,5,302,
"S01014172",167,225,49,10,9,460,
"S01014173",68,157,72,9,7,315,
"S01014174",50,148,94,25,5,322,
"S01014175",56,121,83,19,2,283,
"S01014176",43,161,127,34,13,378,
"S01014177",88,153,56,18,5,317,
"S01014178",40,147,68,12,3,269,
"S01014179",104,183,87,21,10,402,
