SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01019309",54,145,123,17,9,348,
"S01019310",19,119,103,39,15,296,
"S01019311",126,275,106,22,14,543,
"S01019312",65,210,114,25,18,431,
"S01019313",38,122,102,37,11,310,
"S01019314",16,102,84,27,21,241,
"S01019315",17,124,88,27,17,271,
"S01019316",72,252,122,30,7,479,
"S01019317",89,162,70,16,4,345,
"S01019318",32,87,76,17,6,218,
"S01019319",57,134,76,19,6,288,
"S01019320",3,66,92,18,12,191,
"S01019321",27,148,128,47,11,361,
"S01019322",33,141,112,39,12,337,
"S01019323",9,97,199,48,13,367,
"S01019324",21,100,140,35,16,312,
"S01019325",18,158,152,13,3,340,
"S01019326",5,126,163,11,6,315,
"S01019327",12,109,168,8,2,299,
"S01019328",7,123,145,16,3,294,
"S01019329",3,64,164,16,8,254,
"S01019330",7,63,182,33,8,292,
"S01019331",16,147,166,33,18,380,
"S01019332",63,159,112,21,19,376,
"S01019333",9,141,105,21,7,281,
"S01019334",15,84,109,31,10,249,
"S01019335",5,80,131,20,2,238,
"S01019336",10,88,137,26,11,273,
"S01019337",6,82,96,41,17,241,
"S01019338",76,156,113,18,7,372,
"S01019339",80,192,88,17,8,382,
"S01019340",93,196,122,25,9,446,
"S01019341",56,184,106,24,12,385,
"S01019342",57,101,63,10,3,234,
"S01019343",110,115,46,8,1,280,
"S01019344",168,127,54,8,0,357,
"S01019345",131,214,86,17,5,453,
"S01019346",35,96,89,28,5,253,
"S01019347",94,180,77,24,9,384,
"S01019348",28,103,79,11,7,228,
"S01019349",74,124,74,8,1,280,
"S01019350",124,166,61,16,2,373,
"S01019351",198,182,62,16,4,461,
"S01019352",315,249,73,13,3,653,
"S01019353",191,154,43,5,7,400,
"S01019354",219,162,48,6,3,436,
"S01019355",217,146,50,9,1,423,
"S01019356",126,146,52,12,0,337,
"S01019357",78,199,118,19,2,414,
"S01019358",89,125,52,16,5,287,
"S01019359",162,199,72,10,3,449,
"S01019360",123,180,68,17,1,388,
"S01019361",134,124,46,2,0,311,
"S01019362",164,191,81,13,4,453,
"S01019363",91,145,96,11,7,349,
"S01019364",29,125,143,22,5,324,
"S01019365",51,135,96,22,8,318,
"S01019366",128,157,100,12,0,396,
"S01019367",160,156,85,13,9,423,
"S01019368",74,170,139,27,9,419,
"S01019369",28,107,132,32,5,304,
"S01019370",23,127,102,22,8,281,
"S01019371",30,119,69,11,6,233,
"S01019372",120,119,35,9,0,283,
"S01019373",135,82,37,11,3,268,
"S01019374",134,173,68,19,10,404,
"S01019375",132,90,27,3,3,252,
"S01019376",122,72,25,5,1,224,
"S01019377",124,63,30,6,0,227,
"S01019378",238,104,39,4,1,387,
"S01019379",248,138,29,6,3,424,
"S01019380",180,105,23,4,5,321,
"S01019381",273,101,18,0,1,393,
"S01019382",164,112,31,9,3,316,
"S01019383",96,199,121,23,11,448,
"S01019384",53,179,77,23,6,337,
"S01019385",18,114,93,34,4,263,
"S01019386",147,203,85,18,5,458,
"S01019387",140,157,75,17,2,394,
"S01019388",78,163,107,17,4,365,
"S01019389",177,160,56,12,7,408,
"S01019390",134,145,44,7,5,336,
"S01019391",185,155,41,12,1,400,
"S01019392",132,117,53,7,1,309,
"S01019393",162,159,41,9,4,374,
"S01019394",33,121,67,15,5,244,
"S01019395",55,119,97,21,2,295,
"S01019396",184,143,69,25,1,422,
"S01019397",124,182,99,17,5,425,
"S01019398",46,109,94,28,11,286,
"S01019399",48,169,113,29,4,360,
"S01019400",16,138,144,45,11,355,
"S01019401",33,126,68,10,4,243,
"S01019402",41,99,57,16,6,219,
"S01019403",54,113,45,10,0,225,
"S01019404",28,129,122,36,13,326,
"S01019405",87,145,121,32,15,396,
"S01019406",128,169,81,15,5,398,
"S01019407",91,122,70,21,0,302,
"S01019408",65,117,60,14,4,263,
"S01019409",128,148,60,12,2,346,
"S01019410",95,130,71,12,8,314,
"S01019411",75,126,57,6,2,265,
"S01019412",40,120,105,30,12,305,
"S01019413",118,147,44,11,4,324,
"S01019414",89,217,97,22,6,431,
"S01019415",23,133,148,30,11,347,
"S01019416",90,242,129,30,7,500,
"S01019417",114,234,129,32,12,521,
"S01019418",54,150,94,27,13,338,
"S01019419",366,168,29,2,0,565,
"S01019420",317,234,48,3,6,609,
"S01019421",263,215,39,6,2,524,
"S01019422",190,143,53,6,4,394,
"S01019423",134,209,59,11,0,418,
"S01019424",165,231,84,20,3,503,
"S01019425",64,147,115,32,10,368,
"S01019426",69,136,44,7,3,259,
"S01019427",66,159,70,12,1,310,
"S01019428",19,126,129,16,4,298,
"S01019429",22,94,122,40,7,285,
"S01019430",15,80,94,28,8,227,
"S01019431",20,129,117,21,9,296,
"S01019432",79,191,144,21,10,445,
"S01019433",148,193,87,21,5,453,
"S01019434",88,139,71,18,1,319,
"S01019435",83,101,53,11,7,255,
"S01019436",76,137,36,1,4,249,
"S01019437",297,192,35,6,1,528,
"S01019438",117,185,79,9,2,396,
"S01019439",186,129,25,2,0,342,
"S01019440",199,184,30,2,0,415,
"S01019441",131,146,34,3,6,317,
"S01019442",200,185,49,2,1,437,
"S01019443",347,271,59,11,3,691,
"S01019444",378,210,47,6,2,643,
"S01019445",261,176,36,5,1,479,
"S01019446",119,162,44,10,0,335,
"S01019447",221,301,89,7,4,622,
"S01019448",410,193,26,3,0,625,
"S01019449",309,143,29,1,2,484,
"S01019450",265,209,46,8,2,528,
"S01019451",119,224,97,14,7,458,
"S01019452",120,216,101,12,6,453,
"S01019453",26,104,94,13,3,240,
"S01019454",54,185,130,24,9,398,
"S01019455",56,198,108,26,9,396,
"S01019456",42,166,129,27,12,379,
"S01019457",62,190,150,28,10,440,
"S01019458",43,140,161,33,15,390,
"S01019459",257,209,45,8,2,521,
"S01019460",202,154,43,3,1,407,
"S01019461",149,129,37,3,1,319,
"S01019462",93,149,85,18,7,349,
"S01019463",156,170,55,10,2,393,
"S01019464",108,100,46,5,1,260,
"S01019465",169,124,38,7,1,339,
"S01019466",197,230,47,5,6,482,
"S01019467",253,170,25,1,5,456,
"S01019468",269,198,65,9,4,548,
"S01019469",103,143,67,10,2,329,
"S01019470",154,117,31,4,0,303,
"S01019471",175,237,86,12,1,511,
"S01019472",76,209,117,22,7,429,
"S01019473",124,173,94,14,10,412,
"S01019474",27,169,164,31,11,404,
"S01019475",181,175,49,8,5,418,
"S01019476",92,128,47,11,2,283,
"S01019477",157,158,59,10,2,386,
"S01019478",27,99,81,21,4,232,
"S01019479",32,147,86,17,4,286,
"S01019480",93,79,28,3,0,203,
"S01019481",142,204,98,12,1,459,
"S01019482",50,125,78,13,1,268,
"S01019483",123,186,82,12,6,410,
"S01019484",226,268,90,17,2,605,
"S01019485",178,219,74,12,7,490,
"S01019486",114,124,48,5,3,300,
"S01019487",41,128,83,24,6,282,
"S01019488",22,117,132,40,16,328,
"S01019489",62,189,81,10,7,349,
"S01019490",49,196,92,12,4,349,
"S01019491",43,101,60,27,8,239,
"S01019492",34,116,65,16,10,241,
"S01019493",92,110,61,12,2,280,
"S01019494",69,136,76,12,3,294,
"S01019495",126,139,74,10,8,358,
"S01019496",107,221,57,4,0,389,
"S01019497",73,375,149,5,2,602,
"S01019498",257,234,49,5,2,550,
"S01019499",113,154,59,10,5,339,
"S01019500",144,150,45,10,4,350,
"S01019501",28,135,91,21,12,291,
"S01019502",29,122,124,14,2,291,
"S01019503",9,89,110,21,1,230,
"S01019504",41,119,90,18,4,270,
"S01019505",89,139,48,11,2,290,
"S01019506",47,113,69,22,6,258,
"S01019507",33,95,91,15,5,235,
"S01019508",17,82,75,19,6,204,
"S01019509",26,134,106,26,7,299,
"S01019510",20,87,96,29,3,234,
"S01019511",6,73,93,34,5,213,
"S01019512",7,65,75,21,11,180,
"S01019513",49,170,148,34,13,414,
"S01019514",17,84,73,19,7,200,
"S01019515",69,159,72,9,4,311,
"S01019516",106,181,85,19,7,401,
"S01019517",67,130,76,20,1,295,
"S01019518",66,125,56,15,3,265,
"S01019519",69,144,67,25,6,311,
"S01019520",43,106,71,14,3,238,
"S01019521",33,140,114,23,8,317,
"S01019522",10,117,99,32,8,266,
"S01019523",17,135,106,27,3,291,
"S01019524",59,130,92,30,8,325,
"S01019525",102,178,85,26,6,397,
"S01019526",122,201,102,19,7,451,
"S01019527",97,134,74,7,6,318,
"S01019528",133,164,72,16,6,394,
"S01019529",72,170,126,30,9,407,
"S01019530",31,142,98,28,6,308,
"S01019531",23,172,113,21,7,336,
"S01019532",28,129,91,31,13,297,
"S01019533",35,164,95,18,13,326,
"S01019534",14,124,115,21,9,289,
"S01019535",94,155,83,11,1,341,
"S01019536",111,92,28,9,1,245,
"S01019537",162,167,64,12,1,406,
"S01019538",187,140,29,3,5,367,
"S01019539",112,125,51,6,3,299,
"S01019540",173,158,74,16,4,427,
"S01019541",156,145,45,7,1,354,
"S01019542",105,160,75,26,4,370,
"S01019543",157,190,91,15,3,456,
"S01019544",71,117,77,23,1,293,
"S01019545",64,109,69,17,4,263,
"S01019546",58,109,66,18,2,254,
"S01019547",23,176,107,16,3,322,
"S01019548",30,184,147,38,5,404,
"S01019549",7,81,141,36,17,282,
"S01019550",25,104,143,30,12,314,
"S01019551",11,112,155,46,9,333,
"S01019552",24,132,166,48,14,384,
"S01019553",11,76,103,15,9,217,
"S01019554",42,123,131,27,8,335,
"S01019555",16,98,148,33,15,312,
"S01019556",82,189,82,15,4,375,
"S01019557",71,116,63,8,2,267,
"S01019558",71,175,114,20,7,385,
"S01019559",11,72,112,22,9,226,
"S01019560",14,98,165,41,18,336,
"S01019561",22,78,118,24,7,249,
"S01019562",4,103,167,46,22,339,
"S01019563",58,183,126,30,5,404,
"S01019564",17,129,159,33,12,350,
"S01019565",19,116,128,47,10,320,
"S01019566",17,124,138,39,21,338,
"S01019567",27,145,154,41,17,387,
"S01019568",15,103,142,43,20,323,
"S01019569",57,126,54,15,0,252,
"S01019570",131,184,73,17,3,407,
"S01019571",62,122,64,17,3,266,
"S01019572",173,257,67,12,5,512,
"S01019573",95,199,99,10,3,411,
"S01019574",173,247,81,25,7,533,
"S01019575",18,113,93,14,4,244,
"S01019576",74,208,117,25,5,427,
"S01019577",41,150,130,29,9,362,
"S01019578",28,119,101,28,8,284,
"S01019579",82,141,136,27,14,398,
"S01019580",14,98,85,14,4,216,
"S01019581",47,102,83,16,5,253,
"S01019582",51,146,64,17,4,282,
"S01019583",87,152,71,19,1,331,
"S01019584",56,134,96,10,6,306,
"S01019585",34,173,118,23,4,352,
"S01019586",18,127,146,37,9,339,
"S01019587",19,135,180,43,21,395,
"S01019588",79,195,80,20,11,382,
"S01019589",27,155,141,40,7,374,
"S01019590",11,94,96,24,15,238,
"S01019591",79,191,144,43,14,471,
"S01019592",62,167,101,23,11,363,
"S01019593",9,79,94,27,17,226,
"S01019594",13,76,102,24,6,214,
"S01019595",40,149,94,24,8,315,
"S01019596",103,216,115,16,2,458,
"S01019597",178,230,60,4,4,480,
"S01019598",80,189,109,19,6,407,
"S01019599",94,176,69,8,2,356,
"S01019600",54,142,64,7,1,269,
"S01019601",199,180,48,8,4,440,
"S01019602",155,190,47,12,4,408,
"S01019603",107,182,100,24,6,417,
"S01019604",121,173,56,10,4,364,
"S01019605",93,211,100,25,0,427,
"S01019606",94,161,105,21,12,389,
"S01019607",148,217,68,10,2,445,
"S01019608",65,125,71,20,8,287,
"S01019609",107,178,80,16,2,383,
"S01019610",228,174,54,12,4,469,
"S01019611",146,157,50,4,4,359,
"S01019612",19,115,80,8,5,225,
"S01019613",19,113,94,22,3,250,
"S01019614",33,152,73,16,10,288,
"S01019615",55,157,74,20,6,311,
"S01019616",27,134,97,27,4,290,
"S01019617",44,217,156,20,17,452,
"S01019618",57,163,66,11,6,303,
"S01019619",21,122,109,26,7,285,
"S01019620",24,119,65,19,5,230,
"S01019621",36,183,109,17,7,352,
"S01019622",27,145,153,37,15,380,
"S01019623",9,77,128,45,22,284,
"S01019624",47,175,146,34,7,409,
"S01019625",16,90,129,35,15,284,
"S01019626",42,137,87,17,16,297,
"S01019627",25,177,159,42,18,420,
"S01019628",13,99,92,32,12,250,
"S01019629",13,138,161,48,19,378,
"S01019630",9,87,89,22,14,221,
"S01019631",15,84,88,23,16,223,
"S01019632",116,215,99,23,11,466,
"S01019633",116,156,65,17,10,367,
"S01019634",92,153,62,14,6,327,
"S01019635",39,169,127,23,13,371,
"S01019636",37,154,81,18,8,298,
"S01019637",22,114,70,26,10,242,
"S01019638",20,108,100,29,4,261,
"S01019639",32,118,80,22,6,258,
"S01019640",20,111,81,29,10,251,
"S01019641",13,94,83,27,11,228,
"S01019642",31,144,110,45,9,339,
"S01019643",85,172,91,27,9,381,
"S01019644",139,175,66,12,2,393,
"S01019645",71,162,55,8,4,299,
"S01019646",49,121,86,20,9,285,
"S01019647",52,175,79,13,7,324,
"S01019648",16,151,124,31,14,339,
"S01019649",31,142,77,19,4,273,
"S01019650",46,193,136,26,10,411,
"S01019651",15,105,87,24,9,244,
"S01019652",18,91,113,21,14,255,
"S01019653",19,147,176,46,21,409,
"S01019654",17,184,150,49,8,408,
"S01019655",55,206,98,24,7,387,
"S01019656",92,131,56,17,6,302,
"S01019657",74,182,97,22,6,381,
"S01019658",33,169,78,16,4,299,
"S01019659",27,191,121,34,18,391,
"S01019660",14,126,106,40,15,300,
"S01019661",14,74,112,33,13,246,
"S01019662",24,174,128,46,15,387,
"S01019663",84,205,100,23,6,416,
"S01019664",41,209,121,25,13,408,
"S01019665",51,143,70,17,8,286,
"S01019666",170,196,64,14,4,442,
"S01019667",13,109,107,15,9,251,
"S01019668",81,158,64,13,4,318,
"S01019669",31,147,92,13,4,286,
"S01019670",9,112,114,28,5,269,
"S01019671",113,196,67,20,4,400,
"S01019672",136,194,49,8,6,394,
"S01019673",16,126,166,47,17,374,
"S01019674",31,177,164,42,18,432,
"S01019675",23,185,184,44,24,459,
"S01019676",41,183,93,28,11,356,
"S01019677",78,180,110,25,12,409,
"S01019678",20,135,148,34,16,353,
"S01019679",52,181,115,16,6,373,
"S01019680",38,147,93,20,10,308,
"S01019681",100,204,100,21,6,429,
"S01019682",65,189,102,28,5,389,
"S01019683",91,196,98,26,8,419,
"S01019684",88,155,92,14,5,349,
"S01019685",135,181,66,11,4,400,
"S01019686",81,183,96,24,9,393,
"S01019687",24,152,185,46,20,427,
"S01019688",27,172,97,30,14,340,
"S01019689",16,119,178,47,28,383,
"S01019690",19,154,146,50,17,386,
"S01019691",105,142,51,16,1,315,
"S01019692",111,140,43,11,3,310,
"S01019693",84,126,50,7,3,269,
"S01019694",97,136,51,5,6,292,
"S01019695",130,138,41,9,2,324,
"S01019696",177,133,42,9,3,367,
"S01019697",150,173,66,18,2,411,
"S01019698",59,196,94,26,8,383,
"S01019699",132,198,49,12,4,395,
"S01019700",64,190,115,26,6,401,
"S01019701",41,132,110,18,5,302,
"S01019702",66,179,100,18,16,379,
"S01019703",169,193,86,31,12,488,
"S01019704",155,258,69,14,1,498,
"S01019705",203,192,38,2,3,439,
"S01019706",114,206,98,34,10,458,
"S01019707",63,198,109,23,7,400,
"S01019708",136,196,67,14,10,423,
"S01019709",22,167,163,56,21,433,
"S01019710",24,134,111,40,14,327,
"S01019711",13,108,112,32,19,284,
"S01019712",12,111,91,29,12,250,
"S01019713",90,201,109,16,12,426,
"S01019714",147,198,95,13,5,452,
"S01019715",50,204,135,34,11,436,
"S01019716",85,224,89,11,9,414,
"S01019717",64,154,82,10,6,320,
"S01019718",40,160,102,21,13,339,
"S01019719",135,162,62,21,8,379,
"S01019720",55,153,141,35,17,399,
"S01019721",31,162,103,31,19,346,
"S01019722",45,163,151,28,12,403,
"S01019723",34,111,114,33,23,318,
"S01019724",12,102,100,25,18,258,
"S01019725",48,139,108,25,13,334,
"S01019726",62,144,108,19,10,340,
"S01019727",83,126,51,14,3,282,
"S01019728",69,110,53,7,3,245,
"S01019729",140,253,81,23,6,500,
"S01019730",50,119,74,9,5,254,
"S01019731",123,214,69,18,0,423,
"S01019732",83,165,65,10,5,324,
"S01019733",102,156,47,8,0,313,
"S01019734",144,221,79,17,9,470,
"S01019735",32,115,101,23,10,280,
"S01019736",10,129,101,33,2,281,
"S01019737",38,185,159,37,17,436,
"S01019738",86,200,88,24,12,403,
"S01019739",39,155,170,50,20,434,
"S01019740",25,101,120,24,19,289,
"S01019741",16,100,94,36,10,256,
"S01019742",20,99,91,33,19,260,
"S01019743",25,121,106,29,12,291,
"S01019744",58,187,142,50,15,452,
"S01019745",56,206,128,38,12,444,
"S01019746",46,136,87,36,9,306,
"S01019747",61,198,117,43,16,436,
"S01019748",54,153,112,16,12,344,
"S01019749",26,87,81,23,12,229,
"S01019750",23,94,72,24,10,223,
"S01019751",50,137,70,12,7,276,
"S01019752",30,151,123,35,14,356,
"S01019753",18,133,110,35,17,309,
"S01019754",93,204,105,30,8,432,
"S01019755",38,108,81,24,13,262,
"S01019756",50,169,129,29,15,392,
"S01019757",32,138,135,32,18,357,
"S01019758",141,201,107,14,7,472,
"S01019759",187,210,57,19,1,471,
"S01019760",105,121,55,12,1,300,
"S01019761",97,130,36,11,0,274,
"S01019762",55,113,53,3,1,226,
"S01019763",59,137,70,7,4,277,
"S01019764",136,219,87,24,7,473,
"S01019765",101,171,63,14,8,357,
"S01019766",105,126,43,7,3,283,
"S01019767",90,138,40,17,6,291,
"S01019768",112,128,60,11,6,317,
"S01019769",81,129,59,17,6,292,
"S01019770",52,118,71,18,7,266,
"S01019771",51,125,110,26,14,326,
"S01019772",94,129,76,23,9,331,
"S01019773",26,110,71,21,12,239,
"S01019774",32,138,152,30,17,374,
"S01019775",16,128,105,26,11,288,
"S01019776",28,158,144,45,22,400,
"S01019777",54,171,84,19,4,333,
"S01019778",29,177,151,32,15,404,
"S01019779",29,125,107,49,19,325,
"S01019780",30,117,81,16,6,250,
"S01019781",10,104,108,37,13,269,
"S01019782",14,122,88,8,0,237,
"S01019783",21,112,88,10,4,232,
"S01019784",52,233,185,46,10,526,
"S01019785",31,182,85,20,4,322,
"S01019786",18,85,158,30,12,304,
"S01019787",25,146,173,33,11,386,
"S01019788",15,91,74,19,7,205,
"S01019789",14,92,144,32,12,295,
"S01019790",43,190,138,23,13,411,
"S01019791",16,77,111,39,16,259,
"S01019792",22,112,126,33,11,307,
"S01019793",42,220,193,43,18,516,
"S01019794",23,135,138,27,10,333,
"S01019795",26,118,108,31,8,288,
"S01019796",23,117,74,17,10,245,
"S01019797",89,118,48,9,1,265,
"S01019798",83,112,42,7,1,248,
"S01019799",89,138,57,8,5,296,
"S01019800",77,130,76,23,4,309,
"S01019801",138,166,55,10,4,373,
"S01019802",52,128,58,14,8,257,
"S01019803",82,183,94,15,9,379,
"S01019804",145,220,97,17,4,485,
"S01019805",53,115,60,8,2,238,
"S01019806",25,91,74,24,8,219,
"S01019807",137,216,94,18,8,468,
"S01019808",56,140,76,17,7,295,
"S01019809",97,184,109,25,4,420,
"S01019810",12,131,92,21,5,262,
"S01019811",85,197,106,22,5,415,
"S01019812",18,106,104,29,6,263,
"S01019813",42,136,129,22,6,333,
"S01019814",100,181,28,2,2,312,
"S01019815",272,275,81,8,4,636,
"S01019816",54,95,41,12,2,206,
"S01019817",246,251,64,18,3,580,
"S01019818",35,157,83,15,16,307,
"S01019819",54,194,118,21,4,391,
"S01019820",57,122,49,12,2,242,
"S01019821",92,113,43,7,6,260,
"S01019822",165,180,60,11,5,423,
"S01019823",337,178,42,4,2,567,
"S01019824",401,272,32,6,3,719,
"S01019825",372,191,27,4,0,592,
"S01019826",79,123,68,12,3,286,
"S01019827",62,125,75,12,2,275,
"S01019828",169,227,94,11,1,506,
"S01019829",112,175,78,21,3,389,
"S01019830",73,90,36,9,2,210,
"S01019831",148,132,58,16,2,359,
"S01019832",70,128,50,12,3,263,
"S01019833",93,119,29,14,0,255,
"S01019834",175,113,38,12,0,337,
"S01019835",175,102,24,5,0,306,
"S01019836",77,94,38,12,3,224,
"S01019837",124,144,44,17,2,331,
"S01019838",202,202,82,22,5,513,
"S01019839",142,199,72,18,4,437,
"S01019840",106,216,89,16,6,433,
"S01019841",50,109,73,19,1,251,
"S01019842",71,211,114,17,6,422,
"S01019843",98,185,68,4,7,362,
"S01019844",25,128,103,27,2,280,
"S01019845",18,155,136,21,6,336,
"S01019846",133,147,43,13,6,342,
"S01019847",95,153,70,23,9,348,
"S01019848",120,178,108,23,7,441,
"S01019849",63,100,51,12,2,226,
"S01019850",66,110,75,19,5,275,
"S01019851",55,140,63,8,5,271,
"S01019852",83,129,49,8,1,272,
"S01019853",63,147,95,20,9,332,
"S01019854",61,106,62,12,5,247,
"S01019855",38,158,119,25,5,341,
"S01019856",42,191,142,24,7,409,
"S01019857",102,232,88,27,5,458,
"S01019858",52,176,83,16,7,334,
"S01019859",46,146,112,26,11,341,
"S01019860",57,140,86,20,10,314,
"S01019861",73,161,73,21,8,336,
"S01019862",71,164,90,16,3,344,
"S01019863",53,167,145,26,7,398,
"S01019864",40,179,162,41,18,440,
"S01019865",36,134,159,38,12,381,
"S01019866",76,148,55,13,2,301,
"S01019867",90,136,54,18,4,302,
"S01019868",37,148,94,32,4,318,
"S01019869",94,186,97,29,6,415,
"S01019870",56,122,90,25,10,301,
"S01019871",91,117,80,26,4,318,
"S01019872",114,223,118,33,17,504,
"S01019873",51,132,74,14,7,276,
"S01019874",73,144,67,17,3,302,
"S01019875",58,143,70,20,5,296,
"S01019876",8,67,78,27,14,191,
"S01019877",9,89,122,26,5,247,
"S01019878",47,130,107,29,6,319,
"S01019879",18,115,107,33,21,294,
"S01019880",56,156,107,31,10,358,
"S01019881",56,92,48,13,1,213,
"S01019882",46,148,119,26,14,352,
"S01019883",40,124,86,29,8,293,
"S01019884",64,104,45,7,2,223,
"S01019885",67,166,87,15,14,346,
"S01019886",29,143,103,32,7,317,
"S01019887",49,198,116,19,8,390,
"S01019888",5,66,116,8,4,201,
"S01019889",23,136,122,22,2,304,
"S01019890",32,168,143,32,5,384,
"S01019891",17,82,75,11,5,191,
"S01019892",22,149,116,26,3,320,
"S01019893",21,138,143,38,7,347,
"S01019894",128,195,78,16,7,425,
"S01019895",161,187,37,2,0,387,
"S01019896",46,96,42,8,4,196,
"S01019897",106,249,108,18,11,490,
"S01019898",158,206,49,7,4,424,
"S01019899",12,115,143,37,11,321,
"S01019900",30,103,76,16,5,227,
"S01019901",76,181,69,25,6,360,
"S01019902",163,218,61,12,1,459,
"S01019903",143,267,95,12,3,520,
"S01019904",23,86,61,15,2,187,
"S01019905",27,140,170,45,15,397,
"S01019906",15,101,69,15,11,209,
"S01019907",48,155,102,32,17,354,
"S01019908",16,85,81,16,8,206,
"S01019909",14,135,152,49,24,372,
"S01019910",38,142,132,47,23,382,
"S01019911",22,148,120,40,13,342,
"S01019912",52,172,100,25,3,352,
"S01019913",41,131,55,17,10,252,
"S01019914",12,138,122,24,8,302,
"S01019915",104,191,86,22,10,410,
"S01019916",33,112,121,48,24,338,
"S01019917",15,127,154,41,19,356,
"S01019918",67,114,81,22,15,301,
"S01019919",15,126,134,38,18,333,
"S01019920",79,184,122,29,12,421,
"S01019921",51,154,109,26,17,356,
"S01019922",87,186,97,23,11,401,
"S01019923",18,114,130,44,12,319,
"S01019924",13,110,135,58,26,341,
"S01019925",16,99,99,40,17,270,
"S01019926",55,130,68,17,8,282,
"S01019927",92,165,86,24,9,375,
"S01019928",85,176,61,19,7,348,
"S01019929",13,66,97,26,8,213,
"S01019930",32,138,138,37,11,359,
"S01019931",21,97,75,22,2,217,
"S01019932",48,136,79,17,6,284,
"S01019933",60,140,79,19,8,305,
"S01019934",12,63,78,25,10,185,
"S01019935",49,141,87,21,5,301,
"S01019936",59,143,78,22,16,318,
"S01019937",36,157,153,25,6,377,
"S01019938",32,156,152,27,15,382,
"S01019939",136,151,51,7,4,351,
"S01019940",99,134,66,14,7,321,
"S01019941",59,138,60,15,7,279,
"S01019942",43,128,48,17,7,243,
"S01019943",3,66,162,37,7,278,
"S01019944",41,145,102,32,8,332,
"S01019945",73,170,101,21,6,369,
"S01019946",103,167,84,17,4,375,
"S01019947",159,203,86,13,8,469,
"S01019948",15,109,109,10,5,248,
"S01019949",23,117,84,18,1,244,
"S01019950",46,157,74,16,1,297,
"S01019951",58,119,81,14,8,277,
"S01019952",106,260,105,26,7,506,
"S01019953",36,143,122,31,17,351,
"S01019954",44,144,155,47,25,413,
"S01019955",14,121,171,36,10,352,
"S01019956",26,90,68,21,13,216,
"S01019957",103,136,47,9,4,298,
"S01019958",38,177,100,20,10,344,
"S01019959",57,124,81,16,7,275,
"S01019960",67,144,98,22,11,342,
"S01019961",87,158,63,7,4,323,
"S01019962",102,165,67,12,3,345,
"S01019963",78,102,56,12,3,259,
"S01019964",22,116,68,14,1,223,
"S01019965",69,111,68,18,2,268,
"S01019966",8,82,101,13,7,211,
"S01019967",23,107,103,18,3,256,
"S01019968",23,92,74,17,6,212,
"S01019969",242,198,76,16,6,538,
"S01019970",102,123,73,19,5,319,
"S01019971",16,121,126,39,23,326,
"S01019972",21,98,119,28,10,276,
"S01019973",65,160,85,14,12,336,
"S01019974",83,124,93,26,12,326,
"S01019975",5,56,94,25,7,196,
"S01019976",15,83,107,33,23,261,
"S01019977",93,140,61,23,6,319,
"S01019978",96,176,98,35,8,413,
"S01019979",76,164,99,33,9,380,
"S01019980",127,185,67,18,9,407,
"S01019981",134,208,96,32,11,484,
"S01019982",162,127,67,17,2,375,
"S01019983",45,95,46,13,7,197,
"S01019984",65,123,84,21,5,305,
"S01019985",92,139,102,29,18,376,
"S01019986",43,182,132,37,16,408,
"S01019987",10,98,142,34,11,295,
"S01019988",58,103,46,18,2,227,
"S01019989",40,105,73,25,10,253,
"S01019990",32,141,101,26,14,320,
"S01019991",116,144,55,19,1,333,
"S01019992",34,199,152,51,15,451,
"S01019993",65,135,124,36,19,383,
"S01019994",9,106,126,12,4,257,
"S01019995",43,126,110,32,14,327,
"S01019996",100,168,126,33,13,440,
"S01019997",41,124,107,25,6,302,
"S01019998",8,52,74,34,13,182,
"S01019999",32,133,121,46,23,347,
"S01020000",124,175,74,11,2,384,
"S01020001",78,128,46,14,2,267,
"S01020002",56,213,110,24,17,412,
"S01020003",24,121,159,38,17,359,
"S01020004",102,133,74,20,12,341,
"S01020005",45,118,102,17,7,289,
"S01020006",138,211,107,24,9,489,
"S01020007",39,150,79,31,4,299,
"S01020008",133,213,99,21,7,473,
"S01020009",118,145,71,12,2,348,
"S01020010",110,153,42,11,2,317,
"S01020011",98,110,57,18,2,285,
"S01020012",90,141,69,16,6,322,
"S01020013",25,130,81,26,2,264,
"S01020014",35,139,96,18,10,298,
"S01020015",110,162,93,24,5,394,
"S01020016",160,151,60,13,4,386,
"S01020017",92,103,40,15,4,252,
"S01020018",79,111,44,13,0,245,
"S01020019",135,176,56,17,7,390,
"S01020020",37,138,90,27,10,302,
"S01020021",69,126,61,15,5,273,
"S01020022",15,137,140,30,12,338,
"S01020023",95,143,95,16,12,361,
"S01020024",28,75,92,16,8,222,
"S01020025",41,175,136,29,24,405,
"S01020026",48,138,87,22,12,303,
"S01020027",62,160,85,19,4,330,
"S01020028",28,98,77,15,13,229,
"S01020029",65,163,73,13,7,321,
"S01020030",52,192,139,33,10,426,
"S01020031",12,112,94,19,4,241,
"S01020032",113,205,106,20,3,450,
"S01020033",11,68,93,20,1,195,
"S01020034",16,75,79,21,4,197,
"S01020035",24,94,117,31,20,283,
