SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01013807",86,85,47,7,1,2,0,225,
"S01013808",202,121,23,2,6,0,0,352,
"S01013809",119,145,58,29,16,1,0,369,
"S01013810",264,62,11,29,2,0,0,364,
"S01013811",72,76,56,95,2,0,0,305,
"S01013812",172,69,64,31,6,5,0,348,
"S01013813",130,62,21,1,0,0,0,216,
"S01013814",227,80,11,1,1,1,1,325,
"S01013815",223,70,33,4,0,0,3,334,
"S01013816",73,65,49,0,0,0,0,187,
"S01013817",191,14,3,2,2,0,3,218,
"S01013818",123,47,50,47,0,0,0,270,
"S01013819",125,59,45,1,0,1,1,235,
"S01013820",253,37,16,2,3,0,2,313,
"S01013821",144,49,36,71,4,0,0,310,
"S01013822",15,79,119,167,2,0,0,382,
"S01013823",102,192,126,19,3,0,0,442,
"S01013824",187,81,68,20,1,2,0,358,
"S01013825",41,136,124,85,16,3,0,408,
"S01013826",48,105,82,195,23,2,0,457,
"S01013827",111,22,6,0,0,0,0,141,
"S01013828",96,154,33,24,1,2,0,311,
"S01013829",88,94,36,1,0,0,0,219,
"S01013830",153,126,41,97,14,8,0,436,
"S01013831",101,52,19,11,7,0,0,191,
"S01013832",210,39,17,1,1,0,0,269,
"S01013833",39,65,94,243,29,16,0,485,
"S01013834",107,18,5,95,6,1,0,234,
"S01013835",100,87,21,15,1,1,0,229,
"S01013836",124,115,6,8,1,0,0,251,
"S01013837",58,197,127,10,2,1,0,397,
"S01013838",174,94,35,10,0,0,0,310,
"S01013839",202,39,6,4,0,0,0,249,
"S01013840",200,136,28,0,3,0,0,366,
"S01013841",106,176,14,5,0,1,2,305,
"S01013842",147,147,14,6,0,0,0,316,
"S01013843",96,141,14,74,0,0,0,325,
"S01013844",171,157,14,28,1,0,0,371,
"S01013845",33,153,33,21,2,0,0,242,
"S01013846",107,120,8,10,0,0,0,245,
"S01013847",157,34,12,3,1,1,44,251,
"S01013848",158,52,11,2,3,0,4,231,
"S01013849",121,31,6,19,0,0,2,179,
"S01013850",148,40,19,4,0,0,0,209,
"S01013851",115,54,30,16,0,0,0,215,
"S01013852",108,51,3,1,1,0,0,166,
"S01013853",40,116,207,4,0,0,1,370,
"S01013854",69,135,99,34,0,0,0,337,
"S01013855",140,76,9,0,0,0,0,230,
"S01013856",305,53,8,3,1,0,1,372,
"S01013857",266,139,26,3,0,0,0,434,
"S01013858",263,43,19,1,2,1,2,330,
"S01013859",210,65,13,3,5,0,0,295,
"S01013860",325,85,25,5,4,2,0,453,
"S01013861",217,25,8,0,0,0,1,251,
"S01013862",319,46,4,42,2,0,0,414,
"S01013863",33,53,111,35,2,0,0,234,
"S01013864",214,43,3,2,0,0,0,258,
"S01013865",122,143,29,41,7,2,0,345,
"S01013866",106,103,76,16,0,0,0,306,
"S01013867",157,99,20,56,0,0,0,332,
"S01013868",221,77,20,126,18,17,1,480,
"S01013869",179,32,3,4,1,0,0,218,
"S01013870",209,55,8,29,6,0,0,308,
"S01013871",230,158,67,6,7,1,2,465,
"S01013872",164,70,8,12,0,0,0,256,
"S01013873",211,66,12,10,4,0,0,303,
"S01013874",194,23,12,1,2,0,0,232,
"S01013875",318,69,45,40,4,2,0,478,
"S01013876",258,58,24,1,7,0,0,356,
"S01013877",161,131,22,17,4,2,0,335,
"S01013878",294,89,27,8,6,0,0,421,
"S01013879",415,29,8,3,0,1,2,458,
"S01013880",205,74,35,16,1,0,2,330,
"S01013881",229,32,2,1,4,0,1,268,
"S01013882",243,34,9,1,0,0,0,286,
"S01013883",204,24,4,0,1,0,1,237,
"S01013884",108,174,33,27,4,0,0,345,
"S01013885",163,54,8,15,0,5,0,249,
"S01013886",184,75,54,8,0,0,0,320,
"S01013887",306,55,62,8,3,1,1,435,
"S01013888",178,55,34,79,4,2,0,351,
"S01013889",166,35,10,0,0,0,0,211,
"S01013890",230,50,19,5,4,1,1,310,
"S01013891",60,158,121,4,0,1,0,347,
"S01013892",168,81,24,70,6,5,0,352,
"S01013893",177,134,92,29,11,0,0,443,
"S01013894",71,212,38,5,2,0,0,336,
"S01013895",76,79,70,2,2,0,0,228,
"S01013896",102,264,16,89,1,0,0,470,
"S01013897",16,74,49,165,2,0,0,306,
"S01013898",97,125,38,116,7,1,0,383,
"S01013899",83,104,71,31,9,0,0,298,
