SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01019459",15,29,43,426,7,2,0,521,
"S01019460",8,27,42,329,1,0,0,407,
"S01019461",2,20,29,265,1,0,0,319,
"S01019462",84,43,35,189,2,0,0,349,
"S01019463",14,74,188,113,7,0,0,393,
"S01019464",6,69,122,57,5,0,0,260,
"S01019465",5,16,53,263,0,0,0,339,
"S01019466",13,46,88,322,9,4,0,482,
"S01019467",6,14,27,407,4,2,0,456,
"S01019468",8,21,59,442,10,1,7,548,
"S01019469",21,94,123,81,5,0,0,329,
"S01019470",6,60,37,189,6,1,0,303,
"S01019471",55,93,188,172,1,0,0,511,
"S01019472",76,105,61,189,1,0,0,429,
"S01019473",15,68,97,231,1,0,0,412,
"S01019474",58,188,111,47,1,0,0,404,
"S01019475",7,39,99,266,3,1,0,418,
"S01019476",10,52,49,169,0,0,0,283,
"S01019477",18,46,130,190,2,3,0,386,
"S01019478",9,146,73,4,0,0,0,232,
"S01019479",11,155,112,7,1,0,0,286,
"S01019480",9,19,9,163,3,1,0,203,
"S01019481",43,64,82,274,0,0,0,459,
"S01019482",25,91,126,20,2,0,0,268,
"S01019483",13,76,127,196,0,0,0,410,
"S01019484",10,63,129,401,0,0,0,605,
"S01019485",8,18,241,222,1,0,0,490,
"S01019486",5,20,129,146,0,0,0,300,
"S01019487",60,201,6,12,0,0,0,282,
"S01019488",171,82,52,19,0,0,0,328,
"S01019489",43,118,91,100,0,0,0,349,
"S01019490",51,152,60,84,1,1,0,349,
"S01019491",41,137,35,27,0,0,0,239,
"S01019492",49,151,32,12,1,0,0,241,
"S01019493",56,86,16,117,5,0,0,280,
"S01019494",50,105,39,94,2,0,0,294,
"S01019495",35,95,31,188,8,2,0,358,
"S01019496",5,22,19,343,0,0,0,389,
"S01019497",8,16,61,516,2,1,0,602,
"S01019498",14,36,40,447,4,14,0,550,
"S01019499",13,59,121,144,4,2,0,339,
"S01019500",6,69,39,235,5,0,0,350,
"S01019501",96,24,53,114,1,2,0,291,
"S01019502",23,72,108,88,0,0,0,291,
"S01019503",123,52,42,13,0,0,0,230,
"S01019504",63,77,53,79,1,0,0,270,
"S01019505",12,25,85,167,1,0,0,290,
"S01019506",40,170,4,42,0,0,0,258,
"S01019507",46,113,37,47,0,0,0,235,
"S01019508",75,69,52,5,0,0,0,204,
"S01019509",161,84,34,20,0,0,0,299,
"S01019510",108,94,29,1,0,0,0,234,
"S01019511",177,33,4,2,0,0,0,213,
"S01019512",120,41,14,5,0,0,0,180,
"S01019513",97,111,199,7,0,0,0,414,
"S01019514",103,29,38,31,0,0,0,200,
"S01019515",19,25,226,39,0,4,0,311,
"S01019516",76,87,135,100,2,0,0,401,
"S01019517",10,37,237,10,1,0,0,295,
"S01019518",14,40,198,10,3,0,0,265,
"S01019519",17,51,209,32,2,0,0,311,
"S01019520",63,60,106,9,0,0,0,238,
"S01019521",166,118,33,4,0,0,0,317,
"S01019522",168,90,6,4,0,0,0,266,
"S01019523",98,114,53,23,0,0,0,291,
"S01019524",37,121,148,19,0,0,0,325,
"S01019525",14,42,304,36,1,0,0,397,
"S01019526",10,76,262,100,3,0,0,451,
"S01019527",3,40,193,80,3,0,0,318,
"S01019528",10,36,221,125,1,0,0,394,
"S01019529",77,132,104,90,3,0,0,407,
"S01019530",112,187,4,5,0,0,0,308,
"S01019531",88,185,58,5,0,0,0,336,
"S01019532",85,185,22,4,0,0,0,297,
"S01019533",103,167,42,7,1,0,0,326,
"S01019534",138,127,5,11,7,0,0,289,
"S01019535",52,54,76,160,2,0,0,341,
"S01019536",9,31,71,125,5,0,0,245,
"S01019537",6,69,220,115,0,0,0,406,
"S01019538",3,31,59,271,1,0,0,367,
"S01019539",2,57,89,151,0,0,0,299,
"S01019540",18,69,179,155,1,2,0,427,
"S01019541",14,83,148,105,0,0,0,354,
"S01019542",34,46,168,119,7,0,0,370,
"S01019543",26,31,225,177,1,0,0,456,
"S01019544",4,13,236,37,0,0,0,293,
"S01019545",9,17,198,35,1,1,0,263,
"S01019546",10,25,216,5,0,0,0,254,
"S01019547",99,103,99,20,1,0,0,322,
"S01019548",185,157,49,11,0,1,0,404,
"S01019549",208,68,6,0,0,0,0,282,
"S01019550",172,107,30,4,0,0,0,314,
"S01019551",208,118,3,1,0,0,1,333,
"S01019552",262,60,9,53,0,0,0,384,
"S01019553",184,21,8,2,3,0,0,217,
"S01019554",93,88,104,40,8,0,0,335,
"S01019555",159,108,6,28,11,3,0,312,
"S01019556",46,51,88,175,9,3,0,375,
"S01019557",26,36,27,165,5,10,0,267,
"S01019558",90,83,75,127,10,2,0,385,
"S01019559",143,32,8,40,4,1,0,226,
"S01019560",240,52,25,17,2,0,0,336,
"S01019561",135,70,38,4,1,0,0,249,
"S01019562",260,38,39,2,2,1,0,339,
"S01019563",199,77,61,55,9,4,0,404,
"S01019564",224,48,70,4,0,1,0,350,
"S01019565",212,52,38,16,4,0,0,320,
"S01019566",225,80,21,9,4,0,0,338,
"S01019567",238,67,61,19,0,0,1,387,
"S01019568",218,63,30,7,2,2,0,323,
"S01019569",28,84,41,98,1,0,0,252,
"S01019570",61,94,42,206,5,1,1,407,
"S01019571",69,52,1,138,7,0,0,266,
"S01019572",54,112,75,197,46,28,0,512,
"S01019573",50,124,61,149,24,0,0,411,
"S01019574",94,86,61,260,21,8,0,533,
"S01019575",154,53,42,1,1,0,0,244,
"S01019576",110,77,170,63,6,0,0,427,
"S01019577",250,59,28,21,3,0,0,362,
"S01019578",160,56,34,8,24,0,0,284,
"S01019579",125,131,113,24,7,0,0,398,
"S01019580",132,25,51,5,1,1,0,216,
"S01019581",117,23,11,91,11,0,0,253,
"S01019582",13,56,164,48,0,1,0,282,
"S01019583",101,29,43,149,14,1,0,331,
"S01019584",106,72,28,89,11,0,0,306,
"S01019585",154,48,40,83,18,3,0,352,
"S01019586",213,59,41,24,0,0,0,339,
"S01019587",255,79,38,15,11,0,0,395,
"S01019588",57,70,64,175,15,1,0,382,
"S01019589",262,58,48,4,3,0,0,374,
"S01019590",127,51,51,0,1,2,0,238,
"S01019591",159,137,82,86,9,0,0,471,
"S01019592",44,128,128,51,8,4,0,363,
"S01019593",144,47,31,3,2,0,0,226,
"S01019594",124,66,23,3,0,0,0,214,
"S01019595",143,86,35,35,15,1,0,315,
"S01019596",152,81,62,136,27,0,0,458,
"S01019597",52,37,69,245,51,27,0,480,
"S01019598",115,71,93,114,8,2,0,407,
"S01019599",45,45,56,171,30,4,5,356,
"S01019600",36,51,72,96,9,0,0,269,
"S01019601",48,31,60,246,30,21,0,440,
"S01019602",23,77,48,244,19,2,0,408,
"S01019603",16,163,101,134,1,0,0,417,
"S01019604",14,84,75,169,24,1,0,364,
"S01019605",139,118,20,145,7,0,0,427,
"S01019606",159,88,17,102,21,0,0,389,
"S01019607",27,57,44,284,27,9,0,445,
"S01019608",68,115,32,58,11,3,0,287,
"S01019609",15,53,234,69,11,0,1,383,
"S01019610",32,74,120,235,7,3,0,469,
"S01019611",37,81,92,147,3,0,0,359,
"S01019612",62,71,72,17,2,0,0,225,
"S01019613",111,54,70,11,3,0,0,250,
"S01019614",99,104,48,39,4,0,0,288,
"S01019615",12,52,195,42,8,0,0,311,
"S01019616",140,55,44,50,0,1,0,290,
"S01019617",288,83,37,19,20,1,3,452,
"S01019618",66,107,50,68,5,7,0,303,
"S01019619",76,100,19,72,24,0,0,285,
"S01019620",54,100,18,52,5,0,1,230,
"S01019621",134,93,30,44,33,15,0,352,
"S01019622",204,95,65,5,6,8,0,380,
"S01019623",202,47,26,4,3,1,1,284,
"S01019624",177,103,91,28,7,3,0,409,
"S01019625",188,55,39,7,0,0,0,284,
"S01019626",93,103,74,25,1,0,0,297,
"S01019627",183,136,91,7,0,1,1,420,
"S01019628",142,55,44,6,1,0,0,250,
"S01019629",224,90,60,0,2,1,1,378,
"S01019630",140,42,31,1,3,0,1,221,
"S01019631",75,65,75,6,0,2,0,223,
"S01019632",131,160,41,105,15,10,0,466,
"S01019633",79,72,68,135,7,3,0,367,
"S01019634",54,80,85,94,14,4,0,327,
"S01019635",73,257,30,9,1,0,0,371,
"S01019636",105,92,80,16,5,0,1,298,
"S01019637",96,73,47,16,1,4,0,242,
"S01019638",143,61,41,6,3,2,0,261,
"S01019639",146,68,29,14,1,1,0,258,
"S01019640",123,69,48,10,0,0,0,251,
"S01019641",140,49,34,4,2,0,1,228,
"S01019642",142,141,48,7,0,4,1,339,
"S01019643",47,201,122,10,2,0,0,381,
"S01019644",90,59,69,128,31,15,0,393,
"S01019645",35,63,93,104,2,0,0,299,
"S01019646",151,57,43,28,7,2,0,285,
"S01019647",43,90,184,7,2,0,0,324,
"S01019648",177,98,53,2,5,2,0,339,
"S01019649",47,125,81,13,3,0,0,273,
"S01019650",161,88,106,47,3,2,0,411,
"S01019651",107,65,64,6,0,1,1,244,
"S01019652",163,71,20,2,2,2,0,255,
"S01019653",285,52,51,13,4,2,0,409,
"S01019654",209,127,66,3,2,1,0,408,
"S01019655",177,105,70,28,0,0,0,387,
"S01019656",23,36,90,136,11,7,0,302,
"S01019657",88,152,103,28,3,7,0,381,
"S01019658",74,134,78,9,2,0,0,299,
"S01019659",188,98,93,10,0,1,0,391,
"S01019660",161,72,63,3,1,1,0,300,
"S01019661",134,48,57,3,4,0,1,246,
"S01019662",196,82,82,2,2,0,23,387,
"S01019663",53,207,61,93,2,0,0,416,
"S01019664",36,215,141,17,2,1,0,408,
"S01019665",6,221,51,7,0,0,0,286,
"S01019666",13,122,59,241,5,1,0,442,
"S01019667",121,112,7,6,5,0,0,251,
"S01019668",72,76,70,92,1,0,0,318,
"S01019669",114,93,42,33,1,2,0,286,
"S01019670",191,66,11,1,0,0,0,269,
"S01019671",54,84,51,194,14,4,0,400,
"S01019672",43,35,47,237,16,18,0,394,
"S01019673",255,77,34,3,2,1,2,374,
"S01019674",235,122,66,8,1,0,0,432,
"S01019675",233,120,96,7,3,0,1,459,
"S01019676",97,110,74,64,9,0,0,356,
"S01019677",26,268,55,55,2,0,0,409,
"S01019678",193,72,68,10,5,0,2,353,
"S01019679",100,157,93,21,0,1,0,373,
"S01019680",132,101,37,31,3,2,0,308,
"S01019681",17,222,126,60,1,0,0,429,
"S01019682",153,107,36,92,1,0,0,389,
"S01019683",22,127,122,146,6,0,0,419,
"S01019684",88,66,24,163,7,3,0,349,
"S01019685",59,37,68,200,17,23,0,400,
"S01019686",86,141,132,26,5,2,0,393,
"S01019687",333,69,8,5,1,4,2,427,
"S01019688",108,152,59,10,8,1,0,340,
"S01019689",279,69,20,5,5,0,3,383,
"S01019690",246,82,39,8,9,1,1,386,
"S01019691",24,193,71,25,4,0,0,315,
"S01019692",23,141,76,62,3,4,0,310,
"S01019693",17,185,40,24,2,0,0,269,
"S01019694",20,207,53,12,0,0,0,292,
"S01019695",18,46,49,203,6,0,0,324,
"S01019696",16,19,44,247,15,23,0,367,
"S01019697",52,64,37,240,14,2,0,411,
"S01019698",42,100,103,130,8,0,0,383,
"S01019699",30,22,74,242,11,16,0,395,
"S01019700",120,100,69,107,5,2,2,401,
"S01019701",172,56,20,37,15,1,0,302,
"S01019702",100,94,78,91,10,3,0,379,
"S01019703",91,34,41,313,9,0,0,488,
"S01019704",15,39,84,332,16,10,0,498,
"S01019705",18,21,52,333,14,4,0,439,
"S01019706",101,95,78,149,33,1,2,458,
"S01019707",49,93,111,142,3,0,0,400,
"S01019708",40,116,130,135,0,2,0,423,
"S01019709",292,93,35,7,4,0,2,433,
"S01019710",223,59,29,9,1,1,2,327,
"S01019711",195,51,14,12,8,0,4,284,
"S01019712",169,58,10,6,0,1,0,250,
"S01019713",43,67,158,151,7,0,0,426,
"S01019714",58,71,131,152,23,20,0,452,
"S01019715",134,172,77,39,14,0,0,436,
"S01019716",72,110,65,153,15,1,0,414,
"S01019717",72,57,63,115,13,0,0,320,
"S01019718",111,94,34,81,21,1,0,339,
"S01019719",26,56,203,89,4,1,0,379,
"S01019720",331,59,5,4,0,0,0,399,
"S01019721",294,44,1,3,0,0,0,346,
"S01019722",299,88,11,3,0,0,0,403,
"S01019723",249,54,7,2,0,1,2,318,
"S01019724",232,21,3,4,0,0,0,258,
"S01019725",181,111,1,41,0,0,0,334,
"S01019726",142,171,18,4,1,0,0,340,
"S01019727",84,71,111,17,0,0,0,282,
"S01019728",77,81,29,51,7,0,0,245,
"S01019729",100,166,78,120,28,7,0,500,
"S01019730",148,60,20,21,4,2,0,254,
"S01019731",60,126,66,128,35,12,0,423,
"S01019732",19,159,118,24,3,0,1,324,
"S01019733",47,93,41,109,18,5,0,313,
"S01019734",84,237,16,108,9,0,16,470,
"S01019735",166,60,18,34,3,0,0,280,
"S01019736",173,74,5,27,2,0,0,281,
"S01019737",316,112,3,2,1,1,0,436,
"S01019738",163,130,60,32,15,3,0,403,
"S01019739",336,67,14,6,8,1,2,434,
"S01019740",225,51,11,2,0,0,0,289,
"S01019741",192,60,2,0,0,0,2,256,
"S01019742",233,18,5,2,1,0,2,260,
"S01019743",238,42,8,3,2,1,0,291,
"S01019744",270,134,34,8,4,2,1,452,
"S01019745",269,127,39,6,2,1,0,444,
"S01019746",230,61,7,7,1,0,0,306,
"S01019747",332,79,14,6,3,0,2,436,
"S01019748",197,123,20,3,1,2,1,344,
"S01019749",151,73,1,0,2,0,0,229,
"S01019750",170,45,7,2,0,0,0,223,
"S01019751",116,70,59,27,0,2,0,276,
"S01019752",204,97,50,1,2,0,3,356,
"S01019753",205,69,19,11,2,0,0,309,
"S01019754",82,119,186,43,2,0,0,432,
"S01019755",118,86,37,19,0,1,0,262,
"S01019756",190,120,60,14,6,0,2,392,
"S01019757",159,79,97,17,4,0,0,357,
"S01019758",124,111,172,67,0,0,0,472,
"S01019759",33,71,197,156,2,12,0,471,
"S01019760",10,72,146,69,2,1,0,300,
"S01019761",7,29,176,62,0,0,0,274,
"S01019762",22,31,175,3,0,0,0,226,
"S01019763",91,83,80,20,2,1,0,277,
"S01019764",34,78,212,116,19,18,0,473,
"S01019765",142,75,47,89,4,0,0,357,
"S01019766",22,30,130,85,8,8,0,283,
"S01019767",30,50,41,168,4,0,0,291,
"S01019768",16,40,144,104,4,9,0,317,
"S01019769",18,96,132,43,7,1,0,292,
"S01019770",25,115,71,54,0,1,0,266,
"S01019771",93,133,89,11,0,0,0,326,
"S01019772",93,78,69,85,3,2,0,331,
"S01019773",136,33,19,46,3,2,0,239,
"S01019774",177,97,83,18,0,1,0,374,
"S01019775",133,72,50,24,3,0,0,288,
"S01019776",213,117,58,8,3,2,0,400,
"S01019777",67,123,53,84,2,0,0,333,
"S01019778",274,95,11,25,1,1,0,404,
"S01019779",236,43,33,13,4,0,2,325,
"S01019780",53,95,82,17,2,2,0,250,
"S01019781",177,42,49,4,0,0,1,269,
"S01019782",124,53,46,13,1,0,0,237,
"S01019783",117,85,24,6,0,0,0,232,
"S01019784",432,32,27,30,4,1,0,526,
"S01019785",158,154,8,1,0,0,0,322,
"S01019786",280,17,3,1,3,0,0,304,
"S01019787",367,15,0,4,0,0,0,386,
"S01019788",190,4,4,10,0,0,0,205,
"S01019789",234,31,18,18,0,0,0,295,
"S01019790",312,88,7,4,0,3,0,411,
"S01019791",236,7,6,0,5,0,0,259,
"S01019792",293,9,0,5,0,0,0,307,
"S01019793",391,78,17,29,6,1,0,516,
"S01019794",258,40,9,24,5,0,0,333,
"S01019795",158,89,30,12,0,0,0,288,
"S01019796",217,15,12,0,0,0,0,245,
"S01019797",18,28,169,47,0,1,0,265,
"S01019798",10,16,188,34,0,0,0,248,
"S01019799",20,31,243,2,0,0,0,296,
"S01019800",86,38,133,59,0,0,0,309,
"S01019801",17,83,206,65,1,0,0,373,
"S01019802",84,116,25,26,10,0,0,257,
"S01019803",48,154,115,63,1,0,0,379,
"S01019804",120,101,142,122,3,0,0,485,
"S01019805",24,98,114,6,0,0,0,238,
"S01019806",179,32,6,2,0,0,0,219,
"S01019807",129,197,23,113,4,0,0,468,
"S01019808",184,32,27,53,0,0,0,295,
"S01019809",52,171,188,9,2,0,0,420,
"S01019810",108,143,4,2,0,0,0,262,
"S01019811",21,222,168,7,0,1,0,415,
"S01019812",118,136,7,2,0,0,0,263,
"S01019813",117,147,18,31,27,0,1,333,
"S01019814",8,11,13,268,6,6,0,312,
"S01019815",26,37,70,394,67,45,1,636,
"S01019816",21,20,40,88,29,6,0,206,
"S01019817",31,70,55,380,24,18,0,580,
"S01019818",24,71,85,58,65,1,0,307,
"S01019819",98,98,35,90,69,3,0,391,
"S01019820",82,56,10,65,23,1,0,242,
"S01019821",7,52,56,131,12,1,0,260,
"S01019822",21,76,181,141,4,0,0,423,
"S01019823",7,22,31,488,8,6,0,567,
"S01019824",23,19,24,616,10,15,8,719,
"S01019825",14,27,23,524,3,4,0,592,
"S01019826",31,113,87,55,0,0,0,286,
"S01019827",6,136,131,2,0,0,0,275,
"S01019828",10,217,162,114,0,5,0,506,
"S01019829",47,229,87,24,0,0,0,389,
"S01019830",4,113,55,38,0,0,0,210,
"S01019831",12,184,88,73,1,1,0,359,
"S01019832",9,157,74,20,0,0,0,263,
"S01019833",9,100,73,73,0,0,0,255,
"S01019834",12,72,27,226,0,0,0,337,
"S01019835",8,38,19,239,0,2,0,306,
"S01019836",3,84,63,74,0,0,0,224,
"S01019837",24,104,65,137,0,0,0,331,
"S01019838",22,145,50,287,8,0,0,513,
"S01019839",18,126,58,225,5,1,0,437,
"S01019840",52,159,51,165,1,0,0,433,
"S01019841",20,104,67,58,2,0,0,251,
"S01019842",55,246,55,66,0,0,0,422,
"S01019843",18,126,95,123,3,0,0,362,
"S01019844",133,96,28,27,0,0,0,280,
"S01019845",64,203,47,20,1,0,0,336,
"S01019846",24,83,120,111,1,1,0,342,
"S01019847",53,185,70,39,1,1,0,348,
"S01019848",88,74,45,226,5,0,0,441,
"S01019849",64,44,34,80,2,4,0,226,
"S01019850",80,112,16,64,4,1,0,275,
"S01019851",59,76,50,73,13,0,0,271,
"S01019852",55,58,95,52,5,1,0,272,
"S01019853",55,124,51,70,30,0,0,332,
"S01019854",38,90,35,74,6,6,0,247,
"S01019855",129,134,38,39,11,0,0,341,
"S01019856",125,182,83,12,6,2,0,409,
"S01019857",108,199,31,113,7,0,0,458,
"S01019858",77,158,69,22,4,2,0,334,
"S01019859",167,139,7,26,2,0,0,341,
"S01019860",106,169,7,32,0,0,0,314,
"S01019861",8,152,133,44,0,0,0,336,
"S01019862",63,92,120,68,1,0,0,344,
"S01019863",139,198,45,16,0,1,0,398,
"S01019864",198,120,76,35,12,0,0,440,
"S01019865",184,76,80,32,8,0,0,381,
"S01019866",42,16,119,121,3,0,0,301,
"S01019867",38,74,80,109,0,0,0,302,
"S01019868",162,96,54,8,2,0,0,318,
"S01019869",56,121,36,204,0,0,0,415,
"S01019870",83,143,64,6,1,0,0,301,
"S01019871",31,127,137,12,0,4,0,318,
"S01019872",129,127,140,96,0,0,11,504,
"S01019873",52,95,101,23,0,0,4,276,
"S01019874",21,149,87,41,3,0,0,302,
"S01019875",49,97,75,70,0,0,1,296,
"S01019876",134,35,10,6,5,0,0,191,
"S01019877",173,39,22,13,0,0,0,247,
"S01019878",110,88,106,15,0,0,0,319,
"S01019879",161,50,74,3,5,0,1,294,
"S01019880",158,84,93,22,1,0,0,358,
"S01019881",31,57,94,34,0,0,0,213,
"S01019882",127,30,181,14,0,0,0,352,
"S01019883",172,61,59,5,0,0,0,293,
"S01019884",7,63,57,92,2,0,0,223,
"S01019885",48,139,73,83,0,0,0,346,
"S01019886",105,208,2,3,0,0,0,317,
"S01019887",247,95,33,12,2,1,0,390,
"S01019888",175,15,8,1,0,0,0,201,
"S01019889",145,89,43,28,0,0,0,304,
"S01019890",160,177,30,14,0,0,0,384,
"S01019891",46,112,29,2,0,1,0,191,
"S01019892",144,167,4,2,0,0,0,320,
"S01019893",225,66,16,31,7,2,0,347,
"S01019894",32,125,144,124,0,0,0,425,
"S01019895",26,64,84,208,1,0,0,387,
"S01019896",59,34,87,15,1,0,0,196,
"S01019897",112,170,99,109,0,0,0,490,
"S01019898",25,49,72,277,1,0,0,424,
"S01019899",246,61,1,12,0,0,0,321,
"S01019900",59,131,5,23,13,0,0,227,
"S01019901",58,130,49,102,18,3,0,360,
"S01019902",35,36,44,274,35,35,0,459,
"S01019903",31,51,17,392,28,1,0,520,
"S01019904",21,94,25,33,18,0,0,187,
"S01019905",219,105,5,32,36,0,0,397,
"S01019906",122,41,35,8,2,1,0,209,
"S01019907",154,88,80,29,1,4,0,354,
"S01019908",109,48,36,10,2,0,0,206,
"S01019909",261,79,19,8,2,1,2,372,
"S01019910",271,64,20,28,1,0,1,382,
"S01019911",238,46,30,20,8,0,0,342,
"S01019912",156,65,47,62,13,17,0,352,
"S01019913",61,64,99,26,1,0,1,252,
"S01019914",181,59,39,21,2,0,0,302,
"S01019915",160,101,44,90,9,6,0,410,
"S01019916",190,67,57,25,0,0,1,338,
"S01019917",244,64,41,1,2,0,1,356,
"S01019918",70,135,42,51,2,0,2,301,
"S01019919",215,72,21,13,1,0,13,333,
"S01019920",107,141,134,39,1,1,1,421,
"S01019921",152,104,71,27,1,2,0,356,
"S01019922",40,110,143,103,5,0,0,401,
"S01019923",141,64,93,12,11,0,1,319,
"S01019924",252,61,25,2,0,0,1,341,
"S01019925",154,44,69,4,0,0,0,270,
"S01019926",42,32,195,11,0,1,0,282,
"S01019927",62,99,132,85,1,3,0,375,
"S01019928",23,122,114,88,1,0,0,348,
"S01019929",138,40,29,3,1,0,0,213,
"S01019930",213,94,23,36,0,0,0,359,
"S01019931",73,93,18,29,1,2,0,217,
"S01019932",78,84,81,38,0,1,0,284,
"S01019933",68,98,67,74,1,1,0,305,
"S01019934",86,53,22,23,1,0,0,185,
"S01019935",122,106,18,55,0,0,0,301,
"S01019936",128,61,27,89,11,4,0,318,
"S01019937",176,162,15,21,3,0,0,377,
"S01019938",195,134,6,47,0,0,0,382,
"S01019939",39,85,23,187,4,15,1,351,
"S01019940",48,116,49,106,1,1,0,321,
"S01019941",54,42,177,11,0,1,0,279,
"S01019942",71,61,105,8,0,1,0,243,
"S01019943",218,42,15,3,0,0,0,278,
"S01019944",131,90,86,25,0,0,0,332,
"S01019945",83,108,167,10,1,0,0,369,
"S01019946",30,58,235,52,0,0,0,375,
"S01019947",54,103,87,223,0,0,0,469,
"S01019948",135,62,34,16,1,0,0,248,
"S01019949",117,54,68,4,0,1,0,244,
"S01019950",89,110,89,11,1,0,0,297,
"S01019951",90,54,107,26,0,0,0,277,
"S01019952",140,154,62,128,6,14,2,506,
"S01019953",219,37,54,39,1,0,0,351,
"S01019954",244,67,76,26,4,0,0,413,
"S01019955",223,86,32,8,0,0,0,352,
"S01019956",111,37,59,12,1,0,0,216,
"S01019957",48,73,36,119,21,2,0,298,
"S01019958",243,39,15,34,13,1,0,344,
"S01019959",143,64,29,38,3,0,0,275,
"S01019960",97,113,102,29,0,0,0,342,
"S01019961",20,97,71,130,5,0,0,323,
"S01019962",19,74,151,82,9,11,0,345,
"S01019963",12,56,139,52,2,0,0,259,
"S01019964",111,72,30,13,0,0,0,223,
"S01019965",50,47,36,119,15,0,0,268,
"S01019966",106,14,72,12,3,4,0,211,
"S01019967",179,16,15,40,5,2,0,256,
"S01019968",124,45,5,34,7,1,0,212,
"S01019969",117,39,54,285,18,20,1,538,
"S01019970",89,78,56,96,3,1,0,319,
"S01019971",234,57,25,7,3,0,0,326,
"S01019972",196,32,23,27,0,0,0,276,
"S01019973",66,64,84,86,4,0,36,336,
"S01019974",125,50,81,69,2,2,4,326,
"S01019975",150,27,7,4,1,0,0,196,
"S01019976",150,62,41,5,0,1,2,261,
"S01019977",26,131,19,141,0,1,1,319,
"S01019978",102,101,125,80,2,1,0,413,
"S01019979",77,167,94,41,1,0,0,380,
"S01019980",77,169,123,36,0,0,0,407,
"S01019981",122,110,86,160,3,1,0,484,
"S01019982",28,57,162,129,2,0,2,375,
"S01019983",11,76,102,11,1,0,0,197,
"S01019984",44,71,97,96,2,0,0,305,
"S01019985",146,82,43,89,11,4,0,376,
"S01019986",224,117,18,50,1,0,1,408,
"S01019987",144,118,28,4,1,0,0,295,
"S01019988",12,32,182,3,1,0,0,227,
"S01019989",91,89,40,32,1,0,0,253,
"S01019990",137,138,20,19,0,1,0,320,
"S01019991",23,90,155,64,0,0,0,333,
"S01019992",251,148,7,45,0,0,0,451,
"S01019993",161,55,155,12,0,0,0,383,
"S01019994",94,94,69,4,0,0,0,257,
"S01019995",193,60,52,20,2,0,0,327,
"S01019996",166,117,37,110,0,1,10,440,
"S01019997",115,56,105,25,0,0,0,302,
"S01019998",135,34,9,1,3,0,0,182,
"S01019999",209,72,46,17,2,0,1,347,
"S01020000",43,50,241,46,3,0,1,384,
"S01020001",25,112,36,93,1,0,0,267,
"S01020002",109,212,75,13,3,0,0,412,
"S01020003",217,88,46,4,0,0,0,359,
"S01020004",54,140,82,65,0,0,0,341,
"S01020005",71,77,106,23,1,7,0,289,
"S01020006",120,58,140,169,2,0,0,489,
"S01020007",89,86,100,20,3,1,0,299,
"S01020008",61,91,142,150,12,17,0,473,
"S01020009",23,116,171,36,1,0,0,348,
"S01020010",22,79,210,9,0,0,0,317,
"S01020011",46,132,33,67,1,0,0,285,
"S01020012",26,87,118,88,0,0,1,322,
"S01020013",35,160,66,3,0,0,0,264,
"S01020014",76,111,106,3,3,0,0,298,
"S01020015",44,70,252,26,0,0,0,394,
"S01020016",22,93,192,75,0,0,0,386,
"S01020017",19,63,155,14,1,0,0,252,
"S01020018",16,40,151,41,0,0,0,245,
"S01020019",51,86,202,47,4,0,2,390,
"S01020020",29,69,192,10,0,2,0,302,
"S01020021",44,44,155,31,1,0,0,273,
"S01020022",59,241,34,4,0,0,0,338,
"S01020023",139,73,56,87,3,0,0,361,
"S01020024",133,46,34,8,0,0,1,222,
"S01020025",147,97,101,53,5,2,2,405,
"S01020026",130,70,84,20,6,0,0,303,
"S01020027",44,66,157,64,2,0,0,330,
"S01020028",51,90,53,32,0,0,0,229,
"S01020029",31,82,188,15,1,0,0,321,
"S01020030",161,112,31,85,27,7,0,426,
"S01020031",175,58,3,3,0,0,0,241,
"S01020032",51,60,55,219,44,27,0,450,
"S01020033",105,61,12,9,4,0,0,195,
"S01020034",69,130,2,5,0,0,0,197,
"S01020035",207,22,18,33,3,0,0,283,
"S01020036",66,108,74,83,5,0,0,336,
"S01020037",226,13,23,2,2,0,0,266,
"S01020038",157,28,4,7,1,0,0,195,
"S01020039",54,42,89,4,1,0,0,190,
"S01020040",200,89,26,1,0,0,4,321,
"S01020041",264,43,29,4,3,1,3,347,
"S01020042",151,4,3,0,0,0,0,156,
"S01020043",121,52,49,10,1,0,1,236,
"S01020044",247,48,75,17,2,1,0,385,
"S01020045",167,31,11,5,0,0,0,212,
"S01020046",23,72,237,45,0,0,0,381,
"S01020047",116,119,9,5,0,0,0,249,
"S01020048",23,61,174,6,0,1,0,265,
"S01020049",126,161,2,4,0,0,0,293,
"S01020050",20,46,61,208,1,0,0,335,
"S01020051",52,214,77,74,2,0,0,420,
"S01020052",64,74,23,186,7,0,0,354,
"S01020053",28,90,77,255,0,3,0,456,
"S01020054",206,153,3,6,0,0,0,366,
"S01020055",52,176,19,84,2,0,0,334,
"S01020056",131,100,12,28,5,2,0,279,
