SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","Total",
"Data Zone (2022)",
"S01014155",36,85,46,32,18,217,
"S01014156",55,108,35,31,14,243,
"S01014157",34,105,39,45,19,246,
"S01014158",27,70,52,48,8,202,
"S01014159",37,99,85,88,35,344,
"S01014160",26,53,48,68,14,209,
"S01014161",142,245,39,24,11,465,
"S01014162",175,186,54,37,17,469,
"S01014163",108,118,50,35,19,327,
"S01014164",83,137,43,35,10,308,
"S01014165",44,96,34,26,6,206,
"S01014166",65,111,31,19,10,236,
"S01014167",142,163,34,27,9,376,
"S01014168",85,126,36,22,4,278,
"S01014169",32,53,58,52,19,214,
"S01014170",80,82,29,30,8,232,
"S01014171",93,121,45,37,9,302,
"S01014172",273,128,32,18,2,460,
"S01014173",126,116,42,25,6,315,
"S01014174",94,134,49,36,9,322,
"S01014175",91,105,51,31,6,283,
"S01014176",99,150,59,51,17,378,
"S01014177",132,115,43,22,8,317,
"S01014178",105,94,33,28,10,269,
"S01014179",166,131,55,41,12,402,
"S01014180",129,115,57,27,15,344,
"S01014181",137,79,29,22,5,274,
"S01014182",141,147,67,45,13,412,
"S01014183",109,119,26,27,5,287,
"S01014184",101,138,44,33,17,336,
"S01014185",113,121,39,32,9,318,
"S01014186",77,150,51,45,9,332,
"S01014187",93,185,54,50,13,395,
"S01014188",94,128,48,42,12,321,
"S01014189",72,146,37,32,19,302,
"S01014190",60,97,37,33,7,234,
"S01014191",94,127,44,34,16,315,
"S01014192",128,218,53,40,15,452,
