England and Wales Code,England and Wales,National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Household size (5 categories) Code,Household size (5 categories),Car or van availability (5 categories) Code,Car or van availability (5 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Observation
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,3,3 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,10
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,165
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,280
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,634
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,1494
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,433
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,1183
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,4166
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,3605
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,536
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,1578
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,3489
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,4506
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,174
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,546
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,4832
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,6097
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,6
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,2
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,7
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,34
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,1074
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,5144
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,1365
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,3506
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,2834
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,16389
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,12014
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,10471
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,3034
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,14118
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,9648
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,10239
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,387
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,1916
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,7215
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,6462
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,25
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,7
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,9
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,21
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,3949
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,22817
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,782
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,4082
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,5937
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,39957
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,9403
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,9410
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,3944
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,21450
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,6955
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,6632
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,228
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,1319
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,2517
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,2097
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,47
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,9
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,5
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,27
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,6815
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,14923
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,288
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,2195
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,7605
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,19908
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,3890
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,2916
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,3159
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,8369
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,2600
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,1706
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,93
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,254
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,396
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,478
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,63
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,12
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,2
K04000001,England and Wales,5,L10 and L11: Lower supervisory and technical occupations,4,4 or more people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,18
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
